,title,text
0,5.0,You may access to most the popular attractions with their seoul metro. They are cheap and fast .  Clear English signage and easy to understand how to transfer one subway to another.
1,4.0,Looks complicated at first especially when we need to change a few lines to get to our station but using the naver map makes it easier for us to check train timings and the best way to get to our destination. Train cabin is usually clean and comfortable. Not all exit has a lift/escalator or sometimes there are stairs leading to the platform so you may need to carry your luggage up and down the steps.
2,5.0,I loved how reliable the public transportation system was in Korea - every train station has a number!
3,5.0,"The Subway in Korea at first glance can be overwhelming. But once you find the right way of using it, it becomes a cheap and fast way of getting around Seoul. The trains are very frequent, om time and extremely clean, like everything else in this fantastic city. As long as you know which exit to use, that's the main thing that can be tricky because every underground station also has a multitude of shops. I suggest using the  KakaoMetro App, along with a good map and some good old common sense."
4,5.0,"Efficient transport system that is real easy to navigate. Do consider the timing - if you’re taking a late train, check whether it’ll bring you to your destination or they may just stop halfway and you’ll be stranded and forced to take a taxi. Buses may be a better option if you’re taking a train around 11pm."
5,5.0,"Have used the metro extensively over the last two weeks,  so well signposted and set up that we have not gone wrong once. Superb value dor money too, this puts the UK to shame!Get the Subway app, it is exceptionally good for planning your trip with live information and timetables. Never before have I enjoyed using a subway."
6,3.0,Don't use at peak time 6-8am and 6-9pm . You will know how to be stuck in a box over load people . But impressed with Seoul citizens the way they follow the social behavior
7,5.0,It was so cool honestly all i need to do is learn hangul and ill be a pro...but it is so cheap and so easy to use...but you have to be fast pace you dont want to miss your train.
8,4.0,Timely accurate and fast to get you where you're going. Sometimes that journy can take a significant amount of time as the city is so large.
9,5.0,One of the best MRT networks in the world. Trains are constant and clean. Some stations are located pretty far away from train platforms so be weary of that.
10,5.0,"Seoul has a good subway system.  It does what a subway is intended to do: it gets you where you are going.  For the eight days that I visited Seoul I had frequent occasion to use this transportation service. If you look at the subway map, you will see how it crisscrosses the city, with the various crisscrossing lines.  This means with a transfer or two you can go from any part of the city covered by the subway to any other part.The trains are quiet and clean. There are seats reserved for the elderly and the infirm, and seats reserved for pregnant women.Regretfully, there is at least one fly in the ointment, and that is the paucity of escalators at some stations.  At those stations there is often a steep and long climb by stair."
11,4.0,"This subway system is extensive and cheap. It took a couple of days to figure it out but once you do it's really easy to use and can get you anywhere you need to go, including the airport. The biggest obstacle is the sheer number of stations and lines available. Also, if you buy single trip cards, you must return them to an automated machine to get your deposit back each and every time.  If I had to do it over again I'd just get the reloadable card. Avoid rush hours as the trains are also EXTREMELY full and personal space is non-existent as with a lot of other subway systems in Asia during peak hours."
12,5.0,Just get a prepaid ticket from most convenience stores and you are on your way. Can get tight in rush hour and stops at midnight.
13,5.0,Superb network of trains with 9 lines differentiated in 9 colour codes. The trains are very clean. Many passers by also helped in purchasing the ticket.
14,4.0,I am always considering the Metro a good way to visit a city. You can see the people and the quality of life of the city.Seoul Metro give me the same feeling.
15,5.0,"Amazing compared to any system in the worldThe metro is cheap and efficient, the only downside is that it stops running at midnight"
16,5.0,The Seoul metro is very convenient. I purchased a card at a convenience store and had it loaded. I find the Seoul metro diagram fairly easy to read. Using the card is simple and can be easily reloaded from a vending type machine.
17,5.0,Super convenient and very fast paced to get anywhere. All lines are connected so it makes it very easy to transfer between lines to get to any stop to almost any part of town
18,5.0,The good thing about metro is they hardly get late. The metro is always on time and that's one of the praiseworthy issues. The stations are clean with the availability of basic amenities.
19,4.0,Visiting South Korea for work and stayed about an hour from Seoul. The public transport system was a great way to get around and relatively easy to understand. Convenient to move in and around the city and cheap fares. Make sure you get a T money card to tap on/off.
20,5.0,"Just on time and a lot of lines. Great option to meet the city. Use KakaoMetro as app to move, plan your trip and know how much is the ticket."
21,5.0,The metro are clean and safe. At the rush hour the trains are very full.  Especially Line 2 (green line)
22,5.0,All you need is a t-money card and Naver maps app in your phone. So easy to get around.The exits are numbered but it really helps to know where you're going before you hop on.
23,5.0,"Great and well-connected metro...easy to use by any traveller. Clean, reliable, and efficient, highly reccomended"
24,5.0,It's easy to understand. But the first time i.ve lost cause i didnt understand well the system. Once you get the system it will be easy
25,5.0,Such a good service - just load up your T-money card and away you go.So clean and reliable.  Easy to work out the lines to be on too.
26,4.0,"We did not take the T money card, It costs 2500 KRWs and in non refundable. We took about 10 rides @ 1350KRW per ride. they ask you for 500 KRW deposit which is paid back when you end the ride at the machine, like 30 seconds more it takes to get back money.Clean metros, 90% folks on the train on smart phones :) welcome to Samsung Land."
27,5.0,"Buy a card because you will be using this mode of transportation every day and it is worth your time to be prepared instead of buying a ticket every time you go somewhere. It is clean, safe and relatively easy to figure out. I wish we had this mode of transportation in the USA where I live."
28,4.0,"Clean, easy to navigate and fast too. You can use just this mode of transportation to get to any place in Seoul. Avoid old people when walking though, some may bump into you on purpose."
