,title,text
0,3.0,Dont ride it during rush hours and line 1 smells and rides like a third world subway. Remember to get a transfer ticket or one way ticket. User friendly transport cards or tickets at every major exit passed the turnstiles. You can always go to the special exit and push the button and act stupid and speak English to get a free exit or entrance once in awhile.
1,5.0,"If this isn't the best metro in the world, then I don't know what is. Convenient, clean and consistently on time. A great way to get around Seoul."
2,5.0,"One of the best thing that you should try to experience in Korea, inside the train is very clean and also it run so fast. Its very accessible to everyone.  Huge and spacious inside the train. So if your in hurry or to avoid traffic this one is the best for you."
3,3.0,"Taking the train around Seoul is quite an eye opening experience. Unlike Japan, everything inside the different stations are written in Korean and translating to where you as a foreigner wants to go to is such a major headache...even with Google maps. Wished they had an app that could translate their Korean written maps into English or other languages, so as to make it faster to get to where you need to go....all in all korail works great for those that can get through the translation fast enough ..."
4,5.0,Took a bit of time to figure out that credit cards are not accepted. Found an ATM and then all was good. Relatively easy to use and the quality of the cars exceptional. Much smoother and easier to use than surface transport.
5,5.0,After riding all the big metros around the world i feel Seoul metro is one of the best..kakao metro app helped tho and all the climbing in and out is there but its relativley easier and best mode of transport..esp in winter!
6,5.0,"Works fantastic! It's very easy, colors, numbers, names. Same as in London, Paris, Japan. If you're here for a few days, get a Tmoney card, most rides are 1250won. Transfers are easy to find. Metro comes regularly. And oh I LOVE the announcement sound when the train is approaching haha."
7,5.0,"Easy to navigate, English is available. Just one problem, it is a bit hard to navigate the exit gate especially if it's your first time here. Need to use a few times to get used to it."
8,5.0,"Seoul’s metro is amazing, clean and very affordable. It covers all Seoul and surrounded cities and is the fastest way to travel in SK."
9,4.0,"I love the Seoul metro.  It’s clean, cheap, relatively easy to understand, and extends far into the hinterlands around Seoul.  Inside the Seoul metro area I think it is very competitive with cars and riding is generally as fast as driving.English is everywhere and am English speaker can easily use the metro, though specifics like express trains and branch line service can be hard to spot without a little Korean."
10,5.0,This is the best subway system in the world! So clean and fast. You can go to anywhere in Seoul very cheap and conveniently! It is a major accomplishment of this great country!
11,5.0,"Cheap:For 1250 won you can go all over the stations without exiting. If you’d take 2 buses, you’ve to pay 1200 per each bus.Easy:There are signs in Latin letters so you won’t get lost.Fast and can be used up to 100km range.With 2 connections, I took the metro for 1250 won from Itaewon Seoul to suwon. It took an hour ( other trains takes about 30 mins, pay at least 2500 won)."
12,5.0,"Also, reliable, safe, people follow the rules and are quick to help out.  It really is the best way to get around Seoul.  Keep in mind that Google Maps does not include the Metro when figuring out routes and will always direct you to the local buses... which are also very good.  I believe the Baidu app does include the Metro though.  So download that.  It works much better in Asia."
13,5.0,"The metro in Seoul is really great value for money. It is convenient with stations close to most attractions and shopping areas. And it is fast and punctual! I downloaded an app called Naver Map, which gives you details to plan your route in advance. Use it and I promise you will not get lost."
14,4.0,"Clean, efficient, inexpensive and easy to get around using the Metro.  Signage, verbal notices ( in English) make it easy.  Don’t forget to turn your ticket back in after the trip to get your deposit back."
15,5.0,A tourist metro card works on buses and subway. The Naver map app tells you exactly what bus or subway to take to get to your destination.  You sometimes have to put the destination in in Korean (copy paste from Google search).
