,title,text
0,4.0,"I love going to museums and the admission for this one is free.  They have it organized clearly and you can learn about Korean history. They also have a small cafe that sells drinks, coffee, tea and light snacks.  There is also a nice gift shop there. However, when I went to go inside, I found it was closed. The person who runs it took a VERY long lunch break. This was very irritating to me. Twice, I had to go and ask the front desk lady where the person was because I wanted to buy some gifts.  The lady was nice and called the person and five minutes later the person came and opened up the store. Except for this, my overall experience here was great."
1,4.0,I found this museum more interesting than the Korean War Museum or the National Museum. I particularly liked the section on the reconstruction of the city after 1953 and its development over the following frenetic decades.
2,5.0,"The three floors museum represent The Joseon dynasty, it is very interesting for the new visitor to Korea. The museum is free and can be combined with a visit to the Palace."
3,5.0,If you have time do visit this very interesting museum that showcases the six centuries of Seoul’s storied past. From its early founding as a strategic capital for the unified Korean kingdom because of the fengshui and laid out in Confucian principles it grew to become a walled city with a central avenue of commercial sites and an expanding palace with administrative buildings. If you  are familiar with period Korean dramas you will recognise the sets and interiors. From a medieval city it had to modernise with the arrival of westerners and rapid change in the late 19th century. The Japanese colonial government further changed the urban landscape from its crowded houses to more planned streets with amenities. However the medieval soul was gradually torn away with the demolition of historical sites such as the Temple of Heaven. Note the similarities with Beijing in terms of fengshui and Imperial urban planning. The much disliked colonial townhall was also built to obstruct the Korean palace. You will start to see the birth of Korean nationalism as you wander into this exhibition area. All this was devastated during the Korean War that left Seoul pretty much with only standing stone chimneys. The rapid urbanisation during the Asian Tiger economy era resulted in a functional city with little thought around urban design and well planned spaces for an exploding population that grew to ten million eventually. You will end the visit with a birds eye model of the entire city to appreciate the geography and some of the major landmarks and notable districts in Seoul.
4,5.0,"This is a fun museum and I have been here several times. For a first-time visitor, plan on at least 2-3 hours to visit. My favorite part was recent history from the 1920's to the 1990's. There is even a model of a 1980's apartment to show you how an average family lived then. The display about life for Koreans during WWII is excellent as well and explains how hard things were during the Japanese occupation. It is one of the first places you should visit in Seoul."
5,5.0,When traveling to Seoul this is a perfect way to get a foundational overview of the cities history. You only need 90 minutes.  It's free.
6,5.0,"I wish I'd spent more time here, there was even a school group practicing for an orchestral presentation. And it was FREE! You need to take your time to take it all in. I took an Uber from the Seoul of Museum of Art to be efficient. I have a much greater appreciation for Seoul and S. Korea as a people/nation of overcomers and survivors."
7,5.0,This museum is located in a walking range from the subway.  The arrangement of the permanent exhibition is well-organized.  This allowed me to know better about Seoul in a limited time.  Friendly for non Korean speakers.
8,5.0,"I'm not a city museum type of person but I do have a bit of time before heading out to the airport therefore came for a visit, the best part of it is that this museum is free admission at all times and it's just a short walk from the guanghwamun which is very convenient. It's divided in a few eras, from the Empire dynasty to the Japanese colonized period, to the most recent booming of the city, everything is detailed. Great to spend an hour or 2!"
9,5.0,"Another well designed Seoul museum located in the contemporary building. Well thought-out and well put together exhibition, as in many other museums in Seoul that I visited. The main message is a story of the transformation of Seoul from a small fishermen village to the one of the major world capitals. Don't miss a hall where you walk on the elevated walkway with Seoul map on the floor underneath. You can push a button for a specific city area and this area will be illuminated on the map. It helps to understand the city layout. There is a good coffee shop on the ground floor and not bad looking museum shop. You would need around 2 hours for a visit. Recommended."
10,4.0,Nice museum very close to Gwanghamun St. Museum shop is good for souvenirs. Best part of it is the City at the 3F. I found it amazing. Walking over a small scale of the whole city
11,4.0,"The Admission: FREE admissionThe Museum: Very informative and educational. This museum give me a overview of the life and culture in the early days of Seoul. There is English, Japanese and Chinese portable audio guide rental. The Location: Subway Line 5, Gwanghwamun Station, Exit 6, 7 or 8"
