,title,text
0,4.0,"Just walk around the district and enjoy the college atmosphere.Since students are fluent in English, do not hesitate to ask someone to help to find best bars and restaurants."
1,5.0,"Lots of people, restaurants, bars, pubs, there are 4 universities around so Sinchon is always packed with young cheerful crowd. the proximity of Hongdae makes it a perfect spot for meeting friends, clubing, eating out, and just chilling. the atmosphere is great, it's safe, pretty affordable and simply cool."
2,5.0,"What I love:-lots of guesthouses. Perfect choice for solo travellers-universities nearby. Surround yourself with young, hip and energetic people.-accessible by nearby subway stations and bus stops-going to and from the Incheon Airport is easy using the 6002 bus. -restaurants and street food vendors are everywhere. Never be hungry. 😘-street performers come out at night-make-up and skincare stores are all over but not as crowded as Myeongdong"
3,4.0,"Getting to Sinchon is fast and easy. This is a place with many stores (including department stores), places to eat and to hang out. There's many activities out on the streets as well. Take the rest of the day and hang out in Hongdae which is close by!"
4,3.0,"There are many retail shops and restaurants in Sinchon area. And guess what I found here? A Play Bus!!! How interesting a bus parked in the shopping square. This bus converted into a music club, DJ booth and reading area. I wish they have all the latest Kpop music. It is pretty cool to check it out though if you are shopping in the area."
5,4.0,"There's just so much you can buy here because of the affordable prices! You will be able to see many shops selling similar design of clothes and bags and shoes in other places but much more expensive. But here, price is good! Street food is good too:)) but prepare to walk and walk and walk as this place is long and big. Remember to exercise self-control too!"
6,5.0,"This place is pretty popular among youngsters. Many university around this area, most popular is Ewha Women's University, my friend said this place became shooting location of some music video clip & film. Hotel & backpacker hostels also quite cheap. If you are fashion lovers, you definately must visit Sinchon where you can find many funky clothes, shoes, bags etc with student price. Cafes, clubs, bars, street foods & restaurants are in every corner. If you are an explorer you may find some hidden fabolous spots. I would say this place is never sleep :)"
7,4.0,"There are a lot of shops selling clothing, accessories and cosmetics in Sinchon.  The targeted group would be for the young people but visitors can also shop for goods with reasonable price at Sinchon."
8,5.0,I stayed in a guesthouse around this place and I find it to be a fun place to be at.  It can get a little loud because of the hundreds of restaurants and bars surrounding our guesthouse but you will never get bored. U-Plex Mall is only a stone throw away and hundreds of restaurants to choose from.  I had better meals here than in Myeongdong. Close to buses and subway too.
9,4.0,"Young and Energetic street / area to visit, shopping yes, food yes, cafe yes! There's a Cat Cafe just opposite Lotteria Fast-food store. Plenty of mobile phone shops for those who want to get a prepaid card. Students, yes you can get what you need there. Cafes, one of the highlight, lots of nice cafes there. Mostly 2-3 levels. There's a U Plaza with 7 or more floors for young fashion brands, mostly students around the mall.You can visit Yonsei University and Ewha University its all near and easy to locate."
