,title,text
0,4.0,"Considered as a War hero, the 6.5 meters bronze statue of Admiral Yi Sun-sin is situated in the G Square which is in front of the G-Palace. The statue shows the Admiral in a standing posture, holding a sword in his right hand the face depicting the determination of a soldier.Near the statue there is a miniature turtle ship representing the war vessel which the Admiral supposed to have commanded during the war. There is also a small museum in the memory of the Admiral.Also in front of the statue there is a water fountain called 23.12 representing the 23 wars the Admiral won with 12 warships."
1,4.0,This is an impressive statue located in the centre of the city and the great thing about it is that there is a museum underground here where you can also learn so much about Korean history. The statue is very close to the statue of Sejong the Great and also walking distance to Gyeongbokgung Palace.Another great feature here is the water fountain in the evening time. The fountain is lit up and changes colour all the time and here you will always find kids playing in the fountain. My own young kids insisted to come here several times.
2,5.0,"The Naval Commander who is credited for several decisive victories and ultimately sacrificing himself in a war with the Japanese in Nov 1598. His come commemorative statue is rightly placed in front of King Sejong’s statue who is in front of the palace, being the first to face any oncoming enemy. A special pedestrian street is built in the middle of the road where these statues are placed. Very powerful statement. When we were there, tents have also been set up along this street bringing awareness and prevention of desertification."
3,5.0,"Quick stop to just take a picture with a local landmark.  If youre going to Gyeongbokgung palace, pass by here too."
4,3.0,Just a few steps away from the statue of King Sejong where you just snap a few photos then go. Nothing much to see.
5,3.0,"This hero status is situated on the center of the Main Street. Aside from Admiral Yi Sun-Sim, the Emperor Statue is also placed in the same area.It was nice to get a glimpse of such height of statue in a busy street near the Palace.It was a coincidence when we visited as it was also the Celebration date of the Year of the Policeman. So there is a lot of man in uniforms. We decided to leave early seeing the crowd is increasing by the minute. If anyone asked me if this place if worth a visit? I would say yes if you are already visiting the palace. It was just 600 meters walk from the Palace museum."
6,5.0,An amazing figure in Korea history and stands tall protecting the palace as well as people of Korea.You should definitely visit the museum to understand the history between Korea and Japan. Fascinating and interesting facts.Must visit place!
7,4.0,Before you go to Gyeongbokgung palace take a picture of this statue in Sejong centre and you can take a picture Statue of Sejong the Great too.
8,5.0,Statue of Admiral Yi Sun-Sin located in Gwanghwamun Square together with Statue of Sejong the Great. You can hardly missed this if you are around this area or visiting the Gyeongbukgung Palace. The underground museum is must visit as it is well-designed with interesting information.
9,4.0,Yi Sun-Sin was a mariner commander who lead soldiers in a sea battle against Japanese army. He also invented the turtle vessel which was a main reason of Korean victory on ancient times. This statue is located on the Gwanghwamun square on the opposite side of the palace.
10,4.0,"Centrally placed and at the moment the gathering area for the protests, very peaceful, against the president. Easy to walk to as you go to a variety of other sites such as The Stream"
11,4.0,Impressive once you exit the subway specially if its your first time. The small streams on the border tell about the history of South Korea. Nice spot for photos specially at night
12,5.0,"This whole area is great to see there is a museum underground that is awesome that is a must visit which explains the history of Admiral Yi Sun-Sin and King Sejong. The US & Korean embassy are in this area and many more places to see. Kyobo Book store is near here as well. Palaces to visit, art places, This is an area well worth visiting."
13,4.0,"This is a very impressive statute. When standing beneath it, he looks like he's staring down at you. Might as well stop by if going to the palace or anywhere in  Insadong."
14,3.0,"It's located at Guanghuamun square,just opposit Sejong king statue. He is a hero who defected many enemies. A very tall statue. Not as known as Sejong king statue but still a magnificent statue."
