,title,text
0,4.0,"The statue of King Sejong one of the greatest rulers of Joseon Dynasty has been installed in the G Square as a gratitude for his contribution in strengthening the Joseon Dynasty and also as an inventor of Korean Alphabets – the Hangeul, Armillary globe, rain gauge, the Sun dial etc. He is remembered for his contribution to the great strides Korea made in the field of agriculture, science, technology.The bronze statute which is about 9.5 meters high shows the King sitting with a book in his hand and a gentle smile. There are around 6 columns behind the statue showcasing the accomplishments of this great king.There is also an exhibition underground depicting the achievements of the king which is open to public.Include the visit to this place along with the visit G Palace."
1,4.0,Just a quick pass by the statue for a photo. It could have been better if the stage behind it (there was a concert the night before) was not there. So that the palace gates would be visible in pictures
2,3.0,This statue is quite iconic and having photo ops in this area is quite mandatory. Try learning about his works like introducing the Korean alphabet and how these are displayed well in the vicinity.
3,5.0,"I personally find myself humbled and awe at this majestic statue everytime I visit Seoul- perhaps it's because of who and what King Sejong represents. TIP (For the bookish) : After or before visiting the Statue, make the most of your time in the location and visit the Kyobo (underground) bookstore."
4,4.0,"The statue of Sejong the Great was erected on the square recently in 2009. Author is sculptor Kim Young-won. The authors established the 9-meter bronze statue on a concrete pedestal. We can find under the pedestal a small Museum . Sejong looks at the fine arts Museum, named in his honor. Kings were rarely discovered various talents, often ruled without them. Sejong is the exception. He was artistically gifted, which was highly prized in Korea and China. Most importantly, of course, that he was a talented statesman. His political successes were based on public administration reform. He brought to Korea Chinese officials, who were recruited not on the hereditary principle, and abilities. New Korean bureaucracy guided by Confucian ethics, have achieved victory over the Japanese pirates and normalized relations with both Japan and China. That's what the Koreans established king Sejong at the main square, and on the banknote of 10,000 won in addition."
5,5.0,"Very pretty, especially at night when it is lighted up. It is obviously, that this emperor was very loved by the Koreans."
6,4.0,Before You go to Gyeongbokgung palace you must take a picture in Sejong Centre. Not just this statue you can take a picture another statue too.
7,5.0,"Statue of Sejong the Great is located in Gwanghwamun Square, very close to Gyeongbokgung Palace. We personally enjoy the underground museum. It is lovely, informative and well-designed."
8,5.0,This is great place to learn about King Sejong. They have underground museum connected to many others building. Great scenery to capture your moment here in Korea.The place is strategically located nearby subway station and near to US consulate office.
9,5.0,"Sejong the Great was the fourth king of Joseon-dynasty and inventer of Hangul, the Korean alphabet system!"
10,5.0,"This is a must-see Museum it is super effective very informative and it learns and teaches you about who created the Korean language, known as hangul ( 한글) this is a fantastic Museum and it's definitely worth a go the only bad thing is the cafe is super expensive the coffee is ridiculously expensive😀😀😀😀😀go!"
11,4.0,You will understand this statue if you read a little about this person...and then you'll understand a lot about the Korean culture.It is a must if you know who he is.
12,3.0,If you are going to the palace then it's on the way. It may be better at night from the look of everyone's photos.
13,3.0,We went there without a guide so we weren't able to know what he did. So it would be great if someone would be able to explain ir or something.
14,4.0,Come to this place just to try korean traditional costume for free. Snap a photo with two most popular statue snd that's it.
