,title,text
0,4.0,It's in the middle of a busy square full of cars. So it's good to see it when you are just passing by and catch a quick photo.
1,4.0,"This is a reconstructed version of one of the original Seoul gates and a lovely one, at that. Probably not worth a trip, but when in the area, worth passing by."
2,4.0,Right next to Namdaemun market. I love that it’s randomly in the middle of quite a busy intersection. Stands magnificently. We saw the changing of the guards. There are toilets near by.
3,4.0,"There’s not a whole lot to do here but it’s worth checking out if you’re close by.  I always like seeing some cool architecture and learning some history while travelling.  From what I remember from the plaque... the King came to pray at this gate during times of drought.What you’ll discover when you’re there it is super clean and well maintained.  There is no fee to enter.  There is a changing of the guard ceremony at certain times which may have a fee, not sure."
4,3.0,"Sungnyemung Gate , often known as Namdaemun Gate is listed as Treasure Number One in Korea, but it was partially destroyed by fire in 2008 and renovated since then. Tgis gate was the south entrance of the city wall."
5,4.0,"It's unfortunate that due to the history of S Korea alot of its historical structures and monuments have been rebuilt and it's no different (though for slightly different reasons) for the gate also known as Namdaemun gate which was destroyed by an arsonist some years back. It's one of the most memorable sights when arriving into the city from the airport as it's at a roundabout. Don't think other gates are open like this is so it was nice to walk through it and pose for pictures with the guards dressed in historic outfits. For kdrama fans, the gate featured in a few scenes from Chicago Typewriter :) If you had to pick one fortress gate to visit in Seoul you can't go wrong with Sungnyemun."
6,3.0,This historical gate is in the middle of a busy part of the city. We saw the changing of the guard from a distance and the guards were dressed in very colourful traditional uniforms. Later on we went to the gate for a closer look. It has a colourful painting on the underside of the archway and there is a sign which gives the history of the gate. An interesting place to quickly stop by if you are in the area.
7,3.0,"The gate is relatively tourist free and you can get some good pictures when visiting, however there isn’t much to do here.If you are going to the nearby market, then it’s worth a minor detour.   But it’s not somewhere to go out of your way to see."
8,3.0,"Easy to find and located at a major intersection near Namdaemun Market.It is one of the Eight Gates in the Fortress Wall of Seoul, South Korea, which surrounded the city in the Joseon dynasty. The gate is located in Jung-gu between Seoul Station and Seoul Plaza, with the historic 24-hour Namdaemun market next to the gate. Entry is free and the gate is closed on Mondays.Destroyed by fire in 2008, 5 years restoration followed with it reopening in 2013.We visited on a Monday, not sure what the benefits of it being ""open"" would be, but regardless, a brief visit is all that is necessary."
9,4.0,"This historical site is easy to find as it is located in the cross section of a main road. It is also next the popular Namdaemun Market. There is nothing much to see and explore. I would suggest a 30 mins visit would be sufficient to take in the sight. While we were there in the morning at 9 am, we were the only visitors. Recommendation : to throw in this visit while on your way to Namdaemun Market."
10,4.0,We stopped at Hoehyeon station and visited this attraction. It is near the Namdaemun market and Namsan park.  We saw some colourful guards here. The roundabout near here is very busy.  It is quite beautiful.  This place is free to visit.
