,title,text
0,4.0,"One of the 4 main gates in Seoul, reconstructed many times most recently in 2008, Sungnyemun Gate is impressive and great for some photos, but not really much to do there.  There is a changing of the guard to add some colour (I missed it, but had previously seen the change at Deoksugung - its only a 10 min walk from Deoksugung to Sungnyemun).  It's a good place to start a visit to the Namdeamun Market (there is an underpass from Sungnyemun gate to the top of the markets.  Worth a quick stop and photo opportunity.  More photogenic than Dongdaemun Gate and easier to get a good angle."
1,4.0,"Of the 8 gates in this once walled city, this one was the oldest wooden structure in Seoul until an arsonist climbed up and set a fire which destroyed the wooden pagoda on top of the gate in 2008. It took 5 years and several million dollars to restore this National historic treasure. The Namdaemun Market nearby is named for this South Gate."
2,5.0,"Located in the centre of a busy junction there’s certainly a contrast between the surrounding office buildings and this cultural landmark. It offers a particularly good photo opportunity at night with the passing vehicle lights and is lit up beautifully. There isn’t a huge amount to look at but what is there is worth taking the time to admire, and there’s plenty of signage explaining the history and significance of the gate. Everywhere is well kept and clean, plus on my weekend visit it wasn’t busy with tourists either.Given that it’s free to enter the grounds and walk through the gate it’s a must see, certainly on a first visit to the city."
3,3.0,"Very large and historical gate that located in the central area of Seoul, convenient location, walking distance to Seoul station and  Namdaemun market. Entry is free. The superstructure was destroyed in the arson incident in 2008, and the restoration was completed in 2013."
4,4.0,This gate is the largest of Seoul's gates. It is surrounded by nearby sights such as the Namdaemun market and Seoul Station so it is easy to reach.
5,4.0,Saw this gate while walking from Seoul Station to City Hall. Consider it halfway if going to Myeongdong Market.
6,4.0,There is no charge to visit this large gate near Namdaemun Market.  This is the South Gate of the original four main gates of Seoul.  It was a bit surreal to see this gate from the 14th century surrounded by modern buildings.  There were guards dressed in period costumes standing by.
7,3.0,"This gate is located near Seoul station. If you take a train from Seoul, you might have a chance to take a look of it. This is much similar to that of many ancient cities in China."
8,4.0,The location is easy to find using google map. The location was closed for visits while I was there. Really beautiful at night.
9,5.0,"Not sure I would travel too far out of my way to see this, but was staying close by and the bus from the airport drove past this attraction so I decided to walk over and check it out. Am a fan of history but know pretty much nothing of Korean history. Admission is free and they have nice pamphlets that explain the role in history of this gate. A good job has been done in restoring the gate (especially after someone torched it not that long ago). The guards in authentic costume were more than willing to pose for pictures. Be sure to look up when going through the passage! It is closed on Monday's."
10,3.0,"It is good that city history is protected. However, nothing extremely special with this attraction. If you are around that region, then it may be possible to visit."
11,3.0,"Also known as Namdaemun Gate and sits next to the Namdaemun Market. It is considered Korea's National Treasure No. 1. Sungnyemun Gate is the largest castle gate stone structure  with an arched entrance in the middle. There is a column on top of a platform, raising the roof and distinguishing the upper and lower stories. Great photo op when visiting Namdaemun Market. Beautiful contrast between this medieval gate and the vibrant modern  buildings that surrounds the area."
12,3.0,"To be honest, the style of this gate is pretty jarring, set as it is in the sea of traffic, modern buildings, and large video walls that seems to be what defines Seoul.  It's quite pretty, ornate in a manner heavily in line with the styles I associate with China and Taiwan.Alas, there is no quiet here, as traffic is within spitting distance.Still, if you happen to be in the area, it's worth a look."
13,5.0,This place is a must visit when you are in Korea. Love the architecture and the way it's accessible and I come back over and over again Place visit
