,title,text
0,5.0,This museum was so well done. Very respectful and dignified. There is a new section covering the history of the ROK military including women. A cafe upstairs and down. Great static displays inside and out.
1,5.0,"The War Memorial of Korea ..... an educational history lesson. Have not visit museums for sometime, this stood out to be interesting and informative ! It is a beautiful place and definitely worth at least a couple of hours of your time in Seoul...."
2,5.0,A wonderful museum that encompasses thousands of years.Very well done and very surprising that it was free.
3,5.0,"First visited with my 8 year old twins in Sep. Entrance is free. I truly enjoyed the complimentary English tour conducted by a lady in her 70s who lived through the war. Her stories we so captivating and touching I had to hold my tears in many occasions.  We didn’t get to visit the Children’s Museum as it was fully booked but the kids spent more than an hour playing at the play area outside the Children’s museum. They were in awed with the fighter jets and tanks on display. Just visited the museum again today with my 15year old, our English guide today was a 17 year old high school boy. He was well versed with the basic history and professional with the job assigned. However, nothing beats having the story told by one who had first hand experience but it’s not fair to compare with the 17 year old as I think he did put effort to do his best. We spent 3 hours going through all the exhibits with a coffee break in between at the cafe on ground floor. They serve nice coffee, bun with red bean and cream filling and especially love their ciabatta sandwich with chicken and cheese filling. Will go back again for the Children’s museum."
4,5.0,"Carefully architected with a beautiful garden. But most of all, it is an entertaining way to get a better understanding of the North/South Korea cease fire that continues from 1950 up until today.If you have no historical background or if you already know a lot, the setup and displays are intelligently crafted to cater for all type of audiences."
5,5.0,Very educational.on work day wasn’t crowded.loved everything especially outside!lots of pics and fun!
6,5.0,"A huge memorial location with many exhibits to view.Easily a half day tour. Food in the attached restaurant was good and reasonably priced,Well worth a visit."
7,5.0,"Honestly one of the best Museums I have been too! Well spaced out, clean and taken care of. You can feel the respect for their history in the information and atmosphere you see and feel.  No charge but donations welcome. Free English speaking tour at 10am & 1pm, we unfortunately missed those but I have no doubt they would be great.  English signage and leaflets all round, shows/videos and 4D available in English. Toilets on every level and so fresh and clean. The best bit for us was the children’s museum, fantastic interactive areas free of charge for a set 50min.  There is a playground outside for the children to burn off energy and a few cafe to get snacks and ice cream, also blox (Lego) area which looked great but we didn’t use."
8,5.0,Was great to learn so much about the Korean war and the struggle the KoreN people had to go through after that to become who they are right now.
9,5.0,"I was not expecting much about this place, but was surprised to see the indoor and outdoor displays.  They have a lot of tanks, artillery, fighter jets, and even a huge air force B52 bomber on display.  There is also the coast guard cutter that still contains all the holes during the gun fight it had with the north koreans. Even if the AV presentation was in Korean, it provides a detailed blow by blow on the firefight.Very well kept and maintained, which showcases how nationalistic the country is.Well worth a visit even for non Koreans who are history or war buffs."
10,4.0,"The museum provides a well illustrated history of the painful Korean war. You leave the museum a lot wiser than you arrived. Certainly in terms of the events of the war, but perhaps more interesting, you have a much better sense of the pain and deep wounds this meaningless war has had on the people of Korean. Clearly the history and culture of Korean is deeply affected by the divide and you feel you understand this a little better after the visit. If you are interested in military equipment this is definitely also a good place to visit."
11,4.0,"The area is big and there is a lot to see and learn. No entrance fee and you can learn a lot from the exhibit as there are a lot of things to see, hear, and experience. Suggest to put this in your agenda when visiting ROK."
12,4.0,"This place not only documents the Korean war, but also pays tribute to all the nations that sent their sons to fight for the Korean people.  Very moving."
13,4.0,"Very nice to visit if you want to learn about South Korea's history. Lots of military plane, tanks, etc. to see and take pictures here."
14,5.0,This is quite amazing. Its free and it tells the story of war through the ages. there are lots to look at and many movies explaining the history of the Korean empire. It tells every aspect of the story even the peace keeping aspect of the Korean military. I was very moved by the memorials outside the museum thanking the different nations helping the people of South Korea.
15,4.0,Originally we did not plant to visit the musem but we were happy that we decided otherwise. We leaned quie a lot about the so called forgotten war and the museum is a good mix of information and memorials. Also the outside part with an actual B52 bomber is worthwhile
16,5.0,"One of the great things about the museum's in Seoul is that most of them are free to include the war Memorial. It's easy accessible by metro, it's huge with great visual history on the inside and has a large park on the outside. It's one of the best museums that I've been to. It's worth putting on the calendar for a visit."
17,5.0,The outside has a large number of exhibits including a huge B-52 bomber. Inside it gives the history of the war and even my youngest child found it interesting and moving.
18,5.0,"One not to be missed, you could spend a whole day here, Well laid out and flow through the different areas. Tell the whole story of the Korean Military and wars. Lots of exhibits to see, emotional in places."
19,5.0,"This is a must-stop for any visit to Seoul. The organization of exhibits and content makes for a powerful and moving presentation. You could spend an entire day, but schedule at least 2 hours."
20,5.0,"The outside is just as good as the inside.  Powerful sculptures, a massive amount of relics, flags and number served from each country, wall of remembrance.  Inside is also great, but if you were on a tight schedule, you could easily walk the outside and grasp the depth of emotions still felt by all Koreans.  My family was very glad we visited this museum."
21,5.0,"As a person without that much knowledge and detail about the Korean War since it is not taught in schools here, this place was great. It is not only informative but it is presented in such a way that it makes you want to learn while still presenting the truths and horrors of wars in general. I'd definitely recommend this place"
22,5.0,"The outdoor military vehicles such as tanker, missile launcher, aircraft and naval vessel were simply amazing. The indoor display of armoury was interesting as well. We spent almost 2 hours touring this free entry museum. Would have spent more time if we were not in a hurry."
23,4.0,"Before visiting, I had the impression it mainly focused on the Korean War. Although that is true, it also has other exhibits that covers history of Korea back to the older empire which was really educational as well."
24,5.0,We have been here a few times and our small children never want to leave. There are plenty of photo opportunities!
