,title,text
0,4.0,"A good visit, the exhibits were well put together and easy to understand. Lots to see, lovely entrance and well kept grounds. We spent a couple hours here as part of a day trip. There is a small gift shop and cafeteria."
1,5.0,"Even if you don’t like war memorials, this museum is definitely worth visiting. I actually enjoy these museums because it is not idolizing the wars, but reminding us the importance of peace and it’s true cost paid by those who lived and died.I have been rather disappointed by many of the museums in Korea. I expect places to be large, but way too many of them have been tiny. This place is grand and has many interesting displays that make it worth your time. It is free, so that assumption is hard to make. The place is clean, easy to navigate and fun for the whole family. Remember that the wars commemorated here are related to Korea but many nations are represented because the world cared about defeating evil at one point. Wasn’t all about profits and greed.Whole visit should be about 2 hours if you are a casual goer."
2,5.0,"Large museum with engaging presentation of historical facts. Outdoor area has real military equipment, including planes, tanks and boats, some of which can be climbed on or in. Indoor area has multiple video displays or 4d movies, as well as standard plaques.A couple floors dedicated to the Korean war, while another floor has ancient war history, including a very cool scale replica of a turtle ship.Very tasteful and honoring memorial to fallen soldiers and overall great presentation of historical facts on the Korean war. I plan to come to this museum whenever I visit Seoul."
3,5.0,"We are Turks and we are proud of heroes that live with us forever. All the nations that are included in the war are seen with their names, flags and clothes."
4,1.0,"Very interesting museum but the wonderful visit were wasted by some racist worker. As we were waiting for the line for an animated room (incheon landing 4D simulation) with a 15 people capacity and 30minutes long waiting line between the sessions, the staff member who were in charge of the line had the audacity to put first 4 korean girls who came after us. Indeed, she went to talk to them then one of them started to give us some weird glances. Then when it was the time to enter the room the 4 Korean girls quickly  took the 3D glaces and run in the entry. We were 3 and she came to us at the end to give us the glaces but only 2 remained...when we told her that we were there before and we were going in together she went to give the glaces to the people behind us. We tried to complain but she brushed us off and completely ignored us. Even though we stayed very polite we were really disappointed by this unfair experience."
5,5.0,War memorial is perfect place to closely learn about history and sacrifice of Korean people It also shows countries who stood by and against Korea Very nice building and perfect place must visit
6,5.0,"This museum was included in our Seoul City Tour company's tour of N Seoul Tower, Hanok Village and Korean War Memorial.  This museum is a Traveler's Choice Award museum and it does deserve this.  This is a huge modern multi media museum that was free to go into.I concentrated on the section that covered the Korean War.  I did not understand this war before going to this museum but I do understand why it happened now.  I wish that I would have had more time to spend on this museum because they had other indoor displays and lots of outdoor sights as well.  1 1/2 hours was just not enough time."
7,5.0,This is a must-see if you are visiting Seoul. Especially if you are interested in military history. It takes you through all the military conflicts involving South Korea.
8,5.0,"We were here a half day and did not nearly see it all.  We started with the outside area first coming upon the Clock Tower of Peace and then the Statue of Brothers.  From there we visited all the outdoor sights and particularly the Open-air Exhibition Area.  On a warm May day I really did not want to leave but there are very few places to sit and take a break and with standing, reading, and observing a nice short bench break would have been welcomed.  The first floor held a very interesting up to date exhibit (which may have been a special exhibit) about recent relations with North Korea.  Admission is free.  Be sure to grab a  free brochure as it will help you plan your time at the museum."
9,5.0,"We visited the War Memorial of Korea today. It was my second visit and it is well worth the time to explore. The building and grounds are beautiful and full of war relics. From prehistoric weapons, displays from different eras in Korean history to the high-tech displays to Admiral sun-shin's turtle ship- it is all here impressively displayed. Admission is by donation. The only suggestion that I would make is to have the address written in hangul on website (for the cab drivers). Be prepared to spend hours here. It's worth it."
10,5.0,"There is a Memorial Hall for those who have passed from service in various Wars of Korea. Also there are military vehicles such as planes, ship, tanks and others where you can take photos or get a closer look. Within there are exhibits for the various wars Korea was involved in from early history to current. On Fridays, at 2 p.m. there is an exhibition of the various military branches in the front of the museum. This is where you experience the all female Color Guard, traditional martial arts, the various anthems of the military branches, and many other performances by the various military branches. Make sure to sit outside by one as they start to practice so you get a good spot to sit on the steps. Also, there is no charge for this Museum."
11,5.0,A beautiful interactive display of history that gives you opportunity to understand the importance of what it means to fight for your freedom. War is scary but this gives the opportunity to be guided through history to understand the changes and development of people during the sone of worst decades in world history. To see war bring together the most unlikely and war torn countries together to fight for the freedom of others and rebuilding of others. It’s an amazing.
12,4.0,"We came after lunch to the War Memorial. It has excellent programs that explain the war and the international coalition that brought the North Korean-Russian-Chinese forces to armistice. There are lots of details for those who love details and it is easy to choose what to focus on and what to pass on. There is lots of English interpretation, unlike some other museums in Korea, and many beautiful sculptural tributes to the many soldiers who gave their lives. Korea lost just over 170,000 soldiers and God knows how many civilians. Just over 10,000 Americans died. There is no entry fee, there are a number of good video programs and there is a coffee shop if you suffer from museum eyes after a while. For Americans especially I think this is a good way to understand something of the very special bond that exists between Koreans and Americans. One thing it could do better is to illustrate the cultural rifts between North and South that existed for centuries before the conflict. This dividing line is not just a creature of the Cold War. Coming during the week would be a good idea. We were there on a Thursday afternoon and found plentiful parking. I'd certainly go again."
13,5.0,Fantastic museum. Well worth a visit. You need a few hours to have a good look. Very easy to get to on the subway.
14,5.0,Spent a few hours at the large free memorial.   Amazing collection of items from the war.  The largest I have ever seen at a single museum on the war.  Provides detailed history of the conflict between North and South Korea.
15,1.0,"Well....it definitely IS a WAR museum. I found it simply obnoxious. We were led into a movie play which encountered me to be more like a counter strike video game. It was a 4d movie! Sitting there and watching the invasion of Incheon through a soldiers eye.... ok.... not my idea of a „war museum“(that is supposed to be dealing with the terror of war)..... but when these soldiers started to fire at their own -but north- korean people I was just simply shocked. I have never ever seen such an impiety before. It all reached its peak when some american tourists wanted to start clapping at the end of the „show“. But they wouldn’t dare to as we all looked shocked and pissed and wouldn’t want to clap. The rest of this museum is ok but it rarely displays the terror of war, it even more glorifies it. It took me a few days to get rid of this disgusted feeling when I left the museum. It’s more like US Propaganda."
16,4.0,"It was the first time I saw war weapons, aircraft, war ship and tankers used during the war. Very informative visit."
17,5.0,"I visited this museum and spent good 5+ hours touring around. They have exhaustive materials on war history, literally from the very beginning. The Korean war materials were very sobering as well as educational. Make sure the check outside yard for their extensive collection of war equipments!"
18,5.0,"I visited with my friend from Australia. He didn't have any knowledge of South Korea. I thought this place just explain about weapon or flight of war something ... I have been there, but I didn't remember well. And I knew I was totally wrong. we had 5 hour there but it was not enough time for see there. Long Long time ago Korea had war and war again a lot too many time. so if you know the war of Korea you will know about Korea history, nationality, geography ... it was my best part of trip. don't think too much Just go there and see about Korea. Never disappointed you !"
19,5.0,"I’ve been to many number of war memorials and military museums: this takes the cake. Huge collection of both Western and Soviet vehicles (tanks and aircraft) outside.The inside of the war memorial is touching, and appropriately conveys the loss of life in the Korean War.It is also one of the few governments attractions that is free. A must."
20,5.0,We stumbled upon this on a rainy afternoon when looking for something to do in the area. We arrived late afternoon to find it filled with School children but they soon left. The outside was filled with war vechicles such as tanks and planes and you can easily wander between them getting very close. The inside was spacious and set out nicely. There are lots of war rooms telling the complete history of Korea and war history. Everything is written in English as well and all the films have an English option. We couldn’t believe the musuem was free! Thoroughly impressed and educated now.
21,5.0,"Beautiful grounds and building. Outdoor full of planes, tanks etc. For children and adults to climb. The museum is one of the best I’ve been to. Must see !"
22,5.0,"While in Seoul, South Korea, I had the opportunity, and yes I consider it to have been a real honor, to visit three of the Korean War memorials here in the greater Seoul Metro Area. My visits provided me with some valuable insights into the Korean War that began on June the 25th 1950.Two of the memorials that I visited were the UN FORCES FIRST BATTLE MEMORIAL located in Osan and THE MEMORIAL HALL OF THE INCHEON LANDING OPERATION located in Incheon.The War Memorial of Korea here in Seoul is easily, far-and-away, the largest of the three Korean War memorials that I have seen and visited while in Seoul. It is absolutely enormous. To do it justice, a visit would take a full day and even that would be a push. I feel that I saw perhaps 40% of it and that was accomplished during two separate visits that were several days apart.Which leads me to this comment : IF you are handicapped and have difficulty walking, you may want to take the size of The War Memorial of Korea into consideration. IF you have a wheel chair you will be in great shape. IF not, there are ample places to sit and to rest. There can be no question that IF you have an interest in the Korean War, this is an absolute must-see attraction."
23,4.0,It will take you 4-5 hrs to tour this big museum and see the rich history of Korean War.  Restaurants and other food establishments are few meters away.  Bring small snacks just in case.
24,4.0,"I went the day after Chinese New Year, but it was closed, so I was able to go for a couple hours before my flight home.  The museum was very informative and provided a great insight into the history and how the war started and the role of the UN forces.  Upon entering, I was greeted by what turned out to be an English speaking guide.  He was very informative, but I had to part and rush through the remaining exhibits to catch my flight out.  Otherwise, I'd probably spend another couple hours there.  Highly recommended."
25,5.0,"Probably best to visit this museum a few times to give all the exhibitions the time they deserve. If you are into Korean history, be sure to visit this place. Also good to get background information about historical sites you might visit. (Like Hwaseong fortess in Suwon)The Korean War Memorial is beautiful."
26,5.0,Take time to view all of the static displays outside and the amazing displays inside.  We spent three hours here and could have stayed the entire day.  This museum is a must visit for everyone coming to Seoul.  It is very well done.
27,4.0,"Very good museum to visit, mainly focusing on Korean War history. It is located in Yongsan-gu, Seoul. Entry is free. The war memorial building has many exhibition rooms and an outdoor exhibition centre. There are nice displays of planes, tanks, and other military equipment. You will find a detailed explanation of Korean War history throughout the museum."
28,5.0,At first I taught that it just like a normally boring museum.  But its not...its a great museum to learn about the war of Korea. The outdoor itself so attractive with so many planes and ships. Indoor also good place to learn more about what occurred during the war in Korea.  Not regret visited the War Memorial of Korea.  Everyone enjoy the place.
29,5.0,"The grounds of of the museum are huge and beautiful. You can see Seoul Tower from the outside exhibits. Very educational in an interesting and intriguing way. All information available in english. fascinating exhibits. Best to go on a day that it isn't raining so you can enjoy the exhibits that are outside. Suggested time spent here, 2+ hours"
30,3.0,Good alternative in addition to other tourist spots in Seoul. There is an outdoor area which holds memorial monuments and also display various tanks and planes that were used in the war. Great place to learn about the history of the Korean War. Be sure to visit the 4D simulator to get a glimpse of what it was like during the war.
31,5.0,I really enjoyed the War Memorial because it covered the various wars and not just the Korean War. It included all wars where Koreas were involved and it has been done very respectfully. Definitely worth a visit if you're in Seoul. The outdoor exhibition on all the planes is also amazing.
32,4.0,"Interesting museum with a lot of information and military equipment used in real life inside. Museum has both closed and open spaces. Open space is an exhibition of many military planes, boats, weapons and vehicles. It is better to visit on such a day that weather conditions allow to stay outside long time."
33,5.0,"If you only had enough time to do one thing in Seoul, this should be it. We found this place unexpectedly moving. It does have the most massive display of military equipment I have ever seen in one place, but the overarching theme is one of gratitude to every country that helped South Korea in this war, and also that war is a horrible thing. A lot of displays focused on the impact this war had on families of all countries. The museum covers military artifacts and uniforms all the way back to prehistoric times, which was a bonus. This museum is very well thought out and again, pays great respect to all countries involved in the war. There are hands on displays for kids (mini castle to walk around in, many military vehicles can be boarded). Several films are available on demand to be seen in several languages, including English. Very impressive museum, and I don't give that compliment lightly. Don't miss. Admission free. Cafeteria and gift shop."
34,4.0,"Lots of old aircrafts, tanks and a war ship.  They did great on remembering the heroes who fought in this war.  The plan was to stay an hour but took us 2 hours. Time flies when one is enjoying.  The best museum I’ve been to yet."
35,5.0,"We recommend this museum to all of our friends who visit us in Korea.  It has so much information about the Korean war as well as a huge range of military tanks, planes and even a boat outside.  It's great for the whole family, although the kids did get a bit bored inside.  The building is vast and so beautifully set out, that even just walking around it is interesting."
36,5.0,Especially enjoyed the section regarding the Korean War. I wish I had done a little research about other Wars as I didn't realize Korea has been involved with so many wars in the past.
37,5.0,I didn't look at pics or read reviews prior to going and was pleasantly surprised by the detailed history lesson that was presented. I spent many hours here. Thoroughly enjoyable if not sobering.
38,5.0,"This is a huge museum that goes through Korea’s military history from the Middle Ages until modern times. Outside there is a large area to check out airplanes, tanks, helicopters, and even a ship."
39,4.0,"Don’t need too long there but try get an english speaking guide. They will take a group through the museum. They have some really cool things from the war scattered around the museum. Outside they have Korean and US planes. Some real, some replicas (I believe). Don’t need too much longer than 3-4 hours so it’s a good half day"
40,4.0,"Stumbled across this as it was right next to our hostel so took a wander through.Lovely statues and imagery, good explanations in English, really made you think. I think my dad would have loved the tanks/planes etc behind - anyone who's into that kind of thing (as well as Korean history ofc) should definitely take a look!"
41,5.0,This place is also know as War memorial and museum as it contains all the relics and records related to the many wars fought in the country. It’s really nice that they have the flags placed around the entrance of all the various countries that helped them during the war.
42,5.0,"I'm a history buff, but to visit the War Memorial of Korea was a really cool experience. I do recommend that you go early, as soon as they open. They have lots of field trips for kids here and it gets busy and very loud. Very informative of the Korean and Allied war efforts on the Korean Peninsula during that time and beyond. Again, it's a must visit if you have a few hours to spare. But leave yourself plenty of time to check out all 3 floors of the museum to include all of the aircraft and war machinery outside."
43,5.0,This war museum in Seoul South Korea was such a great experience!I went there in December 2015 on a business trip & I was amazed at how well put together the exhibits are. A few of them are audio-visual & interactive. They do a great job at educating foreigners like myself & locals alike of this trying time in South Korean history.Definitely recommended to go there at least once
44,5.0,"I’ve been to many war museums and I have to say that the War Memorial of Korea is the best. Lots of statues/monuments and army vehicles outside including a very interesting area for Korean children about surviving a chemical, nuclear or biological attack.  It was under the monument with the statues around it and I don’t think we were supposed to go in as the staff looked slightly shocked to see us.  Of course it has its fair share of propaganda but it charts the history of Korea from the beginning to present day. There’s not much on the current North/South Korea issues. Most of the displays have an English translation and the videos could be accessed in English by pressing a button. No audio guides and the QR information code didn’t seem to be working. I went expecting to spend about an hour but ended up staying for 3.5 hours!!"
45,4.0,This is a good place to find out more about the korean war and the history behind it. It was a nice place to be for a few hrs to hide away from the hot sun.
46,3.0,"I didnt find this place very interesting, compared to other similar places that I have visited in the past."
47,4.0,Went with friend to this museum. The museum is so big and informative. I love how they keep tracking al their heroes.
48,5.0,"This museum is beautifully presented and a guided tour is a must. The guide will give a detailed description of South Koreas invasion by the north and its visually stunning and thought provoking. There is a large area outside full of tanks, airplanes, a ship , helicopters and missiles that you can get up close to. No entry fee and a very detailed FREE book awaits you as you arrive. Incredibly impressed with this museum and it has lots of areas centred around youngsters as well. Great for all ages"
49,4.0,"I visit this place only exploring the outside of building. It is a very nice park and we can see a lot of war vehicle such as war ship, war airplane, etc."
50,5.0,"I am not a huge history buff, but this memorial/museum is extremely well done and informative.  The memorial statues are well done, the old tanks and planes interesting to see, and the museum gave me a concise overview of the Korean war and history.  You can only shop and eat so much in Seoul.  Take an hour or two and stop by this memorial, you won't regret it!  Bonus, it's free!"
51,5.0,"I knew very little about the history of Korea before visiting this museum. But after a few hours walking around the exhibits, I left with a good understanding the how the country got to where it is and where it fits in historically with it's neighbors (Japan, China, Russia, etc.). It not only explains the Korean War but also several dynasties of rule, war and development. Definitely worth a few hour visit."
52,5.0,"Great deal of work and details have been put into creating/organizing and managing the place. Awesome pieces and collection in the exibition, the outdoor collection if old aircrfats, tanks and flank guns and other military equipments from the korean war is a delight to see.And its Free Free Free"
53,5.0,"I got myself to learn tons of new things here about history of Korea , so tremendous and sacred site"
54,5.0,"One of the initial rooms resembles a starry night, with a pensive in the middle. I found it moving, and it set the tone for the rest of the visit. Of course, the museum captures the spirit of the combined actions taken to keep the Republic Of Korea free in the face of tyrants during the 1950's, but the older wars are equally well represented."
