,title,text
0,5.0,"Nice place for tourist,  some tourist also wear there hanbok while visiting here. Also perfect for photo."
1,5.0,"I decided to visit the museum at the last minute and it ended up being the highlight of my visit to Seoul.One floor was about Korean military history up to the Korean War and another floor was focussed on the Korean War. The displays and commentary were perfect - they gave enough detail without overloading you with information. It was very, very well done.Inside and outside of the museum there were displays of military equipment from both sides of the conflict."
2,5.0,"I've never seen a war museum with such a big set up. Walked around for a few hours to see everything. The tanks, airplanes, helicopters outside are amazing and lots of history and displays inside. Also lots of videos available in English or with English subs."
3,5.0,11am and 2om English tour is a MUST! It is an amazing museum but it was made memorable with the story telling and explanation from the tour guide. I truly enjoyed my visit and I wish I have taken the guide at every museum I visit in Korea!  Btw the guide is only for the 2nd
4,5.0,Most notable is the section on the Korean War. We hope it doesn't happen again. Also for the new generations of Koreans to remember the sacrifice other nations gave to preserve their democracy.
5,4.0,"Super interesting museum about Koreas wars. Not only the Korean War, but also some before it. The only thing is that if you go alone, without audioguide or guide, you won’t understand much, since 95% of the things are in Korean."
6,5.0,"Wow !  Was totally surprised when I visited the War Museum of Korea.   Amazing history of the country from the beginnings of time.  A lot of detail, military weapons , dress and history.   Very nicely displayed.  Recommend for the history enthusiast."
7,5.0,A must place to visit if you want to know more about what happened before and during the Korean war. Quite moving displays and a lot of information given. All Allied countries who joined in this war (including the Philippines) are also honored in this museum.The military history of Korea is also displayed here.
8,5.0,38th parallel means more with the museumthe flags reminded me of the unity behind any Olympics go thru the comparison between the north and south armaments before the u.n. intervened.  massacres. surprise attacks.  and the similarities with the Vietnam war.
9,5.0,"The exhibitions were interesting. They open until 10 pm every Tuesday. Don't miss the 4D show on 2nd floor. Very easy to come here, just take the sybway to Samgakji Station, Exit 12."
10,4.0,"A must see for military history buffs, take you through centuries of Korean history, with a entire floor and a half dedicated to Korean War."
11,4.0,Interesting War Memorial even I prefer some other time instead of the Korean War.But really organized and well presented and well served by busses and others public services.You can enjoy your visit.
12,4.0,"This was a really interesting visit, especially for someone like me who wasn't familiar with the situation in Korea prior to The Korean War. You could spend hours at this place as there's not only the indoor exhibition hall but stuff to see outdoor (eg memorial, planes/submarines)."
13,4.0,"This is a great place to understand the history of Korea, dating right back to 900BC! Entry is free. You can get here via Samjaki station and you enter on the South side.One full days itinerary could be:1. Was memorial2. National Museum of Korea3. Ichon Hangang riverside park4. Seoul national cemetery"
14,5.0,This is a 3F museum with history inside and outside with the inside including history from the dawn of the korean people to the current day practically after the separation of the two Koreas. There is so much information I didnt see it all. Outside there are flags for each country that helped South Korea in the war against the communists and inside includes info on the communist allies China and Russia under stalin. The outdoor exhibits include old war vehicles and giant statues and reliefs of people / soldiers. I can't express what's really inside except that it is a really informative memorial/museum. Entry is free. Lockers provided and a cafe inside.
15,5.0,"Seoul has many state funded museums and forms the ones I've visited or know of, all are well presented. It seems little is spared to put on a hood, high quality show. The National War Museum is no different. It showcases her military history from the earliest period up to the Korean War. You'd be surprised that Korea is not the doormat people perceive. But a proud and sophicated nation. There are things on display that you would not expect and not mentioned in books elsewhere. I've seen pictures of the turtle boat, but to sea in person is a nice experience. Yes is a scaled replica, but it's still impressive. There is also the large outdoor display. With a number of Korean War period planes and tanks. Also other retired items of hardware. You'd have to pay good money to see this elsewhere, but all free in Seoul. There is a B52 bomber, which is smaller than I thought. At the time of my visit, done halls and the outdoor display was closed off for maintenance. There are plenty of toilets, most displays have English and I suppose the only let down is that the giftshop. You can spend a fair few hours here."
16,4.0,"Visited here for two hours and I wish I’d been able to spend more time. Very impressive memorial with lots of displays covering centuries of conflict on the Korean Peninsula. Goes well back in time, not just focusing on the Korean War. Great displays everywhere."
17,5.0,"Sadly, Korea's history has been marred with warfare over the centuries.  But this museum is a great collection of this history with artifacts, interactive displays, and panoramas that take the visitor to some of these battles.  Also interesting to note are some of displays on the modern ROK military which is one of the strongest in the world.  The vastness of the museums reminds me of the Museum of the Great Patriotic War (WWII) in Moscow."
18,5.0,"Huge collection, spanning early Korean history to most recent conflict in the Gulf.  As expected, there is a significant focus on the Korean War, but there is much, much more.  The outdoor exhibits are extensive, including a B52D from the Vietnam War.  The memorials are particularly meaningful  and well done.  There are many interactive exhibits, and plenty of English signage. This is easily a half-day visit, especially if you are interested in military conflict and Korean history.  Provides great imsight to military history on the Korean Peninsula.  Free entry. Easily the best war museum and memorial I have visited."
19,5.0,"Excellent, very educational place to visit. Free admission. Be prepared to spend about 3 hours there. It is about 5 to 10 minutes from the subway station. The signage at the subway station exit is not so clear though, can certainly be improved. The museum is huge. At the lawn outside, there are exhibits of planes and a replica of a submarine. Inside the museum there are lots of war relics and artifacts along with informational/educational descriptions.Poignant/touching/chilling moments for me: (1) the Statue of Brothers, depicting 2 brothers hugging each other, who fought for the opposite sides (as South Korea vs. North Korea soldiers); (2) the inscribed near the main entrance that said “if you want peace, remember war”; (3) strolling through the Memorial Hall honoring the Korean war soldiers. In the UN soldiers section, names of USA soldiers far outnumbered those of other countries. It said that is a copy of the Washington DC’s Korean War Memorial. I don’t quite remember if I saw that during my DC visit, so those who have recollections of both places can perhaps comment."
20,5.0,"For most of us who are uninitiated about the Korean War, you mostly think of it as a US war like Vietnam. However the War Memorial of Korea really open your eyes that it involved the UN and China.The museum doesn't just focus on the Korean war - it highlights how Korea fought in wars during the ancient days, and its involvement in modern day conflicts. I joined a free guided tour in the morning. Although the tour guide's English was quite accented, he was very enthusiastic about what he was talking about."
