,title,text
0,5.0,"We had such a great time here. There is an App you download when you go in which brings the place to life. We had so much fun taking videos and pictures and there is even an opportunity to get your portrait done as an oil painting, which was a great keepsake to take home. A great tip for couples, take a tripod so you can get shots of both of you!"
1,2.0,An overated and expensive museum.Disgusting toilets. The ice room was cold and smelly.There are some very funny parts though...
2,4.0,Had a lot of fun and took some crazy pics. There were indeed some eye bending displays that wow'd me. Was definitely worth it for me.
3,1.0,"I’m not sure why this place has received so many positive reviews. It’s a gimmicky place that is reminiscent of a Fun House at a County Fair. However, it is not at all suitable for children."
4,5.0,"The trip to the Love and Trick Eye Museum made me and my friends laugh the most. It was fun trying out the different illusions in each museum. And both museums have suggestions on the sides on how to pose and markings on where to stand to make sure you take the best pictures possible. However, the love museum is definitely for adults only. But the trick eye museum and ice museum is for practically anybody! It was really cold inside the ice museum so I suggest bringing something warm to wear if you want to last longer than 10 minutes in there. Overall 10/10 would recommend."
5,5.0,"I went to the Trick eye museum with a few of my friends. Trying the different poses was surprisingly fun. I had always wanted to try the height illusion and had a blast seeing the pictures of the illusions. Of course finding the right position takes some work but they have some example pictures on the wall that make it easier. The moon landscape was so beautiful, those pictures came out so pretty. We also did two of the virtual reality games and that was so fun. We all had a good laugh. 10/10 I recommend.The love and ice museum are also in the same building so we did those too and I was pleasantly surprised. Ice museum was really cold so we didnt last long in there but going down the ice slide was fun. And the love museum was a laugh but definitely for adults only 😂. Overall, had a great time."
6,5.0,There’s so many backgrounds to take pictures on so no doubt you’ll get great pictures. They even have certain place marks to stand on to get the best picture and to truly capture the illusion. It was a great opportunity to get some fun pictures with my friends. Highly recommend!
7,5.0,트릭아이 인생샷~!!!!친구랑같이 같는데 엄청 이쁜 포토존 많고 커플들도  찍을수 있는 곳도 많고 돋보이게 혼자 찍는 곳도 아주 재밌거나 이뻐요 .나와서 있는 VR은 방탄(BTS)도 탄거 같에요!! Trick Eye's life shot!I'm with my friend. There are so many pretty photo zones. I think we're on BTS too!I prefer 100%
8,4.0,"This is a place for selfie lovers, photographers... the technology is really cool to experience, can get a little frustrating as some people walk into your frame right as your about to take the pic. Note the ice section is absolutely freezing and very small. I was in and out of there in 3 minutes. You are required to download an app that allows you to experience the AR.Be sure to bring a power bank because omg, it drains your battery...."
9,4.0,"For $11 per person this was a fun experience. We got some pretty memorable photos, probably our favorite on the trip. Worth checking out if you're in the area."
10,3.0,"The visit was very interesting, some optical illusions were quite impressive and funny. However, you need to download the museum's app to use the proper camera inside ; it makes your phone heat up and lose battery quickly. I would recommend going right at the opening hour or during lunch because the rooms get crowded easily and it doesn't help you to make the most of the exhibit.Tip: we bought a ticket that included the entrance to the Trick Eye exhibit, the Ice Exhibit and the ""Beauty Inside"" exhibit - it's worth it!"
11,5.0,"I had a great time with my friends in the museum. I recommended them to go for taking photos and there is still the supermoon that can take beautiful picture. Friends were surprised to see the AR effect in the APP and it's new to my friends. Also, new corner is added near supermoon which can take pretty photos too."
12,5.0,Your ticket gets you access to the truck eye museum and the ice museum. After downloading their app 2-d paintings have 3-d movements. It was a lot of fun
