,title,text
0,5.0,"Visit the park on Apr 3, Sakura almost get flower, nearby the main river of Seoul. Easy to have beautiful pictures"
1,4.0,"Do pop by if you are nearby, otherwise I don't think it's worth it to come here. Went when cherry blossoms were in bloom, but there are many other places to view cherry blossoms as well. Overall a nice place for a stroll but only if you are nearby."
2,5.0,"This park and area are famous within the locals and tourist. Especially when I came here during cherry blossom season, better to come early to enjoy cherry blossom. This area is quite large. Can enjoy the city view, hangang river, nice weather, and picnics with your friends. I walk more further from Yeouido Hangang Park to see cherry blossom and i found the area that is really beautiful and enjoyable. Also there are some street food stall near the park. I love to spend some time here to relaxing my soul. And I think, during sunset time will be nice too even we can't see the sunset from this park."
3,5.0,"A night walk after dinner around Yeouido park ~Wonderful place with nice cherry blossom 🌸 view , cooling surrounding and nice scenery view!Lucky me ☺️ there are full of cherry  blossom and drama/movie taking just around it ~ Running man Jeon so-min just finish her part and leaving in front of me ~ so regret that I can’t had a chance to take photograph with her 😩"
4,3.0,I went there on 3apr2019.. the weather still around 9 to 10 degree celcius in yeouido hangang park And the flowers still hadnt fully blooming yet
5,5.0,"This is a huge park in Yeouido.One of the best parks to ride a bicycle in Seoul. And REALLY famous for cherry blossoms. So, if you don't want to mess with crowds, stay away on cherry blossom weekends."
6,5.0,"if you live nearby this park in cherry blossom season then do not skip this place.  it was really beautiful visit during March/April this year (2018).  enjoyed the beautiful trees. it looks more beautiful in nature than it look in pictures. no much things to do. just for walking and relaxing with family.  there is a small market for quick bite.  also, there is a huge open yard for playing around.  also, there is a street nearby full of cherry blossom trees.  i loved it during this season.  other seasons i am not sure how it looks."
7,4.0,"I swear by Yeouido Park because it has .. LAWNS!! These are very rare in central Seoul, but at Yeouido Park you can spread out a blanket and have a picnic in several spots. Even more, you can ride a bike along the shady perimeter circular route (or walk/jog if that's your thing). It's squeaky clean, has lots of big old trees for shade, and miraculously keeps out most of the car noise from the outside world. Once you get in to this rectangular little oasis, you really get refreshed."
8,5.0,"We visited Seoul in April this year to mainly watch cherry blossoms at this park. The park is beautiful and large. There are many things to see in this park, including hundreds of cherry trees in the park, as well as on the streets circling the park.Even if we missed the Spring Flower Festival (being deferred to later days) when we were there in the first week of April, we enjoyed our walk around the park. We also enjoyed the walk along the Han River next to the park. The walk is lined with many street vendors selling local foods."
9,4.0,We were there for the Spring Flower Festival.  It's quite crowded and there're performance on the street.Walking along the park with this beautiful scene is very relaxing. We aligned at National Assembly Station and took a short walk to the park.
10,5.0,Great place to view cherry blossoms as the road is lined with thousands of cherry trees on either side. We visited one day before the festival started and could drive through the entire stretch. Excellent place to enjoy cherry blossoms in Seoul.
11,5.0,"4 subway stations are around Yeouido-dong.  More restaurants, cafe can be found at the road side ""Gukhoe-daero 68/70-gil"" near the National Assembly station.  The atmosphere on weekdays and weekend are different.  But restaurants many closed on Sunday.Travel around early to mid-April is the best Cherry Blossom season at Seoul.  Yeouido Park is one of the most popular destinations for viewing cherry blossoms.  Recommended to travel during the cherry blossom festival at night time."
12,4.0,"Nice park, large playground at central Plaza then followed by a nice stroll along lush of greens and trees, also flowers. You don't feel your are in the city center."
13,5.0,"Many cherry blossom trees are planted on the bank surrounding Yeouido. Every spring cherry blossoms burst their flower bud. Yeouido Cherry Blossoms Festival is being held from April 7. to 12 this year. The Elementary Local Self-Government, Youngdeungpo-Gu is providing many programs. Although I know the bank surrounding Yeouido is called Yoon Joong-Ro, I write just a review about Yeouido Park because the bank surrounding Yeouido can't be searched exactly."
14,5.0,"Best time to go today or this week, sunny days. Nice weather. Lots of Cherry Blossom. Most are white colour, only few are pink"
15,4.0,Good place to relax and spent with kid. Bicycle rental is available and few stall of street food available.
16,4.0,"This park has a lot of facilities, not only for kids but also for adults and seniors. We visited this park on cold sunny day.This park was nice enough to walk around. The pond was frozen with leaves in it. In the middle of the park, there was King Sejong statue."
