,name,big sortig,small sorting,address
0,Gyeongbokgung Palace,Sights & Landmarks,Museums,"161 Sajik-ro, Jongno-gu, Seoul South Korea"
1,Bukhansan National Park,Nature & Parks,National Parks,"262, Bogungmun-ro, Seongbuk-gu, Seoul 02700 South Korea"
2,Myeongdong Shopping Street,Sights & Landmarks,Points of Interest & Landmarks,
3,Changdeokgung Palace,Sights & Landmarks,Nature & Parks,"99, Yulgok-ro, Jongno-gu, Seoul 03072 South Korea"
4,The War Memorial of Korea,Museums,Military Museums,"29, Itaewon-ro, Yongsan-gu, Seoul 04353 South Korea"
5,National Museum of Korea,Museums,History Museums,"137 Seobinggo-ro, Yongsan-gu, Seoul 04383 South Korea"
6,Insadong,Sights & Landmarks,Neighborhoods,"Insa-dong, Jongno-gu, Seoul South Korea"
7,Trickeye Museum Seoul,Museums,Specialty Museums,"20, Hongik-ro 3-gil, Mapo-gu Seogyo Plaza B2, Seoul 04039 South Korea"
8,Lotte World Tower & Mall,Sights & Landmarks,Shopping,"300, Olympic-ro, Songpa-gu 117-123F, Lotte World Tower, Seoul 05551 South Korea"
9,KTX (Korea Train Express),Transportation,Mass Transportation Systems,
10,Seoul Metro,Transportation,Mass Transportation Systems,
11,Hangang Park,Nature & Parks,,Seoul South Korea
12,N Seoul Tower,Sights & Landmarks,Lookouts,"105, Namsangongwon-gil, Yongsan-gu, Seoul 04340 South Korea"
13,Namsan Park,Nature & Parks,Gardens,
14,Myeongdong NANTA Theater,Concerts & Shows,Theaters,
15,Cheonggyecheon Stream,Nature & Parks,Sights & Landmarks,Seoul South Korea
16,Jogyesa Temple,Sights & Landmarks,Monuments & Statues,"45 Gyeonji-dong, Jongno-gu, Seoul 110-170 South Korea"
17,Bongeunsa Temple,Sights & Landmarks,Points of Interest & Landmarks,"73 Samseong-dong, Gangnam-gu, Seoul 135-090 South Korea"
18,Haneul Park,Nature & Parks,,
19,Bukchon Hanok Village,Sights & Landmarks,Neighborhoods,
20,Hongik University Street,Sights & Landmarks,Points of Interest & Landmarks,"Seogyo-dong, Seoul South Korea"
21,Ewha Womans University,Sights & Landmarks,Universities & Schools,
22,Dongdaemun Design Plaza (DDP),Sights & Landmarks,Architectural Buildings,
23,Starfield Library,Traveler Resources,Libraries,"513, Yeongdong-daero, Gangnam-gu Starfield COEX Mall, Seoul 06164 South Korea"
24,Kwangjang Market,Sights & Landmarks,Shopping,"88, Changgyeonggung-ro, Jongno-gu, Seoul 03195 South Korea"
25,Love Museum,Museums,Specialty Museums,"20, Hongik-ro 3-gil, Mapo-gu B1 Seogyo Plaza, Seoul 04039 South Korea"
26,Seoul Forest,Nature & Parks,Fun & Games,
27,Yeouido Hangang Park,Nature & Parks,,
28,Leeum Samsung Museum of Art,Museums,Art Museums,
29,Seoul Sky,Sights & Landmarks,Observation Decks & Towers,"300, Olympic-ro, Songpa-gu Lotte World Tower 117-123F, Seoul 05551 South Korea"
