,star_point,title,text,Date of experience
0,3.0,nothing special,just a tall building in a residential area. not worth visiting in itself. the restaurants and attractions are mostly intended for families in the area., February 2020
1,4.0,City Views,"Had lunch on 59th floor, outstanding views of the the city. Enjoyable buffet lunch well presented, professional staff.", October 2019
2,3.0,Great Views,"Stopped by here as it was along my travel plans for the day.  The building is striking from the outside and in... a little pricy for the overall experience.  The exterior elevators are quite thrilling for one with a great respect for heights.  It was a bit of a challenge to find the actual entrance to the building/activities and it was quite crowded on the weekend I visited.  As mentioned, it was along the travel route I had planned for the day and thought it would be nice to visit the Art Gallery (happened be to the show ""With My Friends"" geared toward children and how children interact with their environment - actually quite charming).  Not sure that I would go back unless there were a particular event to attend or art show to see.  City views are available in other locations...", April 2019
3,3.0,Just a tall building,"I don't know what I was expecting but this was just another modern building. The area is great though, so if you are in a position like me where you're travel buddy wants to visit, you can combine it with a nice walk by the river :)", August 2018
4,3.0,63 City,Took a 10-15 mins walk from the Yeoinaru station. First went to the aquarium but the place as smaller than expected. I would say not worth the price if you are not interested in sea creatures. The observatory and art museum was worth the time there as it overlooks the whole of S.Korea.Tip: I left 63 city around 7 and walked past the Han river towards Yeoinaru station and there was a great view there since there was a great sunset., July 2019
5,4.0,Worth a visit for the view,"This site is listed as a should do, so we did. We travelled by Metro to the Yeoinaru Station and took a ten minute walk to the building.The visit to the building is free when you purchase a Seoul Tourist Pass, otherwise entry to the 60th Floor viewing floor plus Art Gallery, and the aquarium in the basement costs 25000₩, I think.It was very quiet on the Tuesday of our visit. No crowds and we certainly enjoyed the view of the city and the river Han plus the numerous bridges crossing the river. The Art Gallery on that 60th Floor is interesting and ""easy to interpret"", with several focus on young children.The aquarium in the basement was not huge, with a good collection of sea life. The mermaid swim show at the end of the walk in the aquarium certainly got a lot of the children's attention.", March 2019
6,4.0,63 CITY= 100 SCORE,"63 building in the highest building in my country, so people want to visit there, and after they visited, they always shocked because of the hight of the building. It was awesome!", September 2018
7,4.0,Worth the views,"It overlooks the Hangang river and as the name suggests, it has 63 floors - and is the tallest and most recognisable building in Korea. It is not just a tall building and houses attractions such as Seaworld and an observatory on the 60th floor.", August 2018
8,5.0,Great view on the top.,You can see Han River from the top.There us an aquarium in the basement. It's not so big but there is a mermaid show., May 2018
9,5.0,Beautiful scene,The night view at here is quite great. it is a wonderful experience stay in 63 tower for 1~2 hour. Very convenient to visit there by taking the subway or bus. You can go there at night when after dinner., February 2018
10,4.0,Worth one time visit,I visited twice. The view from the top is great. You can see Namsan Tower in the distance and the new Lotte Tower. That helps you realize how big Seoul is. Huge. It's an iconic building in Seoul so one should visit while in Seoul., July 2017
11,3.0,for a rainy day,"I didn't now what to expect. There are not so much inside to do. We've been there on a rainy day. The galleria was closed. We visited the aquarium aqua planet which is nice and artifully displayed but it is more for small children. The aquarium is relatively small. Shops were not very interesting. At sunset, the 63 building is shimmering with the sun (this was not at this rainy day). So it is better to see it from outside.", July 2016
12,5.0,Great view of the city,Seoul is a huge city and this building allows for a great view of it along the river. This is well worth a visit., April 2017
13,3.0,Tall building,"63 Square is one of the tallest buildings in Seoul. It is also a cultural complex. It has 63 Art observatory, museum, and Aqua Planet. The night view of Seoul from 63 Art, the highest gallery in the world is outstanding!!63 Art Galleria.... 13,000 won. Aqua Planet 23,000 won. Since 90% of the museum in Seoul are FREE and minimal admission fee for the palace. For the galleria and aquarium... 13,000 won and 23, 000 won is a little bit pricey. Subway Line 5, Yeouinaru Station, Exit 4", October 2016
14,4.0,The tallest building in Korea,"This is a very popular atraction in Seoul. It has an elevator which takes you to the roof, where there is an observatory. The city view from there is wonderful. At the ground floor there are many restaurants with good options of different kind of food.", February 2017
15,3.0,Nothing special,Nothing really special at 63 City. There is a Duty Free Shop there where tourists were brought there by tourist buses., February 2017
16,5.0,Awesome View!,"We went up to the top of the 63 building only to find buildings, buildings, and more buildings. There were so much condominiums and it was a bit hazy due to the smog but it was a really awesome view. There is a small coffee shop so you can rest a bit. There is also a small gift shop to buy little gifts.", June 2016
17,5.0,63,"Amazing view from the top. Restaurants, acuariums, museums and shopping are available inside the building.", September 2016
18,2.0,Not much to do.,"Saw 63 City from a lot of Korean shows so I came here after a walk at Yeouido Hangang Park. Besides from the tall design of the building, there is not a lot to do. There is an aquarium and an art museum inside. Tickets are quite expensive and its crowded with tourists, especially tourists from China. Seriously don't recommend people to come.", August 2016
19,3.0,Only outside,"I visited 63 building only outside...în the park, so i can not Tell so much about this spot. It was the tallest building în Asia în 1985", July 2016
20,4.0,Amazing 63 building city,"This is the first time I travel to Korea and The 63 city buildings was the best with beautiful yellow glass roof, You can relax on the top with a cup of coffee & enjoy amazing view wit winding river HAN and bridges in sunny day.The yellow color of the glass is the feature of the building. 63 building (63 City) is the corporate headquarters of Hanwha, located on the Yeoido island, Seoul capital. 63 building is the world's highest that covered by gold glass.", May 2016
21,1.0,Absolute waste of time,Everything is closed down. Waste of time. Going to other places of attraction would be more worthwhile, June 2016
22,4.0,Nice view from here,"View from this tallest and most recognized building in Korea is much better than fromthe Seoul Tower.Enter via 63 Square, they do charge an entrance fee of 13000 won for adult...There is a cafe where you can sit, relax and enjoy the view.", June 2016
23,5.0,Nice n clean,"I ve stayed in south korea fir two years, i learned korean a bit ,and there was my best period of life. People are so friendly and kind .a very fast growing nation.clean cities and minds. The culture has a big backgroud. I would looove to visit again", July 2015
24,4.0,Fantastic 63building,"Let me tell you about 63building in Seoul.63building is 249m high. You can go there by train, bus and taxi. You can take 6B or 10B bus from Incheon International Airport. It leaves every 1hour. If you want go by train. You can go underground airport than you'll find train station. But you'll arrive there after 1hour.The 63building started to be built in 1985. It took a long time. But many people visit 63building. Because there are many shopping malls, cinemas, an aquarium, restaurants and company offices. But there many expensive stores.What you especially want to see is the fantastic view. It is on the top floor. But it's not cheap too! It is 13,000won. If you go to the top floor you'll see Yeouido city. Also you can go to the Thrill Deck corner. The floor is made of transparent glass. Opposite there is Art Mall corner. There many pictures also the pictures change once a month. I think 63building is very good but it is a little expensive.", December 2015
25,5.0,Amazing Views,"Amazing views from the 63 Building.  Parking was plentiful, people were friendly, lots to see and do but the main attraction is the views from the top, well worth the stay for the sunset and city lights illumination.", August 2015
26,4.0,Cityscape of Seoul,"I always have a soft spot for observation decks and 63 Building's was no exception. Admission was ₩13,000 and it is best to go up in the evening and on a clear day the views will be magnificent. The glass elevator was fun to be in, even though it only lasts for a minute or so.", April 2016
27,3.0,A decently tall building.,"I would rather go to Seoul N Tower which is an outdoor activity while walking up a sprawling park.  I have been to 63 City a few times and have eaten at the Chinese restaurant at the top from reservation only as well.  The tower is located in the middle of Seoul, but best visited after a rainy day else visibility suffers.  It is a great location to see the city and you can see a decent amount around.  I would go with tempered expectations just because of smog and occasional dirty windows.", January 2016
28,3.0,Nice view of Seoul,"I took some friends here who were visiting Seoul for the first time back in January during my extended stay in Seoul. Because the 63 Building/Hanhwa building was featured in a lot of Korean dramas/shows, they had wanted to visit, but I wasn't too impressed. You do get a nice view of Seoul (some of my friends told us after that we should have gone at night, but I'm not sure about the hours or the discrepancy in price), but I just don't think it was worth the admission fee.", January 2016
29,5.0,Popular places to enjoy a magnificent view of Seoul City,"The 63 Buiding (63 City) is located near Hangang Park and  not to forget, Yeoido Park and the well-known television broadcast stations KBS & MBC. From 63 City to Itaewon, it takes not so long for the distance via subway but it way too far walking down from Hangang Park to the subway station. If you are not that prefers to walk, then you could take a cab. But, believe me…it was fascinating to spend times walking since Hangang Park was ready to accompany your way along to the station. I mean, it worth a fresh air even it was afternoon! There are a few different attractions in th building. The main attractions are an aquarium, wax museum, IMAX cinema the lookout on the 60th floor which also doubles as an art museum. You can buy combination tickets to see multiple attractions for a discount. As is so often the case in Korea, you have to grab a queue ticket. Don't be a nonga (like me) and wait in the non-existent line. lol.", May 2015
30,5.0,Who doesn't love views?!,"After walking the River, I saw this building and remembered it from many Korean variety shows I had watched in the past. They offer a foreigner discount which was a pleasant surprise. There was no wait, which was even better. Once we got to the top, it offered great views. No complaints on my end.", September 2015
31,4.0,A great view of Seoul,"As great as the view from N Seoul Tower may be, what you really want to do it view Seoul from the observation floor in 63 Building. The N Seoul Tower provides a great focal point in the city skyline which makes for a better view and better pictures.", January 2015
32,4.0,A wonderful view of Seoul,"Stunning view of the city. It was a nice afternoon spent visiting attractions and browsing the other shops. Eric Kayser bakery is excellent, I particularly liked the green tea cakes.", May 2015
33,4.0,Best view of all of Seoul,"Went there yesterday evening before it got dark.  Just a very slight haze, but we could see probably 15 miles.  The view of the city is just incredible.  I don't know how much the admission was since it was paid buy our tour director, but it was well worth it.", September 2015
34,4.0,"A must-see, but price conscious visitors might take a pass.","The building itself is now fairly old, over 30 years, but it hasn't really aged at old, thanks to its cladding that make it look like it's a gold lingot (especially when the sun in low in the sky). Even more so than for foreigners, it is a veritable symbol of Korea, as one Asia's tallest building, and defined Korea as a rapidly emerging country. The attractions Inside are various (art gallery with observatory, wax museum, aquarium, shopping mall). Apart from the observation deck, the other attractions are ""only"" decent, and there are better wax museums in Northern Seoul - Grévin, better malls in many places -IFC mall also in Yeouido, Times Square...- and better aquarium at COEX or at the Lotte World Tower. So the main reason to visit would be going all the wait up to get a great view, and also enjoy a nice art collection. The view is indeed really nice, and without a doubt the best spot for a panoramic view of the Han river. However, it does come in pricey (20 000 KRW I believe), which might not warrant the price for some people. If you want to come up an equally expensive tower, Namsan Tower might be a bit more iconic, and climbing some mountains in Seoul (Inwangsan, Bugaksan, Gwanaksan, Guryongsan, Namsan) might give you an almost as beautiful spectacle as well, but for free.", October 2014
35,3.0,A normal visit,"I was excited to visit this place when I reached Korea, since a lot of hype from friends of mine, when i got there, this place was just average but since there is a wax museum there and I never went to any Wax museum before, I tot i should give it a bit of points. Other than that, this place is just ok to me.", October 2014
36,4.0,63 Building,"So I've been wanting to see this building in person since I played Sim City when I was a kid.  I'm so happy I finally saw it.  After having lunch at a little bbq joint in Yeouido, I decided to walk to this building.  It was pretty far, it took me about 40 minutes to get here.  Maybe I'm just slow at walking.  But it was well worth it.A lot of stuff inside.  They even have a museum at the top floor.  The stuff in the museum is just ok for me.  I paid for the amazing views not the artwork to be honest.  It was well worth the visit.", April 2015
37,3.0,"Multi attraction building, great views.","This is confusing, so stick with me on this.  The 63 Building also called 63 City is really the Hanhwa Building.  There are no flashing lights advertising 63 Building, so do not look for it.  You will see Hanhwa Building at the top so head in that direction.  You will not see anything referring to ""63"" until you are right in front of the building.  You can take line 1, 5 or 9.  I took line 5, purple line since I was in the Jongno/Insadong area.  I got off at Yeouinaru station, walked for 30 minutes along the waterfront park.  Only after reaching the building and picking up a brochure, did I realize there is a free shuttle from the subway stop.  This is not stated in the guide book.  So, my pain is your gain.  Get off at this same station, take exit 4 and there should be a shuttle stop there.  Line 1, dark blue, get off at Daebang station, exit 6.  This building has an observatory deck which is also an art gallery, Sea World Aquarium, Wax Museum, and IMAX Theater.  I really only wanted the observatory, which was 12,000 won.  Go in main entrance, take a sharp left and walk all the way to the ticket counter.  The views are spectacular, and me and my friend were the only 2 people there and then an Asian family of 4 joined us.  We were the only people there, so I do not think it is that popular, but if you like a non busy uncluttered space you will like it here.  The main floor has many restaurants and coffee shops.  If your time is limited, I personally like N Seoul Tower better.  See my review about it.", June 2015
38,3.0,Nice view,"My wife cousin treated us to a day here, nice little tour great view and the Buffett was super food from everywhere.", March 2014
39,4.0,The best!,We had walked more that 20mins getting to 63 Building from the Daebang Station. Missed our chance to enjoy the IMEX Theatre however the Skydeck is absolutely magnificient. The view of the city and Hangang River at night is simply magnificient., October 2014
40,4.0,Great view - Fish Market is close,"Enjoyed taking in the view up top at 63 City - the art gallery was also a nice touch while seeing the city landscape.  The Fish Market is close, but not walkable - you'll need to take a cab to get there and across the highway.", February 2014
41,4.0,"Art Gallery, 60th floor.","There's not enough information in English, so it may be complicated for those who can't speak basic Korean. I thought we would be able to go to the 63th floor, but apparently we can only reach the 60th one. The view at night is nice, but the internal illumination interferes with the photos so maybe it would be better to visit in the afternoon.", August 2014
42,3.0,Korean Holiday,It was ok but not too impressive.  We went to the sky art gallery that gave access to there observatory.  I wasn't very impressed with the art gallery but the view of Seoul from the bldg observation was impressive. Not bad for $12 per person., August 2014
43,4.0,The View,Going there was accidental. After the river cruise we walked because we couldnt get a taxi. We could see it right away from afar. Decided to go up and have dinner in a japanese restaurant on the top floor. We didnt regret that we went up cause the view was great. We could see the lights around the city. Its the view that sold us out., November 2013
