,star_point,title,text,Date of experience
0,4.0,Not many street light,"Beautiful little stream with people walking and jogging around. However if you go there during the night, it can be a bit scary as the street light is not much in terms of quantity and brightness. But don't worry as local people here are very nice and friendly. It is also", October 2019
1,5.0,great,for decades it was a huge hideous overpass but is now a nice modern park thanks to president lee myung bak. i guess that's an improvement, February 2020
2,5.0,Peaceful little stream...,"Peaceful little stream in the middle of the busy city! There's something that happens when you walk down those steps and get next to the stream. All of a sudden, you're not in a busy city. You're strolling along a peaceful stream. Beautiful spot", September 2019
3,5.0,Love the serenity in the middle of a busy city!,"Very fun detour from the middle of a crowed city.  We were there on New Years Eve so it was quite crowded, however I have been before and it is a nice place for a  break.", January 2020
4,4.0,Cheonggyechon Stream,"We stumbled onto this stream by chance when we were touring the Myeongdong shopping area.  This is a delightful stream that runs about 10 kilometers through pretty much downtown Seoul.  I understand that prior to 2005, the stream was polluted.  So now this area has been cleaned", November 2019
5,5.0,Man made attraction ,It is quite nice man made attraction at the middle of the city. People just walk along the stream enjoying scenery. , January 2020
6,5.0,Great place to take a break and relax,This stream is beautiful and offers a nice reprieve from the hustle of the city. Go at night to see it lit up., January 2020
7,5.0,On the way ,"You won’t miss this if you’re walking from kwangjang market. Pop by for a quick photo, beautiful reflection of the sky in the stream.", January 2020
8,5.0,calming,"in the midst of tall buildings, and city noise, this is a true peaceful oasis, with ti s cute colorful umbrellas and art display installations,and peaceful water sounds. very sweet and beautiful spot.", September 2019
9,3.0,Nice walk along stream...,"We stayed in the Myeongdong shopping area, and walking to the stream was only 5-mins away... north of the Line 2 (green) subway station.  We went there at night after dinner, and it was very tranquil.  There were sections along the stream where you can cross over to the other", January 2020
10,5.0,Lovely walk when the weather is good,"Felt very safe here walking at night. It's a nice date activity. The lights are pretty, and it's a comfortable walk. ", March 2019
11,4.0,Discovering the city of Seoul and its particularities.,"During Christmas time (and New Year time), this area was changed as a new city/world within the city. It's was like enjoying a special moment/time within the real time. Time stopped for a while, the time for appreciating all surrounding and glancing things. Really nice and still", December 2019
12,5.0,amazing,Went at evening to see the lanterns on the stream.  It was breath taking.We took many photos and marvelled at the beauty of the lanterns.  It is a lovely walk also in the day time.  Great to stop along the walk and find a place for food., October 2019
13,4.0,Lovely stroll ,"We took a quick stroll with the kids before sunset, when it gets cold.  The lanterns were not lit up but it was a refreshing quick stroll. I bet it's even lovelier during summer.  One of the more relaxing area in this busy city. ", December 2019
14,5.0,Beautiful!,Clean and well main-maintained stream in the bustling city. A lovely and beautiful place to relax and unwind., November 2019
15,4.0,Nicely decorated ,We visited in the evening of Christmas Day.  There is a lot of people as expected.  The stream is being decorated with beautiful lights. People are taking photos along the way and above at street level.  Unfortunately some rude Korean speaking ladies ruined the evening as they, December 2019
16,3.0,Feedback,"Second time visiting, but first time with my teen so wanted to show her, it was interesting to walk in this stream but we went there at about 6pm and it was pret dark and there was no activity nor christmas nor year end lighting so we didnt stay long and left.", December 2019
17,5.0,Great Oasis in the city ,"Really great place, superbly lit for Xmas. Very popular and thus quite busy. You can walk a good 5km or so and there are a numbee of displays along the way. ", December 2019
18,4.0,Visit at Night,"I like to come here at night as it is always lit up with pretty lanterns and with the water gently flowing it provides a nice distraction and break from the hustle and bustle of the city.   On the roads either side there are a number of coffee shops, restaurants and other points", November 2019
19,3.0,City Stream walk,"I walked almost the complete length and back of the stream. It was winter and during the morning hours so there were few people, no night lighting or street food stalls and alas the plants were not looking their best in the cold. It’s a nice walk, but nothing exceptional. Maybe", December 2019
20,5.0,Winter visit,"It was a nice stroll after food at Kwangjang market, walk all the way to dongdaemun. The kids enjoyed the stroll.", December 2019
21,5.0,Taking a stroll along the stream,"It was having christmas theme, so the stream is decorated accordingly. A good stroll to take after having lunch.", December 2019
22,5.0,Great place to hang out.,A very beautiful place to visit for mind refreshments. Nice place to hang out at the evening. Superb place for photo shoot., October 2019
23,3.0,Just a Stream,Just another stream to me. Maybe i did not spend enough time there. Ok to have a look but nothing to wow about in my opinion., December 2019
24,5.0,The heart and soul of the city!,"I was lucky enough to walk half length of the stream walk of about 16 points/6km. The waterfall at the start of the adventure led to multiple stepping stone crossings from side to side, abundant fish and bird life as well as beautiful trees. Bridge architecture varies at each", November 2019
25,4.0,A nice treatment of a water course,It's a cute and artistic way of making an inevitable water course into a nice attraction.  Maybe not so much in winter when I was there but probably a nice cooling respite from the high-rise buildings all over Myeongdong especially in summer.  I used it as a marker to guide me, November 2019
26,4.0,A natural respite downtown,"I understand this stream is a recent transformation and what a great idea it was.  As it is below street level, the noise and din of the great city is greatly diminished and while walking a portion we saw a heron fishing, catching, and eating a meal of fish.  Way cool.  Very few", November 2019
27,3.0,3/5,pretty average attraction with a proper sidewalk at both banks of the stream for visitors to stroll along, November 2019
28,5.0,Such an urban oasis!,Do find some time to stroll the length of this cool stream that cuts the city. You will feel as though you have detached from the hustle and bustle of the city. Several subway stops will lead you here. Check it out if feel that the city is getting to be too much!, November 2019
29,4.0,Hidden present for sporty walkers,"Very often, after long air-travel, one needs an outdoors option for a fast walk, and this nice stream, well hidden from noise of traffic, is an ideal place.", November 2019
30,5.0,Great/Beautiful ,It was a great/beautiful walk down the stream i usually dont walk around but i appreciated this beautiful scene i embraced it and will do it again., November 2019
31,4.0,Great light festival,"Magificant light festival along the river, whenever you go to Seoul it’s akways worth checking what’s happening on the river. Lots of bars and restraints nearby", November 2019
32,4.0,Go at night,Great river walk.  Went after dinner and everything was lit up.  Every block had different art pieces.  My favorite was the lantern section.  Got a bit overcrowded in some areas and not as many stairs back up as I would of thought, November 2019
33,4.0,Lantern show this year,"I went to this place a few times in the past. At night the waterfall was lit up beautifully. On the weekends there were many hawker stalls selling food, etc. This year there was a lantern show and the place was unusually crowded.", November 2019
34,5.0,Peaceful,This was a very great use of space to add something natural but man made. It gives back to nature in a concrete world. , October 2019
