,star_point,title,text,Date of experience
0,4.0,"Small City Palace, Great for Visit if one is short in time",A small palace compared to that of Gyeongbukgung and Changdeokgung. This palace is perfect for those who wanted to visit one but do not have much time. The palace allows visitors to understand the ancient Korean culture. There is a change of guard ceremony at fixed timings here., November 2019
1,5.0,My favorite Palace,"This is probably one of my most favorite Palace in Seoul, definitely in the top three. It seems like it lies in the center of Seoul the way it is positioned surrounded by modern architecture of Seoul, hotels, restaurants, the City Hall and other important buildings. It’s so easy", January 2020
2,5.0,Love of Beauty is Taste. The Creation of Beauty is Art.,There is a common believe that most South Korean Temples look pretty much alike and that is an undeniable truth. Nonetheless there is a hidden differential beauty on each one of them. Here at this temple we could appreciate the differences.  This palace also has a lot of dynamic, January 2020
3,5.0,Deoksugung is a unique palace,"I visited 2 palaces (Deoksugung & Gyeongbokgung) during my visit to Seoul last month. 'though Deoksugung is not as big as Gyeongbokgung, but Deoksugung is quite unique compare to Gyeongbokgung. You can find both Joseon Dynasty & Western influences in this palace, something that", December 2019
4,5.0,Plan to Visit here and the other Historical Places... and do not rush the enjoyment,Why pay for tour guides when you can hop on and off the subway and visit so many places in Seoul?  This is yet another great place to mark on your tour and enjoy your photos for years to come. , January 2020
5,5.0,Beautiful!,A well maintained palace in the modern city. It is smaller than Gyeongbokgong and Changdeokgung. Beautiful scenery!, November 2019
6,4.0,Changing of the guard ,I've been here a few times over the years and it never disappoints.   I love the fact that it has a changing of the guard ceremony (3 times a day I think) and other stuff going on too.   Once inside though it feels like a different world with a park like ambience plus a mixture, November 2019
7,5.0,Great guide,"This was the last of four Palaces that we visited while in Seoul and the guide was the best we had experienced.  It was a smaller Palace in comparison to some of the others, but the information regarding buildings, customs and structures carries across them all.  Unfortunately", October 2019
8,4.0,Changing of the guards,This is a much smaller palace as compared to the grand Gyeongbokgung palace and is in the heart of the city. We landed there just in time for the changing of the guards ceremony which is again not as elaborate as the one at Gyeongbokgung but is still nice. (You can watch the, April 2019
9,5.0,A smaller palace if you don't have much time,A smaller palace in the middle of town. Well worth a visit especially if you take the (free) guided tour (about 50 minutes). Time your visit to see the changing of the guard which is quite entertaining., November 2019
