,star_point,title,text,Date of experience
0,5.0,An Underground Shopping Street,"My friend and I went there during winter time and we bought a lot of stuff. Their coat and sweaters are very fashionable and pretty affordable well. Do expect a huge crowd during weekends, not very pleasant if you want to do some proper shopping. There sell mostly women's", November 2019
1,4.0,Underground shopping bonanza,"A long underground stretch next to the Express Bus Terminal, easy to find. There is one shop after another, small stalls, non branded, selling everything from underwear to nights gowns. Surprisingly prices are extremely reasonable, for USD 5 onwards one can find something. It", September 2019
2,5.0,Express Bus Terminal Seoul,"The area is mostly full of ladies stuffs and other home decorations, accessories etc..  I went during Autumn and the clothes are cheap. You can also find other things there and it was a good experience.", November 2019
3,5.0,Excellent Shopping Place,"Convenient and accessible. Located at Express Bus Terminal station, exit 8. Love this place, neverending shops. Bought a few stuff from there. Suitable for females only. ", October 2019
4,3.0,shopping cebter,"There are many shops and mostly selling ladies clothes, shoes, accessories and beauty product. Prices are comparable if not cheaper then Myeondong though atmosphere is not comparable. There are also phone accessories shops as well as food outlets. ", September 2019
5,4.0,Recommended for women's clothing ,"I personally enjoyed shopping here more than the Hongdae shopping street (for women's clothing). There are two long rows of shops parallel to each other selling lots of affordable women's aparrel and jewellery. Not exactly premium top-class items, but decent quality for the", September 2019
6,4.0,Six days in seoul,"Actually this is the second time in Seoul, but this time me go shopping in express bus terminal underground , really its good experience , good quality, cheap, we enjoyed so much there, everybody whom visit Seoul should go there.", August 2019
7,4.0,Endless shopping but a better experience on weekdays,"Endless rows of shopping for everyone including shoes, clothes, accessories, spectacles, household stuff, food, anything! I made the mistake of coming here on a Saturday and ended up having to jostle elbow to elbow with people with or without trolleys. Beware of wheels! This is", June 2019
8,5.0,Great Shopping Place for Ladies Clothing,"There are many many shops in this shopping area and most shops offer very reasonably priced female clothing. To me, it's the best place to shop for clothing & accessories compared to myeong dong, Ewha Womans University shopping, namdaemun market and dongdaemun shopping district!", June 2019
9,5.0,"Chanel, Hermes and more . . .","There's not an upscale retailer which is not represented, though one may have to wait in line to get into the store. In addition, Shinsegae has a large store with an exceptional food market in the basement.", June 2019
10,3.0,Visit if you have time,This is a large underground shopping area with many shops selling clothes and accessories. We find that the shops sell similar things and the vendors are not friendly. Visit only if you have time., May 2019
11,4.0,You should come here before doing any shopping in Myeongdong,"If the purpose of your trip is to shop clothes in Myeongdong, you should come here first. The same item can be 30-80% cheaper than myeongdong or other tourist area.", April 2019
12,4.0,Adequate and out of the weather ,I did some souvenir and gift shopping last weekend when the rain was pouring down and i didn’t wanna stay in my flat all day. I took the Metro No. 9 express line (fantastic!) from VHS station and arrived at Express Bus Terminal very quickly. I wandered around underground and, March 2019
13,3.0,Mostly Ladies Boutiques,"2nd visit here. Mostly ladies boutiques, others like socks, HP covers, shoes,  cosmetics, men clothes etc. It's basically 2 rows of shops parallel to each other, walk 1 side then u-turn & walk the other side.  Somewhere u will find a bread shop, the corn cheese bread is yummy!", December 2018
14,4.0,Lost ! Lots !,"This place has changed a lot since I was there at least 3-4 years ago. It's brighter but more confusing. First, the there may be exits to the subway which you need to exit twice. That's mainly because express bus terminal stations is an interchange (bus and subways) with many", December 2018
15,5.0,Express Bus Terminal Shopping Center,"There are a few indoor shopping, dining center in the city that I get to appreciate more especially during winter when taking my two yr old son around.  Around the Gangnam area is the Coex and the Express Bus Terminal.   The EBT’s greatest strength comes from all-in-one compound", December 2018
16,3.0,Haha are we even in Korea?,"More tourists than locals especially from China and HK that anything else here. Rows and rows of shops selling similar stuff, all at reasonable prices and designs.  You’ll see things repeated in shops as you browse through more. Don’t expect to find great quality items here but", December 2018
17,5.0,Loving it ,"I love this place so much. Got lots of my bags, made from Korea at 10000won per piece. Good quality and nice designs. There's so many things to see, clothing, shoes and etc just like what you can get and see at myeongdong but of course the prices are much cheaper here. One might", December 2018
18,3.0,Shopping and food,"It's a very big station with lot of shops selling clothes, handphone assesories etc. mostly have shops selling the same stuff. Doesn't seem that we can bargain here although some said it was possible. There is a Japanese eatery which serves pretty nice food for the low price.  ", October 2018
