,star_point,title,text,Date of experience
0,4.0,Korea Shopping Destination,Many store with beauty and fashion product. Location is near the bus stop and have many restaurants and cafe, January 2020
1,5.0,Awesome place to hang out!,Walk down the street ligted up for xmas and all the window shopping and also happened to see an idol in a promotion/fan meeting! Tried korean pork bbq and it sure was an experience! Will love to do it again!, December 2019
2,5.0,Luxury shopping!,Many luxury and trendy shops. Window shopping is fun. There are local skin care shops along the street. Less touristy compared to other shopping street., November 2019
3,2.0,Not worth the hype,"Yes this is a fancy area, where locals shop, but sales assistants are just rude or don't offer you any service. It's a stark contrast to shopping in Myeondong, and after visiting Garosu-gil, I actually prefer it.  Even a restaurant we had dinner at a couple of streets back from the main strip gawked at us.", December 2019
4,4.0,Hip area,"Garuso-gil is a hip area frequented by locals. Lots of restaurants, cafes and shops. But the usual franchises or big chains of food and fashion but very boutique style, quite unique in its style. This is not your typical tourist spot but a genuine place where locals go to shop and socialize. It has a nice vibe to it and great to stroll through in afternoon and evening. Subway stop is nearby, easy to go there with public transport. Parking not that easy as limited.", April 2019
5,5.0,AMAZING boutique shopping!,"If you are interested in boutique, independent-designer shopping - this street is a must visit. I spent an entire afternoon here and could easily have gone for longer. Lots of cute primarily clothing and jewelry boutiques, lots of pop-up jewelry stands on the street. Also make sure you pop into all the side streets as well - Garosu-gil is the main thoroughfare, but there are a lot of shops and cafes as well on the side streets all the way down the block. Shops are open until late (~9-11 PM)", October 2019
6,4.0,High end unique shops!,, April 2019
7,4.0,Interesting area to walk and shop,"The area was recommended by locals and indeed, it was interesting to walk around. We spotted many local singers. It was dominated by youngsters. We took a coffee and watched different kind of people walking around.", May 2019
8,5.0,Love this place! Must GO,"Don't miss to have a cup of coffee at one of the many cafes, it's worth to chill for an evening apart from shopping around.", November 2018
9,4.0,place to shop and walk,famous and exquisite stores are lined up through Garosugil. You can enjoy window shop and walk the way thru after you have dinner, September 2018
10,4.0,Hip & trendy shopping street,"Lots of plastic surgery clinics here. It's a hip and trendy shopping street. I came here to shop at Lapalette, but I couldn't find it. Overall, a nice neighbourhood and is less crowded compared to Myeongdong.", January 2019
11,4.0,Great neighborhood ,, November 2018
12,5.0,Trendy shopping street,, October 2018
13,5.0,Coffeeshops and clothing stores but chill overall,, October 2018
