,star_point,title,text,Date of experience
0,5.0,Entry gate to Gyeongbokgung Palace,"There are 3 gates that you must enter to reach the palace. It is the Gwanghwamun Gate that is the first gate. It is not the prettiest or most intricate. However, it is the this gate that separates the world of the 1400’s from the 21st century. It seems easy to say but unless you", February 2020
1,4.0,Impressive architecture,"This huge gate is the entrance to the Gyeongbokgung palace, which is the biggest among five palaces in Seoul. A changing of the guards ceremony happens at the gate at 10 am and 2 pm. You can view the ceremony for free. Entry ticket is to be purchased for visiting the palace", April 2019
2,4.0,The guard changing order ,The changing order ceremony is a must see! You dont need to buy ticket to see the ceremony as it is held before the gate ; at the area where the ticket counter is. They are quite punctual and lasted moreless about 10mins., November 2019
3,4.0,No Reason to Miss!,, October 2019
4,4.0,Gate To Gwanghwamn Palace,"This is an impressive and large gate into the palace and best seen during the changing of the guard every hour between 10 AM and 3 PM each day.It was built in 1395 but destroyed during a Japanese invasion in 1592, and rebuilt  in 1867. A popular place for tourists.", September 2019
5,5.0,Impressive gate,One of the many  traditional and historical gates of the city that welcomes you to the past while standing in the middle of the modern technology of the present, September 2019
6,4.0,Simple Elegance,, November 2018
7,4.0,Palace gates ,"The gates of the palace, good for photos and specially if you can catch the guards ceremony and changing hours. Check the schedule before coming.", September 2019
8,5.0,Great for Pictures,The Gwanghwamun Gate is on of the most popular gates in Seoul. All of the gates have an own and unique story which you can figure out., October 2018
9,4.0,Ornate classical palace gate.,It's just a gate as part of the larger Gyeongbokgung Palace. It's an impressive structure to behold., August 2019
10,4.0,Impressive Main gate ,"This is the main gate into the grand palace. While most of these gates look similar, this main gate is impressive. It prepares you to expect the greatness inside.", September 2019
11,4.0,Palace main gate,Gwanghwamun is the main gate for the royal palace. Changing of the guard occurs here. A fine piece of Korean architecture., July 2019
12,4.0,Hugely Impressive,, July 2019
13,4.0,Main entrance to Gyeongbokgung Palace,, June 2019
14,3.0,The Palace Main Gate,, June 2019
15,4.0,Changing of the Guards,The best time to visit this area is during the changing of guards. It can be quite a spectacle to observe. Make sure to fall in line early to be able to position yourself near the front of the gate for the best view. It's a nice traditional ceremony. May not entertain small children., May 2019
16,5.0,The Guards,Great opportunity to see the changing of the guards. Free experience as you pay when you go beyond this area to enter the castle itself, May 2019
