,star_point,title,text,Date of experience
0,5.0,Avoid on Saturday but well worth it!!!,"Square is amazing, super beautiful and well worth the stop. I would highly recommend avoiding on Saturday due to protests, it does not make it in passable but more difficult to traverse. ", January 2020
1,3.0,It's just open space,"If I am reviewing the square itself then I would say it's a concrete slab of open space surrounded by streets and buildings on all four sides.  It's not as large as the one in Beijing but is still quite impressive in its hugeness.  Yes, there are a couple of impressive statues", November 2019
2,3.0,King Joseon & Admiral Yi Sun Shin Dominate This Square,"Just down from the two large palaces you will find this quite interesting square in the center of the road containing a statue of King Joseon (sitting) and Admiral Yi Sun Shin on a Pedestal.The square also has some interesting potted trees.The Admiral was famous for his battles with the Japanese during their invasion in the 16th Century, at the time Josoen was on the throne.", September 2019
3,4.0,Traffic Lanes Transformed To Public Square,, November 2018
4,4.0,2 huge statues,The square is large with 2 huge statues of Korea's historical figures. And in the background you can see the mountain and the palace., September 2019
5,2.0,Not really a square,A busy main road with a central area surrounded by a few civic buildings sums up the square. Not much to see except a couple of statues and lots of traffic. Leads up to Gyeongbokgung Palace and gate., July 2019
6,3.0,Gwanghwamun Square,Not much to do here other than see the statues. I presume they have events here throughout the year. Seems to be popular with tourists. In a great area as there are lots of coffee shops and restaurants nearby. Good to visit after the palace as it’s just outside., August 2019
7,1.0,Noisy protests ruined the day,"There is a fringe political group holding protests in the area - every weekend apparently - they wear earplugs and shout through very loud speakers, block the way and harangue tourists. I would advise staying away until these folks shuffle off.", July 2019
8,4.0,Lovely Ceremonial Square ,, July 2019
9,5.0,History,"Great historical figure, lots to learn about the Korean alphabet and their way of thinking based on this historical figure", July 2019
10,4.0,Public square in front of Gyeongbokgung Palace,"This square is just in front of Gwanghwamun Gate, the main gate of Gyeongbokgung Palace. The square has 2 imposing statues, ie King Sejong and Admiral Yi Sun-Sin. To know more about the 2 figures, suggest you visit the underground museum, located just behind the statue of the king. Free admission. Nice to spend about 10 to 20 mins enjoying the air con and use the toilet before moving on.", June 2019
11,4.0,Visit the museum in the basement ,, June 2019
12,3.0,Beautifully situated,"An imposing square -- with a Joceon Palace to the north and statues of King Sejong and Admiral Yi Sun Shin adorning the median. Obviously not worth a trip, but when in the area it makes for a lovely stroll (as long as there are not more anti-American demonstrations along the way, since this is also the site of the US Embassy).", June 2019
13,5.0,Gwanghwamun Square VIsit,So magnificent! I loved majestic architecture in this place. I also loved the way that the guide introduce me the history of Korea and this attraction., May 2019
14,4.0,Stunning sceney,Absolutely loved the mountains in the background and to see the palace in the distance. The statue is very well made. At the sides of the square is a floor plaque for each year with something written next to it (wasn’t in English so unsure what it said but I found it really intriguing). I loved the buildings and really feeling like you were in Seoul., June 2019
15,4.0,Major promenade leading to Gyeongbokgung Palace,"Along this busy street are many statues and historical markers to Korean history. This is where parades, events and demonstrations happen. At the end of the street is the palace. Well worth walking the entire length.", November 2018
16,3.0,Good to see on the way to the palace,The statute is massive and situated right in front of the palace entrance so it can’t be missed. We went early and managed to avoid the crowds., May 2019
17,4.0,Big Square in the city,"the squarer surround by the changeoung stream, the king sejong statue, and the gyeungbokgung palace, in front of gwanghwamun gate, exactly in the centre of the city when the modern building mix with the traditional culture", May 2019
18,4.0,Underground Museum - Good for a quick look,, October 2018
19,5.0,Can’t miss,, February 2019
20,4.0,Visit the memorial to the Sewol ferry victims,, July 2018
21,3.0,Cold during winter,Wind blowing will make your face frozen when walking in this square. King Sejong's underground memorial/museum can be your savior to escape the winter cold. Nice to walk in this square until you reach Gyeongbokgung Palace., December 2018
22,4.0,Impressive statue and museum,"Visited Gwanghwamun Square to take photos of the King Sejong statue. When I arrived at the statue, I found that there's a museum dedicated to the king down under the statue. Admission into the museum is free and there's no crowd at all. Worth visiting.", January 2019
23,4.0,impressive statue of King Sejong centred the popular square,we had to line up to take photos of the statue of King Sejong which is 6.2 meter high. we also visited the museum dedicated to honor him near this statue. must see., December 2018
24,4.0,G Square,, May 2018
25,5.0,It's the KING,, April 2018
26,3.0,A bit commercial but fun,"There are often markets on the square and the views of the palace are great, the square is also very centrally located and surrounded by interesting buildings.", August 2018
27,4.0,"Gwanghwamun Square, Korean history in Seoul ",, October 2018
28,5.0,A weekend of activities around the Gwanghwamun Square,, October 2018
29,4.0,Large Square!,"Located in front of Gwanghwamun Gate, so that was nice! The fountains and statues were good to see, happy I went!", September 2018
30,5.0,Historical square with an almost deserted museum down under!,, April 2018
31,4.0,Lovely square,"Gwanghwamun Square leads to Gwanghwamun Gate - another attraction nearby but for us the entire square was worth doing. From the fountains to the statues and sculptures, not to mention just watching things go by. We enjoyed our time here.", August 2018
32,4.0,Huge open plaza ,"This is a big plaza in front of the Gyeonbokgong.  There is a huge statue of King Sejong, who invented the Korean alphabets.", July 2018
33,3.0,A strange square,"Gwanghwamun is not really a square but a large rectangle in the center of Seoul, directy in front of Gyeonbokgung Palace. There are two famous statues in the middle of the square which divides the highway in two. Many tall buildings are on each side of the street.", July 2018
