,star_point,title,text,Date of experience
0,4.0,Worth a visit,The park offers  360° view of Seoul and the Han. Worth noting is how the park came about. From being a landfill to becoming an attraction tells us that nothing is impossible with political will and determination., December 2019
1,4.0,See a land of Lalang during winter .,"If you do not wish to attempt 291 stairs or long hilly walk up to the top of the park, you can take the golf-cart shuttle service departing from the park entrance at a small charge (1 way 2,000 won / return 3,000 won).", December 2019
2,4.0,Wrong time but still worth it,, December 2019
3,5.0,Highly recommended!,, November 2019
4,5.0,Sky Park,"Haneul Park is the highest park and one of the five parks situated in World Cup Park. The park can be reached by climbing the wooden stairway or riding the parks electric tram. It was once a landfill that has been turned inti an ecological park. Once you reach the top, you can enjoy the fantastic view of Seoul and the Han river. The view is breathtaking and goodspot for taking pictures and relaxing.", May 2019
5,4.0,Dive deep into Lalang,, November 2019
6,5.0,Beautiful and peaceful place!,, December 2018
7,5.0,SKY PARK,, October 2019
8,4.0,Best experience,"It has fresh air and clear blue sky. I really enjoyed the moment there. You can go there by subway to World Cup Stadium Station and walk about 1 kilometres to Haneul Park. You can choose shuttle bus and pay about KRW 5,000 for round trip or just walk by the upstairs to the destination. It was good experience!!!", October 2019
9,4.0,"Silver Grass, Flowers etc",, October 2019
10,4.0,Often known as Sky Park,"Visit this park for views of the river, city and football stadium. The area was a land fill turned into an attractively landscaped hill.  It is a popular destination especially when its tall grasses seed and turn red. The hill top has a cafe and toilets. The staircase serving the hill features 291 steps, so bare that in mind when you start to climb it.", October 2019
11,4.0,Worth the climb,"Instagram brought us here! The park is huge, from the size of it, probably 90% is filled with silvergrass and the rest is pink muhly grass and kochia. We arrived early in the morning and had to walk around 20 minutes from World Cup station to reach the foot of the hill. There are 3 options to reach the top, by tram, stairs or hill climb. We opted for stairs and get down by hill. There was silvergrass festival during my trip but it wasnt fully bloom yet. Pink muhly grass on the other hand was blooming perfectly but the land plot for pink muhly is too small hence huge crowd. Overall experience, we had great time here", October 2019
12,5.0,Silver & Pink Grass,, October 2019
13,4.0,Nice place,Interesting at the top with the grass  land and good views of Seoul.   Noticed long lines for the shuttle to the top.   Not sure why so many waiting for shuttle.   You could walk to top in less time than in line.  And there is a gradual road to top if you want to avoid stairs., September 2019
14,4.0,Good in October,"I visited here at the end of September this year and in October of last year. I went to see the pink Muhly grass and the silver grass. It was pretty but not as full at the end of September thus I recommend going in October as I went last year - the silver grass was blooming then at that time. Overall, nice views from up there. One time we hiked up, the other time we took the trolly ride. It costs 3,000 won one way. Avoid going on the weekend, if you can, as it is packed then. Weekdays are much better.", September 2019
15,3.0,Its just another park.,"To be honest, its just another park. It will serve as a good location for wedding photoshoot but I can't think of another reason to go there and walk under the hot sun. It provides good vantage points overlooking seoul and the world cup stadium but thats about it. Not much variety of flora or fauna too.", September 2019
16,5.0,Beautiful Park,I went there summer time so the silver grass are not showing. But overall the park is beautiful and refreshing because it’s in higher location., May 2019
17,4.0,Nice field,We went mid May and the grass was knee-high. Very important to check when the grass is scheduled for cutting or else you risk missing out on the pretty backdrop.  There ware signages about FROGS so beware if you ware one like me who gets creeped out by them.  Very important to enter at the base of the hill and not anywhere else... why? because that's where you can ride the buggy up the hill instead of treading 950meters UPHILL :)  Trust me you will want to ride it ;), May 2019
18,5.0,Great scenery park,"To reach this park, we walked from World Cup Stadium Station to the base of this mountain and climb up by the stairs. After sweat a bit you will see a great tall grass field and nice view of Seoul opposite the Han river from the top of mountain. This park is good to visit before winter. We were there in the end of November and saw they started cutting the grass.", November 2018
19,4.0,Nice walk,, September 2018
20,5.0,Commending great city scenery park,, October 2018
21,5.0,A great find,"This place is beautiful before the winter season. However, you can still get to see some tall grasses after the winter season. The shuttle is worth paying if you do not plan to hike the whole way to the top of the park.", March 2019
22,5.0,"Nice park, great views","If you are interested in relaxing on a weekend or getting in some exercise, this may be your place.  If you hike up the nearly 1000 steps to the top, you get a great view of the Han River, Yoido, Seoul, etc.  (You can also walk on the trail — more steps but less steep).   Several bike trails, jogging trails, etc.   Enjoy the flower gardens and hanging squash tunnel.", August 2018
23,4.0,Go at the right season,"It was quite a journey to get to the top but I bet the view was worth it on a perfect season. Unfortunately for us, the place was barren the time we went (March 2018 to be exact)", April 2018
24,5.0,Beautiful golden afternoon,"We burned calories and leg muscles getting to the top, but it was worth it.  The Eulalia glowing in the setting sun was spectacular.", November 2018
25,4.0,Picture-Pretty,, November 2018
26,5.0,Another beautiful scenery in the middle of metropolitan city,"Despite being a metropolitan city, Seoul has a lot place with beautiful scenery they can offer. And this one is definitely one of it. Though it can be slightly a little bit tiring since you have to climb a lot of stairs before you reach the so called Haneul Park (Literally means Sky Park). But once you reach the end of the stairs and found this little paradise on the top of the hill, then you really feel like you're in heaven. For the best time, you might want to come here during autumn~! They have the best view in autumn~!", October 2018
27,4.0,Family tour in Korea,Haneul Park is a good park to enjoy and relax only after you climbed a series of ladders going to the top.A good exercise. The park offers a good view of the surroundings especially of the stadium and has a lot of different trees and plants in contrasting colors., November 2018
28,5.0,"Quiet, peaceful, good views",Great park to get away from the buzz from Seoul city. Small provision shop with coffee and snacks is available. Best view of Seoul. Good photo opportunities. Still pretty in December., December 2018
29,5.0,Silvergrass,, October 2018
30,4.0,Beautiful Views from Haneul Park,, December 2018
31,4.0,Great View,, December 2018
