,star_point,title,text,Date of experience
0,5.0,A must-see hybrid of comedy and tradition,A superb show filled traditional rhythms of Korean cultural drumming and a brilliant nonverbal comedic performance! Great incorporation of the audience in every act! A must-see during your first visit to Seoul!, November 2019
1,5.0,Hongdae Nanta Show,Great show. Everything was time and in great location. Performer's engagement with audience was fun! My advise is to get seats around 4th to 5th row from the front to have a better angle of the stage., November 2019
2,5.0,NANTA show is Great,"NANTA show is a must see entertainment at Seoul. Don't miss it, very entertaining, fasten your seat belt, relax and have fun, laughing! We really enjoy the show, time flies and you can understand without any language barrier!", November 2018
3,5.0,Brilliant performance! ,"Decided to catch the 8pm Nanta show in Hongdae (instead of the extremely popular Myeongdong one) as we stayed nearby the Hongdae theatre. We booked tickets online and bought zone S tickets, which is the 2nd most expensive tier with pretty good seats near the stage, towards the side.The show is 90 minutes worth of amazing percussion sets, comedy sketches and audience interaction. It's hard to explain exactly what sort of show it is because it's such a unique live performance, but I would 100% recommend it for a night of fun and entertainment. No knowledge of Korean language is needed. I personally LOVED it and I was absolutely floored at how talented and entertaining the cast was. The Green team performed for us and every single cast member was engaging, entertaining, dedicated and most importantly, appeared as though they genuinely enjoyed putting on a show for the audience. I'll have to admit that the ""nephew"" stole the show.. But no spoilers though! I do think that it would be better to choose a slot that has a packed theatre as the audience reactions and participations make for a more fun show. In any case, really loved it and would even consider catching another show with a different team the next time I'm in Seoul!", September 2019
4,5.0,BRILLIANT *****,We went to the evening show which started at 8pm and it was absolutely amazing. One of the best thing we have done in Seoul. We would reccommend everyone to go but make sure you book tickets in advance. Enjoy., July 2019
5,5.0,Best show everrrrr!!!,"I was quite sceptical at first, although reading lots of good reviews about the show. I was thinking it would be comical and stuff you’d see on TV, but this was by far the most hilarious thing I’ve watched. In fact I’ve never seen my 69 year old mum laugh like that for the longest time and my wife was literally in tears with a little headache from all the laughing.We got the slot which was performed by the blue team who were full of energy, very skilful and very talented. Don’t want to give too much away, but would definitely recommend it to anyone of any age to check this show out if they’re visiting Seoul.", May 2019
6,5.0,Even my Indian Parents Loved It!!,To get a compliment out of my senior citizen age Indian parents is near impossible - and they likened this show to LAS VEGAS QUALITY - LIKE WORTH $200 TICKETS.  Enough Said., April 2019
7,3.0,If you have the time and money to spare,Perhaps due to the many positive reviews and raves about the show we went with high expectations. No doubt the energy is high and the actors were engaging but it was hard to catch the storyline and as Korean was used it would have been good to have translations to better understand and follow along. Good thing we got discounted tickets  USD56 for 2 persons. If you have the money to spare do go otherwise give it a miss. We definitely did not see flying knives only lots of chopping of vegetables., June 2019
8,5.0,Amazing Show,"Went with a group of 6. This show was amazing and English speaker friendly. While most of the show didn’t involve much verbal language, there was much body language, dancing, and drumming to communicate the story well. The show is very interactive and fun. Highly recommend for tourists in Seoul and in the hongdae area. I imagine the Nanta theatre near Myeongdong is also as good.", June 2019
9,5.0,Such energy,"One of my best experiences in Seoul! I booked the ticket online 1 week before the show, and the ticket was ready at the counter when I went 10 minutes before it started.It is a funny show. And the energy of dancing and drumming and jumping and chopping for almost 2 hours- wow!!! The cast worked really hard and I mean really hard to give a good show.And getting the audience involved made it more fun. I love all the characters!!!I highly recommend it😘", February 2019
10,1.0,Rude Front Reception,"“I think it is better for visitors to check the schedule and detail prior to the event to avoid bad experience like me . It just happen that i was in Hongdae on last Sunday (3/2/19 ) and i decided to watch the Nanta Show . I didnt planned or booked the ticket earlier but i did survey before they have few session per day. So i reach there around time 6.45pm , the counter indicated closed but i saw there were 2 staff sitting at the counter so without think twice I approach them asking where can i buy ticket and when is the next show in polite way , suddenly one of the staff stand up and bang the “ close” indicator on the desk like telling me if i was blind to read it . The indicator said “CLOSED , Ticket box open 1 hour before the show” , and my point is HOW DOES I KNOW what time is the show ?? !!!! So i asked again what time is the show ? Another staff reply it is at 8pm , ok then i assume the counter will be open soon . While waiting i realize there is a computer for visitors to book online (self service ),so I go to the computer to scroll more on the show since the staff were so ignorant, and out of sudden one of the staff approached me and “tell” me i cant buy today ticket either through online as well , while “telling” me her purpose was actually to off the computer !! I saw the screen turned off on purpose . Hey , i am an adult , i am not playing games on your computer ok !!!  I feel so disturbed and humiliated so i walk off from the theater. I wonder how funny & entertaining the show will be since the front line are so RUDE ! My advice is to book ticket online if you really interested to watch and avoid the front desk . You can collect the ticket only 1 hour before the show , if you reach earlier also pls wait first because they are not going to entertain you either ( i saw one other chinese family show their booking sheet and they point at the “ Closed”  indicator .If the front line are not ready to serve , my suggest is dont sit there .", February 2019
11,3.0,Nice to do something different,It is real entertainment and the show is good to follow even when you don’t understand what they are saying. Only thing I didn’t like was the less interactive with the crowd at the row above the theater., January 2019
12,5.0,Fantaatic performance,"Engaging, funny, it was one of the best days of our trip. You can walk around hongdae afterwards. It's not a problem if you don't speak korean, the performance is mainly non-verbal.", January 2019
13,5.0,Funny Presentation,Very good performers with a funny story that involve the audience. There is no problem if you didn't speak Korean., November 2018
14,3.0,"Pretty mediocre show, but kids liked it","I am, I admit, pretty experienced in comedy so it takes more to impress me.  This was not it, not even close.  I never laughed, perhaps smiled 2-3 times at the slapstick.   The percussion was more entertaining, though nothing to match the level of pro percussive shows like Stomp or Bring in da noise as some reviewers suggest.   As noted, almost nothing is spoken so language is not an issue.    If you pay for VIP, about 8 people will get called on stage to participate, otherwise the lower cost balcony seats are a much better buy.   The comedy is more on the level of small kids, who seemed to enjoy it.", October 2018
15,5.0,Havent laughed so hard in a loooong time,"If you havent seen this show, you must go watch it!Their website has early bird discount for those interested. Show is hillarious. Drumming and some simple english really make this work. The skills of each individual performer is amazing. Food flying to the audience, korean drumming, audience participation included.", October 2018
16,1.0,Caution... Do Not Honor Cancelation Policy,I am sure it would have been a fun show to see... if they honored their cancelation / change policy. We ran into flight issues ahead of time and requested change to a later date (we didn't want to cancel). Their Web site gave errors trying to cancel / change (convenient for them) and my e-mails were ignored. VIP tickets lost., September 2018
17,5.0,Always a great show!,My husband and I went to see NANTA years ago when we lived in Seoul. I took my son (age 16) last week and he also enjoyed it.  I recommend this show to both locals and foreign travelers., July 2018
18,4.0,Enjoyable and funny,"A night of entertainment with good vibrant cast. Thanks to my friends recommending this show while in Seoul.  The Hongdae theatre is a distance from the subway, around 15mins walk, red yellow building is located inside the streets, not hard to miss. We bought the front seats, just get prepared to have ""vegetables/water"" splashed on you :)", April 2017
19,5.0,Korean Style Blue Man Group ,"Loved it! My girlfriend had no idea what this show was about going in but I told her we had to watch it while we are here in Seoul. It was hilarious! My favorite character was the boss, his facial expressions and hand gestures are hilarious. I can't find a single thing that I didn't like about the show. I liked how I was able to bring in a snack during the show as well :) The staff is very adamant about recordings and I would be too because these actors work very hard and want their guests to experience it the right way, plus, the show is VERY affordable! Any seat in the theater is great BUT beware the ones sitting in front might participate in the show, which is actually a good thing because they are very friendly and the audience is of course supportive. Have a great time and dont worry if you dont speak korean, the show does not have dialogue! Comedy is a universal language :)", January 2018
