,star_point,title,text,Date of experience
0,4.0,More locals than tourists,This young and vibrant shopping district has more locals than tourists compared to Myeongdong. There are more shoppings and it is a good place to understand the local culture. There are no lack of restaurants in Hongdae., November 2019
1,3.0,typical korean eating/drinking area,"a typical korean college area, sometimes super crowded. it has some street performers and unusual shops but basically it's a place with the typical korean socializing and eating/boozing culture.", February 2020
2,5.0,Vibrant and Trendy,"This is a place for you to laidback and have some fun. Just stroll around the area and you will find many things that very hip and trendy. We take 3 night stay in Hongdae area just to enjoy the vibes. And for me personally, its way better than in Myeongdong area that is very touristy. In Hongdae, you can enjoy more variety of restaurant, some bar to sip a bottle of Soju in the winter night. Even you can shop some cosmetics (which is the same store that you can find in Myeongdong!) The street itself also quite artsy with some mural and street performance during night. So if you want to know the other side of Seoul that is more interesting, just stay in Hongdae!", January 2020
3,5.0,Young people heaven,"This place never sleeps! It is filled with mostly teenagers and young adults as there is a variety of things to do here from street shopping, eating real good Korean bbq and bingsu, taking booth photos and drinking/clubbing.You can be sure to see youths awake even at 5am and during the weekends even restaurants are packed at that hour. Definitely worth checking it out if you need supper and like the night scene.", January 2020
4,5.0,A street of youths !,Lively youths and cute fashionable cafes and shops along the streets where the local youths hangout ., December 2019
5,4.0,Trendy shops and side streets,"This place is worth a visit, we bought three jumpers for around £6 each and the quality was pretty good.  Lots of cheap clothes shops and boutiques.", December 2019
6,5.0,Lively neighbourhood with loads of eateries and shops,"This is a nicer place to eat and shop compared to Myeongdong. Things here are much cheaper. We tried the Noonaholdak Oven Baked chicken - it was delicious! Pauline Pancake which is closer to the university area also is a must must try. The pancake is so soft, fluffy, light and melts in your mouth!", December 2019
7,5.0,Nice trendy place with youngster ,"It so a nice trendy place for youngster. Lots of food. We stayed in an AirBnB at Hongik. Nice neighborhood with lots of nice cafe. One of it is the Bread Comma, must visit if your are there. I would rate it 5/5. Just nearby is the Hondae with lots of young people during the weekends. And your can also find the famous Kyochon chicken there too.", December 2019
8,5.0,"Young, Fun, Cool","If I only had one night in Seoul, this is where I'd go, no question.  There's shopping, dining, street food, arcades, bars, clubs, photo booths, noraebang (karaoke rooms), and I'm sure so much more that I didn't see!", December 2019
9,5.0,Vibrant street filled with shopping and performance,Really nice shopping street especially at night time when the shops are fully open and talented performers lined the street showing off their dance moves and singing talent. Great place to shop for apparels and accessories., December 2019
10,5.0,5/5,"A wide plethora of food options ranging from fusion to authentic korean food. Do not expect any luxury shopping but a great place to look for affordable items to purchase, especially when it comes to korean snacks and smaller accessories", November 2019
11,5.0,Super hip vibe,"We came in a Friday night for dinner then we strolled and soaked up the local vibes.  There were lots of street performers: singing, K-pop dancing, etc. Lots of street food and pop up vendors.  Enjoy the street culture.", November 2019
12,5.0,Great Place to Checkout!,"This is an incredible area of Seoul worth checking out. If you are young and visiting Seoul for the first time, I would also suggest staying in the Hongdae area, it's really never a dull moment here even at night time. Amazing restaurants that are very affordable, cheap street food and of course arts as well. You can also check out the Hongdae Free Market on Saturdays.", December 2018
13,5.0,lively and great for teenagers,"it was a ncie street, full of cute lil things.  it is basically for teenagers especially for girls.  They have many quaint lit shop that sell cosmetic, jewelleries, accessories and clothings too.", December 2018
14,5.0,nice street,For my opinion should go on the night. you can saw so mouch live music and dancer on the street it was enjoy.Also you can buy clothes in the street, October 2019
15,4.0,Hongik University Peonpeon Slime Cafe,"It is a good place to relieve stress not only by children but alsoadults at slime cafes. The inside of the cafe is clean and the staff is kind. The price is low, soyou can build memories with friends and get closer. As soon as you start to touch it with yourhands, you will feel better.", April 2019
16,5.0,Very Chic,"This area has a California Berkeley University flare. Diverse eatery’s, beer, coffee houses, etc. The metro stop is in the middle. A great kick back place a cute walking area.", October 2019
17,5.0,Lively!,"Pretty cool. Lots of activity. Right behind  and parallel to the street, in the evening, it is bustling. Lots of people, restaurants, and K-Pop bands showcasing their skills!", October 2019
18,4.0,Gotta get some street food,"Plenty of good people watching, shopping, and eating to do here. You can walk for a while and eat your way along. Fun way to spend a couple hours exploring some of the local area.", October 2019
19,5.0,"Shopping, food and so much fun","Hongdae shopping street comes alive at night. Highly recommended to stay near the area if you enjoy street food with reasonably priced restaurants, fashionable streetwear, clubbing/bar hoping and noraebong (karaoke rooms). Everything night is a Friday night so a warning to those who don’t enjoy crowds and noise until the wee hours of the morning.", November 2018
20,4.0,Student town,"Lots of food and bars, very reasonably priced, also good for shopping. Much busier then Ewha Women’s University. A must visit spot.", October 2019
21,5.0,Amazing Food,"There is food all over this area, From Korean BBQ, to Sushi, to Bibimbap, Coffee Shops you name it. My personal favorite is Bibiri for Affordable Delicious Bibimbap. It is in a basement and hard to find, but totally worth it.", October 2019
22,5.0,"Great Fun, bustling nightlife","Great Chicken and Beer restaurant, great Bars, for the young at heart. Crowded but great vibe with a huge variety of places.", October 2019
23,4.0,Very good crab restaurant in the area,We visited the area solely for the purpose of having a crab dinner at the restaurant called Kim & Kim.  If you like giant crab this is a good place to go.  It is near the station on Line 2., October 2019
24,3.0,Don’t go in the monrong,Hongdae I’m sure is a great and lively place to visit. We made the rookie error of going at 9.30am one Sunday. It was a ghost town. I guess it wakes up in the afternoon and certainly the shops were closed until 11.30. So just time your visit accordingly!, September 2019
25,3.0,Freshmen ,Crowded with freshman age people. In the morning you can shop for a bit and at night you can also club here., September 2019
26,5.0,Place where the art is start,In here you can enjoy so many performances by the young korean in the street. Also the stores and food that they sell in here are a lot. So you can have a lot of selection of food that you can enjoy. This place is also heaven for the people who likes shopping., September 2019
27,4.0,Young and Vibrant ,It’s an area full of university students. You can feel the vibe and energy. Relaxing area to shop and dine. I enjoy sitting in the café while the rest shop., September 2019
28,5.0,hip and young,The Hongik University Street is full of young people. If you look for some fashionistas its the place to go., October 2018
29,4.0,Garden theme cafe and shop!!! Inner peace ,"Spending Sunday afternoon at Hongik University street... plenty of cafes, clothes, restaurants, pub and live performances.Indeed a place for young blood ... feel the sugar/blood rush!!! *_^", August 2019
30,5.0,Great Vibe,I was on my way to a workshop and accidentally ended up in this area.  I love the park area and all the people!  Great young vibe without it being overwhelming., August 2019
31,5.0,Unique creative atmosphere!,"Very interesting, peculiar, dynamic district of Seoul. A lot of youth, creativity, music. Lovely cafes and youth clothing stores. I think that next time I will stay in this area.", July 2019
32,3.0,Typical shopping for cheap clothing and souvenirs.,"The street is full of stall vendors selling unbranded , hip and mod clothing for the 20 somethings.... The quality is above average for these types of stores. The value was pretty good considering the USD vs KRW exchange rate.", August 2019
33,4.0,Large Beautiful Landscape and Facilities,"One of our travel mates with teaching the summer session and we went to support him a give a brief presentation on Criminal Justice.  They university was so happy that we volunteered our time they gave us a takeaway good bag and provided us with dinner.  such a great experience, top quality staff.", July 2019
34,5.0,"Young people, Busking, Restaurants and Shopping area","The street is located near the university so there're a lot of young people. There're so many busking and it's really fun to watch them perform singing or dancing. There're a lot of stores, cafe and restaurants. I really enjoyed the area.", April 2019
35,5.0,Great vibe,"Visit in the evening/night time, great vibe, lots of shops and food, and street performers, cafes, karaoke, should have a visit.", July 2019
36,5.0,Too Convenient - 太方便了,"We enjoyed too much about the area. It even has great breakfast restaurants & shops. It has many famous flagship shops for many famous brands locally & internationally suck as Kakao, Line Friends & shoe and cloth. It has restaurants & street vendors everywhere, with street artists & performance on and off to create the variety & richness of the area. It is easy accessible to go everywhere in town including the airport, and subway system nicely makes here a hub. 我們真的太喜歡這一區了！甚至有很多吃早餐的餐廳和小店（首爾很多地區都沒那麼方便吃早餐），很多國內國外的旗艦店都在這一區，例如Kakao, Line Friends和鞋子、服飾店，到處都有餐廳和路邊攤，還有不時出現的街頭藝人和表演，讓這裡更多樣化和豐富性，從這兒到哪裡都方便，包括機場，而地鐵系統讓這裡成為一個很好的轉運站。", July 2019
37,5.0,Good vibes!,"Lots of energy and lots of people hanging out at night, with live music and street performances - this street is hip for the university crowd. Throw in an abundance of quirky shops, cafes, restaurants and clubs, and you can start feeling younger yourself. So go feel the energy - it's contagious, and free!", June 2019
38,4.0,Stayed 3 days here - Truly korean,"Reading all the reviews here on trip advisor i stayed 3 days here and 2 days at Itaewon.I have to say - i liked it better here. Itawon is very touristy, so if you need to get a true flavor of Korea, stay here, The streets are very busy- i'd say till 12 midnight on weekdays, and till early am 8am on weekends. They have some amazing Barbeque places @ 9000 KRW for Pork/Beef Barbeque that gives you free sides and a dedicated table to cook, But u need to order minimum 2 dishes. amazing experience + music on the streets is fantastic. Very lively, loved it here.", June 2019
39,4.0,Must see,"After living in Korea for some time I can say I know Hongdae really well even though I’m not living as near. I like it for having foreign brands stores, such as h&m, forever21 etc. Also, it’s a great place to buy some other stuff, cheap smartphone cases and cosmetics - in one place. There are many, many pretty cafes near, very instagramable places. Also, be sure to visit Yongnamdong (Hongik Uni St. exit 3) for some really good food.", July 2019
40,4.0,2nd time visit,"Lots of teenager or young guys there, street performances, lots of restaurant, coffee shop, and cosmetics shop, accessories and everything. Love to visit this places , so go 2nd time because it is easy to find great food and lots to buy", June 2019
41,5.0,best place to hang around in the evening,very lively street where you can see a lot of street performers every night. on top of that it is full of small bars and restaurants and definitely worth checking out., June 2019
42,4.0,Go at night,"That whole area is very busy and bustling, but it gets interesting once the sun starts setting and different people start performing. A fun place to spend time or sprint through if you have seen it once too many times.", June 2019
43,5.0,Holiday,"Blown away by the vibe of this place. I am 72 years old and this place excited me. Street performances, shops, bars, restaurants and crowds make the atmosphere electric. Easy to walk and spend a few hours just observing. I walked till 10:30 pm and the place was jumping. Furthermore I never felt unsafe. Put it on the must do list. Excellent.", June 2019
44,5.0,Must visit esp if you travel with teens,My 16 yr old son absolutely loved the vibe here. Lovely place to walk around and the atmosphere is different in the day and evening. There are always a lot of teens ganging around the place. Couple of vintage stores to check out and 3 animal cafes located within walking distance. Do visit Bau House (loads of friendly dogs) and Meerkat & Friends cafe. Plenty of BBQ choices and street performers. The place is packed weekends night and abuzz with excitement till post midnight., June 2019
45,4.0,Interesting street,"So much happenings here when we visited on a Saturday. There are so many streets performances by various individuals and they are all quite good. Food aplenty and lots of shops selling clothes, cosmetics and spectacles etc.", June 2019
46,5.0,Fun performers!,We just happened to walk by this place without any expectation of seeing much but we were surprised to see a few different dance groups performing for the crowds! We ended up watching for a while and the dancers were quite good. We didn't explore the rest of the area too much but it looked like there was some street food and some cute shops., June 2019
47,3.0,Great place to shop,Will go again as it is a good place to shop. Things here selling at reasonable price. Good for girls who love to shop., June 2019
48,5.0,Hongdae,"get out from subway Hongik univ u'll find Hongdae street activities n nice bbq pork n beef , crowded !!!", June 2019
49,5.0,My #imightSEOULyou trip @Hongik university,If you go to seoul its a must to go here. You can see young people performing song or dancing its really entertaining., May 2019
50,5.0,Good place ,"Good place for shopping or meeting. Lots of shop with variety of goods and things to eat. In the afternoon, there are lots of street show; dance, music, etc. Some shops close late at night.", May 2019
51,4.0,Full of people.,"It was really busy. Bustling to be exact. There was a cafe or something called **Tiger and I've never seen a line this long. There are a lot of restaurants and retail stores. The layout of these neighborhood streets are unique here in Korea, but once you've seen one area you've seen them all. I didn't get a sense of much handmade goods or any unique boutiques. The brands were unfamiliar to me as I'm not used to the K-Brands, but it was fun to be around this area. I did get a hipster feel to here. Like many areas they had big department stores and it felt the crowd here was a bit younger, maybe late teens to young 20's. It's worth a stop and visit. Bring some cash, these districts aren't cheap.Also it seems this would be a good place for night life, but I was here during the afternoon. Smoking a cigar in this area, you stand out.", March 2019
52,5.0,Lots to see and do,Highly recommend staying in this area. So many cool bars and places to eat. Great location that has literally everything you’d like to see in korea. Chimaek (chicken and beer combos) 24hr Korean bbqs Shopping mallsLive performances, April 2019
53,5.0,Free drinks!!,Come join our parties in Club Vera in Hongdae! For free drinks and free entry contact me on kakaotalk: jadawelin or dm me on instagram @vera.jada !!!, April 2019
