,star_point,title,text,Date of experience
0,3.0,Beautiful village,"Noisy tourists has become a big issues here. There are not much see anymore. A lot of murals are cleared by the residents. But still, it is a cute village with cute restaurants to dine in.", October 2019
1,5.0,Lost in a beautiful cute village`,, September 2019
2,2.0,Not much to see anymore.,Most of the murals are already faded.  The neighborhood is clean but there is really nothing much to see anymore.  There are also vandals written by the residents that they dont like tourist coming anymore because of the noise. Going there was difficult also even though I already hired a taxi from Bukchon Village., November 2019
3,3.0,Hilly walk up,, November 2019
4,4.0,Delightful way to spend an hour,"There weren't so many murals but the neighborhood itself was delightful and sweet to explore.  If you have an hour to spend, this would be a great place to go.", October 2019
5,4.0,Funky local art spot!,"My husband and I decided to head out to Ihwa Mural Village early Saturday morning. We followed the directions found on a few different websites to get there.  First things first...it's a good hike up the hill to get to the murals. Wear comfortable shoes! If you have small children just know that it is a walk and that there are even more stairs once you get in to the mural village area itself. Having read a bit about the mural village before going, I knew that a couple of the iconic pieces had been painted over. While sad, there are still more than enough murals to take in that we were not disappointed. The route up to the top and around Iowa Mural Village was well signed and helpful.  Some of the murals are a bit generic but there remained enough along the loop, which took us along the Seoul Fortress Wall for a spell, to keep us entertained.  There were a number of cafes with great views of Seoul.  We enjoyed our visit and would recommend this to people who have explored all the standard sights of Seoul and are looking to branch out to see things off the beaten path.", October 2019
6,4.0,Nice walk,"I stumbled upon this village almost by mistake after hiking along the Seoul Wall. It’s a great walk up and you can include a visit to the Wall Museum, which is interesting and entrance is free. The village itself is just a good place to wonder around and explore some is the small shops, galleries or just look at the street art. Good for photographers.", October 2019
7,1.0,Disappointing,"Some of the locals were fed up with the visitors so they painted over the more famous murals, Some of them are very childish and obviously painted by amateurs.", August 2019
8,4.0,Nice and cute place,, September 2019
9,5.0,Beautiful art,"We stumbled across this village as we were walking to our next destination and saw some really beautiful wall art. A really lovely little stumble, even in the rain!", August 2019
10,3.0,Not great for toddlers and preschoolers ,, July 2019
11,4.0,Interesting murals,, June 2019
12,5.0,Super fun afternoon stroll!,"This was a super unique experience in Seoul! I loved the opportunity to wander aimlessly, and discover lots of interesting shops and views! The street art is fun and offers great opportunities for social media posts. 😂", June 2019
13,5.0,Awesome trip up to Ihwa Mural Village!,"Loving the trip up to this quaint little village. One of the highlights of our 9D8N trip. Interesting shops around for browsing around. Hubby even bought 2*shirts for KRW10,000! Highly recommended if you want a day out of Seoul city.", June 2019
