,star_point,title,text,Date of experience
0,4.0,A must hike,"The hike was quite easy even if you're not much fit (but you will need to stop dozen times aling the way). The scenery was great, you can observe the Namsan Tower from far, the Bukhansan Mountain, the Blue House. Start off from  Gyeongbukgong station, take bus 7020/1020/7022 to", December 2019
1,5.0,Good workout!,"I didn't find this in a must-visit list, but since I was 3 weeks in Seoul I decided to explore it. Google it, and you can get information from travelers who'd been there, including which subway exit, and very detailed directions to start your climb. There's an amazing almost 360 degrees view of Seoul. The climb consists of wooden stairways and on some dirt tracks. There is military installation on this mountain where you are not allowed to take photos. Past the military installation and there is your last 500 meters sprint to the highest peak at 338 meters above sea level. I even climbed it twice!", November 2019
2,5.0,Iwangsan Hike,A great hike and not too difficult. We took The Fortress Trail as well from close to the top of Iwangsan. To get there take the train to Dongnimmun and then take the Muak-dong exit. Just follow the road uphill until you see the Iwangsan trail sign., November 2019
3,5.0,The Perfect Hike in Seoul,"This is the best hike you can do in Seoul. The hike is mild challenging and it will only take 2-3 hours to complete both ascend and descend. If you’re fit, you can complete it quickly. For me, weighing at 108kg, I managed to reach the top regardless. Bring 1 liter of water and some snacks to enjoy at the top. The entire hike is mostly full of steps so, it’s pretty straightforward. And you can get the best views of Seoul. It’s a rewarding experience, especially for those who seldom hike.", October 2019
4,5.0,Fantastic hike,Fantastic hike with stunning views in all directions. There are rest points at a few places. Do not advise if have knee or back problems as can be steep on places. But if get to the top... well worth it., June 2019
5,5.0,Pretty fun and intense hike ,I hike a lot and found this a mild challenge. Lots of elevation as the entire thing is up stairs with each step and same on the way back. Bring a at least 1 L water per person on a hot day if you plan to do the whole ridge. You can see how far Seoul expands in all directions., June 2019
6,5.0,Impressive mountain hike within the city boundaries,, May 2019
7,3.0,Confusing trails... Nice view of Seoul,"The trails are poorly marked. It took us quite a while to find the trail head and even after we got to the trails, we couldn't find out way to the top and.... at one point, we walked into an area that's locked.... I still have no idea how did that happen.  Anyhow, we think we managed to take a couple good shots of Seoul from inwangsan.", February 2019
8,5.0,"Awesome climb, beautiful autumn flowers",, September 2018
9,4.0,A steep walk but your reward is great views,"If it is summer, come here as early as possible. It is a steep and sweaty hike up from the metro station. You will pass some shaman shrines, the guide advised against taking photos of the shrines to show respect. One idea is to come here early and visit the prison afterwards. Another idea is to start your walk along the city wall from here, if you do that, bring plenty of water and some snacks (start early).", August 2018
10,5.0,Climbing along the wall. Great sunset. Escape before the night.,, October 2018
11,5.0,The Perfect Hike,, September 2018
12,5.0,Hiking inside the capital city,"Seoul is really hot on summer so we decided to go on hiking since Korean mountains are not that high, especially those in Seoul. It’s easy to access because it is located near the Gyeongbok Palace. The mountain itself is not that high, only 300 meters high, but still has a beautiful view!", July 2018
