,star_point,title,text,Date of experience
0,5.0,Korean Professional Baseball ,If you are a baseball fan and have never watched Asian professional baseball then add a game at Jamsil Stadium to your list. The atmosphere is festive throughout the game and the quality of play in the KBO is among the best in the world. , April 2019
1,4.0,언제 가도 기분이 좋아지는 야구장,, June 2019
2,4.0,Great place to watch baseball,"Korean baseball is like attending a US college football game.  There are cheerleaders, fight songs, etc.  Lots of noise which is very unlike US baseball. The food and beer outside the arena can be carried inside and the prices are very reasonable when compared to MLB.", August 2019
3,5.0,A baseball game in Korea is a must experience in a trip to South Korea,, August 2019
4,5.0,First timer,, August 2019
5,4.0,Great venue!,"Headed up to Seoul to see a baseball game. Really easy to get to, subway right at the stadium. Pretty good venue, great facilities and easy to get around. Fantastic game and atmosphere with the ground. Had a really fun night, recommend getting here to see a local game if you can.", August 2019
6,5.0,The game is secondary to the experience,, July 2019
7,5.0,Must do on your trip to Seoul!,"The stadium wasn’t even close to full on our Thursday night baseball game but the atmosphere was amazing! The Koreans love their baseball and honestly, it’s infectious. The cheerleaders are such good fun as is the food and beer culture. It’s also super cheap to go too versus the US.", June 2019
8,5.0,Great day out ,"Great way to spend a Saturday afternoon! Scorching weather, cheap beer and a lively atmosphere! Perfect day out alone, with friends or with the family.", June 2019
9,5.0,Not your typical baseball experience and thats a good thing!,, April 2019
10,4.0,Enthusiastic crowds,"A visit to a baseball game is definitely worthwhile. In our case, it was LG Twins vs. NC Dinos, who were well supported for an away team. In comparison to US baseball games, in our experience the audience is much more lively and consistently cheering on their team. Tickets were available at the stadium on game day, which was possible due to it being a non-rivalry game against an out-of-town opponent. Third-base upper deck tickets were approx $15 each, with good view of the game. Plenty of food and drinks available inside but feel free to bring your own as well.", May 2019
11,5.0,Electric Atmosphere!,, May 2019
12,4.0,Great Park,"Great experience, enjoy the baseball and the food is awesome with a ton of variety.  My first Kprean baseball experience was really cool.", July 2018
13,4.0,Doosan on Bears Baseball game,, April 2019
14,5.0,Fun Even if You Don’t Like Sports,, April 2019
15,4.0,Very cool! ,Since I was in Korea for a week we got really lucky and noticed baseball was on and did some research. It was really hard or near impossible to buy tickets online as nothing is in English but you can come 30 mins before the game and heaps of tickets still available. We got to sit near the middle for around $20 AUD. Very cool atmosphere and lots of fried chicken options. Worth coming even for a few hours (game can take hours)z, October 2018
16,4.0,The baseball stadium,, November 2017
17,4.0,"A good baseball experience in Seoul, but not the best in Korea. Extremely difficult to reserve tickets online.",, September 2018
18,5.0,Easy to get to ballpark in Seoul,Like baseball? In Korea? Like beer? Then this place is for you. Its an airy ballpark with cheap seats and cheap drinks. Front row seats at field level are ~30 USD. The cheerleading is fun to watch as well. Easy to get to via subway and/or bus., May 2018
19,5.0,Just do it,"Great experience for my girlfriend and I. As Western Canadians, we aren't really into baseball. But we happen to be walking by the stadium on our last day and said screw it, lets go in. Bought our great seats for approx $11 CAD, what a deal! The people selling the tickets didn't have a great grasp at English, but they still made seat selection and buying tickets fairly straight forward. I highly recommend seeing a Korean baseball game. What a surprise!", September 2018
20,5.0,Top 5 Baseball Games,, September 2017
21,5.0,A Must Do!,"If you are in Korea during baseball season, don't miss an opportunity to catch a game.  Whether you are a baseball fan or not, you will be glad you went.  There are plenty of websites that explain how to get tickets.  In short, arrive at least an hour early and buy tickets at the gate.   Pay attention to who is playing.  Each baseball stadium hosts two teams.  If the two home teams are playing each other, expect a sell out and you are not likely to get tickets (unless you are comfortable buying them from a scalper).", April 2018
22,5.0,Fun time,, July 2018
23,5.0,"Great, fun Korean experience",, June 2018
24,5.0,Highly recommended to come and view a baseball match,"I am actually not a fan of baseball, in fact I know nothin about it. My hub is one and he wanted to come and catch a match since we are in Seoul. We were there for Doosan Bears VS NC match on a Friday. Bought the tix about 1.5 hours before the match (6.30pm) at 32k in total. Pretty good seats. The koreans were very enthusiastic and cheering for their teams. We joined Doosan Bear fans and boy, we had sooooo much fun! We were cheering alongside with them and I quickly became a fan! There were lots of fried chicken sold outside as well as beer! The match ended at 9.30pm but it didn’t feel long for us. Would love to be there again!", June 2018
25,5.0,Took my heart to a ballgame 🎶🎶,"We lucked out in getting amazing seats in outfield section 414 for the LG Twins vs Nexcen game. All for 9,000₩ a piece, we enjoyed the best of the hometown crowd, to include having a huge banner drawn overtop everyone. As English speakers we couldn't follow the words but we got into it, and sang along what it sounded like to us. The Twins didn't disappoint with a grand slam and double homer. They won the game and my heart. I'm now a proud owner of retired #9 Lee Byung-kyu shirt. Am incredible memory of my trip to Seoul.", June 2018
26,4.0,Amazing fun watching baseball,"Great stadium and great fun watching the communal singing and chanting for each team. Baseball is not major league, but good. Take your own food or buy relatively cheaply in the ground. Was just a fun few hours.", May 2018
27,5.0,If you like Baseball you got to go! Even if don't that much ...Go!,"We love baseball and watch or attend American Major League Baseball regularly. So we thought let's take in a game in Seoul while we are there. It was a great experience. The Korean fans sing and chant continuously, they have cheer leaders and song leaders. It kind of reminded me of English Premier Soccer chanting. There is usually a fair amount of scoring. Everything is timed. So the breaks between innings or pitching warm ups is short. Tickets are not very expensive ($15 each). Concession and street food is available outside the stadium, and you can bring it in with you. Prices inside the stadium are not much more than outside. Go and have fun", April 2018
28,5.0,A must visit for baseball fans!,It's so lively and fun throughout the game. Tickets can be purchased few hours before the game it is super easy even for foreigners or if you can't read hangul you can get by just pointing out your desirable seat., August 2017
29,5.0,Best Baseball Experience Ever (Korean Baseball),, July 2017
30,5.0,So much fun ,Even if you do not like baseball I would recommend going to a game here. I am a die hard mlb fan but I must say that Koreans know how to have a good time at the ballpark. Lots of singing and dancing and all around good energy for the entire game. Cheap and good options for food to eat as well. Let's go Doosan!, July 2017
31,5.0,one of the best again and again,"great stadium, outstanding fried chicken, big plastic jugs of beer and some of the best baseball fans in the world.  always a great deal of fun.", June 2017
32,5.0,Korean Baseball!,, July 2017
33,4.0,Korean Baseball Madness,I can tick this off of my bucket list. Complete and utter insanity... more of a combination of American Idol and the carnival. Very difficult to watch baseball if you are a real fan. The music and dancing girls and singing never stops! A must see if you ever visit Seoul!, June 2017
34,5.0,The way baseball should be watched.,I decided to go see the LG Twins vs. Doosan Bears and what a crowd! I happened to be sitting with LG Twins fans and whenever the Twins were up to bat their side of the stadium would break out in song and chants. Then whenever the Bears would go up to bat the other side of the stadium would do the same. What a fun night!, June 2017
35,5.0,Brilliant....seeing a baseball game in Korea is an amazing experience,, May 2017
36,5.0,Awesome atmosphere!,"I went to watch the baseball match between the LG Twins and NC Dinos. The atmosphere was amazing! There cheerleaders and each baseball player had their own specific cheering song. I also tried the famous chimaek aka korean fried chicken and beer combi there and it was very delicious. The stadium is outdoors and the weather was great as I went during spring. Would definitely recommend everyone to watch a baseball game there! Also, you can buy the tickets on the spot and it is not expensive, about 12,000 KRW for a relatively good seat.", May 2017
37,5.0,1st base side,"I went to 2 games.  LG Twins are more popular than Doosan Bears but great atmosphere for both.  The Korean baseball stadiums are designed so the home fans sit in shade, visitors burn in the sun.  So buy your day game tickets for the 1st base side.  For night games consider 3rd base as there are fewer visiting fans.  The cheerleaders for SK Wyverns stuck around after the game and I got photos with both of them!   Also go up to the very top for a good view of the Olympic Stadium.", May 2017
38,5.0,Great field for baseball,"The outside vendors are great, the convenience stores are plentiful, and the games are fun. Going to Jamsil is one of my favorite things to do in Seoul.", September 2016
39,4.0,Great atmosphere!,, May 2017
