,star_point,title,text,Date of experience
0,5.0,"Amazing, traditional and easy to follow for foreigners!","I am so happy that I could see this before leaving Korea! All performers were amazing, the sets, costumes and production was beautiful! They also make audience part of the experience which is always welcomed. I would definately recommend this to everyone. Wery special", December 2019
1,5.0,Stunning,"Our visit to the Jeongdong Theatre was the highlight of our trip to Korea.We saw ""The Palace: Tale of Jang Noksu"".The grace and artistry of the performers is gripping.It is a microcosm of Korean culture.The theatre is 15 minute walk from the Gyeongbokgung Palace and the Royal Guard Change.There is a cafe next door selling lovely snacks,cakes and drinks.We bought the tickets online for about £16 each.", August 2019
2,4.0,A very entertaining and high-tech performance,"While this is a very commercial presentation, it is very high quality, and performed by very talented people.  Well worth including in your visit to get a taste of Korean music and dance.", October 2018
3,5.0,Entertaining Show,"I saw ""The Palace"" show with my friends. The show is a story about a king and his concubine. It's easy to understand because there aren't a lot if dialogue and they have subtitle in English, Chinese, and Japanese for foreigners.", April 2019
4,4.0,Entertaining and amazing cultural show,"I thoroughly enjoyed this 75 minute “The Palace” performance which was easy to understand and follow, in part due to the expressive acting, but also the English narrative provided on the screen to the side of the stage. Interesting folktale told with imagination and style. Wow! Such amazing dancing and percussion skills; if you have a dancer or a drummer in your family, GO to this performance because you’ll be amazed at the talent exhibited. I purchased my ticket 15 minutes before showtime and got an excellent seat (the theater design is such that I don’t think any of the seats would be ‘bad.’). The performers interacted with the audience in a fun and entertaining way and the pacing was fast enough that I think younger children would stay engaged. The interior was cool, which was refreshing after a hot afternoon, but might be chilly after awhile. Short walk from the City Hall metro stop. Definitely worth the $43 ticket!", May 2019
5,4.0,Good place to rest on travel near,"C ( 19.05.08 ) Though I didn't see play in this theater, but the inside was good place to rest. The theater was located in B1, and the floor was cafe and place to rest. The floor had wide space and sculpture. If travel on this area, there would be good place to make a pause.", May 2019
6,5.0,Extraordinary experience,"Very nice experience, I would suggest to everyone visiting Seoul to book a ticket for performance in this theater. It was nicely done, good artistic performances and fun, all in one. We have got the cheapest tickets, but the view was still very good.", March 2019
7,5.0,Traditional Korean Theatre Beautifully Done,"We saw ""The Palace"" at Jeongdong Theatre and were blown away by the performance. I am a high school drama teacher, so I'm often looking to see traditional pieces when we travel. This theatre didn't disappoint. The small venue has nothing but excellent seating - there isn't a bad seat in the house. The performance showcased traditional costumes, stories, dancing, music, and drama and was thoroughly engaging. I highly recommend taking in a piece here if you are in Seoul. Tip - check out the 1/2 price tickets available on Wednesdays. :)", July 2018
8,5.0,Fascinating traditional Korean Theatre,"I saw the afternoon production 'The Palace' in July 2018.  It is a traditional type story beautifully performed in traditional costume.  It is all dance, music and mime so there is no language issue and it is accessible to all.  At the beginning screens on each side of the stage describe the story in Korean, English, Chinese and Japanese so that you know what is going to happen, and then before each scene the same screens tell you what is going to happen in that scene in the same languages.  I love Theatre in general and wanted to see traditional Korean theatre.  I found it a delight.  It is 75 minutes long with no interval, which was about the right length. I think younger children might get bored after a while.", July 2018
9,5.0,Amazing and spectacular performance of traditional Korean culture!,"This was probably one of the best performances I've ever seen. It's like a historical K-drama come to life, but even better and more engaging. Every scene was suspenseful and kept me at the edge of my seat. As a foreigner, it was easy to follow the story as this is a non-verbal performance. Before the beginning of each scene, there were also captions (in English, Korean, Chinese and Japanese) summarising the scene, allowing the audience to have a better understanding of it.The performers were also professional, passionate and extremely talented. One unique thing about this performance was the engagement of the audience at the beginning of the performance. It was like a ""game"" between the audience and the atmosphere was lively and it was fun! I find it brilliant how the performers managed to convey such strong emotions and message without verbal communication and I think the production team did a wonderful job in this performance. The whole setup was extravagant and detailed and the use of stage props also made the performance very captivating and special.For a performance that was only a short one and a half hour, I felt like I invested so much emotions and feelings into it. Seriously. Time passed so fast without even realising it. I'd say my time was well-spent and I had a great afternoon at Jeongdong Theater thanks to this wonderful performance :)Also, there were times where the performers would appear along the aisle of the audience seats and I thought that was pretty cool since you get to see them up close! Photo/video-taking was not allowed during the performance until the last 5 minutes of the performance and after the end of the performance, there's also a photo-taking session with the main characters of the performance!I highly recommend anyone in Seoul or planning to visit Seoul to watch this performance and I don't think you will regret this experience! :)", April 2018
