,star_point,title,text,Date of experience
0,5.0,Peaceful and Insightful in the Middle of A Metropol.,Really this is one of the few places I enjoyed in Seoul. Seoul is by far one of the cities that I don't like and it is greatly because of the coldness and lack of warmth of its people. but still we like to travel to understand the past of every culture and the origins of their, January 2020
1,3.0,Spiritual ,"Guided tours in English, German, Chinese and Japanese are available at particular time slots. Guide services are included in the entry ticket. You can enter the shrine only at these time slots as part of a guided tour. Tours in English are at 10 am, 12 noon, 2 pm and 4 pm. We reached there close to 11 am and had to wait for more than an hour to get in. The  shrine is where memorial service for the deceased kings and queens are held. The rituals continue even today. Annually, a big ceremony is held. The buildings are very simple. None of the grandeur associated with royalty. Not many exhibits . Would not term this as a must visit place", April 2019
2,4.0,Informative tour,"Jongmyo shrine is a fascinating visit for anyone interested in Seoul’s history. You can only visit the shrine with a guided tour (except on Saturdays apparently) but the tour is included in the ticket price. The guide was passionate & informative & ensures to sensitive tourists to the meaning & customs of the shrine. The tour takes about 1 hour.  Definitely worth doing, especially if you don’t know a lot about Joseon customs & traditions.", November 2019
3,3.0,Good for a relaxing walk in the park and some Korean history,Entry to the Jongmyo Shrine is included in the Royal Palace pass but you can only enter with a tour - English tours are at 2pm and 4pm. A pleasant walk in a shady park on a hot day and interesting to find out about how the ancient kings were honoured but not as picturesque as the palaces in terms of architecture and decoration., September 2019
4,4.0,Shrine for the spirits of kings,I just thought of going there as it was near Gyeongbokgung Palace. Pretty interesting site/area. It's also listed as UNESCO Heritage site. Cost to enter was 1000 won per adult. Pathway leading everywhere was not to walk but for spirit...I was fascinated by it. It was very different shrine than others that I have visited., October 2019
5,4.0,Fascinating view of how the spirits of the Kings are honored.,"Easy enough to visit on your own.  Most days you can only go in during the hours designated to your language (a guide provided).  On Saturdays, no guide is necessary so you can view at your own pace.  Only $1,000 won per adult and free for those over 65.Be sure to stay off the main pathway which looks just like the central stone paths in the palaces.  Here, it is reserved for the spirits! :-)", September 2019
6,4.0,Because it is a UNESCO Heritage site?,Decided to visit the attraction because it was listed as a UNESCO Heritage site and entry was free because of the Chuseok holidays. Was nice to walk through a place of history and I liked the vast open space of the Jeongjeon area., September 2019
7,5.0,History on display,"I was doing a walk and stumbled upon this Shrine, and as it had free entry to celebrate a special day I took the opportunity to visit.The shrine is a green area within the city and has clear flat paths to navigate to head up to the shrine. To get from the path to the shrine there are 3-4 large steps. A ramp on the northern side entry might assist.The shrine itself was not open but you can see the building.There were several toilet blocks and also a covered pavilion.Worth the visit to this world Hermitage site", August 2019
8,5.0,A UNESCO Heritage site in the heart of Seoul,"A must visit site that can be visited ONLY with free guided tours provided on-site. English speaking tours are at 10am, 12pm, 2pm and 4pm. You are not allowed to join other language tours. On saturdays, you can enter the shrine on your own without a tour guide. Entrance fee is 1000 won incl tour guide", June 2019
9,4.0,Royal Shrines,"These Royal shrines are UNESCO World Heritage listed. The shrines are set in a parkland landscape. I strongly advise visiting on Saturday as this is the ONLY day self guided tours are allowed. All other days a guided tour is compulsory. The two main shrine buildings are impressive for their size. Entrance is 1000KW, the Royal Palace Pass works here. Watch out for the spirit way and don't walk across it!!", July 2019
10,4.0,Guided tours only,The only way to enter the shrine is through the guided tour offered by the staff. It is very organised and detailed. This is an interesting tour about ancestral worship for the past kings and queens. The shrine is included in the Royal Palace Pass along with the other palaces. A good deal if you have enough time to go for all., July 2019
