,star_point,title,text,Date of experience
0,5.0,Peaceful and Insightful in the Middle of A Metropol.,Really this is one of the few places I enjoyed in Seoul. Seoul is by far one of the cities that I don't like and it is greatly because of the coldness and lack of warmth of its people. but still we like to travel to understand the past of every culture and the origins of their, January 2020
1,3.0,Spiritual ,, April 2019
2,4.0,Informative tour,"Jongmyo shrine is a fascinating visit for anyone interested in Seoul’s history. You can only visit the shrine with a guided tour (except on Saturdays apparently) but the tour is included in the ticket price. The guide was passionate & informative & ensures to sensitive tourists to the meaning & customs of the shrine. The tour takes about 1 hour.  Definitely worth doing, especially if you don’t know a lot about Joseon customs & traditions.", November 2019
3,3.0,Good for a relaxing walk in the park and some Korean history,Entry to the Jongmyo Shrine is included in the Royal Palace pass but you can only enter with a tour - English tours are at 2pm and 4pm. A pleasant walk in a shady park on a hot day and interesting to find out about how the ancient kings were honoured but not as picturesque as the palaces in terms of architecture and decoration., September 2019
4,4.0,Shrine for the spirits of kings,, October 2019
5,4.0,Fascinating view of how the spirits of the Kings are honored.,, September 2019
6,4.0,Because it is a UNESCO Heritage site?,Decided to visit the attraction because it was listed as a UNESCO Heritage site and entry was free because of the Chuseok holidays. Was nice to walk through a place of history and I liked the vast open space of the Jeongjeon area., September 2019
7,5.0,History on display,, August 2019
8,5.0,A UNESCO Heritage site in the heart of Seoul,"A must visit site that can be visited ONLY with free guided tours provided on-site. English speaking tours are at 10am, 12pm, 2pm and 4pm. You are not allowed to join other language tours. On saturdays, you can enter the shrine on your own without a tour guide. Entrance fee is 1000 won incl tour guide", June 2019
9,4.0,Royal Shrines,"These Royal shrines are UNESCO World Heritage listed. The shrines are set in a parkland landscape. I strongly advise visiting on Saturday as this is the ONLY day self guided tours are allowed. All other days a guided tour is compulsory. The two main shrine buildings are impressive for their size. Entrance is 1000KW, the Royal Palace Pass works here. Watch out for the spirit way and don't walk across it!!", July 2019
10,4.0,Guided tours only,The only way to enter the shrine is through the guided tour offered by the staff. It is very organised and detailed. This is an interesting tour about ancestral worship for the past kings and queens. The shrine is included in the Royal Palace Pass along with the other palaces. A good deal if you have enough time to go for all., July 2019
11,3.0,"Not much to it, don't go expecting much.","Don't visit expecting to be blown away or see a something really mind blowing. The shrine was free for myself and my mother as we were on a tour, but normally it's like 1200 won I believe. There's some neat gardens and the tombs of the 19 main Joseon emperors. That's about it. Some decent photos, but nothing crazy. Once you start the walk you have to finish it, so if you're not sure about your legs, save your time. There are also lots of racoons walking around, but they don't bother people.", July 2019
12,3.0,Jongmyo Shrine,"The surroundings were beautiful, as you can see from the photos. I wasn’t overly excited by the shrine itself. Nonetheless, it was interesting to learn about the king, prince and spirits and the pathways designated to them through the shrine.", August 2019
13,4.0,Easy and Affordable Family Tour,"My family and I visited this shrine and were impressed with the beauty and history of the site that was easily accessible using public transportation and the price was affordable.  It can get hot, especially since the shrines are in wide-open spaces paved with stone, but the paths leading to the shrines are in the shade.", June 2019
14,4.0,Solemn environment,, June 2019
15,5.0,Interesting and peaceful ,, July 2019
16,5.0,Peaceful & Educational,"Visited this UNESCO site during my trip to Seoul and was very glad I did.  The whole experience was fantastic and well organized.  This is the only site that requires guided tour to enter thus the crowd flow was manageable allowing visitors to take their time, photos and walk through the vast site to fully appreciate this piece of jewel of the past. Visitors must take note of the guided tour times and show up in time to join them. I didn't buy tickets ahead of time, just showed up at the ticket counter 1 hour before the tour, buy ticket and wait.  It was a worthwhile wait.  Highly recommended,", June 2019
17,3.0,PEACEFUL SETTING,Jongmyo Shrine is worth a visit if you are in the general area.. We were not able to enter the shrine.  For some this may involve more walking and steps than its worth.  It helps to have a guide--otherwise it is just a restful stroll.., June 2019
18,4.0,Lovely parklike setting . . .,"Not one of the ""must see"" places of Seoul, but if one is in the area it is interesting to visit the site where the ""spirit tables"" of the royalty and priviledged servants of the Joseon Dynasty reside. No, this is not a cemetary which is the final resting place for the body -- but rather the final resting place for their spirits.", June 2019
