,star_point,title,text,Date of experience
0,4.0,Big mall with a lot of variety ,The mall is huge and you can buy almost anything you need. Parking is not difficult with payment deferred if you shop. The supermarket is also big and complete. Lines are not too long and there is a tax refund options if you bring your passport. You can spend the whole day here, January 2020
1,5.0,Among the best in the world of retail shopping ,"This department store has basically everything you need. From mid range to luxury fashion items. Various range of restaurants in the food court. But for now , clothes are mostly geared for winter. At the same period , most bases are covered. ", December 2019
2,5.0,Great for shopping,Very big department store for shopping. Many options of Korean brands & international brands. A lot of food selection and Korean deserts. Located at the heart of Myongdong area, December 2019
3,1.0,Extremely Poor Service,, January 2020
4,4.0,Good place to shop for branded Goods,See many Tourist buying Cosmetic in bulk. Many bring along the big luggage with wheel. Was at the cosmetic level and it's clouded. Can see some sitting on the floor near toilet for rest and transfer shopped items into the luggage ready for next round of shopping. Some branded sunglasses also giving good discount., December 2019
5,2.0,Not The Best Place for Korean Items,, December 2019
6,1.0,Staff there is very rude!,I went at 12 F and looked for cosmetic product. The staff there dont even know english. And when i asked this one counter. Cannot remember what the shop name. But its near escalator. Maybe pop up store. She was playing with her phone. Then i asked few times and she refused to answer my questions. Keep on playing with her phone. Then after few times then she answered its a toner without looking at my face. And keep playing the phone. Really disappointed with what happen., November 2019
7,1.0,MAC counter has a rude staff,"Well, tonight I have very bad experience on MAC cosmetics counter in Lotte Department Store ever as a tourist in a quite luxury place with some other luxury brands inside together. The girl staff in cashier looked to inside my wallet 'twice', somebody in charge who see this review just check your cctv, I'm sure all recorded,it was around 8:15 pm until 08:30 pm, November 22nd, 2019, before I paid and after I paid and gave the money to her friend, they don't speak English well also, and nobody said sorry at all. Is it their manners sell as quick as possible without consideration to serve customer well as I am as a tourist??? For sure I won't be back to this cosmetic counter ever, when I visit Seoul next time. Here I put a picture of the receipts showing time and date of purchase.", November 2019
8,5.0,Huge food hall; gorgeous store,"Every floor in this store is eye candy for a shopper. Every brand I’ve ever heard of and many I haven’t can been found here. I bought an adorable purse from a Japanese women’s golf clothing designer. They have a huge makeup and skincare department, and even a Lush Bath and Body section. Then there’s the basement. It’s a grocery store, food hall, and confectionery.  It’s huge and it’s a delight to the senses.", October 2019
9,4.0,Mall,You can find everything in this mall Mall that is close to Seoul Station. Very easy to get and also very large to shopping in., October 2019
