,star_point,title,text,Date of experience
0,5.0,You can take attractions in city area!,"The place is located in middle of jamsil area in Seoul, there is a discount if you visit at night. Lots of snacks too!", March 2020
1,5.0,Fun!,I live pretty close here so anytime I can I always go there. I go there with my friends. The attractions there is soo fun. They also have good food too. Even though I go there all the time it's always fun., March 2020
2,4.0,Nice Day Out,"Nice day out, good fun indoors and out, lots of places to rest, eat and drink. Suitable for all ages.", February 2020
3,4.0,Fun for children,This is a good theme park for children to have fun when travel Seoul.The theme park is at neat downtown that not far away travel need., March 2019
4,4.0,Family fun day,"Whilst at the beginning I thought it was a little pricey, the number of rides available to all and short wait time made it worthwhile. Only downside was the lack of English speaking guides within the park which made it a little difficult to get around. Other than that we had a great time", February 2020
5,4.0,To the Magic Island for more challenging experiences,"we went there during our winter holiday, and found out that during winter some of the outdoor rides was closed. then we spend half day inside the lotte world but it was too packed, most of the rides have around 40 minutes waiting line. but its worth the fun, our 6 years old daughter was have some fun on the park. TIPS: install the Lotte World Adventure apps on your mobile phone, to get more info on the queue line and you also can book the ride as well.", December 2019
6,4.0,Travel,"Lotte World Tower is one of Korea's architectural crown jewels. The tower symbolizes the meeting of the modern with the traditional, nature and cutting edge technology, and the accomplishments of man. Lotte World Tower contains everything that is necessary for modern urban living.", January 2020
7,4.0,Largest indoor theme park,"We travelled in winter, therefore chose Lotte over Everland and it didn't disappoint. As any theme park, there are many attraction, rides etc. It's connected to an outdoor amusement park called Magic Island and the theme park itself is connect to a shopping mall that features theaters, sports facilities etc. It's closer to the city and can be reached easily by public transport", December 2019
8,3.0,The heat is on...,OMG if you are a 50+ woman or a warm blooded man you are in for a hot night!The temperature of this hotel is 28 degrees and you cannot get the air conditioning to work as it does not switch on in winter. When we told the staff that we thought the air con was broken they checked it and it could not be lowered! We were kindly given a fan! It was not a silent fan but then again either am I!!, January 2020
9,4.0,First Visit to Lotte World,"Came on a week day but there were loads of people, glad we took the tickets with the magic pass and saved a lot of time from queueing. overall had a great time.", December 2019
10,1.0,No one speaks english.!!!,"What the hell is that!!! We enter a ride that has a storyline, its in korean!!! Not a single ride has English announcements or experience!!! As a foreigner its a completely worthless experience!!! So if you really want to enjoy better learn advance korean", January 2020
11,3.0,Lotte World,"Avoid going during public holidays, school holidays and weekends. The queues are so long. It takes 1 hour to queue for any ride. The plus side is that its cheap entry tickets.", December 2019
