,star_point,title,text,Date of experience
0,4.0,Tokyo feels basement food court,"If you have liked basement food courts in some of tokyo’s department stores, this place will bring you back there. Lots of dine in and takeaway selections. I quite enjoyed it.", September 2019
1,4.0,"If you love shopping, go there","It has many well known Korean brands at one place and also in the basement there is a Kpop store. Honestly if the busy streets of Myeongdong are too much, it is a good way to still get some shopping done.", June 2019
2,5.0,Suitable for ladies,"As someone who is social media-savvy, I see a lot of Korean online stores that sell veryyy cute clothes. I couldn't buy them because I have trust issues with shipping companies esp. internationally. At this mall, the 3rd floor is specifically for their most famous online stores", June 2019
3,3.0,A department store,"The one thing worth mentioning about this store is that it has some shops specifically for youngsters and the young at heart. Rather than a mall of different retailers, this appears to be all Lotte, which didn’t feel like great value", May 2019
4,1.0,Fraudulent operation with my credit card,"At the BT21 store where they sell all the cute animals stuffs, I was charged twice on my credit card. The young lady told me that I had to insert my card and sign one more time. I should have been more cautious, as I could have checked on my credit card application right after.", October 2018
5,4.0,Best location and variable shops,"It just located in the center of Myeongdong - the center of Seoul with hundreds of shop and coffee, bars.", March 2017
6,3.0,"For young people, connected to Lotte Department Store","Just like it's name, this plaza is designed for young people with high end brands. This mall is connected to the main branch. If you are in this area (and have time), you can look around this place.  We went inside this mall after visiting Lotte Department Store.", January 2018
7,5.0,Best Place for the young ones ,A great place for the young people who are interested in the latest fashion and the korean idols styling, November 2017
8,3.0,"Mall for the young, ""specifically""........","As the name implies, this is a mall targetting specifically the young people. It is just across the main Lotte Department Store.   Unless you are in the young people category, suggest just skip this place & go directly to the much bigger & more diversified main store instead.  ", November 2017
9,4.0,Big department store,"The Lotte Department store is a large shopping mall and is the leading department store in South Korea.   The Lotte Group has opened malls in Jakarta and other Far East capitals.   In Seoul, the main store is in Myeongdong area. This area has the largest shopping area in Korea.", August 2017
10,2.0,Expensive but Interesting Place for Young Rich People,"Went in with an open mind and true enough it was another mall for trendy richies. I was expecting the mall also covering very young group, but my daughter and i stopped at level 2. We started from basement where SUM was but were not very encouraged to continue to find out more.", October 2017
11,3.0,Mostly for young ladies,"Lotte Young building is quite big but the stores are small.  It is the characteristics of the shopping malls in Korea.  Most of the stores sell clothing and accessories for young girls / ladies.  It depends on your age, some people may not find it interesting.", October 2017
12,4.0,"Nice mall, not very big, secondary to Lotte Department store","This plaza/building is just right next to the Lotte Department Store so personally I would prefer to go to the Lotte Department store as Lotte Young Plaza is just a smaller version, with smaller clothing stores and such. HOWEVER FOR KPOP FANS: there is a smtown when you go to", December 2016
13,3.0,Just a Mall,Just a mall... not very big... free wifi... located at myeongdong shopping street.... you may visit if you have time or you can skip without regrets., April 2017
14,5.0,Great place for shopping ,"That's a great place for shopping, located across a street form Myeong-dong (shopping) street. There is also a quiet place on the top of the building to have some rest. It's like an open air park on the roof.", May 2017
15,1.0,Very Disappointed with Service,"We went to Lotte Young because its the nearest mall in our hotel there are lots of different branda of clothing available. Although it's a bit expensive, you will be able to find unique clothing.  My poor customer service experience came courtesy of the not so friendly staff of", April 2017
16,4.0,Lotte Young Plaza ,"Typical korean department stores but head all the way to 9F for the sky garden / skypark. Beautiful garden, breathtaking scenery. Perfect for shots and for couples. ", April 2017
17,5.0,"Great fun, Food and SHOPPING!!",It's a great mall. You can find international as well as Korean Brand.. everything imaginable is within its walls. The price is according to the brand. , March 2017
18,4.0,Big plaza,Located at myeongdong very strategic. Connected to lotte department store and many young people come to shopping or find some food., August 2016
19,3.0,More for youngsters and teens,I happened to be at Lotte Young Plaza Myeongdong because there was a bus stop just outside Lotte Young. Most shops target for youngsters and teens., February 2017
20,3.0,For younger customers...,I don't go to Lotte Young Plaza that often but I dropped by to visit the Line Store and Memebox to pick up gifts and cosmetics. This mall is geared towards the younger customers so you'll see a kpop store that sell merchandise for fans. The brands at this mall is trendy so, November 2016
21,5.0,Great packed mini mall,"It is like a mini version of dongdaemun shopping complex. They sell mainly women clothings, accessories and makeup. its interior is arranged in a very packed order with many different brands next to each other. Mostly are korean independent brands but they have universal brand", December 2016
22,4.0,Appealing to younger customers segment,"The mall is a sublime of Lotte Department Store, which the former is mall appealing to younger customers segment, Lines & Friends is sitting at the entrance, with younger brands of skincare, and lots of apparels and accessories featuring to youngsters are grouped in the 8-storey", December 2016
23,4.0,More trendy brands and clothing,"This mall is more aimed towards trendy brands and clothing for a younger crowd, in contrast to the high end brands of the Lotte Main mall that is next door. It's not anywhere as large as the main mall, but there are more affordable items.", November 2016
24,4.0,"Mall for Trendy Things, Pop Up Stores & Kpop Fans","This mall is just next to Lotte Mall located in the heart of Myeongdong street. During winter, it was decorate with colorful lights with Christmas theme, which is really beautiful & selfie worthy. There is a permanent SM store & also YG pop-up store which sells kpop merchandise", October 2016
25,5.0,Teenage shopping center,"This Lotte building provides stuffs for teenagers, mostly cloths. There is linked sky bridge connecting from Avenuel Building on 6th fl., so it is very convenient in the raining day.  Additional teenage items are also available at Lotte main shopping building.", October 2016
26,3.0,"Narrow space shopping center for K-pop maniacs, Line friends, etc ","Opposite Myeongdong, this 5-or6-storeyed compact young, teenager shopping mall with basement link to Myeongdong underground shopping mall, is quite busy with young teens who craves for Kpop stars ' souvenirs, line friends' products and casual wears. It's quite narrow space, if", October 2016
27,5.0,Young & Chic,"A relatively young mall with a range of Korean Local online shops also have their boutiques on the 2/F, eg. Nanings 9, Pigment, cosmetics 3CE counter accessories, ... There's a Line Shop on the G/F, & Goong Cha on the 2/F. It was a nice to spend a quiet afternoon here. ", September 2016
