,star_point,title,text,Date of experience
0,4.0,Shopping Street,"This area has a lot of skincare and cosmetics products. Price is not really cheap (Ehwa area is cheaper). However you can get everything here. A lot of food vendors too. Halal restaurants also available here. If you want to do a lot of shopping in Seoul, there are a lot of", October 2019
1,5.0,My favourite place in seoul,"We always book our stay near the myeongdong shopping street because of the convenience and the endless food and shopping options it offers. You can find all the famous korean cosmetic brands there and the shops and streets are always crowded, especially at night. The street food", January 2020
2,4.0,cosmetics and skin care haven!,"Here you can find Korean hype brand, medium to high-quality brand in way cheaper price than in any other country. The restaurants were a bit expensive compare to other areas in Seoul, but this like where first timer tourists should to go to.", December 2019
3,4.0,Great fun,"Go early evening to enjoy the food stalls, & check out the Chicken & Beer bars (that's exactly what they serve!).", March 2020
4,5.0,Shopping Galore,This was a unique shopping experience for the family. There were so many street vendors with just about anything you can think of and lots of food. There are also shops and restaurants in the buildings along the street with more selections than the street vendors so you really need to make a day of it if you have people with you that have the shopping bug., February 2020
5,5.0,Clean walking street and many stalls on the street in the afternoon,"many cosmetic and clothing sold the the stall but most sold at the same price. Some restaurants located need to walk the stair up before you can take the lift to the desired level hence not convenience for people who have problem climbing the stairs. Mobile tourist guide (international language) located at heart of myeongdong street, they are every helpful and get you to where you want including how to book tour trip. It will be a plus if there is more english signage to get around seoul", February 2020
6,5.0,Cosmetics and food haven,"If you're crazy about korean skincare/cosmetics, this is a MUST visit. There are a lot of shops to choose from. Love the street foods available at night. Some food items are pricey but most are affordable especially for budget travellers.", April 2019
7,4.0,Shopping shopping shopping,"This area of myeongdung is a shopper's mecca. From all the skincare beauty and latest street fashion wear. Bustling, crowded and lively to spend your time and money right here.", February 2020
8,5.0,Lots of choice,"Great place for choice, yummy street food and ease of getting around. There are few well known brands from the west such as Zara, Levi’s, Tommy Hilfiger, Calvin Klein, Adidas and H&M for what we saw, could be more as it’s a big place, highly recommend a steakhouse in my other reviews.", February 2020
9,5.0,Nice for foods,, September 2019
10,4.0,Fashion and cosmetic galore,"A must visit when coming to Seoul.Pros- Spacious walkways as compared to say Taipei's street/night markets. 2) Comestic, fashion and foodstuff for snacking relatively affordable. 3) Easily reached via Seoul Metro Stn of Eujiro 1 ga n Myeongdong.4) Wide range of hotels to suit one's budget arnd the area. Cons-1) Their street food are quite pricey for a night market.Average arnd 3000 won for just about any finger food and taste just about average. 2- Can get lost easily as most places in there looks very similar. Nonetheless, a must visit when travelling to Seoul.", February 2020
11,3.0,rude street vendors,, February 2020
12,3.0,Too much of everything ,This place is fun for 15 minutes but then it is just way too much. It is; however a must see when in Seoul, February 2020
13,4.0,Best street food in Seoul ,This is the place if you want to enjoy a variety of street food in Seoul. They have  some halal food also, December 2019
14,4.0,Chaotic Street Food,, December 2019
15,5.0,A bustling part of Seoul that comes alive at night,"This is an awesome area to shop and have some delicious street food. At night the whole place comes alive and it's just great walking around exploring all the side streets and deciding which street food to try next. So many shops to choose from and if you need some comfort from the west there is always Zara and H&M as well. There are ALOT of beauty shops, as there is all over Seoul. We can back here many times and found something new each time to explore.", January 2020
16,4.0,Myeondong Solo,"If you are an avid skincare followers, you must go to Myeongdong street for an haul. But I didn't come to Myeongdong for skincare. The street food was reason I came the first time and turned out pretty goooddd. Next stop was Myeongdong Subway exit 6, where you can find heaven of kpop stuff. I bought some for myself hehe.", January 2020
17,5.0,You can finde here everything,If you want to buy souvenirs or the best face products or have a cup of coffee in strange place or just enjoy the vibe of street atmosphere just come here and stay longer the 5 minutes :-) Very good place for shopping lovers or people who wants to feel vibe of the city, February 2020
18,4.0,A lot of choices,"The whole area was pretty cool, as there was something for everyone. In addition to all the restaurants and different types of stores (mostly make-up), at night they had a lot of food street vendors. More choices for women", February 2020
19,5.0,Great atmosphere,A great street to walk around. Make up and face masks are really worthwhile. Food is a bit expensive compared to other markets. Retailers really exploit tourism, February 2020
20,5.0,Cheap Make-Up and Skin Care Heaven!,"This place is just simply the best one in Korea. You can find all kinds of clothing, skincare product, gifts, restaurants, street food, to your favourite Kpop star albums! And they're surprisingly very cheap. Moat of stall sells food from 2,000 won per portion. Although I was mostly there looking for gifts and skincare products, this place is a must visit in Korea. I will definitely find a place very near to Myeongdong Street next time I visit Korea!", January 2020
