,star_point,title,text,Date of experience
0,4.0,Shopping,"You can find a lot of things here..from clothes, bags, souvenirs, food, kpop merchandise etc. You can check it out if you happen to pass.", April 2019
1,3.0,Lacking in Variety and Stores,"Not many stores in the mall. Prob around 50 or so and selling similar stuff. From my understanding there are better underground mall in Seoul. In Myeongdong, stick to the streets good enough. Only visit if you got time to spare. Plus point is perhaps its clean and you wouldn't get lost.", February 2020
2,3.0,Myeongdong Underground shopping Center.,"Must admit that once you exit the subway station, its easy to get sidetracked and browse at the underground mall.  We did a bit of browsing to get an idea what the pricing was for goods and in comparison with the street market, it can be a tad cheaper for socks, makeup, skincare products etc.  Its a great place for browsing during inclement weather.", November 2019
3,4.0,Great place for quick buying!,"Great palce to go for a quick buying. Affordable, clean and friendly stores. Variety of things to buy from clothes, bags, shoes, souvenirs etc.", July 2019
4,4.0,Shopping,, October 2019
5,5.0,Fun...,We did a little shopping here like beauty products and travel luggage for it is much cheaper here than in the street shops. They also have atm machines here if you are short of cash like we did. We also bought our souvenirs here for gifts back home. A lot of different items to choose from., December 2018
6,4.0,Long underground mall,"This is a very long underground passageway that connects Myeongdong with City Hall. There are many shops selling typical stuff in a mall - clothes, shoes, bags, cosmetics, fashion wear, accessories, souvenirs etc. Expect the crowd especially in the evenings. One benefit of shopping underground is to enjoy the air con and avoid the sun, rain or cold above ground.", June 2019
7,5.0,Can't miss it,, June 2019
8,3.0,Crowded and selling similar things,"A rather touristy area where shops are selling almost identical things. Gets a little boring after a while. But generally, has good deals if you search hard enough.", June 2019
9,2.0,Very market dollar store feel,Area is conveniently located. I heard a lot about this underground shopping Center but I was disappointed when visited. it had a distinct second-hand discount market feel to it. Though the prices were reasonable the look and feel of the area was a major disappointment. I would recommend avoiding the area or making it a low priority on your visit., May 2019
10,3.0,It’s like entering the portal to the Myeongdong Area,, December 2018
11,4.0,Souvenirs,"There are so many souvenir shops here. You can find Kpop items such as stickers, glass, pillow with your favorite Kpop photo. Located in Myeongdong station Subway Line 4 Light Blue Line 424.", December 2018
12,4.0,Huge!,"The underground shop is huge! Many shops selling apparels, souvenirs and lots more. Its like 1 stop for everything. Great experience.", December 2018
13,4.0,Kpop mech is waiting for you,"Best place to buy Kpop MD. If you are looking for official MD you can find it expensive and not so reliable, but if you are looking for keychains, postcards and stickers, it's a good place. There are also several CD shops with good prices!", November 2018
14,2.0,Nothing much. Just passing by otw to hotel,A very small underground shopping center at myeongdong station. Nothing much as compared to Seomyeon underground shopping center in Busan. Don't need to make the effort to come here to shop., October 2018
15,2.0,Nothing special ,"It's a basic flea market. Dont feel bad if you miss this, not too sure what you could even find but if your board, it's worth a stroll.", October 2018
16,4.0,Your No-Brainer To-Go-To Souvenir Place,, October 2018
17,3.0,Not much to shop,"A lot of noise made about this place by some foreginers like me and visiting there was a must but I was more than disappointed. Nothing much but some poor quality goods from souvenirs to clothing, bags etc. If you're looking for quality goods, don't bother because you are not likely to get any", September 2018
18,3.0,Strolling pass by ,"It's near the station , you wouldn't miss it , it's not much store here , not that long .. mostly Korean things like Kpop, clothes and etc . Just stroll pass ..", March 2018
19,3.0,It was nice to stay indoors when the weather was cold,"It was nice to stay indoors when the weather was cold and there were a few shops selling K-pop stars postcards, posters and keychains. I recently am a fan of K-drama and I bought a lot of K-drama stars souvenirs.", December 2017
20,3.0,Nothing special,"I couldn't get into underground shopping centres I'm afraid.  All sorts of shops, cafes and bakeries, but nothing i was terribly interested in.  We used the station a lot because it was near our accommodation, but didn't shop.", November 2017
21,3.0,Lots of Kpop stuff,"This is not a big underground mall. But it has the most kpop retail shops. All sorts of items related to kpop music or drama, you can find it here. Although it is not as big as GOTO mall or Bupyeong Mall, but it has its unique taste too. The famous custard puff is located inside too. Its not too bad after all.", January 2018
22,3.0,"You see one, you seen them all........",, November 2017
23,2.0,ordinary,very ordinary place for shopping... nothing special... there are many shopping place in myeongdong and nearby.... if you have free time you can visit here or skip it., April 2017
24,4.0,Shopping,Right by the subway station. There a lot of shopping at good prices. Souvenirs and hand made crafts., April 2017
25,4.0,Underground shopping,"Seoul has many shopping markets for sure. This one is located underground the street between Myeongdong and Namdaemun. So, you just go to this market to cross the street underground. There are various things you can buy here such as clothes, souvenirs, beverages, bags, etc (standard for a shopping market in Korea).", April 2017
26,3.0,Shopping haven for K-Pop fans,, April 2017
27,4.0,"Once again, many things to see","I reviewed Dongdaemun underground shopping and it's pretty similar for Myeongdong underground shopping. There's just so much to see and remember, exercise self-control!", February 2017
28,4.0,Walking underground from Myeongdong to City Hall,"I started walking from Myeongdong Lotte Young exit, walking along Myeongdong Underground Shopping Center all the way to City Hall.", February 2017
