,star_point,title,text,Date of experience
0,3.0,Tricky to find and explore,"Attention last time I checked the trip advisor location is wrongly placed. Search for ""Ihwa Mural Village"" on Google map for a correct location. Once there the village is on a hill so be ready to climb up and down a lot if you want to find all the drawings. It's a lot of explore", July 2018
1,4.0,Stair painting erased ,Still nice place to visit im agree with other comment especially morning is really nice  But recently this famous painting are erased cuz local people complain a lot this area become more crowded and noisy... but they still selling this postcard even doesn’t exist anymore lol, February 2018
2,4.0,Fishes not any more on the steps.,"I admired the photos showing the red fish on the steps but unfortunately, it had been washed away by the rain and snow. There are too many interesting murals remained and the neighborhood worth to visit if you are in love with wall paintings.", April 2017
3,5.0,Art!!,"Such a nice area! Art everywhere, on the walls, on the air! Lot of people taking pictures around! Souvenirs and a good coffee can be found", March 2017
4,5.0,Fun game of I-Spy,"We went to this area of town after having looked online to see what there was to see.  We knew what we were looking for and it was a fun game of ""find the ________"" as we wandered the streets.  Was disappointed that the goldfish stairs and flower stairs were painted grey for the", May 2016
5,3.0,Fish and flowers are gone!,It was very disappointing to find out that the stairs with fish and mosaic flowers were painted over with grey paint. The remaining murals are OK but not worth all the hassle that is required to get there. If you however want to go there let me give you detailed instructions. Go, May 2016
6,4.0,Tons of Nice Mural Arts along the Up Hill Alley,Can shoot many shots along the alleys until top of the hill. It's better to visit in the morning (before noon) or late afternoon., November 2015
7,3.0,"An attraction, far faaar awaaay~",I came here because I found many interestin reviews about this place having many good spots for photo taking. I drained my energy to walk to this attraction because it's on the top of a hill and you must walk (or climb?) for about 30-40 mins from the nearest subway station. This, May 2015
8,5.0,Nice,Nice pictures to be taken and there weren't that many people so the lines weren't that long.  The walk to the public art along the Seoul wall is very nice and calming as well. It's a must do! , November 2015
9,3.0,Good place if wanted more photo collections.,Easily reachable by the subway. Need to climb up the hills to reach the mural paintings area. I'll suggest to wear a comfortable shoe. :), November 2015
10,4.0,Don't miss!,"Bus is easiest way to go to Naksan Park  From Dongdaemun station, bus stop near exit 5 Transfer to mini green bus no.3 This bus terminates at Naksan Park,then walk through the park and you'll find the stairs, walk down and turn left , pass the kindergarten and you'll find many", November 2015
11,4.0,Let's enjoy stroll.,"I leave the Exit 2 of Hyehwa Station (420) and go to the east on the way of the MarronnierPark side. Because I go up the scarp, shoes comfortable to walk in are necessary. Just walk along the road, it is possible to see the famous Art such as flowers of stairs. There are guide", January 2015
12,5.0,Love to find this place!,"One thing for sure, to find the place is easy, if you read the direction map carefully! I thanked for a review in Trip Advisor that gave me the clear direction. Went here a couple months a go, and the feeling of post-visit is still here. I'm amazed on how those art works put", March 2015
13,4.0,Really worth the climb!,"I visited in late May 2015 with husband and parents-in-law. I didn't know it was on top of a hill, so required quite a bit of walking and climbing from the subway station... My parents-in-law are in their 60s and in good physical shape, but it was still tiring for them. So I", May 2015
14,5.0,Great place for photography and relaxation,"Took Line 4 until Hyehwa station, and walked up the hill after exit 2. It was autumn when I was here - spent a few hours waiting for evening sun around 4 or 5-ish to shine through this place - definitely worth the wait for pictures!! A lot of wall paintings around the", November 2014
15,4.0,Art painting,"We were here by Nov 2014. We came around 4pm. We walked along the slope up to the Naksan park then down to the another slope,from here we can see many famous stairs painting eg. Gold fish & flower painting. It's very valueble because it was free. It's located inside the", November 2014
16,5.0,Interesting Street Art in Naksan Park Neighbourhood,"There is this small neighourhood on Naksan Park made famous by all the street arts on its small alleys. We decided to make a visit on our last morning in Seoul.  We took the Subway Line 4 and alighted at Hyehwa Station.  We got out of the Station at Exit No. 2, and turned left", March 2014
