,star_point,title,text,Date of experience
0,4.0,Nice view of the city,It helped that we went here on the first day so you can get to see Seoul and get your bearings. It is a huge city so it helps to see where everything from a bird's eye view. We were lucky that there was a cultural show as well at the bottom so that was enjoyable for the whole, January 2020
1,4.0,Long climb but worth it,During October - Autumn I climbed to the top. Lot of stairs but great views during the way up. Do bring some water. The view on the top is almost 360 and you get a much better impression of the city. Took the cable cart down and walked through another park which has a part of the Seoul City Wall., October 2019
2,4.0,Great views for miles,"I took the cable-car up & down the mountain (only a few minutes each way) and also went up the tower to the observation deck. You get great views from the tower or the platforms. It's about 10000 WON for the return cable car trip, and the same for the elevator up & down the tower.The views were great, with about a 10-15km clear view.", January 2020
3,5.0,Worth the climb!,"Namsan Park boasts an incredibly romantic view of the sunset! The Seoul cityscape view from the decks, whether it's during daytime or nighttime, is quite breathtaking. From the top there are a few shops that sell love locks where you can write your lover's and your name, find a nice spot to place it, and throw away the key. It's really popular with the youngsters who seem to frequent the area, but I've spotted some older couples as well. From the bottom of the tower you can find N Burger and a small cafe that sells some really great matcha lattes! It can get extremely cold during the winter because of the high altitude, so be sure to purchase some extra heat packs and bundle up with scarves!", December 2019
4,5.0,"Hike up 1.5 km to get the best view , there is also a cable car option . Lovely mountain with local folks hangout .","If your cannot trek , take cable car . You get to see beautiful sunset in the evening . After completing it , too if the mountain is the N Seoul Tower And  love locks .", December 2019
5,4.0,Great view of the city,Took bus #6011 from Namdaemun Market bus stop. It is the last stop.Love the view of the city. Recommend to go up around 5pm to catch the sunset and stay on till night for night view.Bought churros but pricey as it is tourist place anyway.It is very cold as night falls so make sure you wear winter clothes when visiting during winter., December 2019
6,5.0,Beautiful Place in autumn! Hike up then take the cable car down at night!,"I visited in early November 2018. It was still autumn, and the hike up the park was gorgeous. Be sure to bring some water and if you like, some little snack. But do not litter the park! There is also a tiny cafe on the way up, near some carpark area. If you want to try, their waffle if nice! Take lots of pictures! The autumn leaves all around the park is very beautiful and the cooling weather will be great to hike up without sweating. Walk through part of Myeong-dong to get the to the entrance of Namsan park.", January 2019
7,5.0,A haven in the fall!,"I walked from the cathedral uphill to Namsan Park and negotiated the ridge walk and N. Seoul Tower walk. Although steep with many stairs in places, the pace was perfect for absorbing nature. The birdlife and flora was a real pleasure to experience. The vistas from various hills were breathtaking. It was hot work walking, but chilly when at a standstill. Take a jacket and hat! The tower amenities were pure tat. Typical tourist attractions and gifts were jammed into a small area near the tower. The restaurant options were adequate, but the prices high. The views were amazing and the exercise value priceless. Lunch in the tower was about $30 pp, but other level eateries were less by descent. The pigeons fly around in large numbers and are quite fearless around humans, which provides a relaxing distraction. The cable car, buses and taxis are available for a fee, but walking is free and quick. The views on the descent are even better than the ascent!", November 2019
8,4.0,Spectacular views of the city,A huge “park” but really it’s the whole mountain!  There’s paved sidewalks for pedestrians who wish to walk up/down as well as well travelled trails for those who want more of a hike on either sloped or flat terrain. Facilities are available at the peak upon your arrival by foot or motor vehicle (ie tour buses as well as city buses). Cable car is another option. Lots of cyclists also enjoy this park. Go for it!, November 2019
9,3.0,Only reviewing the park,"So I will exclude the tower which I reviewed separately.  As a park, it was a nice walk up the beautifully paved road to the top with the fall foliage in full force.  There wasn't a lot of green and not a lot in the way of single track trails.  It's mostly road or paved path walking although we did go off pavement and followed a storm channel for a bit.  Obviously, it is quite hilly so those who are not physically fit may want to ride the cable car up and possibly walk down... the well maintained flag stone super wide path with steps is a safe and popular option which takes you down beside the cable car as opposed to the road which goes down another side.  Not a stunning park but pleasant.  3 stars.", November 2019
10,5.0,Relaxing green oasis with stunning city views,Park surrounding Seoul tower offering stunning views of Seoul. The walking paths are well maintained. You can take the cable car to the tower but I would recommend walking. The cable car is closed every Monday until 1 PM for routine maintenance., November 2019
11,5.0,Breath taking view!,Include in your itinerary a visit to the view deck of Namsan Mountain. Tip: ride the cable car to and fro or simply walk when you go back. The mountain isn’t that high and steep anyway. More like a hill. You will love the panoramic view of the skyline and sunset. Restaurant price is on the higher side here though., September 2019
12,5.0,Beautiful view and vibe ,"Go up there when the weather is nice for a stunning view. Be ready to queue for the cable car, 40 min for us and it can be up to 90 min!Everyday there is a traditional show not to be missedFood court, few souvenirs shops and many many Love lockers...", November 2019
13,5.0,Good to See,Good place to relax and enjoy the nature. I did some jogging and trail run in the park. Seoul city can be viewed 360 degree from here., November 2019
14,4.0,You can climb a mountain easily from Myondong!,"I stayed at Myondong, near from Namsan Park. I climbed Namsan for a walk feeling after breakfast.Altitude of Namsan is 243m, but was very tired.The atmosphere on the mountain is nice and the scenery of Seoul city was very good.There is the cable car, but I recommend mountain climbing to a tough-footed person.繁華街明洞に宿泊していたので、朝食後、散歩気分でで登山しました。標高は243mですが、意外にきつかったです。山の上の雰囲気はいい感じで爽快なソウル市内の景色は最高でした。ケーブルカーもありますが、健脚な方には登山をお勧めします。", December 2018
15,5.0,Heaps of walking tracks ,I had a really nice afternoon walking apt he all the paths to the N tower! It reminded me of Central Park, November 2019
16,3.0,"Good, nice place to relax","It's a nice place to go see and relax. You can see beautiful nature and Seoul. I came here to just relax and it was nice. Nice for a rest, if you are tired of the inner city loudness.", December 2018
17,5.0,Great place for run,"We went there to run, after eating and drinking, we decided to take a lap on Namsan Park, and I love it. We manage to get around 10 km of running with hilly countour. The track itself is road and somesort of rubber in certain area. They have public restroom in the areas around the park and it's very clean. All in all it's a great place to work up some sweat after eating and drinking the night before.", November 2019
18,5.0,if you want to see the view,Nice place to see the whole of Seoul! The cable car ride is nice but the tower view is amazing! Might seem odd but do go to the toilet when you are up in the tower - doing your business with a view sounds weird but its a new experience!!, October 2019
19,5.0,The view is spectacular ,The view puts this megacity into perspective.  The landscape from Namsan Park are phenomenal.  Lots of gorgeous photo opportunities.  Don’t forget to purchase a love lock and marker to display it with all the others. Definitely a must visit place in Seoul., October 2019
20,4.0,Great run to blow out the boozy cobwebs,"Short trip to Seoul which left me little time to get out and see what the city and capital of the country had to offer - outside of the bars and restaurants. Had a few hours to spare on the last day before the flight home and decided to make the most of a run to the Namsam Tower through the park. Nice gardens, lots of walkers, cyclists and the odd runner forcing themselves up those steep hills to witness the fantastic views at the top.", May 2019
21,5.0,Chance to put city in perspective,Well maintained paths/stairs/roads up the city mountain in Jongno/City Hall area.  Can make the hike up more vigorous by taking the stairs.  Nice overlooks of the city.  Seems to be well used but didn’t feel too crowded.  Seemed to be a bus option up to the top for those who just want to see a 360 degree view of Seoul’s sprawl., September 2019
22,5.0,Grand view of Seoul,"My wife and I went there in the afternoon, trying to get there before the sunset. We under estimated the time it took to go up on the tram, however.  Each tram can take about 30 people or so, and each trip is around 10 minutes.  So by the time we reached the mountaintop, the sun had already set.That said, it was a still and an excellent time to view the glory of the city in the fainting sunlight... and within about 40 minutes, it went fairly dark. The city may be even more impressive in the darkness.There's quite of bit of action at the peat of Namsan Park - Seoul Tower, not sure exactly how to call it but an entire area full of locks symbolizing love, multiple eateries and even a small mall, and artists making sketches. It's a worthy visit.", September 2019
23,4.0,The perfect city views ,This is a very large park. On weekends can be very busy with lines of over 1 hour to get upstairs using the cable car., September 2019
