,star_point,title,text,Date of experience
0,4.0,Modern museum,This is a modern museum about how Koreans live their lives in olden times. A lot of history to learn. Very well organized and good display. Entrance is free., October 2019
1,4.0,A Cultural Experience!,"First time to visit Seoul, Korea.  This was the 1st stop of the tour.  The place is huge with beautiful structure, signs with their own meanings.  The tour guide was able to explain the meaning of every structure why it's facing East, West, etc. Why structure openings pointing this way.  You have to be a cultural enthusiast to be be able to understand some if not all of it.  For us, just walking around the big compound was already a nice experience.  We were able to witness the changing of the guard.  It was a good place to visit.", January 2020
2,5.0,lots to learn,This was a very nice place to get out of the December breeze and learn somethings about Korea. Well organized with good displays., December 2019
3,5.0,A wonderful display!,The entrance beckons payment of $3 for the museum. Pamphlets are available in multiple languages for free. The garden is expansive and backs onto the rear of the palace gardens. There is a fine example of funerary temple huts with extraordinary tombstones and figurines next to them. Ancient statues line the walkway to the extremely large and tall pagoda. Climbing in or around it is not permitted. A sun monument with zodiac animals is off to the left side and once again confident pigeons come curiously near. The exhibits in the modern museum will distract you for 1.5 hours., November 2019
4,4.0,Learn about Korean Culture,"I really enjoyed my visit here. It's a wonderful place to learn about Korean culture. If you are into history, this will be a good visit to gain some understanding of Korea's culture.", December 2018
5,5.0,Beautiful small museum of social history,"This museum is excellent. I love ethnographic museums where you can see how everyday people used to live, eat and dress and this one is excellent. It's all very impressive seeing art and sculpture and gold and jewels but this tells you very little about the real people of the country. This museum was really interesting and just the right size. It's free with entry to the palace and we had a nice iced coffee in the cafe too!", September 2019
6,5.0,interesting,I like a bit of history and it was nice to have the chance to see it all. The courtyard is also nice to see., October 2019
7,4.0,Located adjacent to the GYEONGBOKGUNG palace,The Folk Museum it is an attractive modern museum. It features several historic home displays plus associated items. It explains life in medieval Korea. It is topped with a pagoda which can be seen but not climbed., October 2019
8,4.0,Should have arrived sooner,, October 2019
9,5.0,Great day trip,This is a fantastic site where they offer information about how people in Korea lived in olden times. It ends up with some kind of festival with people dancing in traditional customes. Great visit, October 2019
10,5.0,Interesting and fascinating,"The park area is beautiful, with various building, but I found the actual museum to be fascinating. The displays have great English descriptions and seem to be very well taken care of. Many facets of Korean culture were presented, from education and the development of the language, to wedding ceremonies and funerals.", October 2019
11,4.0,Definitely worth paying a visit,"The museum doesn't cost anything, but is informative about Korean culture and history.  The museum exhibits are well designed, and visually appealing.  It is definitely worth visiting for tourists.", October 2019
12,5.0,Fantastic Place To Visit,"I visited this museum and walked around visiting some exhibits.  This museum has permanent exhibitions on the lives of ancient Koreans. They are fabulous to look at and you can get a good sense of how they lived.  This museum is clean, neat, and bright. They have a lovely gift shop and you can even get some ice cream here.  Best part of all, the museum admission is free.  I highly recommend this place.", October 2019
