,star_point,title,text,Date of experience
0,4.0,Interesting Language Museum,"My husband, son and I visited Seoul for a week and took in the National Hangeul Museum which is devoted to Hangeul, the Korean Language. My son has always loved languages and works in Taiwan as an English teacher, so this Museum was right up his alley.  There wasn't a lot of", January 2020
1,5.0,For all lovers of language,"As someone who teaches English as a second language, I was particularly taken with this museum. Imagine, a whole museum devoted to the birth of a written language -- originally Hunminjeongeum, now just Hangeul -- for the Korean people. Just the place for language nerds, or for anyone actually interested in how cultures -- and the people who influence those cultures -- adapt to changing times.", December 2019
2,5.0,"Very, very interesting museum","Hangeul has long been recognized as one of the most rational and logical alohabets by linguists. Well, Korea did well in building a grand building highlighting what is a true jewel of Korean culture. The building is new and the exhibition design is successful in telling the story of Hangeul. From traditional to state of the art exhibition tools, the museum is very visual.  I wish there were more accompanying english texts but there are 2 english tours every Wednesday at 2 and 3pm.There are great playrooms and interactive rooms for young kids.Go, you will be satiated. It helps that the grounds adjoining the National Museum of Korea is so lush. A visit is a refreshing escape from the din of the metropolis.", August 2019
3,3.0,Nice But Difficult,"We included this museum on our visit list with the hopes of learning more about the Korean language origins and use.  The introductory video welcoming visitors was quite interesting about how the language was created by a king for the Korean people.  We saw lots of well organized displays, however, it was a little difficult for us to understand their context as they were mainly presented in Korean.  We did find the interactive computer room the most helpful with one teaching how to properly write Hangul and another allowed us to create a selfie with the Hangul characters.  We spent less than one hour here and was a bit disappointed with the outcome for us.", June 2019
4,4.0,Fun and educational ,"I visited the National Hangeul Museum just last week and enjoyed the visit, to say the least. It was fun and informative- I liked the video room where I watched the few minute long historical video and enjoyed strolling through the main floor exhibits and rooms. Found them informative. I also like the Discovery Hall where we played with Korean consonants and vowels to find sounds and make words. It was like being in kindergarten again, a korean kindergarten. I think it’s worth a visit if you interested in Korean language and culture, and especially if you live in Korea. The Museum I’m in the same grounds as the National Museum of Korea, just on the other side of the Yongsan Family Park. Hurry, if you want to see some beautiful blossoms next to the museum.", March 2019
5,3.0,Worth a sort stop,"The exhibits are very well done, visually stimulating and informative. It is a small museum so suggest you plan this as a side trip immediately before or after the National Museum (which is awesome!) which is right next door.", February 2019
6,4.0,Really Interesting For Anyone Learning Hanguel,"The National Hanguel Museum is situated a short walk from the National Museum of Korea, (Ichon station on Line 4 - blue - on the metro) just walk through the Pagoda Garden, following the brown, tourist signs and you can’t miss it.  Steep steps lead up to a glass fronted entrance, but there is an escalator provided and I would be very surprised if there were not a lift for those with more severe mobility challenges.I was keen to visit this museum, as I have been trying hard to learn to speak, write and read Korean.  With this trip to Korea, we gained a beautiful Korean daughter-in-law, so the need to make some progress with my learning has stepped up a notch.Developed under scientific principles in the 15th century and really taking off in the 20th century, Hanguel (often spelt Hangul in Europe) is based on 28 characters - 17 consonants and 11 vowels.  It is actually an extremely logical language and relatively simple to read, which was the intention of the king who developed it, to extend the accessibility of language to as many people as possible.My proficiency is still not sufficient to be able to fully engage with all the exhibits, but I thoroughly enjoyed the museum, particularly the video presentation  on a curved wall in the main exhibition hall, which explained in a very clear manner, with English subtitles, the construction of he language.  This video, above anything else in the museum, certainly helped a lot of things click into place in my understanding of Hanguel.There are basic museum guides available in English and there is also a programme of guided tours conducted in English - all free - the times of which are displayed on a stand by tthe he entrance to the first hall or, alternatively, ask at the information desk by the front door.On the upper floor there is a Children’s Section and a hall for special exhibitions, in addition to a further hall which, when we visited, was showing an exhibition of the History of Korean Dictionaries.There are toilet facilities on each floor, water dispensers, plenty of seating and access by either stairs, escalator or lift.  Lockers to store bags and other items are provided.On the first floor of the museum there is a pleasant cafe and small shop, which in some respects mirrors the shops at the National Museum, but also has some products focusing on Hanguel.As a non Korean speaker, one probably wouldn’t spend much more than an hour here but, if combined with a visit to the Nearby National Museum, it gives one a good perspective on the country, it’s history and language.", February 2019
7,5.0,Worth Seeing!,About 5 mins walk from National Museum of Korea. Korean people are very proud of their language.  The writing system called Hangeul was invited in the 15th century and is considered one of the most phonologically faithful writing systems in use today., February 2019
8,3.0,Interesting if you understand Korean,"It is a really beautiful museum and relatively small museum, which will take about 1 hour to go through. It teaches about Hangeul, the Korean writing system. You can learn about history, usage, and a lot more. However, most of the Information is provided in Korean only. A few texts have been translated, which makes it still worth going there, but it will only briefly explain.", January 2019
9,4.0,Worth a visit if you want to get an insight of the Korean language and culture,"Just a short walk from the National Museum (reviewed previously) this is worth a visit to add to your understanding of the very unique written Korean language. Admission is free and budget about an hour.First floor outlines the history and structure of the language. Until this alphabet was introduced the Korean language writing was represented by Chinese characters, thus limiting writing and reading to an elite few.To find out the rest of the history I suggest you go visit.Second floor is a historical collection of dictionaries.Plenty of English explanation.Only disappointment was the fact the gift shop did not stock anything meaningful to buy. Also has a cafe serving cake and coffee", October 2018
