,star_point,title,text,Date of experience
0,4.0,Interesting Language Museum,"My husband, son and I visited Seoul for a week and took in the National Hangeul Museum which is devoted to Hangeul, the Korean Language. My son has always loved languages and works in Taiwan as an English teacher, so this Museum was right up his alley.  There wasn't a lot of", January 2020
1,5.0,For all lovers of language,"As someone who teaches English as a second language, I was particularly taken with this museum. Imagine, a whole museum devoted to the birth of a written language -- originally Hunminjeongeum, now just Hangeul -- for the Korean people. Just the place for language nerds, or for", December 2019
2,5.0,"Very, very interesting museum","Hangeul has long been recognized as one of the most rational and logical alohabets by linguists. Well, Korea did well in building a grand building highlighting what is a true jewel of Korean culture. The building is new and the exhibition design is successful in telling the", August 2019
3,3.0,Nice But Difficult,We included this museum on our visit list with the hopes of learning more about the Korean language origins and use.  The introductory video welcoming visitors was quite interesting about how the language was created by a king for the Korean people.  We saw lots of well, June 2019
4,4.0,Fun and educational ,"I visited the National Hangeul Museum just last week and enjoyed the visit, to say the least. It was fun and informative- I liked the video room where I watched the few minute long historical video and enjoyed strolling through the main floor exhibits and rooms. Found them", March 2019
5,3.0,Worth a sort stop,"The exhibits are very well done, visually stimulating and informative. It is a small museum so suggest you plan this as a side trip immediately before or after the National Museum (which is awesome!) which is right next door.", February 2019
6,4.0,Really Interesting For Anyone Learning Hanguel,"The National Hanguel Museum is situated a short walk from the National Museum of Korea, (Ichon station on Line 4 - blue - on the metro) just walk through the Pagoda Garden, following the brown, tourist signs and you can’t miss it.  Steep steps lead up to a glass fronted", February 2019
7,5.0,Worth Seeing!,About 5 mins walk from National Museum of Korea. Korean people are very proud of their language.  The writing system called Hangeul was invited in the 15th century and is considered one of the most phonologically faithful writing systems in use today., February 2019
8,3.0,Interesting if you understand Korean,"It is a really beautiful museum and relatively small museum, which will take about 1 hour to go through. It teaches about Hangeul, the Korean writing system. You can learn about history, usage, and a lot more. However, most of the Information is provided in Korean only. A few", January 2019
9,4.0,Worth a visit if you want to get an insight of the Korean language and culture,Just a short walk from the National Museum (reviewed previously) this is worth a visit to add to your understanding of the very unique written Korean language. Admission is free and budget about an hour. First floor outlines the history and structure of the language. Until this, October 2018
