,star_point,title,text,Date of experience
0,2.0,Only tolerable because it's free,"One out of the three floors was shut for renovation.  Lacklustre exhibition, little English, little interesting objects. I'd recommend doing it if you know next to nothing about Korean history but this museum isn't exactly worth the effort to come here. From Japanese occupation", November 2019
1,4.0,Intro to Korean history,"A good introduction to Koreas recent history, all info available in English, albeit briefly but nevertheless still there. Some of the exhibition floors not in use presently but for a free entry museum it is a good use of time for those after some cultural capital.", October 2019
2,2.0,I’m Sorry,"I’m sorry, first and foremost that the best efforts of designers and planners and curators were insufficient in my opinion.  I’m also sorry that I don’t agree with other reviewers who gave it high grades causing me to visit.Let’s start with the most important thing:  the exhibits themselves.  Imagine, if you will, about 3 pages single spaced of text.  Now take a scissor and  cut it into strips horizontally.  Now paste one of these strips on each exhibit window.  There, you’ve got the text.  Now fill the space behind each window with a few old documents and some photos that were found or donated.  And now you have the essence of the museum.Second, for English speakers(and most people reading TripAdvisor are, I believe, English speakers), it is clear that not all of the text is being translated.  For example, 6 lines of Korean text is translated to 5 words in English.  Some of the videos do not have English subtitles.  At the main entrance to the building in which the museum is located, from the street you cannot tell that the museum is inside.  Only when you see it on the panels of the revolving door do you know that you are in the right place.  True, on the side street, the door is labeled clearly, but I suspect that I was not the only visitor who came on the main street from the line 5 subway station.And finally, the museum is undergoing some kind of renovation so that of three exhibition halls, only two are operative until DecemberIf you happen to be passing by, then you might choose to give it a try.  There is no entrance fee.  However if you have to make an effort to visit, give it a pass.", October 2019
3,4.0,Part 2 of National Museum,"This is the Korean contemporary history museum and is a continuation of the history of Korea from the National Museum of Korea. There are plenty of exhibits and so much to read about the Korean war. A great museum, clean, admission and audio guide free of charge. Good way to spend an hour. It is located opposite King Sejong's statue in front of Gyeongbukgung.", July 2019
4,5.0,Fantastic museum - free and open Mondays!,"Fantastic, well-located museum. Right next to palace and American embassy. No admission charge, excellent exhibits on Korean history from before the Japanese occupation through the Korean war to the present.  Really well done and informative, with panels in English and Korean. Also a beautiful view from the rooftop garden. Definitely worth a visit for any visitor interested in history - esp. on Monday when so few things are open but really on any day! They also have a children's museum section which we didn't visit, and a café with coffee drinks and baked goods.", July 2019
5,4.0,"Modern, clean, free and nice view.","The museum is modern, clean and very informative, although the information feels a little bit on the bright side. The view from the rooftop garden is perfect for seeing the castle and cathing the city's vibe.", November 2018
6,4.0,Eye openening experience,"There is so much to see and do in Seoul we almost missed it. On our way to the Gyeongbokgung Palace we noticed the museum. It was GREAT. Free admission and open on Monday. On entry, supplied 1 ID for 4 people to get audio guides. Takes at least 2hrs to see it all- unless your battery runs out - then just keep walking and reading. Texts are in Korean and English so no problems. A very interesting museum only problem was with the audio users I guess because my friends and I kept getting the wrong audio with what we were seeing. We kept saying “what number are you at? Why does it go from 103 to 108. Guess we should have picked up the guide before we started!!!  Has a Cafe and rooftop deck as well", November 2018
7,4.0,Fun museum to explore,This museum is very close to the main palace and free to visit. It teaches you about how fast S. Korea improved after the Korean War and you can see several Korean vehicles displayed along with household and electronic goods. Not as fun as the Seoul history museum but still enjoyable. The gift shop is worth checking out as well for some good souvenirs (shop around several places and do your buying on the last day)., August 2018
8,5.0,Modern Korean History,This museum is a must do for both Korean and non-Korean people. The turmoil and stress the country has suffered in the last 100 years is sobering to see.Outside influencers and world politics have played a huge part in creating the current divided nation. It certainly gives all the information on how things have developed and can fill you with sadness to see. The striving for a united Korea is something to hope for.Cafe has good food for a break or lunch., September 2018
9,5.0,Informative.,"We arrived at this museum about an hour before it was closing so had to move through it rather quickly.  It was very organized and interesting.  I am sure we missed some things due to time constraints, but was glad we had stopped in.", August 2018
