,star_point,title,text,Date of experience
0,3.0,Art museum tour,Good for art people.  Too difficult to understand for us.  There are free lockers on first floor to keep a large bag and coat., December 2019
1,3.0,Nicely designed building ,The building and the surrounding are interesting enough to give the museum a try even if the collection/ installations are of unequal interest., November 2019
2,3.0,I’m too old for this,, October 2019
3,5.0,"Really cool, absorbing, incredible visit","Take subway to Anguk, setting is restful. Museum spreads to outside. Exhibitions, installations are huge, well displayed! I had lovely inexpensive meal at canteen. Then bought lots of gifts in Gallery.  Outdoor have been there longer. Believe there is bus to visit another branch of this esteemed museum?", June 2019
4,4.0,Learnt about contemporary Korean artists,A retrospective about an artist I did not know was very impressive - including the 'painting table' set up. Then I happened to see the artist at a talk about his work. The museum has several larger exhibits running in separate exhibition spaces + a cluster of galleries is nearby for more visits., July 2019
5,4.0,Excellent venue for Modern Art - Worthwhile stop while in Seoul,, August 2019
6,4.0,Useful for general development!,"I was brought up on classical examples of art and painting, so not everything in the exposition was clear to me. But, I think, more progressive young people will be interested in this museum, as an example of the avant-garde trend.", July 2019
7,5.0,Wonderful space,, June 2019
8,3.0,"Good venue, but only 3 Galleries open :( - hence, Average.","1 Adult went alone.  It cost Won 4,000 entry, but only 3 of 7 Galleries were open :(  The Duchamp exhibition had just closed :(  However, of those open, I enjoyed them - particulary Zach Blas idea of 'facial masks' to confuse CCTV cameras (good one!!) and Simon Denny to finally explain what Blockchain/Bit Coin technology really is!  I also enjoyed Cao Fei's idea of using an automatic cleaning machine within a restricted platform to demonstrate today's China: rapid economic development yet contain social conflict with generation gap contradictions.  Very good location for walking to historic village nearby (Bukchon Hanok Village) and a lovely Korean restaurant (the man outside wears a Panda outfit!), just beyond Pink Butter café, opposite the national Library/Digital Archive Building.  (Another great peaceful place to study)", April 2019
9,5.0,A quick art run after visiting the Gyeongbokgung Palace,, March 2019
10,5.0,Free,Great space with 6 exhibition halls to go through. Liked all the exhibits (5) open when I was there. Friendly help by all the staff., October 2018
11,4.0,lovely museum,"Realy nice museum which will give you a lot information about Korean art and history up to app. 1910. They have a great app, which you should download before you start your tour", September 2018
12,4.0,Very Interesting displays,this museum is great i went when it was raining and directly at the entrance they had bags for wet umbrellas and free lockers which was great! the exhibits were all very interesting and i got an English listening guide as i was walking around. defiitely worth braving the rain for., December 2017
13,4.0,For the modern art lover.,, May 2018
14,4.0,Interesting,"It was an interesting museum. Though, most of the displays were slightly too dark and/or disturbing. It's a really big museum, with modern spaces. The exhibits and exhibition style was interesting too. Their souvenir shop is pretty cool though.", February 2018
15,3.0,Boring ,, February 2018
16,4.0,Interesting though only one gallery open,, March 2018
17,4.0,Temp exhibitions in a Conveniently located museum with nice exhibition spaces,, January 2018
18,4.0,"Good Museum, but not that inspiring","Interesting museum, and many of the exhibits were short on inspiration and quite ""average"". However, some were quite interesting conceptually. I would say nothing was absolutely riveting here...", October 2017
19,5.0,excellent museum - would highly recommend visiting,, December 2017
