,star_point,title,text,Date of experience
0,4.0,Korea History,"It is located within Gyeongbokgung Palace. Entrance is free. Inside the museum, you can collect beautiful stamps. A brief history about the past Korea. A lot of exhibition changing from time to time. Make sure to come here when you are in Seoul.", October 2019
1,5.0,Great addition to a visit to Gyeongbokgung,This museum is in the grounds of Gyeonbokgung palace and is a great place to get a bit more understanding about the Joseon dynasties - especially if you didn't have guided tour of the palace. Just the right size to be interesting but not bombard you with too much information., September 2019
2,5.0,Informational,Entrance is free and there is audio guide that you can rent at the information desk. It is located within Gyeongbukgung but just outside the ticketing booth. Plenty of displays and descriptions depicting the lives of the royal families who lived in the palaces. Took us an hour to complete though we would love to stay longer., July 2019
3,4.0,Great museum,"I arrived at the Gyeongbokgung Palace at 0930hr, too early to witness the changing of royal guards ceremony at 1000hr, Hence I decided to visit this nearby museum first. There are free digital locker to store my backpack. This museum displays royal relics from the Joseon Dynasty. There are many exhibition halls, with each hall displaying exhibits of Kings of the Joseon Dynasty,  Joseon Palaces, Royal Court Life,  Korean Empire, Astronomy & Science Hall Ⅰ, Royal Court Paintings, Jongmyo, the Royal Ancestral Shrine, Royal Court Music, Royal Procession, Astronomy & Science Hall Ⅱ. After visiting the museum, I have a better understanding of the King’s life during that era. Admission is free with toilet facilities and seats for resting.", June 2019
4,5.0,Wonderful Historical Museum - on grounds of Gyeonghbokung Palace,"This museum covering several dynasties of Korea is well worth a visit, and well take you 2-3 hours.  Beautiful displays of wonderful historical objects.  There is a small restaurant on site to take time to relax.", October 2018
5,5.0,Great museum!,Entrance to the museum is free and audio guides of various languages can be obtained at the information desks at 1k KRW. The audio guide is user friendly which detects exhibits automatically so you dont have to key in anything. The museum is well kept and organised and gives good explanation to the Josean dynasty. Worth going if you are heading to Gyeongbukgung grounds., June 2019
6,5.0,All About the Royals,"This was a free museum located off the main parade grounds of Gyeongbokgung Palace.  We toured the Palace and grounds first, watched the changing of the guards ceremony before heading indoors to tour this museum.  Inside there were three floors of history that covered practically all aspects of royal life, from birth until death, for the Joseon dynasty.  The following stood out for us:-The display on royal processions was quite impressive as it explained the size and significance of the various groups of people who were required to escort the king during a formal outing.  -The scientific accomplishments and capabilties including a water clock but unfortunately for us was going through maintenance during our visit. I thought the displays and their explanations was very well put together and held the interest of the whole family.  Compared to the crowds attending the changing of the guards ceremony it felt like we had the museum to ourself.", June 2019
7,5.0,Wonderful exhibits regarding royal life,"The museum is medium sized compared to most museums I've visited, but that means it is extensive enough to peak your interest but manageable enough to complete in one morning/afternoon session. The exhibits range all the way back to the 1300s until 1910 when the Korean royalty was overthrown by the Japanese.", June 2019
8,5.0,Joseon Royalty ,I felt walking through here that a lot was expected from crown prince from birth that from the age of 5 it was constant preparation to lead a country and to be a great king. Not that it was easier on crown princess.It makes you reflect on the weight of a kingdom., June 2019
9,4.0,Live experience ,The palace museum shows a large collection and explanations of different king dynasties and different royal belongings during the last centuries., March 2019
10,4.0,Visit during Lunar New Year,"Museum currently has an exhibit of things from Lichtenstein. While cool, it takes up most of the museum which leaves not a lot of information on Korean palaces. Overall, museum does a good job explaining what you are seeing and setting you up for Gyeongbokgung which is next door.", February 2019
11,4.0,Korean history,A good place to learn about Korean history. The museum displays a lot of relics from Joseon dynasty to the Korean empire time. I particularly enjoyed watching the documentary of how Gyeongbokgung was constructed. The documentary was shown next to a giant building plan of the palace., January 2019
12,1.0,Their service tho,"I was just going to write a good review on this museum but then I met the people on the information desk so I decided to give it a poor one. It’s a small museum but I think it’s quite informative. I found it quite enjoyable, especially since they have a Liechtenstein exhibition when I visited the museum. So after walking around for quite a bit, I found out that they have these stamps with palaces (special) logos on it that you can stamped in a stamp book provided by the museum. On the desk where these stamps are provided, there’s a piece of paper mentioning that we should ask the information desk for the stamp book (if we want to get one). So I walked happily to the information desk with the sign “English” in front of it, with a big smile on my face I said hello since the lady (she looked maybe like late 30ish-40ish) there seemed to ignoring me. I said hello and then asked her politely can I get the stamp book here, and she rudely just staring at me and grunted “hmph” and without saying anything just waving and pointing her fingers at a small table near the information desk. I don’t know why she acted that way, is it because I’m Asian? I was just so shocked to find such a behavior from a “professional”. I don’t get it. The gentleman who was on the front door greeting us and smiled at us when we first walked in, so I thought at first “oh wow they’re really friendly”. FYI, it’s not that rare to find locals here even though they’re working in a service area to be rude to people with a darker skin tone. When I first got here a few days ago, in the airport I was asking to some uncle about the tax form desk, and he also just grunted at me and waving /pointing his fingers around with some broken English “later later you can find it”and he didn’t look at me at all while saying this. It’s like I was some nuisance that he couldn’t wait to get rid off. Oh yeah, actually the lady also did the same way, she also didn’t look at me while she’s pointing the table to me. The funny thing was, when I walked passed the information desk later on, there’s a couple from Europe asking the same thing to her and she even got up from her chair, gladly went with them to show them where to find the stamp book, with a big smile on her face, being chatty and all. So what’s the deal? Smh.", January 2019
13,5.0,Entrance is hard to find but worth the effort,"It turns out the entrance is on the main street just passed the palace rather than directly from the palace, however I recommend visiting.The displays are interesting and mostly in English.", August 2018
14,4.0,Rich Korean History,"This place is spacious and has many exhibits, great for anyone interested in the history of the country. As it is located at a side entrance of Gyeongbokgung, ie Gyeongbokgung Metro Station Exit 5, it is really convenient to visit.", November 2018
15,5.0,Fabulous small museum on Gyeongbokgung Palace grounds,"I highly recommend a short visit to this wonderful museum on Korean history on the Gyeongbokgung Palace grounds.  Most people opt not to visit the museum which is a shame.  There is no admission fee.  The museum can be easily covered in an hour or two.  If anything, the museum is a great place for a short rest and (clean) bathroom break after touring the palace grounds.  There is ample seating and the museum is very calm and peaceful.  It’s actually worth visiting on its own independently from the Palace IMO.", November 2018
