,star_point,title,text,Date of experience
0,4.0,Korea History,"It is located within Gyeongbokgung Palace. Entrance is free. Inside the museum, you can collect beautiful stamps. A brief history about the past Korea. A lot of exhibition changing from time to time. Make sure to come here when you are in Seoul.", October 2019
1,5.0,Great addition to a visit to Gyeongbokgung,This museum is in the grounds of Gyeonbokgung palace and is a great place to get a bit more understanding about the Joseon dynasties - especially if you didn't have guided tour of the palace. Just the right size to be interesting but not bombard you with too much information., September 2019
2,5.0,Informational,Entrance is free and there is audio guide that you can rent at the information desk. It is located within Gyeongbukgung but just outside the ticketing booth. Plenty of displays and descriptions depicting the lives of the royal families who lived in the palaces. Took us an hour, July 2019
3,4.0,Great museum,"I arrived at the Gyeongbokgung Palace at 0930hr, too early to witness the changing of royal guards ceremony at 1000hr, Hence I decided to visit this nearby museum first. There are free digital locker to store my backpack.   This museum displays royal relics from the Joseon", June 2019
4,5.0,Wonderful Historical Museum - on grounds of Gyeonghbokung Palace,"This museum covering several dynasties of Korea is well worth a visit, and well take you 2-3 hours.  Beautiful displays of wonderful historical objects.  There is a small restaurant on site to take time to relax.", October 2018
5,5.0,Great museum!,Entrance to the museum is free and audio guides of various languages can be obtained at the information desks at 1k KRW. The audio guide is user friendly which detects exhibits automatically so you dont have to key in anything.   The museum is well kept and organised and gives, June 2019
6,5.0,All About the Royals,"This was a free museum located off the main parade grounds of Gyeongbokgung Palace.  We toured the Palace and grounds first, watched the changing of the guards ceremony before heading indoors to tour this museum.    Inside there were three floors of history that covered", June 2019
7,5.0,Wonderful exhibits regarding royal life,"The museum is medium sized compared to most museums I've visited, but that means it is extensive enough to peak your interest but manageable enough to complete in one morning/afternoon session. The exhibits range all the way back to the 1300s until 1910 when the Korean royalty", June 2019
8,5.0,Joseon Royalty ,I felt walking through here that a lot was expected from crown prince from birth that from the age of 5 it was constant preparation to lead a country and to be a great king. Not that it was easier on crown princess. It makes you reflect on the weight of a kingdom., June 2019
9,4.0,Live experience ,The palace museum shows a large collection and explanations of different king dynasties and different royal belongings during the last centuries. , March 2019
10,4.0,Visit during Lunar New Year,"Museum currently has an exhibit of things from Lichtenstein. While cool, it takes up most of the museum which leaves not a lot of information on Korean palaces. Overall, museum does a good job explaining what you are seeing and setting you up for Gyeongbokgung which is next door.", February 2019
11,4.0,Korean history,A good place to learn about Korean history. The museum displays a lot of relics from Joseon dynasty to the Korean empire time. I particularly enjoyed watching the documentary of how Gyeongbokgung was constructed. The documentary was shown next to a giant building plan of the, January 2019
12,1.0,Their service tho,"I was just going to write a good review on this museum but then I met the people on the information desk so I decided to give it a poor one. It’s a small museum but I think it’s quite informative. I found it quite enjoyable, especially since they have a Liechtenstein exhibition", January 2019
13,5.0,Entrance is hard to find but worth the effort,"It turns out the entrance is on the main street just passed the palace rather than directly from the palace, however I recommend visiting.  The displays are interesting and mostly in English.", August 2018
14,4.0,Rich Korean History,"This place is spacious and has many exhibits, great for anyone interested in the history of the country. As it is located at a side entrance of Gyeongbokgung, ie Gyeongbokgung Metro Station Exit 5, it is really convenient to visit.", November 2018
15,5.0,Fabulous small museum on Gyeongbokgung Palace grounds,"I highly recommend a short visit to this wonderful museum on Korean history on the Gyeongbokgung Palace grounds.  Most people opt not to visit the museum which is a shame.  There is no admission fee.  The museum can be easily covered in an hour or two.  If anything, the museum", November 2018
16,4.0,A good museum to visit after seeing the palace.,"This museum is free and right next to the main palace. It is worth seeing because the palace is mostly empty. You can learn a lot about royal customs here including clothing, birth, marriage, etc... There are many displays including 2 rare cars that the Korean king and queen", August 2018
17,5.0,A must see museum within the grounds of Gyeongbokgung Palace,3 stories museum with plenty of artifacts showcasing the history and culture of South Korea from infancy. You don't need a guide to explore this museum as they are well presented and laid for any one to enjoy and be informed/educated of the country's history. It is within the, August 2018
18,5.0,Definitely worth doing,We were surprised to see that this museum was free to visit. It contains a great deal of Korean history and culture. It also offers free Wifi for visitors and proved a godsend on a scorching day after doing the palaces., August 2018
19,4.0,Interesting,"Since I am a big fans of Korean Drama and also a history lover, visiting this national museum links me. I enjoyed very much. The museum provide a stamp book where you can put a stamp at the exit of each room. Exciting activities for my teens.", July 2018
20,3.0,An average museum,"Although I have a great appreciation for museums of the world, I did not find this one particularly stunning. In fact, it was quite boring. Sparse highlights included a mural depicting the extent of the original palace grounds, the artifacts in section 5 on the 1st floor (1F),", July 2018
21,4.0,Small but Interesting Museum,It’s free admission to this museum which is next to the Gyeongbokgung Palace.  This museum is next to exit 5 of the Gyeongbokgung Station for the L3 subway line.  It is best to combine the visit to this museum with a visit to the Gyeongbokgung Palace and the National Folk Museum, May 2018
22,5.0,Nostalgic Visit,"National Palace Museum of Korea  - where artifacts and royal treasures from Joseon Dynasty to Korean Empire were kept.  It displays records, paintings, royal clothes, state rites and other stuffs from royal families.  It is very fortunate for me to visit this as i have been an", June 2018
23,5.0,Wonderful museum,"Fine museum focused on every aspect of life for Korean royalties, lots of interesting objects all displayed and explained clearly in multiple languages.  There’s a lot to see, and many did not make it to the lower floors where there is an amazing self-striking water clock. The", June 2018
24,4.0,Excellent Museum ,Visited this museum today. It is located in the compound of the Gyeongbokgung Palace. It is rest assured much more interesting than the Palace which is essentially a haunt of self seeking selfie takers.  The museum is fascinating and looks at the rulers of the Chosun dynasty. , March 2018
25,5.0,Depository of History,"This place is another heaven for history lovers! The museum can be found inside the compound of Gyeongbokgung Palace, and does not charge admission fee. It is a huge place with various galleries that offer a clear glimpse of the past of South Korea. Displays inside the museum", April 2017
26,5.0,Worth a visit whilst at the palace,"We thought we might as well look around here whilst visiting the palace and were happy we did. It’s a small museum but full of lovely things, the staff are so friendly there and seemed happy we had visited, 2 smiling ladies asked us to sign the guestbook and a security guard saw", February 2018
