,star_point,title,text,Date of experience
0,4.0,Seafooddddd!!!!,"So many choices!!! It feels so asian when you arrive because of all the owners convincing you to buy at their stall! You have to bargain for a good price and afterwards a lady escorts you to their restaurant where they prepare the fish and seafood you just bought! Steamed,", January 2020
1,4.0,For seafood lovers,the location was about 0.5 km from the exit of the Noryangjin metro station. Just walk to straight ahead from the right of the exit and you'll find a signage to the market via a tunnel/underground pass. The price of seafood as expected are the most expensive during winter but, January 2020
2,5.0,Amazing,"If you are a fisherman or seafood lover, this place is amazing. The variety of love seafood is unbelievable.  Very clean and unique. Largest prawns I ever saw. Upstairs Resturants will prepare what you buy but did not try this. Others say it was very expensive. Suggest", January 2020
3,1.0,Buyer Beware! rip off alert.,"Came here on a whim at 10:30 and expected this place to be bustling. There were about 6 people milling about. Selection of available seafood was unimpressive, I saw nothing I hadn't already seen in your run of the mill chinatown in the states. I made a small purchase from one", January 2020
4,5.0,Seafoods - from tanks to tables,"I have seen similar places in Singapore, Hong Kong and elsewhere, but this is top on the list if you are interested in live seafood (or sea creatures) - from tank to table. Not pleasant sight for vegetarians - be warned. Highly recommended are crabs and cuttlefish. You would", December 2019
5,3.0,Be warned!,"Just want to prep those visiting this place.   We went to this market given the high review on the freshness. The food that we bought from the whole market were indeed very fresh and not too expensive. We paid for the cockles, abalone, prawn and fish.  After choosing, we were", December 2019
6,5.0,"Unique experience, a must for foodies","It's nowhere near as exotic or hectic as Tsukiji in Tokyo but it's fun buying the fresh fish and having it prepared to your liking at the market. Grilled turbot and sashimi - yum! The fact that nobody speaks English makes it even more fun - we had to use hand gestures, Google", November 2019
7,3.0,Good experience but pricey,"Lots of stalls offering the same seafood. We bought about 2kg King Crab and a 2kg Lobster + a few freebies (few prawns and oysters) that costed about krw170k which I don’t think is cheap compared to where I came from where seafood is imported. However, these are fresh and", November 2019
8,4.0,Varieties of Seafood!,"My Daughter and I walked around the market being wowed by the different varieties of seafood but to avoid the hassle of haggling to buy and paying the preparation fees, we opted to go directly in one of the restaurant upstairs. We choose a restaurant that served a course menu of", September 2019
9,5.0,Best place to get seafood in Seoul,"The best place to get seafood in Seoul. The fish stall are linked to the restaurant, so Khuan need to select and they will cook for you. A bit pricey but the king crab is worth the price. A heartfelt meal for the whole family.", November 2019
10,4.0,Fresh seafood but be careful of the Restaurant Price,The lady that sealling the fresh seafood was very friendly and give us advise on the seafood that we chose. And the price is reasonable too. But be careful of the restaurant you going to choose.they will charge you the price very high..that what happend to us., November 2019
11,3.0,Fresh...Fresh Seafood!,Visited on a weekday morning and it's not crowded. Abundance of stalls selling live seafood. The lady selling us the seafood was extremely friendly but the guy was quite arrogant! She also brought us to a small restaurant on another floor to prepare the seafood for us. The food, November 2019
12,5.0,Best whole fish market in Seoul,"All fresh seafood are here . Not too expensive. And you can choose the restaurant for cooking upstairs . The price for cooking is also cheap . Very impressed . Some use English speaking, very easy to communicate", October 2019
13,3.0,"Great market, but beware of the restaurant","Went to Noryangjin fish market with my wife to treat ourselves to king crab. Managed to get a good price for 2.8kg crab ($180Aud), however, we were stung by the restaurant preparing our crab. First there was the serving fee ( which almost doubled in price because we didn't have", November 2019
14,4.0,Big one!!!,My friends mum said this place made new building. So big..!!!  We choose sea foods then go up stairs one of restaurant we can eat these we choose sea foods. but quite expensive here ... Sea foods cost + cooking cost +cover charge etc... We spent 5 of us W 320000 all up. But one, October 2019
15,4.0,Fresh seafood with different level of pricing,"There were plenty of seafood, it was very interesting we went round and round the market. King Crabs are a common sight.. Fresh Fish if you want it sashimi style. We check the price, it was very costly. They have different layers of pricing like buying the fresh seafood price.", May 2019
16,5.0,The freshest seafood you could possibly find in Seoul,"My daughter and I visited this place because we wanted to get fresh seafood, and true enough this was the perfect place. There are fresh seafood vendors inside and outside and we opted to just eat fresh sushi but there are fresh seafood inside where you can purchase and take to", October 2019
17,3.0,Costly seafood,Heard from friend to give it a try. Ordered crab and 2 large prawns and cost 73000 won with cooking fee. Seafood tastes very fresh. , October 2019
18,5.0,Pricy but the experience is worth it!,"We went there after all what we heard and read about that place! We really enjoyed the evening! The food is super fresh and tasty. Picking such fresh fish isn't something you can do in many places around the world! Yes, it was pricy and yes they charge foreigners more and yes", October 2019
19,4.0,"Visit, take lots of pictures, don' t buy","A clean large fish market with a huge variety of fish and seafood. When you just buy as a final customer, it is really expensive. Busan is better in that respect.", October 2019
20,4.0,Lunch at the fish market is pricy,As many of you have probably read in other reviews you buy seafood from one of the vendors on the main floor. Then you're brought up to the 2nd floor where they take you to a restaurant where they cook the food for you. I bought a king crab (price is by weight) and an order of, October 2019
21,5.0,Must visit,Come here and view an auction or just walk around looking at the different selection. There are a couple of restaurants on the 2nd floor that will cook you any of the fish you buy. Food was fantastic and the experience was well worth the time, September 2019
22,1.0,Overpriced,"This is the first time I’ve brought my parents along, and this isn’t my first time here, was pretty excited as my parents love to have seafood. We had fun selecting our seafood with reasonable price but the nightmare started when we finished our dinner and was going to pay our", September 2019
23,5.0,Highlight to Our Trip to Seoul,This isn't a place to save money. It is an experience that is so memorible and delectable it has to enjoyed. My 3 children and niece were mesmerized by all the edible sea creatures for over an hour. When we finally chose our dishes they were prepared upstairs... sushi downstairs, July 2019
24,5.0,Fascinating ,"Was there towards the end of the day with colleagues. The market was still rather active, more sellers than buyers at that time of the day. Assortments, types of live seafoods were incredible. We bought several types of fish, abalone, prawn and brought them to the restaurants", August 2019
25,3.0,Lots of seafood,"We spent about $400 worth of seafood. Great price, but when added the cooking fees, it was not really a good deal at all. However, seafood tasted fresh and really good.. Recommended to visit and maybe spend less $. Must bargain all the times.", July 2019
26,1.0,carefull,Can vist but advice not buy to cook in the above restaurant.Too expensive.Be Carefull the charger of restaurant charger.Even We asked bf bring It to restaurant., August 2018
27,4.0,Interesting offerings,"Though not a ""fish person,"" I truly enjoyed visiting this market which offers numerous varieties of seafood not readily found in the US. There were huge shrimp/prawns/scallops, even larger crabs and lobsters, and vendors nimbly climbing on the tanks to retrieve product. We did", June 2019
28,3.0,To Experience it.,This place is in my itinerary for Seoul trip. Just wanted to experience the fish market in Korea. We took public transportation to get there and venture into the market. The 1st floor (ground floor) is dedicated for seafood heaven. All sort of fresh seafood selling here. Know, June 2019
29,1.0,Avoid !!!!,"We were charged abt 250000 won for cooking service whereas our seafood is around 320000 won.. the cooking service was overcharged… Will never go again n will not recommend too… In total , one meal we spend Singapore dollars 600 plus.. for one king crab, 6 scallops, 6 abalone,", June 2019
30,3.0,Biggest Fish Market in Seoul (i guess),"the place is well maintained although the elevator has a stinky, fishy smell when we went there. Lots of fresh seafoods inside the aquariums for you to choose.just let the ""on-site Cooks"" know ahead of time to not overcook your seafood 'coz they have a tendency to do this.If", June 2019
31,2.0,Overpriced,Cooking fee is expensive and 1 seat costs 6000 won each. Insane. Seafood is alright but the fee is unreasonable. The sellers always push us to buy their seafood and some of them have bad attitudes., June 2019
32,5.0,Fascinating place ,I visited this place after watching multiple YouTube videos about it with my husband. This was a fascinating place to visit lots of weird and wonderful fish that you won’t find anywhere else in the world in a fish market.   I recommend stopping if you are visiting Korea it’s one, May 2019
33,1.0,Seafood Trip.....Regretted!,"Overrated and not worth at all. The seller keep pushing for you to buy from them. Once bought, the restaurant upstairs not bothered to entertain you as I am going with my family , total 4 persons. Finally got a place, after 3 restaurants rejected us as they are expecting more", February 2019
34,1.0,Sitting charged and cooking fees,"The minutes you walked into the fish market. They approach you quickly n very aggressive into buying crab, fish, clam, octopus and etc. We paid $140 for the smaller crab, halibut and some clams. What pissed me off is upstairs restaurant over charged us for sitting and cooking", April 2019
35,1.0,Stay Away!!  ,Hmmm...family comes here w high hopes of having fresh fish.  The place is absolutely not tourist friendly.  If you don’t speak korean then you’re out of luck.  Instead you get duped into the hands of a racketeer.  A lady and this man on the corner beg us to buy fish.  The man, April 2019
36,1.0,Tricky transaction,"Its a fish market so I am not sure if the management can actually improve it since there are so many vendors. To begin My tolerance level is quite high and i understand its a business, and business is tough. I get it. But after the experience today this place needs a review so", April 2019
37,3.0,Definitely Overcharged,It is a big building with live and dead seafood. There are hundreds of stalls selling either shell fish or all sorts of fishes. We went on a Monday late morning and we only see a few Koreans in this market. I guess most Koreans do not come to this market for seafood.  We got, March 2019
38,3.0,Go if you like such things...,"... not to eat. I enjoy fish markets the world over. I go very early in the day to look around and take pics. This place is impressive, if a bit odd. It’s very close to the subway station. I didn’t bother to buy anything and have it cooked at one of the upstairs restaurants. ", March 2019
39,1.0,Overcharging for seafood and restaurant fees(specially),"From the past reviews here, I was gamed and prepared to experience the bargaining for such tourist place. But little did I expect the fee at restaurant (door no.17) was more than the seafood purchased at level 1.  To summarise, each dish/seafood is chargable 10k to 20k cooking", February 2019
40,4.0,Pushy sales people following you around,"FYI: This is a working fish market...wear sensible shoes (avoid flip flops, high heels and open toe shoes).   I have really mixed reviews about this place.  Definitely good to snap a few memorable photos but I don't think the locals like it unless you buy something from their", November 2018
41,3.0,Go there with a korean,"Its a cool place to see, but I wouldnt personally go there again without someone that knows korean.  When there, do not only check out the new fish market tho. Also give some time to the old one, which whilst is not as fancy. Its pretty interesting to see, and was for me more", February 2019
42,4.0,Great Market Tour and Fresh Seafood Meal,"We always make it a point to visit local markets during our tours to see the kind of fresh food they have. This is more like a huge seafood distribution centre which also does retail sales.   Despite coming with empty stomachs, we almost couldn't finish all our food. Were too", December 2018
43,1.0,WARNING - RUINED SEAFOOD,"We visited the markets post reading some positive reviews and some not so positive, as well as numerous travel blogs recommending this as a must when coming to South Korea. Well, those that rated it highly must be rating only based on the novelty of the experience or have no", January 2019
44,3.0,Great experience for photo taking but not food,"plenty of seafood to sea in a market, but wasn't really please with the restaurant. Note that the purchase price of seafood and to cook it is a separate cost altogether. Nothing fantastic about the style of cooking so its probably just worth going there for the experience", January 2019
45,4.0,Fun to shop around and then eat what you buy,"You really shouldn't fault the hawkers for doing their job - hawk all that fresh seafood! And the fun is in the banter in broken korean and english with them and if you are keen to eat the freshest and most diverse, then you should try it out. And there will always be a another", January 2019
46,4.0,Yummy seafood Good eats Worth the Stop,"Honestly, it's a great place to eat fresh seafood and have it prepared at one of the many restaurants that are located behind the market ans delivered right to your table.  Pros:  1. Friendly merchants who attempt to square dab 2. Fresh sashimi from a fish that was just swimming", December 2018
47,1.0,Definitely a NO to Noryangjin Market,"The sea products varieties are there. But the hawker are pushing you to buy the king crap or other prized product. Once you bought and you go to 2nd floor to the restaurant, the same attitude is reflecting. They will look at what you have purchased. If you buy too little", December 2018
48,1.0,Not worth going,The fish market is quite big and easy to go by train but we think can skip this place. We have a bad experience and impression of Korea on the second day of our trip. A lot variety of fresh seafood. The price of fresh seafood is ok but of course have to bargain but this is just, November 2018
49,1.0,Boring market,It's just another fish market and nothing special about it. Some stall sellers will approach you but I think they are mostly China Chinese. I doubt the price will be good. I think you can spend half an hour there just to get a feel of the place., December 2018
50,4.0,Noryangjin Fish Market,"Her türden deniz canlısının bulunabileceği ilginç bir deniz ürünleri pazarı. Fiyatlar ortalamanın üstünde, fakat görülmesi gerekli bir mekan.  Interesting market with any kind of sea product. It is possible only to buy, also it is possible to have them cooked immediately there.", December 2018
