,star_point,title,text,Date of experience
0,5.0,Beautiful park to take wedding photos at!,"We visited during early november 2018. It was autumn. We booked a wedding photoshoot from a Korean Studio, Gaeul Studio. And they always go to this park to take photos! The photos are beautiful and I love the quiet park. There are tall pink grass ( muhly grass). You can visit by", January 2019
1,3.0,Place to relax,"We discovered this place unintentionally because we took the wrong train. If you know/aware of Oylmpic in Korea previously, you would relate yourself with the area. A nice place for sightseeing.", October 2019
2,4.0,A pleasure to visit always,"The park is easily accessible by subway (Mongchontoseong Station) on Line 8, near Jamsil. It is a large park with beautiful scenery. The best is to go there in the afternoon, take the path on the right and then walk anti-clockwise around the park. The alternative subway access", November 2019
3,4.0,Great to see an Olympic Park so well used many years after the games,I love the Olympics and have visited a number of Olympic cities over the years. How they use the park after the games varies a lot from country to county. Here in Seoul it was good to see the park so busy and well used although turning the former Olympic stadium into an O2 type, September 2019
4,3.0,Passing by,This is a nice park now and it has lots of very modern sculptures. It could be a pace for a bit of respite from busy Seoul., September 2019
5,3.0,Olympic Park,"Easy to see on an electric scooter that can be hired in and around the park. None of the sporting venues are accessible to the public for a look in, but they are still standing. There is a Flag Plaza that is also a legacy of time as well as the Olympic Flame.", October 2019
6,5.0,"20,000 steps ","take water it's a large park to visit.  if you're up to a work out, walk uphill around the remains of an old fort  best part were the flags / olympic flame and the rose garden.  off season without events, only the gate areas have food and beverages   ", October 2019
7,5.0,Real relaxation.,Very cozy park. The facilities of the Olympics are still beautiful and modern. I also found the names of the Hungarian Olympic champions on the board of glory..I highly recommend it for a full day outing!, September 2019
8,3.0,Verte full,"Grulla, full, of people , what i liked is the gastronómic food that it has, mostly sea food, But its to crowded ", October 2019
9,4.0,Iconic place to visit,"One of the places that we visit. My nephew loved it because he can run around. Quite far from our hotel, but reachable by train.", September 2019
10,5.0,Really peaceful and huge,"This park is very relaxing and goo to spend a lazy time. I think Olympic Park is one of the most peaceful park in Seoul. - Close fom metro line #8 Mongchon Toseong(closer from main entrance) and #5 Olympic Park.  - With mounds, tall trees and other installations, it's also good", September 2019
11,4.0,Check it out,The place around the olympic park is really nice. There are a lot of festivals in this area and its easy to reach., October 2018
12,4.0,Venue for the TWICE concert,"I've been in the Olympic park before for a conference but this year it was the venue for my son's favorite girl group, TWICE. It was a coincidence that they were having a concert while we were on vacation in South Korea. So we watched it. The place is so wide that we were late", May 2019
13,4.0,Good place for a run,I very much enjoyed going for a run in the area and then later taking a closer look at different aspects of the park.  Examining the different flags and flags of countries that no longer exist was educational.  The park is full of neat statues.  Very family friendly-good place, July 2019
14,5.0,Must see,If you go to Seoul than you must see  Olympic park.  This place is just amazing and very well clean.  you can enjoy a nice picnic or rent a bike.  When I went the park was getting ready for I believe a Jazz Concert.  , May 2019
15,5.0,Worth a visit,"We spent time here as part of our hop off, hop on City tour and really enjoyed exploring the various areas of the park. ", May 2019
16,5.0,Great place to rest,Big park with hills and art objects. The mountains could be seen from the highest hill. Good place for a picnic. Tourists are rare., April 2019
17,4.0,Olympic Park,Its amazing that the area surrounding are still well maintained. The flame is still there! A good walk around the area. , April 2019
18,5.0,Having a valuable time with your people,"This park is known as the symbol of the Olympics 1988 in Seoul. It is very big and in the park there are many facilities for exercising such as sporting equipment, swimming pool, and bike road. Many people always come to the Olympic Park to exercise or walk. Also there is a big", February 2019
19,4.0,Nice place to stroll around,"The park is very very big and clean. Saw mostly locals there, many with kids or elders. Nice place to walk around and enjoy the nature. Original purpose was to look for flower beds but couldn't find. Walking up to the tallest hill there can have a good view around too.", September 2018
20,3.0,Worth paying a visit,"The Olympic Park is a very diverse place to start off, lots of trees and sub-nature but also a lot of facilities. You can really experience much in the Olympic Park touring the statues, buildings and more. One thing about the park overall is that the facilities are quite", March 2019
21,3.0,Looks outdated ,I love Olympics and the spirit inspires.  In this case it didn’t impressed me. I expected more.  But happy because I got my selfie. , February 2019
22,5.0,a park with  many contemporary statues,We went there to see the SOMA museum in 30 minutes. We spent 90 minutes look at all the statues outside in the park., January 2019
23,5.0,A lovely place to visit,"It's interesting and pretty. I was there in winter, so there was an ice rink with many people ice skating. There are some coffee shops nearby as well. It's really good for children as well as adults.", January 2019
24,5.0,Let the games begin...,"This is where the 1988 summer olympics was held. Easy to go to because there are two subway stations to get here -Mongchontoseong and Olympic Park. You can see sports stadiums, forests and grassy fields. I highly recommend to check out the lone tree.", December 2018
25,5.0,Lots to see,The only problem with this lovely park is that in sub zero temperatures it’s impossible to walk round all of it.  There is a monument with lots of information about how the games came to Seoul as well as names of all the gold medal winners. The outdoor sculptures are excellent, January 2019
26,5.0,Beautiful in autumn,"The Olympic Park is most beautiful in autumn, particularly towards sunset. There are two main entrances, Previously I came out from Metro station 813 on Line 8 (Monchontoseong) and could see the Olympic arch right in front of me. However this time I came out of the Olympic Park", November 2018
27,5.0,A Vibrant Happening Place for All,"We visited on a fine autumn day. Autumn foliage was everywhere and made the park so beautiful. It is a big place, so it does not feel crowded. We started from the Mongchontoseong Station and took a nice walk at the road beside the park to enjoy the yellow  trees there. Then we", November 2018
28,4.0,Oasis in the City,"When i visited this park in early autumn on a weekend afternoon, it was a hub of activity, with young families taking a stroll and youths hanging around the entrance at the southern entrance of the park.  It is a spacious park that makes for a nice stroll especially during", October 2018
29,5.0,Escape to green,This is one of the nearest to be in if you want to be in a place where full of trees. It could be crowded especially during a festival or an event. A great escape for couples where needs to spend alone time., November 2018
30,4.0,Not too exciting,Pretty place to visit however if you were at the 2018 winter Olympics there is no reason to attend. A great deal of walking and your time could be spent seeing more interesting things in Seoul., May 2018
31,5.0,the famous place,"Korea made Olympic park because of the Olympic game. 1988 in Korea there was Olympic game so they built it, but the people still using it very usefully. In the Olympic park there are concerts very often. such as singing concert or musical. also in the olympic park they made", July 2018
32,5.0,"Large, Beautiful Park","We visited this park and easily could've spent the day wandering around but instead it was just a long morning but we did not get to see everything we wanted. With the fall foliage, this park is gorgeous and clean. They had some fitness classes going on during the time we were", October 2018
33,4.0,Big park in city.,"C ( 18.10.22 )  I visited this park on my way to promise. This park was famous and big one in Seoul city. So many people visited there. There was a bigger than I think, and good to enjoy walking. Good park in the city.", October 2018
34,5.0,80s-style park,"Before PyeongChang Olympics, everything was about Seoul Olympics of 1988. This park is located a little far from the center, but Korean couples often visit here to take photos. Great locations to take a walk and enjoy the silence. Not many tourists are here, so why not blend in", October 2018
35,5.0,"A fun place with so many festivals, like Baekje Festival!","Hello, I live near the Olympic Park in Seoul. If you have any chance to visit Seoul in September or October, I strongly recommend you to go to Baekje Festival taking place at the Olympic park. Olympic park is so wide and always full of so many festivals or activities. In this", October 2018
36,5.0,A Must for Sports Fans,"What an experience to explore the location of the 1988 Summer Olympic Games, the site is expansive with several museums and outdoors art/sculpture. The flame is still burning and the Olympic spirit lives on 30 years later.", October 2018
37,4.0,A big park that needs hour to walk,We went there on a weekday and the park was not crowded.  The park is so large and it needs hours to walk. It is advised to wear good walking or jogging shoes. Pay attention to the lovely rabbits. You may find a few jumping around somewhere in the park!, September 2018
38,4.0,Nice place to take walks,"This is a nice park with a lot of art pieces all over the place. We also went to the Museum in the park and enjoyed it quite a lot. Not too crowded either. And of course the gate is very impressive. Would recommend this for picnics, dates or just taking a stroll.", August 2018
39,4.0,Remembering the Olympics and Baekje period,"My family and I spent about three hours on a sunny weekday mid-morning at this park, which commemorates the 1988 Seoul Olympics Game.  Getting there:  We took the subway Line 8 to Mongchontoseong (World Peace Gate) station and came out at Exit 1. This took us to the west end of", June 2018
40,4.0,"at late summer, you can experience cosmos flower","although I'm not a big fan of flowers, i still went to olympic park, just to make sure, i would go to every part of seoul before i went back for good. im not sure what to do here, but the park is quite big, if you come during the summer, there will be small rose garden, cosmos", September 2017
41,4.0,Quite impressive,"The Olympic park is a very impressive leisure facility with legacy from the 1988 games. Nowadays, it is used to relax and unwind by locals.", August 2018
42,5.0,Amazing sights and great shopping nearby at Lottee,"Seen from our favorite Korean Hotel, this park is a true fabulous place to check out. It is a bit out of the way so prepare for a bit of a cab ride to get here. ", August 2018
43,4.0,peaceful,Very nice area to walk around．Their olympic museum was closed and not much stuff to do but very beautiful park.  , July 2018
44,5.0,I found my favourite place on earth,"This park is so incredibly breathtaking, that i felt at peace just by being present and appreciating nature. There are also little gym stops with equipment, where you can do a small workout. ", June 2018
45,4.0,Baseball Game,"Went to baseball game and the food, atmposphere was awesome.  Loved the cheering and excitement.  The food was affordable and interestin.", July 2018
46,5.0,The Olympic Peace Arch is Enduring,"While attending the 2018 Olympic Winter Games in South Korea, I went to see the Peace Arch that I had seen during the.   1988 Summer Games.  It's still as lovely as ever.  Also enjoyed the winter Olympic display that they had featuring Yuna Kim and the Olympic mascots.", February 2018
47,5.0,Large Park,This large park was built for the 1988 Seoul Summer Olympic Games.  The main entrance is hard not to miss with the huge World Peace Gate.  There is a number of sporting facilities from the Games still around.  There are many interesting sculptures in the park.  It’s free to, May 2018
48,4.0,Feel the mystique of the 1988 Olympics,"You probably won't be able to enter the aging Olympic stadium, still bearing the Olympic rings and mascot. But you can still peak inside and see the track where Flo Jo notched four gold medals in 1988, still holding the 200m world record to this day. You can imagine legendary", July 2018
49,5.0,Amazing legacy,"We arrived on an incredibly hot day, hoping to see everything before the afternoon heat came! We picked a day when it was already full of school trips at 10am - ir is that everyday? It was top of my list to see and well worth it. View of the Lotte Tower from here today, which is", May 2018
50,4.0,"Lovely stroll, place well maintained","Although I have been to Seoul several times, this is my first time visiting the Olympic Park.  As it is opposite the Museum of Photography, I combined visits to these two places on the same day. How time flies. The Seoul Olympic Games were already 30 years ago! I went on a", June 2018
51,5.0,Ultra Music Festival Korea!!,"The Olympic Stadium has been home to Ultra for 7 years now, and this year was no exception. Being able to connect with people from all over the world is an amazing feeling. ", June 2018
52,5.0,Relive the Olimpics of 1988,"When you are in Seoel, i advice a visit to the Olympic Parcours. When you close your eyes you feel the présence of the top-atletes. The several sports accommodations will give you A good idea. I don’t know if in 1988 all the works of arts and the status allready where.But it is", May 2018
53,3.0,cold olympic event,if you ever go to the winter Olympics stay in one town that you want to see the best and don't leave . it is a real pain running around to get to what you want to see plus constellations and it can dang cold . now that said it is all neat as you can imagine set very cool and, January 2018
54,4.0,Worth to stroll around for about two hours -,"It was about time for me to go to the Olympic Park after so many visits to Seoul. It was a Sunny Monday. Most other tourist attractions in Seoul are closed on  Mondays. Hence, it was an excellent stroll around!", May 2018
55,5.0,More than impressed with the legacy they have remained from 88',"What a beautiful area in seoul to go for a walk and perfect photo ops, went with my friend who I am visiting in seoul at the time, on a pleasant Saturday morning, The park is massive, with options of bikes available. There was a clear look  of the entire park and some arena used", October 2017
56,5.0,Rent a bike ,This is a very fun place to visit. We rented a bike while we were there and explored the whole park. This is a great place to come to escape the crowded streets of Seoul and to get a taste of nature in the city. , October 2017
57,3.0,Nice enough park but the Peace gate is the main attraction,"A lovely park and worth a walk around, but if you only have a short time in the city, then just go to the plaza and see the flags and gate. It is close enough to walk to Lotte tower and mall where there are lots of places to eat, drink and shop, but there are also a couple of", October 2017
58,4.0,Don’t miss the old GDR flag,30 years after the Seoul Olympics and the park is a living testament of the Olympic legacy. Best to visit in Spring or Summer when the lake is full and gardens are at their best. A curiosity is the old GDR flag is still flying on the edge of the central square., March 2018
59,5.0,Great place to visit!,"Olympic Park is a huge complex where you can see stadiums, around 200 different statues and there is also a park with a nice nature to walk through. I especially enjoyed visiting the 1988 Olympics flags plaza - interesting to see how many countries do not exist any more and how", February 2018
60,5.0,Amazing venue!,The Olympic Park was fabulous! It was well-laid out with various sports venues and was well-marked. The area was clean and accessible for all., February 2018
61,5.0,Great for walking,"This park os in the center of Seoul. It has more than 200 scultures by korean and overseas artist. In this park some times are concerts and sporting events. There are many attractions in the area, restaurants,museums and art galkeries. seoul Baekje Museum, k-pop Music", November 2017
62,4.0,World Peace Gate,"I didn't get to explore the whole park. I just went to the World Peace Gate and walked around it. It's an amazing structure , definitely worth the stop!", June 2017
63,3.0,Not recommended ,We went there in December. There was nothing there. All the shops were closed.  Just a barren land to walk.  May be our timing was not good.  , December 2017
64,4.0,Running man,"I came here because of Running man. You will know what I mean if you're running man man fans. Olympic Park is so huge, we can spent 2-3 hours here. Very nice place to see locals people activities.", November 2017
65,5.0,My favorite spot in Seoul,"This is defiantly my favorite spot in Seoul, I remember that I visited it in my second day there and I was amazed by its beauty, the beauty of the trees, the beauty of families, the beauty of weather.  It was far from my hostel but I kept dreaming for visiting it again during my", October 2017
66,4.0,Olympic 1988 reminder,"In 1988, Seoul held the summer Olympics and the Olympic Park was built for these games. The Olympic Park is a huge park and it is a joy to be in it. I found it to be a beautiful park.   The park is divided into four zones namely for sports/recreation; arts and culture;", August 2017
67,5.0,Green lung,"Very fortunate to visit during local historic festival and a music Festival. Although a very busy space enjoyed by locals I never felt claustrophobic, with some wonderful sites and landscaping. The local community obviously rely on the space to interact and embrace their", September 2017
68,5.0,Family/ Couple Friendly Park for a day out,"This park is BEAUTIFUL! I went there on a sunny day, and there were a lot of elderlies came a long as well. Since I went on a Sunday, the park was full of families and couples who came for picnic. Also, it has bike rental for the public so that people can bike around the park", October 2017
69,4.0,Nice Nod to Seoul's Olympic History,This is within walking distance from Lotte World. If you don't see the Olympic monument when you first arrive it is because it is on the other end of the park. I wish there was a statue of Hodori the 1988 Olympic mascot., October 2017
70,5.0,Place of memories,"This is a place where opening ceremonies were organized in 1988. Beautiful park with some cafes, ponds, walking routes, museums... If you want memories the games there is a wall which tells the Olympic game winners.  Children can rent bicycle vehicles.", October 2017
71,5.0,MUST SEE.,"This was a wondeful experience. Absolute must see. The Olympic shrines,  the stadiums and the eternal flame. Also some beautiful nature here too. Right by the metro station. No excuses you must check it out. Not really a busy place so pjehty of space to walk and take pictures. ", October 2017
72,4.0,Quiet and peaceful park,"This park has lovely paths with shelter under trees. It is busy in places but it is soon easy to get away from them.  This is a large area comprising lakes, paths and the remnants of the 1988 Olympics. The gold medal winners and many other important details of the Olympics are", September 2017
73,5.0,Beautiful park,"This park is my favourite so far it's so beautiful the hills to walk in and the facilities the lake view is amazing eminded me of London parks. you will find some beautiful arts work as well 😍 and there's a kids playground, cafes and grocery shop. A perfect park ", August 2017
74,5.0,September Festival,"Hi, I had a great time at Olympic Part last year.  If you come to Korea in September, I am glad to introduce a great Korean traditional festival in Seoul in September. There will be a lot of things to see and experience, and you will get to know the Korean history enjoying the", September 2016
