,star_point,title,text,Date of experience
0,4.0,Samcheondong-gil road,"You can explore the boutiques, shops and galleries to or on your way back from Bakchon Village. Certainly a great place to take a break or have a meal at one of the many restaurant offerings.  Interesting stores that offer traditional Korean hanbok rentals for those who want to", November 2019
1,3.0,Modern and Traditional Korea merge,"You can view restored older Korean homes (hanok), walk around and enjoy the coffee shops and galleries.", September 2019
2,3.0,The Tourist Area Of Bukchon,This street was similar to others in Bukchon but had more cafes and  places for tourists plus a mix of the old Korean houses and some new.Walk this street and some of the other less crowded streets for a fascinating look at old Seoul., September 2019
3,3.0,One of many,"One of the streets in bukchon village, good to experience and see the old korean cluture. Nice for a walking day.", September 2019
4,4.0,Modern and ancient ,The Bukchon Honok traditional houses and the modern café and shops selling clothes and dresses co exist. It is a fun place to explore  Shop in the boutique and catch the afternoon coffee break in the café. Another way to enjoy Seoul., September 2019
5,5.0,Samcheongdong-gil Road,"EXCELLENT shopping areas. The surroundings are like in old-fashioned houses but when you stepped into the shops, WOW! All high-end interior. Very comfortable to shop and pleasant to look around. We enjoyed our time here! Prices may be a little steep but its a really great place to hop around!", January 2019
6,4.0,Samcheongdong ro - A charmed place for casual shopping,"Samcheong-dong is an interesting area where you will find a unique amalgamation of majestic palaces, artisan cafes, unique boutiques, stylish art galleries, and charming Korean traditional houses.", December 2018
7,5.0,Tradition Meets Modern,"Samcheong-dong is one of the hot spots in Korea whether your a local or a tourist. It is where tradition meets modern day. It is near Gyeongbokgung palace qnd the blue house. It's nice to stroll along the streets whether its day or night time. A lot of restaurants, cafes and shps can be found here. Next time you want to visit somethong new in Seoul, why not try and go here.", December 2018
8,5.0,Fun place,I enjoyed my visit here and seeing all the Han Bok costumes around just made me feel like I was way back in time., November 2018
9,5.0,Where tradition comes alive.,, October 2018
10,5.0,Bukchon! :),"Bukchon Hanok amazed me everytime I went here. It gives me the feeling of being old in the city. Overall, Goblin Korean Drama locations is a must.", October 2018
11,4.0,"Not as good as it used to be, but still great street of cafes","This road is located near the presidential office and prime minister's home. Therefore, it is completely safe with a lot of police. There are many Korean-Western fusion style cafe and restaurants. It is fun to walk through the streets and find neat gift shops.", October 2018
12,5.0,Lost in paradise,"Samcheongdong-gil-road is a balanced mix of both traditional & modern architecture. Peaceful street lined with cafes, museums, art galleries and antique shops. Each art gallery has its own unique architectural design. Walls have some interesting graffiti. Perfect place to take a stroll and enjoy a cup of coffee.", July 2018
13,5.0,Amazing,Lovely walk thru small streets with incredible timber houses.Plenty of places for drink or food.Good prices for Seoul., May 2018
14,4.0,Samcheong-dong,"This road is not far from the Gyeongbokgung Palace. It is continuing until Insadong. Along the road it is possible to find many interesting shops, art galleries, restaurants and cafes. Also, generally it is possible to see some street activities or market places. Prices in shops and in restaurants are above the average level of Seoul. Walking along this road can be quite enjoyable activity on a warm day.", May 2018
15,5.0,Lively street,"A lively street with cafe, restaurants and clothing shops. It’s enroute to the bukchon hanok. So plan your trip to include this in your itinerary.", June 2018
16,5.0,Plenty of good shops,"This road has plenty of interesting looking shops, great cafes and restaurants and heaps of cool art galleries. It is close to Gyeongbokgung Palace and some tourists wander around here in their rental hanbok outfits. It's a very chilled place to spend a few hours.", March 2018
17,4.0,Small street,"Its close to the Gyeongbokgung Palace. After a lot of walking in the palace, we were very tired to walk here. So we drove around in the car. Its nice little street for a pleasant walk if weather is good. You can see the Bukchon Hanok Village a little uphill and lot of quaint shops Worth a visit if one has time.", April 2018
18,4.0,A pleasant stroll!,"Accidentally found this road on our quest to search for the Bukchon-Hanok Village as we walked from the Gyeongbokgung Palace, and what a pleasant find indeed! Loved the quaintness of the ambience, a good mix of old (or rather ancient) Seoul with the new. It has sort of a hipster feel to the area too!", April 2018
19,4.0,Beautiful place,The Road has a very beautiful view but such a very small tiny road.  It has coffee shop and restaurant., November 2017
20,4.0,Strolling from Gyeongbokgung palace ,"Walk past the road here from Gyeongbokgung palace to Buckhon Hanbok village, lots of interesting cafes , ice cream stall , eateries along the way . Love the vibe here", March 2018
21,4.0,Interesting Stop,It is a nice area to visit very unique area but the quality of the food at the restaurants are not very desireable., February 2018
22,4.0,Try hiking trail across Samcheong park,, November 2017
23,4.0,A visit to Samcheongdong is a must,"This place is replete with history and has quaint cafes and boutiques that dot the narrow alleyways that never fail to surprise you with an unexpected dessert store or restaurant. My personal favourite is a dessert store that offers purple sweet potato ice cream that sits on a little mound of ice shavings, purple sweet potato tiramisu and latte. The shop is so tiny and the patronage so overwhelming that the queue snakes out onto the alleyway.", December 2017
24,4.0,Keep walking,"dotted with eclectic little shops and cafes, this street is a delight to wander. If you veer off to the right up the mountain, towards the embassy of Vietnam, you will find the entrance to the Samcheong Park. Go in and climb up the hill to the pavillon, past the  military fortress, and you will be rewarded with great views of Seoul. In the morning you will stop believing you are near a mega city.", December 2017
25,5.0,Nice heritage homes plus more,, November 2017
26,4.0,A famous nian-gao restaurant at this place,Must visit this place for photo taking.  There is a a lot of cafe and street foods here.  A very famous nian-gao restaurant is here.  Do not miss the restaurant if you are here! very delicious and reasonable price., November 2017
27,5.0,Beautiful neighbourhood!,This place is really gorgeous for an afternoon stroll with many shops and cafes along the street. The building is a mixture of old and new and the autumn colours make the area even more beautiful. Some of the coffee chain have interesting looking buildings. I saw SBS filming a drama here too while I was there!, November 2017
28,5.0,One of the best area in Seoul,Great place to spend few hours to walk around. Few great cafe places and you can buy some small but interesting things there. Both of my daughter hired and wore hanbok and walk around the area and the experience was fantastic., October 2017
29,4.0,Great place to walk around with historical buildings,Great streets with many shops and restaurants. Buildings are historical looking. Very great views and easy to navigate., September 2017
30,5.0,My favourite place in Seoul!,"A mixture of modern and traditional Korean, this place is a fantastic exploration. Many unique and great cafe around the area. Best to be explored on foot.", October 2016
31,4.0,A bit retro-hipster style part of the town,"If you want to see the mixing of retro and modern things you will find walking this road interesting. There are many shops here, artisan shops, craftsmanships, bars, and restaurants. An interesting part of town.", August 2017
32,5.0,Take umbrella,"June was very rainy, so take transparent umbrella:), you should start from from Gyeongbokgung Palace, you will pass many shops, restaurants, galleries and nice old style houses.", June 2017
33,5.0,nice small alley,"This is located at Anguk Station (Seoul Subway Line 3), Exit 1. Along this small alley, you see some familiar scenes from Goblin drama. This is also near Pungmoon High School and Choong Ang High School where you can reminisce the drama :)", August 2017
