,star_point,title,text,Date of experience
0,5.0,Lovely Grounds after a Nice Hike,"I decided to take the bus to get to this place on a very early Saturday morning.  Just a one bus transfer from Gangnam.  There is actually a shuttle service, however, I was not sure of the actual location of the pick-up points.  Its best to have a wifi cause google maps can lead", May 2019
1,5.0,Beautiful environment and a great variety of food,"We were invited as a group and had a great evening, topped with cultural experience while the food just kept coming to the table in at least 10 turns. We only had water and tea but this was just great not to take away any of the taste from the food.", July 2018
2,5.0,Excellent Dinner and location,"My Korean customer invited me there for a dinner meeting.It is a world ""out of busy city of Seoul"". Paceful place inside a truly traditional Korean old building with a cozy garden.We had a excellent food, I was extremely satisfied.Take the opportunity to enjoy it if you are in the city!", May 2018
3,3.0,Traditional Korean food,"The restaurant is located in premises used for government events. As our visit was during a wet and dark night, I can only imagine that the grounds are beautiful. There was a wedding and the place was very crowded. Perhaps the ambience is more suited to such occasions rather than just a meal.We did not have the set menu but several  à la carte items. Food was nice but not memorable, from exotic abalone to common vegetable pancake. The room and decor were not particularly fancy. Only the buildings and gates were in old Korean style.", May 2018
4,4.0,Nice dinner,My friend treated me a really nice Korean dinner (Hanjeongsik) The food was awesome and we were so full. The servers were nice and helpful. I enjoyed my dinner at Samcheonggak. Need reservation., August 2017
5,4.0,Fine cuisine,"We booked for lunch through our hotel concierge and made use of the free shuttle service provided by the restaurant. Was at the pick-up point five minutes before the scheduled time and the van arrived promptly to bring us there.The drive up a meadering hill was scenic with tall trees & fresh air. When we arrived at the entrance to the restaurant, we were awed by the beautiful landscaped garden surrounding the ""palace"" restaurant.We dined at the main hall and the service staff were really tip-top. The prices are not cheap though but we order 2 set menus consisting of about 10 items which cost about Kwn69,000/- . Since we wanted to try a different kind of cuisine, we decided to pay for this extravagant lunch.The food was fine and quantity small but enough to fill you up at the end of the meal. The cooking style was not oily and most items looked braised or stewed.I will recommend this restaurant if you want to dine at a restaurant with a nice ambience and beautiful surroundings.", May 2017
6,4.0,How the Emperor use to eat? ,That's how it was pitched to us. I'm not so sure. The food is just ok. Tastes more healthy than delicious. Would come here more for the stroll around the surroundings before and after dinner..., May 2017
7,3.0,Nice place but needs refinement,"The location on a hill was superb. It creates an anticipation for things to come.We had lunch there and went for a set has most of the items we wanted to try. We were told that they will need 20 minutes to prepare the food. No worries.Trouble was when the food came, it was not course by course. Salad came with the second course and the third! Plates started to clutter the table as if went to a banchan shop. But Samcheonggak was not. And this went on through out the meal. It was as if they served the food after the kitchen has prepared it, not after you finished a course. It made eating harried and not a pleasant experience.Besides that, the salad dressing (1st) and the pine nut dressing (4th) was so similar in taste, they shouldn't be set so near to each other. Having the scallops & shrimp in pine nut dressing served before we even finished our salad compounded to the negatives.I was not sure if it was the high expectations that made this dining experience so memorable in a bad way.Was it a good meal? Borderline yes.Was it worth the price? Not really.Will we go again for lunch? Don't think so. Maybe for a coffee to take in the views.", December 2016
8,4.0,Unique dining experience,We brought our daughter to Korea for the first time and wanted to experience some of the traditional korean cuisine.  And this place was fantastic. We came here for lunch on a Sunday at noon. When we fist arrived we were the only people but the place filled full soon after.  The server started bring out the food right at noon and continuously for about an hour. The food had fresh ingredients and they were delicious.   My daughter did not care for pumpkin porridge but my husband and I loved it.   Other than all of us enjoyed everything.  The service was excellent and it was well worth it.  The only minor problem we had was finding a taxi to take us back to our hotel.  The restaurant was located on a remote hillside and there were not many cabs available. The restaurant tried to call a cab but we were told to wait for at least an half hour. Luckily we found a cab that dropped off other customers to ride back to hotel., September 2016
9,5.0,Tranquility amidst the din of the big city.,"We indulged in a Sucheong Sura (a.k.a. The King's Dinner). There were 13 courses; very much like a fantastic ""tasting menu"" of authentic Korean cuisine.  We were entertained by traditional Korean musicians and had a thoroughly wonderful experience.", June 2016
