,star_point,title,text,Date of experience
0,5.0,Beautiful in the sunset,"Another one of my favorite places to re-visit in the Gangnam area is Seolleung and Jeongneung Royal Tombs. I come here a few times a year for a peaceful walk. This is a designated UNESCO World Heritage Site and it houses the Royal tombs of King Seongjong, Queen Jeonghyeon and", March 2020
1,4.0,Seoulleung & Jeonneung Royal Tomb,A beautiful UNESCO designated historical royal tomb area in the heart of Seoul not too far from Gangnam.  It is an impressive and well maintain area which is the final resting place for two Joseon Kings and one queen.  The grave mounds adhere to strict Confucian burial rites. , November 2019
2,3.0,Why,"I went because is declarared by Unesco... But little people only now english... No one spanish... Al the beautiful sculpture and information Are in korean only,", October 2019
3,5.0,The old and the new Korea side by side,"1000 krw. Beautiful green oasis in the middle of buzzing metropol. Three tombs of royals, good info, peaceful area, nice trails and nice spots with benches where relax and enjoy.", September 2019
4,4.0,Calming and peaceful , One of my favorite places in Gangnam to take a walk and escape the crowds and modernity. Seolleung Royal Tombs aka Seonjeongeung is the burial place of King Seongjong and his second wife Queen Jeong Hyeon and the King’s second son King Jungjong. ‘Seonjeongeung’ comes from, August 2019
5,5.0,Magnificent tomb,The tomb is located in the middle of Gangnam area so it is very easy to visit if you are happen to stay in one of the many hotels within the territory.  It covers a very vast and hilly area so you better wear convenient shoes if you plan to visit it., October 2018
6,5.0,"if you sick of city life, you should go.","I'm from Seoul but I have never been here before. I found out such a silent spot and it was! Since it was very peaceful place, I can take a rest for a while. ", May 2019
7,5.0,Amazingly Beautiful ,"I enjoyed walking around this place so much! Very beautiful park with great landscape and Korean pines. Plus, of course, a place of history and spiritual significance. Wonderful atmosphere of tranquility and peace.", June 2019
8,5.0,Nice quiet park,"This was a nice way to spend a couple hours. Very cheap to get in (1,000 won). They provide you with an English brochure. Tombs aren’t terribly exciting but the park itself is beautiful and it is hard to believe it is in the middle of the city. If you are nearby, you should stop", May 2019
9,5.0,ROYAL TOMBS,"It was autumn when we went to the Royal tombs, there were 8 tombs in form of hills.  A peaceful place to visit.", November 2018
10,5.0,Lovely park with interesting historical royal tombs ,The tombs were a five minute walk from my hotel. I went around 0800 on a weekday and there were a lot of elderly Koreans getting in their morning excercise. The tombs were very interesting with stone guards at the top of the mound. You can only walk to the top of two of these, November 2018
11,3.0,Quick Visit: Very Affordable ,"The location is easy to get to if you take public transportation, metro or a vehicle. The park is not very busy and does not seem to have peak hours. The entire place can be toured in about 30 minutes to a hour.  Admission for adults is 1,000 Won. ", November 2018
12,4.0,beautiful tombs and easy to reach,"These are the easiest to reach tombs in Seoul (there are several tombs through Seoul). The grounds are very attractive and the cost is only 1,000 Won to visit.", August 2018
13,4.0,Good to visit during lunchtime,"For office workers nearby, this is a good place to visit for lunch or after lunch. Since this is the mausoleum of kings in Joseon Dynasty, visitors normally behave considerably.  - Commonly known as Seonjeongreung. - The area is huge. Good to walk in the forest. - Entrance is", October 2017
14,5.0,Joseon Royal Tombs,"My husband and I visited the Royal Tombs of King Seongjong, Queen Jeonghyeon and King Jungjong. It was fascinating history learning about this royal burial site which is one of many around Seoul. The walk has hills and I recommend walking shoes as it’s gravel surface. Visit the", September 2018
15,4.0,Quiet spot on Sunday afternoon ,I didn’t think it was possible to have such a large place to myself.  I visited at around 1830 on a Sunday afternoon.  It’s surprising to have such a vast forested area in the center of such a large metropolis.  It was a great place to go on a walk and imagine a time before, August 2018
16,5.0,Loved it,I was just there yesterday as it was only a 5 minute walk from my hotel L7 Gangnam. I went for a nature walk and absolutely loved it. It's easy to walk and there are plenty of benches around for those who want to take a break. It was so green and pretty..almost felt as if, June 2018
17,5.0,Take a Break,Of course it s an Historical site With the Tombs of King and Queen  But it s a nice park really inside Gangnam area So it s perfect to breath and relax Love it, May 2018
18,3.0,Nice enough but nothing special,"Only 1000w to enter and it is a nice area to walk around but there is very little information in English about the tombs and the kings and queens that are buried here. There are toilets on site but not other facilities inside. Plenty of restaurants, coffee shops and convenience", May 2018
19,5.0,History & Nature in the Heart of Gangnam,"This is a UNESCO site that is a bargain for the W1,000 you pay to gain entry.  A breath of fresh air and green space in the gleaming, sterile district of Gangnam, it's a good place to catch a mix of history and nature amidst one of Seoul's most glitzy areas.  There are three", April 2018
20,4.0,Nice walk during a cold afternoon in Cherry blossom,It's a relaxing and beautiful area. Just enough in size to cover in a hour. Tombs are well preserved and the shirnes pretty and well restored. Nice haven in the middle of Gagnam-gu, April 2018
21,4.0,Joseon Royal Tombs,"Great visit for about USD $1 or W1,000 takes about an hour, light walking great for  meditating not very busy I went on  Sunday light tourist and local public. Grate to buy a drink or coffe before coming into the park, food is not allowed. Very peaceful and near the Bongeunsa", March 2018
22,4.0,Easily toured on your own,"Located about a 15 minute walk from the COEX convention center, this UNESCO site is easily toured on your own, and a nice oasis in the middle of the city. Only 1000 won ($1 US approx) to enter, you're provided a map with walking paths - most are dirt and there are hills so wear", December 2017
23,4.0,UNESCO World Heritage Site in the middle of the cityscape,"On our last day, we visited this unique World Unesco Heritage Site about 20minutes walk from COEX. This site consists of three tombs of two emperors and an empress from the Joseon dynasty.  This site is unlike the relatively inaccessible Qing tombs near Beijing: you could not", November 2017
24,5.0,Not so touristy and peaceful,"My family wanted to visit the main Gangnam district at night and we had some time to burn.  We looked up some areas to visit near Gangnam station and this popped up.    One station away from Gangnam station, get off at Seollong station. A few minutes walk is a massive park with", November 2017
25,4.0,Small-scale royal tombs,It was about 20-minute walk from Seolleung subway station in Gangnam area.   We reserved a walking tour from 'Visit Seoul.Net' website and the tour was free of charge.  The guide met us at the ticket booth of Seonjeongneung (meaning Seolleung and Jeongneung). After we bought our, October 2017
26,3.0,Park with history,"The park has 2 kings and one queen burial grounds. It is a nice place to walk in Seoul also best visited when the cherry blossom usually begins to bloom. the seen is very romantic. The walk effort is moderate, suitable for all ages.", April 2017
27,5.0,History in the middle of the city,"This was the first place I visited in Seoul, it was AMAZING! The entrance is very cheap and it's a huge land where you can walk around for hours between trees and beautiful buildings. Downer is that you cannot approach the tombs, where the statues are, but it's very peaceful and", August 2017
28,4.0,A peaceful oasis in Seoul,"This cultural landmark is a green, peaceful place for an historic stroll in the busy Gangnam area.  Allow an hour to walk and see the monuments and burial mounds.  The grounds are well maintained and the staff is helpful.  The entry fee is modest.  Be sure to approach from the", June 2017
29,4.0,Tombs ,"Not much to see inside. Good for a walk and take some pictures. Entrance is 1,000 KRW. UNESCO site..", December 2016
30,4.0,Worth a visit,Several burial mounds of two kings and a queen of the Joseon era.Quite scenic and worth the walk. Located in Gangnam., October 2016
31,4.0,A peaceful oasis of nature and culture,"We wanted to go already for some time, but the tombs are a bit far from our usual hangout places in Seoul. Despite that, the tombs are easily accessible either by subway (Seolleung station - both yellow and green lines) or bus. There's a KRW 1000 entrance fee, and the whole", April 2016
32,4.0,Worth it!,"This is worth the 1000 Won (less than $1) to go in and walk around. It's lovely, even in winter, and there are nice trails to walk around the burial mounds. There's a video to watch (with English explanations) that was very helpful in understanding how the mounds are made and", February 2016
33,3.0,UNESCO site but nothing much to see inside,"Being in winter month, I enjoyed the cool air, peace and quiet in this heritage site. But other than that, there's nothing much to see. Admittedly, entrance fee is cheap at 1,000won.   The museum on the right of the entrance is worth a visit before you start touring the grounds", January 2016
34,2.0,It's interesting but can't see anything ,"Out of respect the tombs are fenced off/ closed off from the public, but if you feel like going for a bit of a walk in the park for 1000won and you have time to spare go for it. Otherwise the brochure itself will give you better photos than you can take in real life. If you have", February 2016
35,4.0,This place inside the city? LOL. But WOW!,"DATE VISITED: November 15, 2014  PROS: Went here for a check, but somehow enjoyed my walk. The people running this place were very friendly & helpful. Some locals went here for a walk and jog. Cool place for a visit.  CONS: This should've been free for public. Just like", November 2015
36,4.0,This is the tomb of King Sungjong,"It is quite interesting tha King Sungjong was really hot man. He worked very hard to manage the nation in day time, but enjoyed night time entertainment very much with his brother. I think he really enjoyed his life. The places around the tomb is currently also famous for", October 2015
37,4.0,Well Worth a Visit,"Another UNESCO World Heritage site in Seoul.  Well worth a visit; and photo op.  Also, just a nice park to stroll around on good weather day.", October 2015
38,5.0,Silence Within The Busy City,"The Seonjeongneung tombs were easy to find from the metro station. A small entrance fee gets you into the site where the tombs are, tall buildings surround the park and it is so peacefull, a great escape from the busy city. You can't get too close to the tombs but you can see", April 2015
39,5.0,Truly awesome - don't miss it!,I wasn't sure what to expect when I made the journey via subway from Euljiro 1ga to this World Heritage listed site but was incredibly glad I made the trip. There are three royal tombs here and each one allows you to appreciate a different aspect of these massive structures. The, July 2015
40,4.0,Good exposure to history,"Collectively, the Royal Tombs are listed as UNESCO sites. This is located in the heart of Seoul and provides a good example of single style tombs. At about $1- worth the experience. ", July 2015
41,3.0,"Nothing to see here, move along...","Think of this as a nature preserve in the middle of the city rather than a tourist attraction.  If you are looking for a peaceful stroll along well maintained and wooded paths with lots of different types of birds, then this is your park.  However if you are looking to see the", April 2015
42,4.0,Respect,"Heard about this park near my hotel in yeoksam. Thought it might be a nice place to go for a run. Not that kind of ""park"". I don't run through burial grounds. But an intriguing place to walk. Enjoyed the spirit stairs and spirit walkway that were off limits to visitors. Seems", March 2015
43,4.0,Refreshing walk in the middle of Gangnam,"Seonjeongneung Park is located in one of the busiest area of Seoul, and still, while visiting it you may get the feeling you are in a quiet forest, a green oasis. This is a refreshing stop between COEX and Seollung area. The park itself displays tombs and relics of Joseon", January 2015
44,4.0,A quick and green getaway from surrounding Gangnam area,"A green area located in the middle of chaotic business district of Gangnam, containing the tombs of the 9th and 11th kings and one of the queens of the Joseon Dynasty. It serves as a peaceful and quick getaway location for the people working or living in the surrounding area", October 2014
45,5.0,Out of nowhere!,"Went out on a Geocache journey and found 3 near this area!! If it wasn't for that , I would not have found this great historic place! As of September 2014, the fee was 1,000won and well worth it! make sure you have enough time to visit all three tombs and to learn about them!", September 2014
