,star_point,title,text,Date of experience
0,5.0,nice seoul mosque,my the first time to visit here. only one mosque in korea i think. good place to visit. in itaewon area. with muslim friends it’s good time to show them here, February 2020
1,3.0,Glad to Find a Place to Worship in Seoul,, August 2019
2,5.0,A must visit for all Muslim traveller,"If are a Muslim in particular,and you are in Seoul, never miss the opportunity to visit and perform solah at Seoul Central Mosque. Located on a high hill in Itaewon, if you are not on excursion, you can reach there by taxi (easier but slightly costly) or bus. There are many halal restaurants around it. Take note that the nearest bus stop along main road on north side, and you need to go thru quite a steep wide staircase. Just be careful especially when wet.", December 2018
3,5.0,Beautiful Mosque,The mosque was peaceful and Islamic. It was beautiful. The mosque is very big and has a parking lot. It is the first mosque we encounter in seoul, June 2019
4,5.0,Second time here,"always love to come here and pray here, wonderful mosque especially at night. My second time here after 2014.", April 2019
5,5.0,A beautiful masjid,The masjid is high up on a hill. Please wear   comfortable shoes. There are toilets and ablution facilities for women and men. A beautiful masjid indeed., December 2018
6,5.0,Easily recognized,Must visit - the only mosque in Seoul. Take the Itaewon line and walk up the hill for about 300m. You wont miss it!, September 2018
7,3.0,A place for Muslim tourists,"A lot of halal restaurants nearby. But this place has nothing to offer for travelers seeking for something Korean. It gives a nice view of Seoul, but not worth that much to walk up the hill to get here, if you are not a muslim.", October 2018
8,5.0,Great mosque in Seoul,, December 2017
9,5.0,Central mosque seoul,"Easy to find , surrounding with all halal foods from Iran and also korean.Very delicious and it will repeat my trip again", March 2018
10,5.0,Nice,"I am enjoying my time during the visit. Please have a good stamina, you need to hike up a bit 🤣 it have many halal restaurant along the road. I tried at makan halal restaurant. Yummy!", August 2018
11,5.0,Religion of peace ,, August 2018
12,5.0,Majestic,, July 2018
13,5.0,Great experience,"A must visit for all Muslims. The mosque is situated up on a hill. Quite a walk from Itaewon subway. Maybe taking a taxi will be better for older folks. For young ones, no issues. The female prayer area is upstairs. If you are coming at night, the stairs appeared dark but no worries it has a sensor... So with movement, the passageway will be lit up. There are fans and heaters depending on the season that you visit. Lots of halal eateries nearby.", March 2018
14,5.0,Place that Muslims must visit,Perfect mosque to visit with many halal restaurants and foods surrounding that area. Many hostels and hotels neat by. If you need to travel to seoul town there is train station near by walking distance. The negative side of it is the area is on top of hill. Elder need assistance, May 2018
15,5.0,Happening,"Mosque, large enough, under renovation and still in full service. Grateful for a place pray of the community as well as visitor.", June 2018
16,5.0,Must to see...,It’s a Muslim house to worship we call it Masjid. But Whither you’re Muslim or not you should go see the place and there’s a guide to explain..., May 2018
17,4.0,The reason most Muslims live nearby,, March 2018
18,5.0,Mosque in Korea! Awesome!,"Definitely a place to visit for all muslim visiting Korea, peaceful and a great location too. When in Itaewon do visit this Mosque.", May 2018
19,5.0,A time for prayer,, April 2018
20,5.0,The first & only mosque in Seoul ,"Very beautiful, from the top of the mosque at the entrance to male prayer hall u can see the view of the city. Very nice. U will need to climb the stairs to get to the male prayer hall.", January 2018
21,5.0,Must Visit For Muslim,, April 2017
22,5.0,Great Place ,"I went there with my friend and it was a peacfull  and faith place ..also it is only Islamic place in Seoul so , must visit", September 2017
23,5.0,Masjid in Korea,"Never been here before, last time I visited Korea in 2010. Just have a chance now and it is great to visit this place in Korea. Seeing so many people from different countries come to this Masjid to do prayer is beautiful thing, since the location of the masjid is in Itaewon, quite from the office area in Seoul. Must visit place for muslim whenever you come to Korea.", April 2017
24,3.0,Near Itaewon stn,Its abt 10-15 mins walk from Itaewon station exit 3.. it is at uphill. So best to wear ur most comfortable shoes here. Halal restaurants and halal groceries shops nearby.. but the streets nearby can be quite quiet.. was here in the early afternoon.., April 2017
25,4.0,peaceful and quiet.,"if you want to see a mosque, come to this one. you can take photos, just make sure to take your shoes off at the entrance. also be mindful of the people praying inside.", March 2017
26,4.0,Central Mosque at Seoul,, April 2016
27,5.0,Beautiful Mosque,, December 2016
28,5.0,Ideal place to learn about Islam ,Very beautiful mosque looking over the great city of Seoul. You can come and learn more about Islam and pick up some books and take amazing pictures., February 2017
29,5.0,Central Mosque,Kinda hard to find for me. Very peaceful place. Lots of restaurants around. Also a great view of the city., December 2016
30,4.0,Peaceful energies ,, December 2016
31,4.0,Serene and beautiful mosque but the road leading to it was dirty,, December 2016
32,5.0,Beautiful...,, October 2016
33,4.0,Good Masjid,"It was located at very Nice Area of Seoul , It is Clean, and the other advantage of this Masjid is near to many halal restaurants", December 2016
34,5.0,Central mosque ,, October 2016
35,5.0,Seoul central masjed,"We took a metro to arrive and exit number 2 would be the nearest to achieved the masjed. However it a big masjed, it has a classes for both men and women.", October 2016
