,star_point,title,text,Date of experience
0,4.0,Beautiful architecture,"It definitely stands out architecturally as it aims to be the future of Korea. As the old building has a classic design, this new building is so looking so modern and beautiful. Worth a visit.", October 2019
1,5.0,city hall,go to changing of the guard across the street at 2:20 pm daily well worth it. Done in asian ancient dressing and at the end you are encouraged to get pics with the dressed up staff !, January 2020
2,5.0,Just WOW - In Utter Awe with the Architecture at this Place.,"Without a doubt this is a MUST SEE. The pictures we are showing here were a kind donation from the IARC Architects (the actual group that designed and made this amazing piece of Art).The building is absolutely gorgeous filled with outstanding materials, curves, bubbles, inner gardens and from the outside, although great and beautiful, does not represent the full impact that you receive whilst in the inside.As explained to us.... This place wants to be a future architecture that goes with the culture and terrain of the new Seoul citizens’ cultural emotion. And apparently the design of this building is based or inspired on mountains and valleys. Inspired on nature basically.As some of you may or may not know, the Seoul square is a symbolical center of Seoul and the only existing outside public space. As described; the concept design is a vertical extension of the Seoul square. The cultural facilities in this building are literally hanging. The Multi-level hanging terraces are linking to its culture facilities. Inside the stairs and the curved handling rods, that seem not to make any sense (it does). Inner wall attached and hanging gardens bring color, nature and live to this place.All in all we highly recommend this place as a true shocking piece of modernistic and sustainable architecture. The place is very spacious, it has a library also and a coffee shop available at the bottom of the place. Please come and enjoy the amazing Seoul City Hall.Special thanks to IARC Architects for the outstanding images (a lot better than ours).", January 2020
3,4.0,Stands out architecturally,"I recently visited the City Hall and fell in love with its design and architecture. This modern build stands out drastically and you can easily spot it due to its architectural design. I took the elevator to the top floor and hung out at the cafe. The drinks and desserts are priced really low as compared to other cafes- yet they are fresh and tasty. I was a bit confused as to which floor is open to the public and tried getting off at various floors but the evaluator only goes to the top floor, and perhaps the other floors can only be accessed by the workers through other elevators. The basement floor is quite huge and offered a wide range of sitting areas as well as shops, archeological museum and others. Right in front of the City Hall lies the moon shaped ice rink which is open during the winter season. All in all, it was an interesting visit.", January 2020
4,4.0,Amazing spot to travel to,"Pretty view, historical place, it's very near to a palace. Visited during the Autumn season, it is cooling and it rained. Recommend to bring an umbrella when visiting as there is not much shelter.", October 2019
5,3.0,It is downtown,"Very transit of people and motorvehculs, meny way to go best by subway, many atractions has fee, But not expensive, a must,", October 2019
6,3.0,City Hall With History,The older and original City Hall was built during the Japanese Occupation in 1925 and served until liberation in 1945.The more modern building to one side was built in 2008. Both are interesting buildings in the heart of Seoul., September 2019
7,3.0,Odd architecture,"This is a glass building behind the old city hall.It looks expensive. But, I don't get much architectural beauty.There's a public zone in the basement floor. It's good to visit for an hour.", August 2019
8,4.0,Interesting building,"Seoul City Hall is not an attraction in its own right, although the architecture is very interesting. It resembles a large glass tsunami. It makes an interesting side visit along with Seoul Plaza and Seoul Metropolitan Library (the old city Hall), whilst visiting the nearby Deoksugung Palace.", July 2019
9,4.0,Old and new city halls,"Apparently, there are 2 City halls, the new and old. The old city hall is now a Seoul Metropolitan Library while the new city hall, which is next to it, is a modern impressive architecture. They are located in front of the Seoul Plaza, a large open space field. I passed by here on my way to Deoksugung Palace.", June 2019
10,3.0,Not a required visit,"The new Seoul City Hall is, indeed, an interesting architectural structure -- but if one's time is short when visiting Seoul, a visit inside is not required.", June 2019
11,5.0,Great architecture,We did not get a chance to go there for long but our hotel was right next to the City Hall square so we passed by quiet often. The buildings are impressive and we liked the vibe overall. Definitely worth a stop - esp when there are performances, May 2019
12,3.0,Photostop only,We went here because it is very close with our hotel at myeongdong area. We went here after visit Deoksugung palace. Just for photostop., December 2018
13,4.0,Impressive modern architecutre,"The original Seoul City hall became the Seoul Metropolitan Library and behind it stands the new city hall which is a very exciting and impressive modern building made of glass and steel and where the Seoul Metropolitan Government is based. The new building was completed and opened in 2012 and is a stone's throw from several well known landmarks such as the Lotte Duty Free building, the Grevin Museum and the Plaza Hotel.", July 2018
