,star_point,title,text,Date of experience
0,4.0,Beautiful architecture,"It definitely stands out architecturally as it aims to be the future of Korea. As the old building has a classic design, this new building is so looking so modern and beautiful. Worth a visit.", October 2019
1,5.0,city hall,go to changing of the guard across the street at 2:20 pm daily well worth it. Done in asian ancient dressing and at the end you are encouraged to get pics with the dressed up staff !, January 2020
2,5.0,Just WOW - In Utter Awe with the Architecture at this Place.,"Without a doubt this is a MUST SEE. The pictures we are showing here were a kind donation from the IARC Architects (the actual group that designed and made this amazing piece of Art).  The building is absolutely gorgeous filled with outstanding materials, curves, bubbles, inner", January 2020
3,4.0,Stands out architecturally,I recently visited the City Hall and fell in love with its design and architecture. This modern build stands out drastically and you can easily spot it due to its architectural design. I took the elevator to the top floor and hung out at the cafe. The drinks and desserts are, January 2020
4,4.0,Amazing spot to travel to,"Pretty view, historical place, it's very near to a palace. Visited during the Autumn season, it is cooling and it rained. Recommend to bring an umbrella when visiting as there is not much shelter.", October 2019
5,3.0,It is downtown,"Very transit of people and motorvehculs, meny way to go best by subway, many atractions has fee, But not expensive, a must,", October 2019
6,3.0,City Hall With History,The older and original City Hall was built during the Japanese Occupation in 1925 and served until liberation in 1945.The more modern building to one side was built in 2008. Both are interesting buildings in the heart of Seoul., September 2019
7,3.0,Odd architecture,"This is a glass building behind the old city hall. It looks expensive. But, I don't get much architectural beauty. There's a public zone in the basement floor. It's good to visit for an hour.", August 2019
8,4.0,Interesting building,"Seoul City Hall is not an attraction in its own right, although the architecture is very interesting. It resembles a large glass tsunami. It makes an interesting side visit along with Seoul Plaza and Seoul Metropolitan Library (the old city Hall), whilst visiting the nearby", July 2019
9,4.0,Old and new city halls,"Apparently, there are 2 City halls, the new and old. The old city hall is now a Seoul Metropolitan Library while the new city hall, which is next to it, is a modern impressive architecture. They are located in front of the Seoul Plaza, a large open space field. I passed by here", June 2019
10,3.0,Not a required visit,"The new Seoul City Hall is, indeed, an interesting architectural structure -- but if one's time is short when visiting Seoul, a visit inside is not required.", June 2019
11,5.0,Great architecture,We did not get a chance to go there for long but our hotel was right next to the City Hall square so we passed by quiet often. The buildings are impressive and we liked the vibe overall. Definitely worth a stop - esp when there are performances , May 2019
12,3.0,Photostop only,We went here because it is very close with our hotel at myeongdong area. We went here after visit Deoksugung palace. Just for photostop., December 2018
13,4.0,Impressive modern architecutre,The original Seoul City hall became the Seoul Metropolitan Library and behind it stands the new city hall which is a very exciting and impressive modern building made of glass and steel and where the Seoul Metropolitan Government is based.   The new building was completed and, July 2018
14,4.0,Seoul's Modern Architectural showpiece,"Seoul has two City Halls, one old and the other new. The Old City hall which was supposed to be built in 1900s has been now converted into a Library. The new one was open in in 2012 and houses most of the government offices along with other Multipurpose halls and cultural", May 2018
15,4.0,An interesting modern public building,"A new ultra-modern city hall has been built and opened in just the past 5-6 years, and is located behind the older original (and Japanese-designed) City Hall. The older City Hall has now been converted into a library.  The new City Hall is located behind, and slightly to the", November 2018
16,3.0,Don't miss the stone wall in autumn,"The City Hall, just a short walk from the City Hall metro station, is a beautiful building. However, I would like to mention that in autumn, please do not miss the stone wall adjacent to Exit 1 of the station. It is a scenic spot for portrait photography.", November 2018
17,5.0,Fascinating Modern Building,"As an architecture buff, I found Seoul's City Hall to be a most worthwhile stop. The modern 13-story glass-and-steel building opened in 2012 behind the old, stone city hall, now a library. Designed by You Kerl, the new building resembles a huge wave but borrows from elements of", October 2018
18,4.0,"Modern, impressive looking building - colourful at night","The original Seoul City Hall, built in 1925 is an example of Imperial Crown Style architecture and served as city hall until 2008. It is now the Seoul Metropolitan Library. It is completely overshadowed by the imposing new City Hall which is often described as looking like a", October 2018
19,5.0,One of key attractions of Seoul,"This transparent building, resembling a tidal wave, is one of most disputed constructions in Seoul, as it does not blend in with the original city hall building (located in the front, now a library). But still, it is a cool building to take a look at. ", October 2018
20,5.0,Check out the City Hall Basement floors,"This wasn't on our planned itinerary, and it turned out to be a surprisingly pleasant experience! It was around 6 PM on a weekday, and we had gone in and taken pictures of the vertical gardens, and this glowing light structure. On our way out, one of the senior guards motioned", July 2018
