,star_point,title,text,helpful,contributions,Date of experience,reviewer_address
0,4.0,Convenient way to travel around Seoul,Looks complicated at first especially when we need to change a few lines to get to our station but using the naver map makes it easier for us to check train timings and the best way to get to our destination. Train cabin is usually clean and comfortable. Not all exit has a,3,100, January 2020,"Singapore, Singapore"
1,5.0,I use this every week.,"If this isn't the best metro in the world, then I don't know what is. Convenient, clean and consistently on time. A great way to get around Seoul.",25,440, March 2020,"Seoul, South Korea"
2,5.0,THIS IS THE WAY TO GET AROUND SEOUL,"When visiting Seoul in January this year, my wife and I found that the Seoul Metro is the ideal way to get around Seoul. Just go to the underground and purchase a Transportation Card and then just top it up when needed. Getting from point to point is easy by reading the subway",57,143, January 2020,"Toowoomba, Australia"
3,3.0,difficult to use the metro due to language barrier,"very bad signage, not much English we ended up using the taxi as it was not easy to use the metro in Seoul",33,178, December 2019,"Cape Town, South Africa"
4,3.0,Confusing for foreigners,"Taking the train around Seoul is quite an eye opening experience. Unlike Japan, everything inside the different stations are written in Korean and translating to where you as a foreigner wants to go to is such a major headache...even with Google maps. Wished they had an app that",70,180, February 2020,United States
5,5.0,Easy,"We used the subway frequently. We found it to be cheap, easy to use and extremely clean. Your ticket includes a deposit which you need to redeem.",72,273, February 2020,"Milton Keynes, United Kingdom"
6,4.0,Public transit. Easy way to get around the city,"Seoul's metro is an easy and convenient way to get around the city. Most stations in Downtown are also connected to underground malls and entrances to office buildings, so getting around in inclement weather is a breeze",809,272, February 2020,"Anytown, USA"
7,5.0,So easy to figure out!,"Even with Korean language skills, it´s so easy to figure out how it works and which direction or exit to aim for! Use Kakao map to find directions and the best - it even has service underground!",4,41, February 2020,"Tallinn, Estonia"
8,4.0,Daunting at first but user friendly,The metro is a great way to get around Seoul with great connections to reach the airport express train. Enjoy Fr. Bruce+,3,36, February 2020,"Nyack, New York"
9,4.0,Confusing for tourists,"there must be more maps for easy navigation for tourists. the mrt lines are huge and complicated, but no issue if you know your way.",24,160, February 2020,"Jaipur, India"
10,5.0,So smooth,Took a bit of time to figure out that credit cards are not accepted. Found an ATM and then all was good.   Relatively easy to use and the quality of the cars exceptional.   Much smoother and easier to use than surface transport. ,72,475, February 2020,"Den Bosch, The Netherlands"
11,5.0,One of the best Subways in the World,"The Subway in Korea at first glance can be overwhelming. But once you find the right way of using it, it becomes a cheap and fast way of getting around Seoul. The trains are very frequent, om time and extremely clean, like everything else in this fantastic city. As long as you",1,29, January 2020,"Sydney, Australia"
12,5.0,The best metro I ever seen,"Very clean, with good road descriptions. Announcement in 4 different languages including English. You will never lost your way",4,122, February 2020,"Linden, New Jersey"
13,5.0,"Efficient, cheap and reliable.","Being the lazy Englishman that I am, it took a while for me to suss out Korean place names and directions of trains, but I soon came to appreciate how efficient the metro was. It was easy to buy tickets from the machines as everything was translated to English at the press of a",23,266, February 2020,"Worthing, United Kingdom"
14,5.0,Seoul Metro is the Best Way to Get Around,"The Seoul Metro is clean, inexpensive, and convenient. The traffic can be horrendous in Seoul, so the Seoul Metro can save you time. Locals are pretty quiet when riding. The only negative thing, it can be very crowded during rush hour times. If you travel during rush hour,",4,15, June 2019,"New York City, New York"
15,5.0,Convenient,Excellent way to travel. The metro out here is so reliable and cheap. Using the Kakao Metro app made it so easy to navigate Seoul. I went to Mall/Aquarium and the War Museum using the metro. This paired with the Navar App and you will almost always be able to get around without,16,10, December 2019,"Drogheda, Ireland"
16,3.0,Disappointing - The Non-English Speaking International Service.,I have to say that infrastructure wise and for what I was able to see South Koreans got themselves a nice Metro system. Good reactive machines and the prices are not too expensive either.   For 2 people and for very long journeys including sometimes 1 change and 9 stations per,417,"3,476", January 2020,"Ferrara, Italy"
17,5.0,The Best Metro I’ve Ever Used,-Clean -Easy to use for English speakers -Expansive stations -Extensive system of stations/stops -On time  -Safe ,5,63, January 2020,"Fort Worth, Texas"
18,5.0,Easy way to get around Seoul,"The Metro is easy to use. Get a T-money card which can be used on the subway, buses, many taxis, and at several convenience stores. It makes life so much easier. It's the best way to get to many different neighborhoods across Seoul. I loved it!",11,16, January 2020,"Minneapolis, Minnesota"
19,5.0,Love the system!!,"Works fantastic! It's very easy, colors, numbers, names. Same as in London, Paris, Japan. If you're here for a few days, get a Tmoney card, most rides are 1250won. Transfers are easy to find. Metro comes regularly. And oh I LOVE the announcement sound when the train is",181,"1,945", January 2020,"Arnhem, The Netherlands"
20,5.0,Very accessible,"If want to save money and time, buy their local transportation (tcard) card and you can save money. You can also use it for Hop in and Hop out tour bus.",1,54, November 2019,"Dubai, United Arab Emirates"
21,5.0,Efficient but watch out for last trains,"Efficient transport system that is real easy to navigate. Do consider the timing - if you’re taking a late train, check whether it’ll bring you to your destination or they may just stop halfway and you’ll be stranded and forced to take a taxi. Buses may be a better option if",17,152, January 2020,"Singapore, Singapore"
22,5.0,Road Trip ,Seoul Subway System is a lot like either New York City or London. 9 million people on the move. For the equivalent of $2 you can go anywhere. We took the #3 line (Orange) from the Underground of the Shinsegae Mall to Insadong. The stops are both numbered and named. The hardest,15,221, January 2020,"Austin, Texas"
23,5.0,Easy to use for tourists,I used the metro only one time during my 3 days visit to Seoul. the metro is really advanced and it is easy to use as it has clear signage and instructions in English.   It is the cheapest method or transportation in the city.,5,113, December 2019,"Manama, Bahrain"
24,4.0,"easy to navigate, stops written in English!","clean, easy to navigate and use, has ticket automatic machines, all stops are both displayed on electronic maps inside in korean and english. had no issues with it except the multiple exits made us get out at unexpected corners sometims haha",34,293, September 2019,"Kansas City, Missouri"
25,5.0,Good system ,"Easy to navigate, English is available. Just one problem, it is a bit hard to navigate the exit gate especially if it's your first time here. Need to use a few times to get used to it. ",14,150, January 2020,"Kuala Lumpur, Malaysia"
26,5.0,One of the best Metro in the World,"Seoul’s metro is amazing, clean and very affordable. It covers all Seoul and surrounded cities and is the fastest way to travel in SK.",7,161, December 2019,"Philadelphia, Pennsylvania"
