,star_point,title,text,Date of experience
0,2.0,Definitely - I Just Don't Understand Modern Art.,"This place honestly is beautiful and spacious. Lodged in a hill after a bit of a walk in the park paths and after the Seolleung & Jeongneung Royal Tombs. In the same area literally.  The building is kinda like the end of the visit, when you go to the Seolleung & Jeongneung Royal", January 2020
1,1.0,Please close it down ,Awful place. Art?? Really?? It is worth less than a Daiso..please avoid it! Staff is very unpolite and complacent, December 2019
2,1.0,Awful,"So this place is mentioned in almost every tourist book ,advertised at the airport ,mentioned as a must see at the guesthouse So go online to make sure it’s open and to see if I need to buy a ticket in advance etc Travel 1 hr to get there to show up where security tell me the entire building is closed due to major construction work I asked why does the live website say “open today “ is it’s in fact no open ! Update your website !!", November 2019
3,4.0,Nice Space. Comfortable Walk.,"Had a lovely walk around the museum with my wife in Oct, one early afternoon. The exhibitions were rather interesting and admission is free.We were especially impressed by one particular exhibit, without spoiling anything, which look like a pair of normal, white marble sculptures of a man and a woman.The outside of the museum is quite lovely too. When we visited that beautiful autumn afternoon, there was a flea market going on.", October 2019
4,5.0,Great place for global art,"This isn't a museum for overseas travelers visiting Korea for the first time--that would be the National Museum of Korea. But for people living in Korea, this is a great place to keep on your radar. The first time I was here, I saw an interesting exhibit about modern architecture in Seoul (in the free galleries). Nothing I would go out of my way for, but a nice part of an afternoon in one of Seoul's most attractive neighborhoods. My second visit was this past weekend, when I went to the David Hockney exhibition, which was SPECTACULAR. I love living in Korea, but I do miss being able to go to art museums and see Western art. When there's a show like this, I'm thrilled! The SMA scored Hockney's first major exhibition in Asia, and they brought in some great paintings from all over the world. the curation was solid and there were good English translations of the explanatory material throughout the galleries. It was totally worth the special exhibit fee of 15,000 (roughly $14 US). The galleries were busy so I think Koreans are hungry for more chances to see foreign art. I really hope SMA will be able to get more of these special exhibitions. Everyone go see the Hockney stuff before the show closes Aug. 4!", June 2019
5,3.0,"Visit, if you just gotta get culture","Very disappointed in the Seoul Museum of Art -- but perhaps that was because so much of the space was usurped by a David Hockney exhibit. From the limited permanent exhibits we saw, this would not be on the ""must visit"" list for Seoul.", June 2019
6,4.0,Well-managed cultural space in center of Seoul,"C ( 19.05.08 ) I visited this art museum while work my business in near area. The art museum was well-managed, and had good garden. The outdoor area was displayed some sculpture in the garden, and many people had rest in this area. It was certain that there was the most beautiful art museum in Seoul. The entrance fee was a little higher than I think.", May 2019
7,5.0,For exhibition on David Hockney,"Although I have been to Seoul a few times, and had passed by this museum before, this is my first time visiting it, for an exhibition on David Hockney's works (from Tate's Collection), said to be the only major exhibition on Hockney in Asia. The museum is worth a visit if there are exhibitions which interest you.", April 2019
8,3.0,Local,Artists are showcase here. Would do with some international exhibit to extend the range. A good way to spend a hot afternoon., June 2018
9,3.0,Surprisingly light,"The building and outdoor property are beautiful but I was surprised when I walked around inside.  It's bright and has well sized rooms, but I don't think they're taking advantage of the space available. I was expecting a great deal more exhibits so the relatively small number of works displayed was surprising and a little disappointing for the time I spent going there. They focus on Korean artists and there were some amazing works on exhibit. I went on a weekend and there were so few visitors my footsteps echoed through the rooms. I felt really sorry for the ushers in each exhibit room because they looked terribly bored for the lack of visitors to help or look at, and I caught one of them sleeping.I think it's a shame they're not making better use of the available space.", April 2018
10,4.0,If you like Art then you love this place,"Not very far from Deoksugung Palace, just walking distance. You will find a good Museum with an extraordinary art pieces inside.When i came here, there is an exhibition about modern art and show some good art masterpiece from local and international artist. when in winter season this place make a very nice background to take picture of you or just do a quick ""Selfie""", February 2018
11,5.0,Free exhibits ,"The best part of this art museum is the free entrance part. Myself in particular loved the display of art work presenting the korea peninsula reunification. Upon entering the museum you will see an art work with glass bottles filled with water along with a train track shaping into the korea peninsula. There are spoons tied to each side of the train, and whenever it passes by the bottle it made sounds to a lullaby, and that's the song on reunification. One very meaningful display.", March 2018
12,3.0,Excellent.,"I disagree with the last reviewer but not entirely. I thought that the reunification  exhibit lacked unity, sometimes lacked interpretability (in ODD abstract pieces paired with an OCCASIONAL lack of universal English descriptions, though ...there were for the most part). YET, I feel that the point of the (promoting) exhibition is for locals and that if it’s only purpose it to stimulate intrigue toward that agenda or some (active) empathy towards the suffering throngs in North Korea then I’m all for it. For me (anti-fascist plus overly) abstract installations that seemed tangential didn’t detract too much from it. Having said this as a way to show I was incline toward interest in the exhibits, I’d agree that some of the exhibits are more well crafted or ingenious than others. I like the sand painting video because o felt like the motion and temporality showed how history is shifting and therefore gave hope. And also the one pictured here suggesting the (visualized) possibility of the admittedly challenging reuni process by reference to/from Germany and pivot-compression muscle exercisers. Not a perfectly effective visual representation, but quirky/moving, like  a fair few other exhibits (Southern propaganda techniques, fish species variety in the river of the demilitarized zone, the train glass-bottle reuni song, photos of sports or other cooperation programs and the heart wrenching ones of divided North-South close families’ single instance and temporary reunions).", January 2018
13,2.0,Not very interesting compared to galleries in other cities,"Not very interesting compared to other galleries. A couple of interesting pieces on unification, but only a couple. A lack of signage in English and Chinese. Maybe better for a Korean speaker.", January 2018
14,4.0,Good Exhibition Plan,It located very near at City Hall station. Sometimes they held blockbuster exhibition. Great to go to with kids., December 2017
15,3.0,Free ,Can't be too critical because it's free. Had a cool exhibition from the British Council. Not far from the city hall area. Can be found easy enough from signposts. Check it out, October 2017
16,5.0,Beautiful exhibits,"I'm so happy my friend was really into art and we went to Seoul Museum of Art or SeMA behind Deoksugung Palace.Aside from it was extremely hot out, and the peopl were flocking either because of the art or mainly because of the aircon.You have to leave your bags in the coin lockers. The HIGHLIGHTS exhibit was really cool and I took a few pictures. All of the exhibits are free entrance. Some of it, though, don't allow photographs.", August 2017
17,5.0,wonderful museum,"I guess I didn't really do my homework too well, because I was delighted and impressed by the Seoul M of A way beyond my expectations.Great collections, lovely building, thoughtfully set out and designed to make for a great visit.", July 2017
18,5.0,A good selection of Korean contemporary art,The curation of the typography exhibition was second to none. An excellent and educational arrangement., April 2017
19,5.0,Wonderful building,Innovative use of space. Interesting exhibitions. Free entry and certainly worth spending an hour or so., May 2017
20,4.0,Nice gallery,Nice statues in the grounds leading to the main building. 3 interesting exhibition s on when i went plus good little cafe and shop., April 2017
21,3.0,Free admission,"The Admission: FREE admissionThe Museum: Walk down Deoksugung Doldam-gil street to get to the museum. This museum showcase modern artworks by artist from Korea and around the world. The Location: 5 minutes walk from Subway Line 1 or 2, City Hall Station, Exit 1, 10,11 or 12", October 2016
22,4.0,Hints on this place,"1) Museum is not so big. Admission on minor exibitions is free, on major — about 13000 won2) Usually it's closed on Mondays3) Children are welcome! Koreans love children, so don't be afraid if your kid is loud4) Small cafe, bookshop, very good shop with designers toys, clean WC, elevators5) Pay attention to their printed materials! They are very well designed and free.", March 2017
23,5.0,One of the pleasant spots of Seoul,"My to go place in Seoul and one of the best spots to see art in the city. The curatorial work is more than satisfactory, the staff is helpful and welcoming, informative due to brochures and signs in more than two languages and has a quite pleasant cafe with some souvenirs to offer. I spent hours looking at art and reading books here. Most of the exhibitions are free, love the noncommercial mood of it. The building reminds me of European values, the park and the surroundings are also beautiful and interesting.", January 2017
24,3.0,Small Could have been better,"Sorry but the art on display at the moment just doesn't do it for me. Ultra modern, so sometimes really pushing the boundary to the totally ridiculous. A couple of pieces were interesting but not enough to make it for me. Luckily is was free. What I really liked was the deflated people sculptures that are on the road at the entrance to the museum. Loved them.", February 2017
25,5.0,Nice place to go for art,"Took a bit of a walk to get here, but get down at City Hall station to get here. Was able to view the Renoir and Korean Art in the Nineties exhibits, and I was pleasantly surprised. The Renoir exhibit cost ₩13000, and you can rent out an English audio guide for around ₩5000 or so (forgot the exact price). The Korean Art in the Nineties exhibit was free. Really cool place to just view and experience art!", January 2017
26,4.0,Nice museum with beautiful facade near Deoksugung (Palace),It's a very nice museum that is located near Deoksugung and aslo Jeongdong Theatre. A lot of interesting arts are waiting for us too see with FREE of charge. The facade of the building was preserved from the original one. Don't miss if you come around this area., October 2016
27,4.0,Interesting and Casual,"I thought this was an interesting museum, albeit relatively small.  Some of the exhibits were very unusual, but some were very interesting.  It took less than 1 hour to see everything.", September 2016
28,3.0,Very Below-Average Art Museum,"Seoul is such an advanced, urban city - I was expecting its art museum to be first-class. It is not a great museum, by any stretch. This is the type of museum you might find in a medium-smallish city anywhere - a museum that has no funding and is very modest in size and exhibit quality. Thank goodness it was free! If I would have been charged admission I would have been upset! It is rather small, so you can cover the whole museum in an hour. It is in a lovely neighborhood, however - I enjoyed the walk to and from the museum more than the museum itself.", July 2016
29,2.0,Shocking disappointment,"The exterior of the building is interesting. It was the former Supreme court built in 1928. Interior was modern and lovely space. Exhibits were very disappointing. The 3rd floor was completely closed. Maybe they were between exhibitions. 2nd floor had 2 small rooms of paintings. Neither exhibit was interesting to us and was not extensive. we are usually very open to different kinds of art but this really wasn't much. The larger gallery on the 2nd floor was closed as the exhibit ended 2 days earlier.There was absolutely no art outside the 2 small rooms. No art on walls in hallways or public spaces. No sculptures, no nothing. We were so surprised. There was a DreamWorks animation exhibit on the 1st floor. The gift shop consisted solely of DreamWorks products.It was a very disappointing experience.", May 2016
30,5.0,Amazing modern museum,"I attended Seoul museum of art the day with free admission (some annual cultural event). There were about 5 exhibitions, one of them dedicated to Pixar movies. In other ones I found some beautiful Sindy Shermann, Warholl, Jeff Kunts and lots of talented young artists. The highest level of curating exhibitions here.", May 2016
31,4.0,Peace Minus One,"I came here after hearing about the PeaceMinusOne exhibit, a collaboration between Kwon Ji Yong aka G-Dragon and various artist. That exhibit was very sensory with sounds, lights, images and sculptures. I also enjoyed the exhibit on North Korean propaganda art on the first floor of the Museum. The area around the museum is quiet and serene, yet only a short walk from City Hall and the Palace where they regularly hold the changing of the guard ceremony (mainly for tourists, but still cool).", August 2015
32,3.0,Good to spend an hour or two and the admission is for free,Went to this museum because it is for free and it houses mostly contemporary art work. Good to spend a few hours at the museum and the neigbouring areas., January 2016
33,5.0,Two great temporary exhibits yesterday,"Picasso to Francis Bacon and National Geographic Cover Photos were both well worth the trip!  If this is indicative of the usual quality of exhibits, visit and visit often!", February 2016
34,5.0,Kubrick,"I cam to the museum for the Stanley Kubrick exhibition, which was excellent. I thoroughly enjoyed it and would highly recommend to any fans, and even people who haven't previously encountered his work.", December 2015
35,4.0,Museum with nice exhibitions,"Have been here twice in the past two years, the shows were kinda amazing, especially the Biennale show in 2014.", January 2015
36,3.0,Depends on the exhibitions,"The Seoul Museum of Art (free entry) is modern art museum located behind the Deoksugung Palace grounds. Here you can explore several floors which six exhibition halls which feature the works of Korean and international artists works at various times throughout the year. Opening hours are from 10am to 6pm on weekdays and 10am to 8pm on weekends.   There is one permanent exhibition ""Chun Kyung Ja - Eternal Narcissist, where you can see a handful of works painted by this important Korean artist. During our visit we also found some of the works included in the third floor temporary exhibition - DigiFun Art: Urban Space (22 Sept- 13 Dec 13 2015) quite interesting to see. We also enjoyed the sculpture garden in front of the museum. These are quite photogenic, particularly during autumn foliage time of year. In the end, the Seoul Museum of Art might be a hit or miss for art fans. There are few exhibition halls and depending on the current exhibitions, there might or might not be much that meets your tastes for art. As such it is best to visit the museum website beforehand prior to deciding to include a visit here or not during your trip to Seoul.", November 2015
37,5.0,Wonderful museum!,"Visiting this museum was one of the highlights of our time in Seoul. When we visited, the Seoul Museum of Art had some incredible exhibitions on feminism in Asia, digital & pixel art, and some interesting interactive exhibits where you could move the artwork. We went right as it opened so it was tranquil and relaxing. Because it’s free you will definitely get several school groups that will come here during the week, but the place is large enough to find quiet places. Would recommend it to any art lover visiting Seoul.", October 2015
38,4.0,Free exhibition,"I went there when they have ""70th Anniversary of Liberation, North Korea Project"" Exhibition. It's free! (Not all exhibitions are free, make sure you check your exhibition first). The staffs are very nice. I try a new oculus, where I can see the DMZ in 3D format! It's very fascinating!", September 2015
39,3.0,"Free, a couple of nice displays",We enjoyed the museum on a rainy day. Two displays by famous female Korean artists were enjoyable to look at. Lockers and a snack shop make this a nice indoor alternative when the weather is bad., May 2015
40,4.0,experimental exhibition.,"I like cafeteria, inside this museum. very clear traffic line abut exhibition. good people.", May 2014
41,4.0,Wonderful Art Museum with an Edge,"This museum was not too big, but the exhibition (both permanent and special) were exquisite. I especially loved the contemporary African art, very interesting and impressive -- just fantastic! And this museum is free, to boot!!!", February 2015
42,4.0,Enjoyed it,"Downstairs there was an exhibit of korean conceptual art which was interesting, at least some of it. Then upstairs there was a really interesting african art exhibit. The museum has nice architecture and it's free!", February 2015
