,star_point,title,text,Date of experience
0,4.0,360 degrees,"My family and I prepaid for our tickets to visit. We went early in the morning so it wasn’t so busy. It was a very interesting experience - from the interactive movie to the glass floor there is plenty to see. When we visited, the outside deck was closed without advising why.  ", February 2020
1,5.0,New place to visit in Seoul,"V. new place to see all Seoul with 123++ fl. of sky tower , you can see all Seoul in your eyes , feeling like visit Perl tower in shanghai", January 2020
2,5.0,"Great Experience, Potentially Fantastic Views","Unfortunately the day we went up the tower it was very cloudy, but that didn't affect our experience. The setup they have is very cool, and the double decker elevator was very interesting. Glass floor and open air areas were both fascinating. Prices for souvenirs weren't that bad either. Views must be great, but we just couldn't see that far. On a clear day, I 100% recommend going up the tower.", December 2019
3,5.0,New go to observation deck in Seoul,We skipped the N tower and come to Seoul Sky for the experience.It’s very convenient as it’s outside of the metro station. Maybe due to the cost there is not a long line. Go during sunset to see sunset and night view of the buzzling city, January 2020
4,3.0,Seoul Sky Tower,I thought the ride up would be unnerving. But it wasn't. I didn't feel anything in the lift from ground floor going up to 120th floor. And it only took 1 minute. Definitely state of the art technology., December 2019
5,5.0,THIS PLACE IS BEYOND AMAZING!,"Getting here was not easy. Again, Waze failed to get us there accurately. It took us about an hour to get there when in fact, it should have been only 20 mins.Our tickets were purchased online and queueing was so long! You'd think after you get in at the entrance you will find the elevator, but no. It is a long line and a long wait to get to the elevator. We went there on a Saturday, so it is predicted that there will be too many people. Once we got our turn to get in the elevator, the speed was amazingly quick. I had my left eardrums popping but it was expected. We got to the 117th floor first.... it was already awesome.  The glass floors were cool! The sight was beautiful outside because all we could admire were the lights from buildings and vehicles. Getting to the top floor, the 123rd floor, was wonderful! That's where my fiance and I had dinner - with candlelight. It's very romantic in that place. Food was overwhelmingly delicious and expensive.", December 2019
6,4.0,The air condition is the most important,"Visitors can go from 117F to 123F. Pick a day with a nice visibility if you don't wish to visit again.- There are various discount rules like 30% off for Lotte Card Holders or seniors.- It is pretty well-maintained. Accesses from/to the elevators looked very impressive. Elevators were very fast. Enough things to see. Enough places to rest. - Photo studios are free. But, can't receive photos without paying. Better to pass unless you purchase.- 123F is a luxurious dessert café. It looked like a membership lounge. But, it wasn't. Most people seemed go up just until 122F.- Liked glass floors the most. Restrooms were amazing, too.- There were three open-air terraces and only one of them was allowed to access. I think you can earn the best photo here when someone else takes photos from upper floor.", December 2019
7,4.0,Breathtaking views of Seoul!,"The tallest building in South Korea and the 6th tallest building in the world (taller than our local KLCC), is recommended to visit for breathtaking 360-degree views of Seoul city. Somehow they don't allow baby strollers citing it might interfere with visitor experience, so we had to leave them at the tower lobby. The entrance is located inside Lotte World. Tickets for adults (13 years and older) are at KRW 25,500 and child tickets (36 months to 12 yrs old) are at KRW 22,500.If you're not afraid of heights, check out glass floor viewing platform.", August 2019
8,5.0,Amazing Architecture,"The Lotte Tower is easily accessible from Jamsil station on the excellent Seoul subway system. The tower shopping mall is huge and includes a fantastic aquarium, but we were there to visit the tower observatory. We only had a minutes wait for the very fast elevator which delivers you to a small theatre where you are shown a brief animated film, then suddenly the screen moves out of the way to reveal the awesome view from the 117th floor. You can then move through the 4 floors of the observatory where there are the obligatory gift shop and cafes.There is an open terrace and a glass floored observation deck to test your nerves. While we were on the glass deck , and congratulating ourselves for being brave, a maintenance crew appeared on the outside of the deck in a  work bucket!The 360 degree views over the river and the huge city of Seoul are brilliant.", October 2019
9,3.0,Beautiful but dirty windows. ,"Spots visible on every picture taken in daytime. And at night, curved thick windows reflect to much light. Not as exciting as it was 2 years back when views were breathtaking.", December 2019
10,4.0,High places to visit,"If you like the tall buildings, you need to check this off your bucket list.Foreigners can get a discounted ticket on line, keep that in mind.  The day I went there was no major cue, maybe 8 minutes so it was perfect.  The views are great, and to stand on the glass observation deck is cool.", November 2019
11,1.0,Worst experience in seoul,"Very long queue going UP. Staffs keep on explaining in Korean, not even speaking in English. When we arrived on the observation deck we saw very long queues heading towards the elevator going down. Definitely not worth it. Waited for about 3 hours in total.", November 2019
12,5.0,Loved it,"You can't travel to Seoul without visiting Seoul Sky, and getting a spectacular view of the city.  The observation floors allow one to see Seoul that is only possible at that elevation.  The observation floors are from 117-123rd floors.  The highest floor is a bar and restaurant.   The ticket to Seoul Sky allows access to all the floors.   No matter what floor you are on, you'll enjoy a great view of the Korean capital.", October 2019
13,5.0,Fantastic observatory experience,"At the end of the day, an observatory is an observatory - you go up, it's really high, you get a great view of the city at sunset or lit up all around you. Seoul Sky, however, does go above and beyond that, and that's why it's more impressive. The actual observatory section consists of ~4 floors, each section has something different to offer. The view, obviously, but also the food/cafe/bar options on each are different, photo options are different, and open-air sky terrace is on one level, a shop is on one of the level, and so are the glass paneled floors. THAT is the real star of the observatory - they actual have two sections with glass floors, both are fairly large in size, and are well maintained so you can easily look straight down. And that, even more so than when you're looking out the windows, is when you truly realize how far up you are in one of the highest buildings in the world. You can stay and roam amongst all the different levels for as long as you like.Also, on the bottom level they have a really decent exhibit on the tower's construction and design. And, of course, the whole mall-ful of shopping options as well.This is really an observatory worth visiting.", October 2019
14,4.0,Worth a visit,Magnificent views of Seoul from the Seoul Sky observation deck in Lotte World Tower. There are several floors between the 117 and 120 floors designated to observing the panoramic  views of all of Seoul. There are various cafes and shops located at the top. In addition there are glass floor panels in a few places where you can really test your vertigo! It’s worth the visit to give perspective and an appreciation of the phenomenal development of Seoul., September 2019
15,5.0,A must go attraction!,Amazing attraction! I would highly recommend splurging on getting a drink in the 123 lounge as the view is amazing and it feels very high end! Great date night option as well! If you do go I would suggest getting your tickets on the Klook app! You can buy a bundle pack for most of the Lotte locations for about $50 a person!, September 2019
16,5.0,Seoul Tower a place must visit,"Great view of the entire city from above. It a tourist destination must visit when in Seoul. Just love it! Ticket price at W27,000 per person. The elevator is superb fast. In a few second you are up to the top.", August 2019
17,5.0,최고의 명소라 생각합니다.,단순 전망대뿐만 아니라 쇼핑몰 등 각종 즐길거리가 더해져 최고의 명소 중 한 곳이라 생각합니다.또 방문에 앞서 홈페이지에서 각종 할인 정보를 확인하면 보다 좋을 것입니다.You had better come by website to get discount information before visiting this attractive place., August 2019
18,4.0,A great view of Seoul from top of Lotte World Tower,"I reviewed this as part of Lotte World Tower, forgetting this was called Seoul Sky.  This is a great venue for tourists and families with a number of viewing levels including the fantastic glass observation deck looking down 117 levels!", August 2019
19,4.0,Fantastic views!,"Seoul Sky is an excellent viewing tower with a great glass floor! The price is reasonable and there are the usual gift shops and a nice cafe up there. We unfortunately had a cloudy day which limited the view, try to visit on a clear day for best views!!", July 2019
20,3.0,SEOUL SKY TOWER,"A must spot to visit ,but very commercialised .Just shops in all departments, the main reason for going must be to see Seoul from the viewing towers.", May 2019
21,5.0,Go early on a clear day,"We had five days of cloudy weather in Seoul in early June. We went to the Lotte Tower Seoul Sky on the first sunny day of our trip. I was worried that it would be very crowded on a Saturday, but we got in line for tickets about 30 minutes before the place opened. We were the first people on the elevator. As soon as we got to the top observatory desk, we took photos with very few other people around. After about 15 minutes, large groups of tourists entered and it was much more difficult to take pictures. You cannot buy tickets online unless you have a Korean cell phone. I did buy tickets online through Klook at a slight discount and then showed my phone to the person at the Seoul Sky ticket desk. She printed out our tickets to get on the elevator. I would highly recommend this place, but not on a cloudy or rainy day.", June 2019
22,3.0,5th tallest in the world.,This is the 5th tallest building in the world. observation desk is 360 . ticket cost is 27000 won . Visit only if you haven't experienc any of tallest building.Note: Visit in the evening to experience both day and night view, July 2019
23,5.0,Quite impressed ,"It’s the tallest building in Korea and it really have a beautiful observation deck. It’s at the TOP and even got outdoor deck to take photos. It’s very windy and cold out there though. There are a lot of tourists, so choose to go early in the morning.People stuck at the lower floor to take photo. Try to go to upper floor to take photos as less people. It’s very easy to go as Long as you follow the sign from the subway station.", April 2019
24,4.0,Way Better Than What I Expected,"It was a fine Monday afternoon when we went there.  I've already visited a similar tower in Taiwan last year, and I can say that this is better.  The elevator speed was impressive. Up in the tower,  I felt uneasy but made the most out of my visit by taking pictures. I liked the crystal floor where you can see the ground. The crew members were accommodating and the cafe is well-managed.  On several areas of the viewing decks,  you can have enough space to take pics. People visiting that time seem too happy with their experience. I would definitely recommend this to friends.", June 2019
25,5.0,Go around sunset ,"Impressively tall building. I bought the ticket at the desk, no queues. I paid extra for the 123 Lounge on the 123rd floor (unsurprisingly!) Worth the extra as it covers the cost of a beer and the views are amazing. It has a glass floor section of course and it’s always amusing to see the less intrepid tip-toe onto it. If you like tall buildings, this has to be on the list.", June 2019
26,5.0,You can see a long way!,"I think this is the 8th tallest building in the world, and as such, it offers some spectacular views of Seoul. We sat in the bar overlooking the old Olympic site, and it was a stunning view. From the rest of the vantage points you could see the city in a totally different light. Well worth doing! We didn’t book ahead, we arrived around 1030 and the line wasn’t too long, so don’t worry too much if you’re a last minute planner", May 2019
27,5.0,Amazing views!,I really loved this place. The views were amazing and I even walked on the glass floor. Really nice bars and restaurants with good food and great beer., January 2019
28,4.0,"Great view, good place to take pictures",Went in the evening of a clear day and the views were very impressive. Elevator was rapid and there's multiple floors so not very crowded. Took the time to enjoy the view and take pictures with my new camera., April 2019
29,4.0,"Awesome view, but pick your day...","This place is super cool, but not super cheap, so be aware of the air quality when you decide to visit. We had friends that went on a Saturday and saw basically nothing, and we went the very next day and got post-card-worthy views. So for real--- check the local weather reports.The elevator ride is cool and super fast. It's fun to step out over 120 floors of ""nothing,"" quite a few places to buy food/snacks/drinks, and again, on a good day, a view you won't forget.", February 2019
30,1.0,Seoul Sky - Bad experience on Service and responsibility of service condition,"I visited Seoul Sky on 18 Apr 2019 and didn't notice that there was too much smoke in the sky or not, but staff ignored to inform any proper info to us. They just sell ticket and cannot speak English. In the entrance area, Service staff also delivered bad service to guests, not provide any info and forced us to walk into the gate urgently. Finally, we have failed to see anything on the top. There were too much smoke. I just wondered that why they want to sell the tickets without considering the guests would be satisfied on view on not. If customers have no chance to see clearly on that day, they shouldn't sell any tickets. So weird!!!!!", April 2019
31,5.0,Great photos here!,Several floors to visit...lots of photo ops....get a drink at the top.  Go during the day when its less busy, April 2019
32,5.0,Top of the World at Seoul,Visited Seoul Sky during lunch time on a Saturday and it wasn't too crowded to our delight.  We booked through Klook which offered some discount to the entrance tickets.The view from the top is magnificent and worth to be there!, April 2019
33,5.0,Really Amazing,"Seoul Sky Observation Deck is certainly a must do when visiting Seoul. The tour is very well organised, with English-speaking guides at every step. The best time to visit is towards evening – one can see the Seoul skyline....then the sunset...and finally the city lights as they come on. It is a truly amazing experience!! The view from the glass floor can be scary for those having a fear of heights. There are other attractions too – souvenir shops, cafes, photographers – but the best is the artist making sketches while you pose before him!! It takes only a few minutes to do, and can be a souvenir for lifetime!!!This is one experience not to be missed in Seoul.", March 2019
34,4.0,It's get better base on Weather,"Dust fogging up Seoul is a big issue, so watching for clear sky is the biggest factor when going to Seoul Sky. It offers a beautiful 360 view of Seoul. Even the elevator ride is cool with it's visual presentation prior to reaching for the skies. As with most attractions, there's plenty of stop along the way to get that perfect picture for purchase just in case the selfie's and the weather is not all that great because they always have a beautiful blue sky. There's plenty to do around the area, so it worth the going on if you can catch good weather.", February 2019
35,4.0,High and Higher!,"Yes, it is a must do and see. The tour to the sky tower.It so well organized. All  in such young hands. You have to do the foto shopping tour. It was fun and you have a nice remembrance.The weather was good and clear, so we had a fine view.Our hotel was just in front of the Sky Tower, so we had also a perfect night view.", April 2019
36,5.0,Better than Namsan Tower in Many Ways,"I love Namsan Tower; however, it is a hike to get to and the weather has to be in your favor.   I visited Seoul Sky this past summer (in July) and would recommend Seoul Sky for everyone, especially if you have someone in your group with health issues where going to Namsan tower (walking up incline hills, many stairs, etc) is not easy.   Seoul Sky, you simply go to Lotte Mall and use the elevator. No hills or stairs involved.  They have a glass bottom floor in the observatory which is really cool.  You have a great view looking down at the castle in Lotte World Adventure Park.", July 2018
37,5.0,Seoul Sky,"Unbelievable view! Although the sky was a bit unclear, we could see far and beyond. Monies worth....", January 2019
38,5.0,Breathtaking View,"It's so beautiful. We went there around 4:30pm , after playing in Lotteworld. We see the day view, sunset view and night view from the Seoul Sky Tower. Tallest in Seoul. One of the tallest in the world too. It's so beautiful !!!", February 2019
39,5.0,Majestic View,"The 5th tallest building in the world.. world's fastest double decker elevator.. tallest building in South Korea.. whether day or night, spring summer fall or winter it's worth the experience to go here. Consists of 123 floors and the glass observatory is located on the 117th to 123rd floor. You'll see a 360 degrees panoramic view of the entire Seoul city. Plus it will only take you 1 minute from the basement to the observatory.", December 2018
40,4.0,My first experience in the top of the building ,"Before getting to Seoul, I was searching interesting places in the Internet. There were a lot of, but I was about to go somewhere I’ve never been to. So I decided it will be Lotte Tower, because it was the nearest place to Gangnam-where my apartments were. My first goal in Seoul was watchin’ the city and in the morning I was at language school. That’s why I didn’t have much time for attractions. The day before my last day in Seoul I finally planned to go to observation desk. It was easy to got there by subway and fast indeed. I think it’s the cheapest way, except going by foot.When you are in the station it seems to you that it’s an another world. Awesome walls, everything is so colorful, like you are in the fairy tale, but I had to follow the indexes to find Tower. Staff is able to speak English, they could help you to find ticket window or anything else. The price of my ticket was about 27$. In few minutes I was getting up to 118th floor by sky shuttle. Then you can go up to the 120th floor to terrace(there were freezing because of wind).In the 118th there is a transparent part of floor and and if you were getting close to the floor you’ll see some different parts of the city.By chance, I fortunately saw the sunset and it was really breathtakingly. So I didn’t regret that I had got to there.", August 2018
41,2.0,Not practical for disabled person’s family ,My sister and I took my mom here for sky tower. From the beginning they made us separate because only one person allowed to carry the wheelchair. It’s is so hard to meet after we separated. Couldn’t take a group picture and needed call each other’s where we are. So inconvenient service., January 2019
42,4.0,Amazing view...glass floor,"I was dubious about going to this attraction--everyone has been in a tall building--but it was fascinating.  The lower level explains the construction and engineering which was more interesting that i expected.  The elevator up is only a minute and is one of the fastest elevators--there are all sorts of guiness record book items to quote.  I really liked the glass bottom floor, but it took me awhile to step out on it.  Take a picture looking down with your shoes in it for perspective.  I wish we had longer as i would have liked to enjoy a cocktail in the lounge and look at the view!", December 2018
43,4.0,Great view with good weather ,"Nice view from above on Seoul. Gives a good impression of the city. It is worth a visit, but a little pricey.", November 2018
44,5.0,Amazing view!,The very quick elevator trip was the best as there were LED screens inside where a video is played to entertain the audience. And the drop off point is on the 117th floor where the view of the whole city can be seen. You can go up to the 123rd floor and each floor offers different activities., November 2018
45,5.0,Worth the Money!,"Being 500 meters up is not something you do every day. you can selfie yourself to death, on 121, 122 and 124 floor and have a great coffee at the upper-level lounge.  come before sunset and enjoy day, sunset and night time up in the air.", October 2018
46,1.0,View!,Amazing view. 6 storey to appreciate the the beauty of the skyline at a different level. Only thing they can do better is the restaurant manager at the 123 floor not to be snobbish if we happened to be up there not for dinning but just to see how the restaurant is like. Just because we are not dinning there doesn't mean we can't afford to eat there and hence the snobbish treatment., October 2018
47,5.0,Wondeful view all round,"Must be there early, the queue gets quite long even on a weekday. Went up first during my visit, had enough time to take photos and go out to the deck. Do walk on the glass floor which is scary and thrilling at the same time. Since its way high up, you can see have a great view all round. Great experience", October 2018
48,5.0,trip to 555,Amazing amazing amazing !!!!!!!i was there at around 330 and loved it ....would strongly suggest to let photographers to do the sunset timing the view is spectacular ....good for everyone ...., October 2018
49,5.0,Highlight of my Seoul trip,This place was the highlight of my trip to Seoul! Make sure that you will go there before sunset so you can stay and also see the night view. The entrance fee might be steep but you will forget it once you get to the top. The views were all awesome and jaw dropping!, September 2018
50,4.0,"High tech and great views, but.. ","Great tower, high tech around, great views, but... not nuch things to do..  just watch the horizont and wait... no other thing", October 2018
51,5.0,Definitely worth the time and the money,"This was at least 1,000 times cooler than I expected.  The glass floors, and the views are amazing.  The elevator ride itself is super cool, and probably worth doing in itself.  There are some refreshments at the top of the tower, which is pretty nice.  I am very glad we did this, and I would certainly do this again.", July 2018
52,5.0,Breathtaking Views ,"Take metro to Jamsil station (metro line 2 or 8)  Buy tickets to the observatory deck at B2. Wasn't crowded on a weekday. 27,000 won for adults (ages 13 and up), 24000 won for children. The observatory deck offers an unparalleled 360-degree view of Seoul. Would prefer this to N Seoul Tower anyday.", September 2018
53,5.0,One in a Lifetime Amazing Experience!!!,"A must do & see. Had an amazing time 123 floors up, over 500 meters above ground, standing on the world’s highest see-through sky deck in the 5th tallest building in the world.", September 2018
54,4.0,Precious view of Seoul,It is fun to go up so fast to 117 floors in a double-deck elevator.  The view is most precious at sunset so try to go between 5 and 7pm depending on the season so you can watch the sunset and night., August 2018
55,5.0,Highly recommend having a beer at the top,Breathtaking views of seoul. Fifth tallest building in the world. Enjoy a beer and a snack on the 123rd floor. This was my second time in Korea and the second time i went up to the top of seoul sky building. Its truly breathtaking., August 2018
56,5.0,What an experience,"The view was breathtaking. Dont get stuck on the first floor after getting from the elevator, as you will have to go two more... :)", June 2018
57,5.0,Birds Eye View of Seoul,"A trip to Seoul Sky Observatory should be on the bucket list of things to do for every visitor to the capital of South Korea. It is the perfect place to get an overview of the sprawling metropolis in cool, airconditioned comfort. Clear skies will give the best views so if you have a flexible schedule, check out the visibility chart at the entrance prior to buying your tickets. Visit on weekdays to skip the queues and thick crowds, and pay with Mastercard for 10% off the standard ticket price of ₩27,000. The experience is worth every won of the ticket price. Seoul Sky offers an immersive, interactive experience from the moment you step into the ticketed area, to the one minute elevator ride and six floors of viewing areas (117/F to 122/F). There are touch screen panels at various points of the viewing decks with information on the city's landmarks. Skip the cramped souvenir kiosk on 120/F and browse at leisure at the spacious souvenir shop on the ground floor after the downward elevator ride. The latter carries the full range of merchandise including premium items and promotional items that are not offered at the cramped kiosk on 120/F. Show the Seoul Sky ticket for discounted entry (only valid on the same day/date) to the Aquarium at B1 of Lotte World Tower.", May 2018
58,4.0,Nice view !,"Of course ITVs little bit expensive and too commercial , but at least less then in Dubai or Singapore !What I liked so much it was the balcony and the glass floor area !Stunning and funnyThe main entrance is on the basement The access process is long and you feel like the Space Mountain waiting line !The loft ambiance is nice", May 2018
59,5.0,"Awesome View, Worth It!","You can just buy your ticket there, you can stay there for as long as you want. We stayed there for awhile because we wanted to see how it looked like at night as well. It was really cool. The glass floors were great and kind of scary but it makes for a really good picture. Go there at like 5 or 4 pm and stay until sunset. Its really so nice to see Seoul from up high.", April 2018
