,star_point,title,text,Date of experience
0,4.0,Stadium tour was exactly as advertized!,"I have been to dozens of games here, both the national team and FC Seoul, and there is not a bad seat in the place--and on game days, the north end crowd is rockin' it!  I finally took the stadium tour and found it to be as advertised, and expected--it costs 1000W (about $1 US)", January 2020
1,4.0,Sport!!,It was a stadium as all the others but the people made the diffrent. Everyone was nice and friendly and took care of there dirt. , October 2018
2,5.0,"Good times, average footy!","Love coming here to watch Seoul FC play. It's super easy to get tickets - just come 30 mins before and get them from the ticket booth. Stadium is huge, with so many empty seats - not to worry! Seats aren't allocated, so you can choose where to sit. I only like to sit behind the", March 2019
3,3.0,Large stadium but soulless ,Just did the tour of the stadium Which was pretty underwhelming. Didn’t even have player jerseys hung up in dressing room. Looked old and worn out inside, November 2018
4,5.0,Great for football fan!,Went to visit Faetansium where there's some facts and histories on football (and Korean football) but mainly in Korean. But that wouldn't bother much as there're more much interactive VR experience game that you can try! Staff was helpful and spoke good English so he took me to, September 2018
5,5.0,2002 World Cup Stadium,"I have been here first time for Turkey vs China football match for World Cup 2002 in Republic of Korea. Turkey : 3 - China: 0   It is a great stadium, convenient transportation and easy watching stadium.", May 2018
6,4.0,Faentasuim,Very interesting place to visit especially Faentasium has interesting stuff that if you're a fan of football you gonna enjoy it, October 2017
7,3.0,Great stadium but terrible team,"The massive majestic world cup stadium is impressive and fit for purpose for this day and age for major football matches, concerts, etc. However if you are planning to watch FC Seoul then I would probably tell you to support the away team. The stadium is rarely full to capacity", May 2018
8,4.0,Nice stadium. Great food centre., It's a nice stadium. With a massive super market underneath.  Really good food centre big cheap meals with a massive choice. Very slightly tricky to order. Best to look at pictures in menu/food catalogues.   choose pay at till. Get receipt wait for your number  on screen and go, April 2018
9,4.0,Superb stadium,"South Korea and Japan jointly held the FIFA World Cup football tournament in 2002.   The World Cup Stadium in Seoul was built for that tournament. It is shaped like a traditional Korean kite. When viewed from above, it looks like a rectangular shield that is being flown like a", August 2017
10,5.0,Expect the unexpected,It was breath-taking when I finally saw this monument. It really stands out and so many activities going on at once. Its not just for soccer/football lovers. , June 2017
11,4.0,Great atmosphere ,"We went to watch FC Seoul play a night match as my son is a soccer fan. We all had an amazing time despite a light shower. The fan support was full on for the home team, even with maybe a fifth of the stadium full. Have not experienced the passion before in this size crowd. Food", June 2017
12,5.0,Been there a million times ,"I like this place because its near our house and there are so many different things to do there. Food, shopping, movies, and soccer matches are all fun activities. Surely a must see when you are here ", June 2017
13,3.0,Nice place to walking with a family,"I came here because I want to go to Haneul Park and I need to across this stadium to get there. The stadium is really huge but the time that I came, nothing much here. ", November 2016
14,4.0,Chill Like A Local,"I initially wanted to climb to the top of Haneul Park. I had read that it's the place to go for a beautiful view of the sunset and Seoul. I ended up in another park (the World Cup Stadium and Park comprises several parks), It's a nice place for taking a walk or biking with", October 2016
15,2.0,Pretty dirty around there.,"I went to an FC Seoul game and the lower bowl was almost full. The pain is that this stadium is sectioned off and you can only enter you specific area.  The other thing I did not like was the food, as there was only 1 tiny gs25 convenience location in our section.", March 2017
16,3.0,Went to the stadium at wrong timing,"We went to the stadium at night and the match was between FC Seoul and Jeonnam Dragons. The guard requested us to pay for the tickets when the match was left with just 8 mins. We ended up talking photo outside the stadium and left soon in order to avoid the 50,000 crowds. A good", November 2016
17,5.0,Visit to World Cup stadium ,There was a gate left open as we walked round so did our own tour. Security was really loose. We even got onto the pitch, November 2016
18,4.0,Cheap stadium visit,"Easy to find - get off at World Cup Stadium stop and at the top of the escalator you will see the Stadium.   We walked around and eventually found the entrance.   Unfortunately the museum was closed so we paid the cheap fee of 1,000Won to gain entry into the Stadium.   We", September 2016
19,5.0,Soccer in Seoul,"Nice stadium. I went for a Seoul-Incheon game. VIP at the booth was just 35,000 KRW with free beer and popcorn during the game. Fans were very passionate. Good experience ", April 2016
20,4.0,Pleasant outing and easy to get to,"This is much more than just a soccer stadium. It includes a large shopping mall, a dedicated train station (appropriately named “World Cup Stadium”) and a range of other health, food and entertainment facilities.   It’s easy enough to get here on metro train line no 6. Just get", June 2016
21,3.0,Nothing special!,This was the venue for the 2002 Korea-Japan World Cup. There was nothing on when we visited and the museum was empty and interactive videos were not available. The stadium is certainly well cared for and very clean but it was not really worth visiting., March 2016
22,3.0,A worn out place that once was great,"The stadium itself is a nice place, but it feels like the place is stuck in 2002 World Cup glory and the time just stops there. The whole stadium is clean due to the Korean standard of hygiene, but there are only few visitors. The museum is empty, the interactive videos and", December 2015
23,3.0,FC Seoul and AFC Champions league football,"Went there during the week at night to watch FC Seoul in a AFC champions League game. Ticket prices are very reasonable as my friend and I only paid $12.00 USD (14,000 Won) and we sat very close to the pitch. Lines are long to get food or beer but plenty of vendors and", April 2016
24,4.0,FC Seoul ale ale..,"Yes!  I was here watching Seoul FC vs Suwon Bluewings FC in this historical former world cup stadium. Having a good football match, friendly-passionate-cheerful supporters, well-managed area, and easy to reach.  Felt the vibe of the passionate supporters on my way to the", June 2015
25,4.0,Museum and tour review,"There were no matches on as I went in the middle of winter meaning a lot of the area was closed. The videos were not playing in the museum and I was pretty much the only person there. However, the opportunity to see such a stadium and read about the history for the small price", January 2016
26,3.0,"Worth visiting, but K-League was not that fun","As an amid football (soccer) fan, I have been watching lots of football matches, but I gotta say K-League was not that attractive. When I watched FC Seoul vs Daejeon Citizen here, I saw the difference between a team from a big city and small city, it was like watching a", April 2015
27,5.0,A sight right next to our house ,"Another great place that is excited to discover. They have great parks and the close by sky park and han river is near as well. The homeplus has lots of fun things to buy, and souvenirs as well.  The 2001 world cup soccer museum is open as well.   Also try to go and see Seoul FC", January 2016
28,2.0,Does it Worth Visiting?,"We thought it was a good idea to explore the famous World Cup Stadium while we are in Seoul. The stadium is very accessible via the World Cup Stadium subway station. There is not much to see, however. In such a stadium, you may expect to see a small shop that sells relevant", October 2015
29,3.0,It's ok,As a massive football fan it was a must see place.  The person at the door of the museum was extremely kind and helpful regardless of me being the only person to cater to.   Overol the facilities are OK. I am happy I went but I would not recommend anyone to go our of their way, December 2015
30,3.0,Meh,Over it was cool that Japan and Korea co hosted the World Cup in 2002 the stadium itself is outdated or old nothing special. The basketball courts near the stadium and the homeless and restaurants are nearby so that's convenient!@@! , November 2015
31,4.0,It was where World Cup was held in 2002,We passed by Seoul World Cup Stadium on our way to Sky Park and the Stadium was big and it was where World Cup was held in 2002., October 2015
32,4.0,A must see for football nuts,"If you are a football nut like myself, a visit is worthwhile. Easy acces from the metro which stops just at the doorsteps.", August 2015
33,4.0,Nice Facility,"I watched as VIP, and the facility was great. Seoul Stadium has excellent public transportation system too. It has museum, and you can visit it too.", January 2015
34,4.0,Cool to see,"If you are a sports / soccer lover, the World Cup if a cool spot to see.  It is easy to get to from the subway.", January 2015
35,5.0,Great cheap and worthwhile adventure,"Really cheap to get in and then we were allowed to wander. Visited the change rooms, media room And was allowed to wander on the oval!! I could not believe we had so much freedom. Wife and son had a race down one of the wings!! Great morning in Seoul. ", July 2015
36,4.0,Great Soccer History,"We went because our daughter is a soccer fanatic.  She said it was super neat getting to walk down on the field (behind a roped off area, on carpet). There is a museum area that tells the history of the game in Seoul. Can tour the locker rooms, which she thought was AMAZING! All", July 2014
37,3.0,checked it out from outside,"We walked a flight of stairs to check out the stadium from outside, nothing much to see. Theres sports shops in the stadium which u can go in. Thats all", June 2014
38,4.0,a good outlet mall in the stadium,We found a very good outlet mall in the stadium. It was a useful place to buy what you want. I recommend you to visit there and find whatever you need., March 2015
39,4.0,A great facility and a good team.,"Enjoyed the excellent stadium and the location. The football was good, and the work rate of a Korean team is phenomenal. Seoul FC make an interesting team, but I sometimes feel as though the crowd response is a little too orchestrated....but this is a Confucian society.", February 2014
40,5.0,my fav place in seoul,"this is definitely my favourite place in seoul, south korea. the stadium is great there is also museum you can enter the museum and stadium by only paying 1000 won take pictures on the stadium if you are lucky, the friendly police will allow you to take picture on the field", December 2013
41,4.0,Seoul FC,We went to Seoul World Cup Stadium using subway from Osan. It takes around 1:40 hour but I it was nice to see that stadium built for 2002 World Cup that Brazil won., September 2014
42,4.0,Not really a tourist attraction but nice and well-maintained,"I feel soccer fans would have a better appreciation for this stadium. Although not necessarily a tourist attraction, it is nice to see and go watch a game. Well maintained with easy access from subway.  Has a CGV movie theater, a Homeplus shopping center, and a KFC. Situated", October 2014
43,3.0,A Stadium with Sentimental Value,"As i heard from the tourist guide, this Stadium are meant so much to the Koreans. This where the place they have their proud of becoming the host for World Cup and where they beat their rival off. During my visit this stadium are empty. Not much visitors only a few guard, maybe", October 2013
44,5.0,Seoul World Cup Stadium - Something for Everyone,"First off, I'm not a big soccer fan and I don't really understand the entire game.  That being said, while on vacation to Korea my brother-in-law took me to my first ever in person soccer game at the Seoul World Cup Stadium.  The facility is huge!!!  Parking was a little", June 2014
