,star_point,title,text,Date of experience
0,4.0,Good Experience,"Small, basic and less crowded casino. Limited table game & slot machine. Just nice & comfortable for spending a little time for slot game without noise disturbance whereby big casino have. Majority Asian tourist (especially from China). Good to visit and experience. ", April 2019
1,5.0,Had a great time ,"I have been avoiding the casinos in Seoul because of all the horrible reviews that i read on this and other travel sites.I was walking around the Coex last weekend and passed by this casino and outside there were horribly large queues of visiting asian foreigners brought here by the tour- bus loads. I asked one of the staff outside when was a good time to avoid such noisy crazy crowds. He told me ‘come mornings’.  So today (Saturday) i did exactly that. I arrived at 11am. There was nobody outside and the casino itself was 30% full (my estimate). Everyone from the entry clerk to the dealers and pit bosses were super friendly and super helpful, speaking excellent English. It took very little time to get acquainted with the minor variants in play (like the count down timer that determines when to shuffle the card shoe at the BJ tables. The minimum bet at the lowest buy-in BJ table was a respectable KWN 30,000, and there were plenty of open seats. I cannot understand how the reviews could be so far away from experience i had here. Maybe non-gamblers trying to trash the reputation ir maybe they arrived when the flood of wizzened elderly ladies (i’m 60+ so i can use that term without it being age discrimination) were bussed in. But go here at 11am on a Saturday and you will find a very pleasant experience with a friendly helpful english speaking staff.", April 2019
2,2.0,Small and basic,We didn't plan on going here but we're walking around downtown and came across it so we tried it out. The gaming floor is not very large. There is one section of table games and a small section of slot machines. I didn't go near the tables so I can't really rate them but I played a couple of slots without much action. I'd estimate there were about 50 machines. Anything under 1000 krw won't pay out at the machines so you can save slips and take them to the cage.There is a self service soft drink dispenser with the usual choices of sodas., October 2018
3,3.0,Expensive but ok,"After Reading all the bad reviews, I was scared to visit the casino. But I had a nice surprise when I got there. The casino had a nice entrance. And inside was clean and kinda big. I have seen much worse casinos so I was very glad ! They had free coffee and tea and juice. There s just one roulette table (with their own order of numbers which is very tricky when u are used to the same roulette numbers in general) and several blackjack and baccara. The minimum was 50000W which is high.  Over all you can spend a nice time gambling. The only major problem was like 90% were chinses people who were screaming and taking all the tables, so hard to find a free seat.", October 2018
4,1.0,Terrible casino and staff,"Worst casino and staff I have ever been to. Interesting that everyone at the front desk not only cant speak a word of english, but dont even try to explain things to you. I was given false information that caused alot of inconvenience for me.", March 2018
5,1.0,One of the worst casino’s ever.,"It’s the middle of winter and it’s like a sauna inside.  Very small, atmosphere is very tedious, and yes foreigners only.  We showed our passports to get in and walked out a few minutes later and told the lady who looked at our passport it was very hot and unbearable inside and as we continued walking out, instead of saying sorry or being professional we overheard her telling the male companions who also work with her at the entrance and she started laughing about situation. She is just a bad apple in a bunch because we have many Korean friends and understand the culture but this is what you should expect here.  He casino itself is like the size of a extra big basketball court, a very few slots on one end and the other 80-85 percent of the other end has table games.  If you really want to visit a casino go to walker hill very classy hotel with art inside casino on other.", February 2018
6,1.0,Worst place ever!,"The people there were so incredibly rude, and they do NOT offer free food and drink!  That is a flat out lie.  We had such a bad experience, we cancelled our memberships so we wouldn't receive offers or deals that would tempt us to return.  There is no going back after the awful time we had.  The overall atmosphere was that of desperate people and addicts, with a staff that was clearly just done and fed-up, didn't care at all about your needs or wants, and we NEVER got our drink orders in the 3 hours or so we were there, even though we asked multiple times.  I had more money to spend, but it just wasn't worth it!  This place is horrible.  You should go to Walkerhill Paradise Casino if you want good casino fun.  That place treats you like a VIP no matter who you are, and are always on top of their game.  Seven Luck was the worst casino and tourist experience I've ever had!  Stay away!", November 2017
7,5.0,Amazing Casino,Big Big casino with all level and types of gambling verities ....Its a neat and clean place with a good mix of people from all over the world...its attached to a hotel and you can stay there if you want, October 2016
8,4.0,First time to a casino in Seoul,First visit to Seven Luck Casino as I was spending half a day at Coex and Seven Luck Casino was just next door to Coex., February 2017
9,2.0,A very small casino,Location is not convenience and the casino itself is very small and not new at all. If you live in the hotel right next to it then it's not a bad idea to have a bet over there. My kid was left outside in the game room and wait us., December 2016
