,star_point,title,text,Date of experience
0,5.0,"My favourite dept store in Seoul, Korea","Whenever I visit Seoul, this is where I go for foods, clothes, duty-free, etc.  They have the best items of all sorts and fun to browse here too.", November 2019
1,4.0,Shopping mecca in the heart of Myondgong,, December 2019
2,4.0,"Expensive, equivalent to Selfridges or Harrods",Huge store with everything high end you need.  Close to the markets and other big shops. We went yesterday it was packed. I thought the staff were quite rude when I asked for a specific product and the information desk was really unhelpful as the guy did not speak one word of English., December 2019
3,5.0,A surprisingly great place for food! ,"The good hall is connected to Hyewha underground and is brilliant! Shopping is very high end. Tax free floors are 8-12 (not very well advertised), but we found it overrated with not much bargains. Also they only accept USD in duty free and you need your passport (or photo of it) and flight details to buy.", November 2019
4,3.0,saks 5th of seoul,good meeting point. tours start in front (facing woori  bank) browse around.  enjoy a snack at the many coffee shops.  walk the perimeter to orient the shopping and landmarks., October 2019
5,5.0,Great place to visit for family!,"The food court at the basement is great! Clean and affordable price. Free WiFi, nice kids area at level 7. Wish the staff could be friendlier but my daughter was only playing as we couldn’t lug the toys back to sg. Nonetheless this was the mall we kept going back as is easy with kids!", October 2019
6,4.0,Nice Food Court,"If you’re into food then you might enjoy visiting here. They have food kiosks mainly korean, nice high end grocery, deli section with all sorts of cheese and cakes and sweets area.", September 2019
7,4.0,Typical Upscale Department Store,, November 2018
8,5.0,AMAZING spot if you're into fashion.,"I always laugh when I read reviews from people bashing a high end store for having high end items. If you can't roll with the big boys, stay on the porch. There's everything in here for every type of fashion you could want from minks to street wear. There's also a supermarket, street style food booths and other restaurants in the basement. If you've ever been to Harrod's, that's basically what this is. Well worth a visit if you're into fashion.", July 2019
9,3.0,Expencive shopping,"Visited the shopping mall in june 2019. Mostly expensive brands. Could also find shots like Nike and Adidas, but with quite high prices. Food court in the basement.", June 2019
10,3.0,Mainly high end product shopping,"If you are looking for luxury goods such as cosmetics, perfumes, handbags and clothes, you can come here and buy these products. They offer duty free if you bring your passport. This is well catered for Mainland Chinese tourists, since almost all the staff speak Putonghua.", June 2019
11,1.0,Horrendous service at airport duty free pick up,"Firstly, the level of service at the departmental store in Myeongdong wasn’t great. Bought a Tumi hand carry and due to bad command of English of the sales person, I became aware only after payment that I can only collect the bag in the airport. The first payment transaction had to to voided and a new charge had to be processed because the sales person made an error the first time around. Long story short, when I went to collect my bag in the airport on 27 May (approximately 9.30am) the lady that served me was rude beyond explanation. She handed the bag in a box to me and wanted me to sign off that the item was collected in good condition. I refused before inspecting the item. I asked for a cutter or scissors to open up the box, she lamely handed me and pen without uttering a single word. I asked if she expected me to unbox with a pen, she dropped the pen on the table and walked off! Such utter rudeness! If Korea wants to promote tourism, the country need to send its people fronting tourist for better training as such bad attitude in a place filled with tourists is just not acceptable! The picture below showed the unfriendly facial expression of the staff member manning the collection counter. Such a sight just put off the idea of me ever wanting to visit this country ever again. Extremely disappointed and upset with the horrendous encounter. Shinsigae, please send your staff for training so that they are more customer oriented.", May 2019
12,4.0,"High end store, and not much more to offer.",, March 2019
13,5.0,Branded duty free,, April 2019
14,4.0,For the avid shopper,"If you are looking for the latest selection in designer brands, you will find a good selection here at Shinsegae. There are many international brands here as well as a good selection of Korean brands. A good place to get what you need including food stuff from the supermarket.", March 2019
15,4.0,Good underground food court,, March 2019
16,4.0,Traditional and Upmarket Department Store,, February 2019
17,3.0,Nice big supermarket at the basement,, February 2019
18,3.0,A regular department store ,, February 2019
19,5.0,Beautiful luxurious mall!,I stayed at the Lotte Hotel which was about ten min walk from shinsegae dept store. Starting from the eighth floor it is duty free. There are a lot of luxury goods but for Hermès they don’t have bags and only comestics and stuff. It is a lovely mall! If you buy from the normal vendors the tax refund place is on the fourth floor with the sports wear stuff like adidas and Nike etc., January 2019
20,5.0,Great location,"Great location, walking distance from our hotel Ramada Hotel & Suites, near Myeondong and Nandaemun market.", December 2018
21,4.0,High end departmental store,"In every country, there is always this top end department store such as JC Penny in the US, Takashimaya in Japan, etc. Shinsegae is of similar concept in Seoul.", December 2018
22,4.0,This is a fairly large mall,This is a fairly large mall with the usual brands available as as well a supermarket and food hall.   It is similar to other Shinsegae Department Store throughout the country., December 2018
23,4.0,Lots of brands under one roof,"A major departmental store in Seoul, it houses a variety of luxury and average brands under one roof.  Not much bargains here if that's what you r looking for.", December 2018
24,4.0,Top class Shopping Mall,"I went to Shinsegae Department Store during my visit to Seoul in October 2018. It was a great shopping mall with world class boutiques and other high-end products. Unless you were looking for high-end products or boutiques like Louis Vuitton, etc, this is definitely not your place to shop.", October 2018
25,4.0,This is not a world class food hall,, November 2018
26,5.0,"World-class food hall, the love-child of WHOLE FOODS and HARRODS GOURMET!",, October 2018
27,4.0,Excellent food court,, July 2018
28,5.0,"If you like to shop, you need to check this out!","My wife and I like fashion, people watching, and shopping.  This place is freaking off the chain.  It is literally mind freaking blowing.  Nearly anything you want to find, this place will have it.  There is also some food an dining there, and it's top notch.  I'd totally go back again.", July 2018
29,5.0,"Go to the bottom, it’s awesome!","This store only carries high end goods, so if you are looking for a deal, this might not be the place for you. It is however extremely nice and everyone was very friendly. The bottom floor is where you need to go. That is where the food court is along with a nice grocery store. The food at the food court is as good as it gets! We had the best rice bowls there. We actually went back multiple times.", July 2018
30,3.0,EXPENSIVE!,"Unless you are looking for expensive stuff, this is not for you. It's a regular mall with branded goods and for some reason, they don't have a handful of newborn stuff like breastpumps etc. Their infant selection are very limited as well. You can come here if you want to chill or get some warmth haha But really, if you are into cheaper stuff, you might as well go somewhere else.", April 2018
31,5.0,Great for all things you need,, August 2018
32,5.0,Food court reminds me of the Plaza in New York,, August 2018
33,3.0,high end goods,very good department store for high end goods.  every level has a different kind of goods from kids to men and women and electronics.  if you go to Myeongdong then its worth a quick visit., April 2018
34,2.0,Such horrible service ,, July 2018
35,4.0,Nice Department Store,"This is a nice department store with 4 floors of duty free shopping. As is typical of other department stores, the first floors sells cosmetics and beauty items, followed by fashion and home then duty free. It was more spacious than the others.", July 2018
36,3.0,Upscale shopping but be aware of the process!,"I've never shopped at a duty free department store, so it's my ignorance that I didn't know that you don't get the goods right then UNLESS it's manufactured/sold by a Korean company. But even buying Korean goods is a hassle. For example,when buying a  Kakao Ryan backpack, I needed to provide my passport AND return boarding pass. The employees I found to be very brusque and even surly and unhelpful. Will not go back.", July 2018
37,5.0,Great shopping and excellent service ,"Compared to other high end department stores in the area, we felt more shopaholic here. The staff are friendly, more attentive and more welcoming. The selections are well curated. Promotion on some of the items were so good, you need to be mindful because it's so easy to overspend. Overall, I had such a fund time shopping!", May 2018
38,3.0,It's your average fancy department store,"This store is very attractive, clean, and well-maintained. There are lots of luxury goods and a good selection of clothing and home items.", April 2018
39,4.0,Nice,"We just visited the other day and its huge,its like Macys,name brands and expensive.Just looking around from 10th floor to basement which is a foodcourt and supermarket.Its clean and near Namdaemun market.", April 2018
40,3.0,Many international brands,A huge department store with various Intl brands..not much worth to see unless you are looking for high end Korean cosmetics, April 2018
41,4.0,Not keen on Namdaemun-ro street food the try Shinsegae food court,, April 2018
42,4.0,Pretty big mall,A big 10 story mall with lots of luxury brand. On the 10th floor you can find and arcade and a very nice movie theater(movies in English and Korean). The place was extremely clean. Highly recommend if you are downtown Uijeongbu and have a few hours to spend in it., February 2018
43,5.0,Duty free gives free gifts and promo ,, February 2018
44,4.0,Shinsegae,, January 2018
45,4.0,Shinsegae,"Nice shopping center in easily accessible location. Better than Lotte Main. Possible to get tax refund immediately. However, prices are expensive.", February 2018
46,5.0,Take your passport.,, December 2017
47,4.0,Dont forget passport!!,, December 2017
48,4.0,Great place for branded goods,"Like another other Duty Free shopping malls eg. Lotte. Not sure which is better. But i'd prefer the one at Express Bus Terminal Station, whereby they have lots of stores for food at their basement level which is a food heaven! Do drop by there if you have the time.", December 2017
49,5.0,Shopping Heaven for Shopholic!,"This is the place for people like me....shopholic with a style. You can get lots of branded goods at a good price especially at their duty free floors. However, take note that you can only collect the items purchased at the airport upon your departure date. It's really worth it...I got myself a Longchamp handbag, Salvatore Ferragamo belt and high end perfumes here. Lucky for me that we discovered this place only on our last day in Seoul....if not, I would have bought the whole mall....hahaha^_^", December 2017
50,5.0,Great place not to only shop but eat,I love how each and every floor level were designated to a specific age and gender but what I loved the most is the duty free floors and the basement where you can find a huge gourmet stores and a handful of restaurants serving a world wide cuisines selections., November 2017
51,4.0,"Beautiful upmarket store, for your ""eyes"" only......",, November 2017
52,3.0,Luxury shopping centre,We drop-by here after came back from Nami Island trip. Pretty much nothing for us coz we not going to do any shopping. But this is a right place for the luxury shoppers., October 2017
53,5.0,Basement food court is amazing,, October 2017
54,4.0,High end department store with high end prices,"If you are looking for a luxurious department store then head here, but if you are looking for a good deal then keep looking. Lots of stores and places to eat though so even if you aren't going to buy anything else go for that.", October 2017
55,4.0,Lovely department store and great food court with not too expensive price,Food court is really lovely in Sinsegae. Of course there are a lot of tourist but in general the design of this department store is quite well-planned. Food court you can buy a lot of different thing and makes me feel like a smaller version of Harrods with wider alley., October 2017
56,4.0,... but expensive,, October 2017
57,4.0,High end departmental store,"This is a huge departmental store. The food basement is huge, offers more high end/ expensive products than Lotte mart. There were multiple mini restaurants at the basement.", July 2017
58,4.0,Big place,"This is a huge department store with duty free shops in the upper floors. But as expected, not too many staff possess good english speaking skills. Internet is free but there are deadspots. Comfort rooms are clean and looked elegant.", June 2017
59,4.0,Nice and big - good food court and a great roof terrace,, April 2017
60,4.0,Good mall,"It's food court in the basement is similar to Harrods except better than Harrods..if you want to have a nicer meal,  go up to the 11th floor where there are a few restaurants. We tried the Korean beef hot pot noodles at the Korean restaurant 甜蜜 which was pretty good. The flavor wasn't too overpowering and wasn't spicy,  which is rare for Korea.", May 2017
61,4.0,luxurious mall,, April 2017
62,5.0,Shinsegae,This store is huge! Located in such a good spot in Myeongdong. Food court down stairs is really good too, April 2017
63,4.0,1 of 5 duty free and dept stores,"This is a 12 floor dept store. 3 floors are duty free the rest are your typical dept store in asia. For men , women, kids and electronic.  You can spend 6 hrs just looking at items in mall. All basement 1 has the food. and cafe and restaurants are in some floors.", March 2017
64,4.0,Nice Department Store,"Plenty of places to eat and there are around 6floors of just Cosmetics, Handbags, Clothes and other nicknacks. Easy to navigate and there are plenty of discounts everywhere!", January 2017
65,4.0,Great food hall in basement,, November 2016
66,4.0,Similar to lotte department store,, November 2016
67,4.0,More upscale than the other one,"The food court in basement is excellent and has several mid-upscale options. There is a nice garden on the tenth (11th ?) floor rooftop. Bright, open, and prices are fair. Bring your passport for duty free shipping.", October 2016
68,5.0,Awesome,"Why don't we have a department store like this in The Netherlands? With all luxury brands in one store and some cheaper brands as well. However you have to bring a lot of money if you want to buy something nice. And the foodcourt and foodmarket are brilliant too. You can eat japanese, korean, indian, mexican, italian, etc.", September 2016
69,4.0,Lotte Department Store is Better,"This is still a good department store, I just feel that if you got to Lotte Main Department store, I don't see why you'd need to go here.  My cousin in law came with us looking to buy a duty free LV belt, but they did not have LV at their duty free.  He ended up getting it at the Shilla Duty Free.", August 2016
70,5.0,De Moon Korean restaurant at the shopping mall,, May 2016
71,4.0,Didn't even look at the merchandise..went raifht yo the basement for food,"Just like Harrods in London, or the basement of El Corte Englis in Spain, this place has food in the basement.  Except mainly restaurants of many ethnicities. Korean, of course, Japanese sushi, Chinese dumplings, Vietnamese pho, and lots and lots of desserts, from chocolate to gelato.", May 2016
72,4.0,Huge department store with duty free shopping,, May 2016
73,4.0,Luxury all the way,, May 2016
74,5.0,Exclusive shopping mall.,"A mall with popular, luxury and high-end premium brands outlet under one roof. Good for window shopping, or gift hunting!", September 2015
75,5.0,free time during a recent business strip,"If you need it you can find it at this department store.  High end products plus gifts for business associates makes this an ideal stop while in Seoul.  Need wine, pastry, chocolate, clothes, etc, you will be able to find it here.  friendly and courteous staff always!", March 2016
76,5.0,Excellent,, April 2016
77,3.0,Everything under one roof,, March 2016
78,5.0,very fashionable,, March 2016
79,4.0,My wife really loved it here,"It seemed to me like a Macy’s in New York without all of the glittering decorations. he department store had American Music, all of the advertisements had American girls and every store could be found in America. I have some allergies to perfume and this place really had such a strong perfume smell because of all the samples being given out and placed on potential customers. The prices on cosmetics were pretty good according to my wife even though I find the duty free at the airports cheaper. I liked that you can show your passport and get a rebate on the taxes you paid so that was pretty cool except for we were with our in laws and they know how to do that. Had I been by myself there would be no way I could have done that because you have to go across the street then down some escalator to like a secret passage that it wouldn’t be worth my trouble. The place made my wife happy so I’m ok with that.", February 2016
80,5.0,Very elegant building selling high end brand name goods,"I was walking from Myeongdong to Hoehyeon and passed by the Shinsegae Department Store.  The facade of the building was grand and elegant, could tell it was from the early 20th century.", February 2016
81,5.0,High end shopping,, February 2016
82,4.0,Beautiful Christmas decoration and Great Shopping Experience,, November 2015
83,1.0,Bad attitude,Sorry to say this. Never saw such behaviour to customers such that. I have been to more than 40 countries. My wife choosed 5 leather handbags went to the cashier to pay and they refused letting her pay without the passport. At the same time all customers pays normally. As tourist we never carry passports while shopping majority of tourists leave passports in hotel room right! My wife showed her official identity card. But still the cashier refused a supervisor came to help but still the cashier lady refused! Can any one tell me what thats means at front of all other customers. The other thing non of them speaks a single word in english., October 2015
84,5.0,"Seoul's answer to Neiman, Saks, Bergdorf, etc",High end shopping lives at the Shinsegae Main department store.  I was impressed at the depth of every high end brand represented at this store., April 2015
85,3.0,It's ok,Not my favourite shopping location in Seoul.  Found it a little more difficult to navigate.  Has two buildings - one is more high end.  In the end it is shopping and I am usually forced to go, August 2015
86,4.0,"If You Like Department Stores, Add A Star!",, November 2014
87,5.0,Shinsegae Department Stores care for their Foreign Customers!,, July 2015
88,4.0,Mall o' Korea,"If you enjoy capitalism, like you should. This mall in the proximity of the Namdaemun market is something to check out. Layer after layer of consumer goods, lights, glitz, with restaurants at the top of the building. If you like European cars, just stand on the street outside and watch 'em roll on up.", June 2015
89,4.0,Head straight to the Food Hall! You can skip the rest.,, April 2015
90,4.0,Another huge luxury shopping mall,"Quite similar to other department store such as Lotte, this store also carries luxury brands. Located near to Namdaemun Market.", January 2015
91,4.0,Impressive and opulent store,"What an impressive site as you approach Shinsegae.  The main store, the flagship of the chain is truly a landmark in downtown Seoul.  Located in the Myeong-dong area the beautiful structure emits an air of style, class and historic culture.  Best way to reach it is by metro light blue line 4.  Take exit 5 and walk forward.  You will see the beautiful building facing you.  Shinsegae which means ""new world"" is noted for its luxury goods with all brand names represented in the store.  My main reason in visiting was to see what was offered in the basement, usually the spot for food items and supermarket.  Not to be disappointed it was super clean, orderly and well laid out for viewing, shopping and gawking.  The products were of very high caliber as evidenced by the prices.  Does $10.00 for an apple tell you anything.  It really is eye popping to see the array of cooked and packaged goods.  It is mouth watering.  There is a supermarket and also many mini counters selling ever item imaginable.  Some of the bakeries were fabulous.  Even if you are not in the buying mood it is quite an experience to see how the rich shop.  I was somewhat disappointed, because having been in Lotte, this area was much smaller, plus I could not locate a sit down restaurant like in Lotte.  It does not compare to the size and quantity of goods available in Lotte.  It is definitely worth visiting and experiencing it.  But if time is limited, then I would most definitely visit Lotte for the shear size and scope of the area.", June 2014
92,5.0,Hidden Gem in the Hectic & Stressful City Life,"The most luxury department store. Two wings. One wing for super luxury and the other for normal luxury. Worth to visit and see what it offers, but please note you'd feel odd if you are not well presented. Also, please make sure you visit TRINITY GARDEN on the top of department store. My friend took me here for lunch break. I never wanted to disclose this place to anyone as it's just a perfectly hidden gem in the city. Quite classy, stylish lavish cafe with high quality food and beverages to the richer. You'd feel quite odd when you are not presented properly not only in the garden but also in this part of department store. Four major artworks would obviously make you feel privileged as well. Absolutely stunning merchandising and promotional stuff overwhelm you. Very lavish life style for the richer but good to catch up with global trend. Not a place you take your kids. Not a place you'd casually and uninhibitedly visit and enjoy, but obviously much better than any other department stores if you'd like to buy any luxury goods.", April 2014
93,4.0,Classy,, May 2014
94,5.0,A feast for the eyes,Simple floor layout with excellent visual merchandising and promotional materials. A wide variety of international and local labels for shoppers to choose from. Those hungry after some splurging can fuel up with the huge food selection in the basement., May 2014
95,5.0,just wow!,Shinsegae Deptmartment store in Myeongdong might have been the best shopping day i have experienced. Not only because of the endless high end designers but the service of the workers are unbelievable. One worker who works for Dior Sunglasses truly made my shopping experience at Korea one that i would never forget. Not only did she took me by suprised by speaking in English but she might have been the sweetest and nicest person i have ever met. Truly amazing., May 2014
96,5.0,Finest and Best,"Easily the finest and best high street shopping experience in Seoul. Spread across two stores, New building(12 floors) and the main building(6 floors). Has all the major fashion brands under one roof. Truly amazing. As always the duty free floor is flooded with Chinese shoppers. The basement food court is good. The authentic Korean restraurants in 10th floor is very tasty but expensive. Worth visiting for the experience.", February 2014
97,4.0,Upmarket Shopping Centre,Shinsegae Dept Store is one of the upmarket shopping centre in central Seoul. It houses international renowned fashion brands with a wide selection of Korean designer products. Shinsegae is the place to go if you are looking for something expensively fashionable., December 2013
98,5.0,Asian Harrods !,"this is the finest Mall in Korea for haute couture and high end food technic cooking and fashion designer, from LV to Gucci is here just prepare your CC lol ! if fashion not for you..well they offer great food hall with so many Korean authenticity but no photo ! they seem disturb by the photographer :p or just another immigrant from North Korea ? hehehehe ;P anyway the food are delicious and if your budget is fine for this kind fine restaurant at 10f then go ahead ! the sushi is good so fresh and sweet :) the korean bibimbap is amazing and so does the bulgogi :)", October 2013
99,5.0,World Class Food Hall,, February 2013
100,4.0,"amazing place, very high-end","this mall didnt have a sears or macy's lol, but it did have every major designer that I've ever heard of, Gucci, Armani, Donna Karen, Fendi, Coach, Paul Frank, ect... there is a nice food court/grocery in the first floor, it is all a little pricey (esp the high-end designer boutiques), but it is worth a trip.", January 2013
101,4.0,Just another big departmental store,There are 2 levels dedicated to duty free shopping which is packed with people mainly the mainlanders. They are buying everything. Price wise is not that attractive. I probably could get similar price locally., October 2012
