,star_point,title,text,Date of experience
0,4.0,Respected past ruler of Goryeo,"I went there because I know there is a secret museum underneath. But I went there too early and the museum opens at 10 am, and suddenly it was raining so I proceeded to the palace. Will come here again in the future.", October 2019
1,5.0,There's a museum underground!,We were pleasantly surprised to discover that there is a museum under the statue. We spent about 15-20 minutes inside the museum., December 2019
2,4.0,A surprise awaits underneath,"The statue itself, one of two in the square, is large and impressive and worth taking a pic.  But after that (which takes two minutes) what else is there to do?  Well, fear not.  On the backside of the statue is a door, an entrance to an underground complex that is a free museum of much of Korean history.  The museum opens at 1000 so don't come too early but one can easily spend a couple of hours inside, especially if the weather outside is less than desirable.  So, statue = 5 minutes; underground surprise = 2 hours.", November 2019
3,4.0,Old Sejong The Great-The Guy Who Created Hangul,"This is one of two impressive statues in Gwanghaman Square, the other being that of Admiral Yi Sun-Sin. Sejong lived from 1307 until 1450 and was the fourth King in the Jaseon Dynasty.The title of Great"" apparently bestowed on all kings after they died but Sejong did invent the Korean alphabet , known as Hangul and promoted science and other good things.And a nice, big and impressive statue it was and fitting for a historic ruler.", September 2019
4,4.0,Big golden statue,One of the statues in the square where you can watch the palace and the mountain view behind it. Good for some photos., September 2019
5,5.0,Sejong the Great,The Stature of Sejong the Great is usually very busy around Daytime. So make sure you have time. Go in the morning or evening to make some good pictures with the montains behind the stature. Also there are a lot of other great tourists spots around the stature which you may should check out., October 2018
6,4.0,Imposing statue,"This imposing statue is the focal point in Gwanghwamun Square. It is to honour King Sejong the Great, the fourth and most respected king of the Joseon Dynasty and creator of Hangeul, Korea's alphabet. A  passageway behind the statue leads to a museum, featuring the life and achievements of this king. Free admission.", June 2019
7,4.0,A grand statue ,Loved the location on the large square with the mountains in the background. We were delighted to find a door behind the statue which led to a museum about Sejong the Great where we learnt he invented the Korean alphabet!, June 2019
8,4.0,Great to see it!,"I was here, and I was amazed at the creation of the statue and the history behind it. Come here if you want to enjoy history :).", June 2018
9,5.0,The Heart of Seoul,"Ever since I've watched a drama about King Sejong, I knew I had to visit his statue and take a photo with him. Little did I know that it's in the center of Seoul. It is very easy to find and impossible to miss when visiting the Gyeongbokgung Palace, Cheonggyecheon Stream, and other famous spots in Seoul.King Sejong's statue is among the popular tourist spots in the area so don't miss taking a souvenir photo with him. You might just have to fall in line. And maybe ask for someone to take your photo if traveling alone like me.", December 2018
10,5.0,best king,"so majestically built to one of the best king during joseon dynasty.  if I am a Korean, I feel really and totally proud.", March 2019
11,4.0,Greatest King of Korea,"The statue of King Sejong one of the greatest rulers of Joseon Dynasty has been installed in the G Square as a gratitude for his contribution in strengthening the Joseon Dynasty and also as an inventor of Korean Alphabets – the Hangeul, Armillary globe, rain gauge, the Sun dial etc. He is remembered for his contribution to the great strides Korea made in the field of agriculture, science, technology.The bronze statute which is about 9.5 meters high shows the King sitting with a book in his hand and a gentle smile. There are around 6 columns behind the statue showcasing the accomplishments of this great king.There is also an exhibition underground depicting the achievements of the king which is open to public.Include the visit to this place along with the visit G Palace.", May 2018
12,4.0,"The entrance to the underground museum is beneath the statue, in the front",Located at Gwanghwamun. Good place to visit before/after Gyeongbokgung! The exhibitions were all in Korean though., February 2018
13,4.0,Father of Korean Alphabet,"This big bronze statue of Sejong the Great (1397-1450) stands on a pedestal in the middle of  Gwanghwamun Plaza. Designed by Kim Yeong-Won and placed here in 2009, the depiction honors the scholar king, whose accomplishments include the invention of Hangeul, the Korean alphabet. We came across the statue when walking on the plaza toward the nearby Gyeongbokgung Palace.King Sejong is presented in royal attire, seated on a throne. The right arm is stretched outward and the left hand holds a book. He smiles, perhaps portraying his philosophy of love for his people. Behind the statue stand six columns with information about the king's major achievements. A door by the statue's base leads to an underground exhibition hall on the king and another about Admiral Yi Sunshin. A statue of the admiral stands about 820 feet south of this one on the plaza. We took a detour from our palace goal to visit the two halls. As history buffs, we found them both to be informative and well curated.", November 2018
14,4.0,Interesting statue,It’s a pretty cool statue to keep an eye out for as you head towards the palace - hard to miss as its in the middle of the street!, November 2018
15,4.0,Large imposing statue at the centre of Gwanghwamun Square,"This is an important landmark in Seoul anddepicts the 15th century Korean monarch, Sejong the Great, the fourth king of Joseon dynasty. It is strategically located in Gwanghwamun Square with the backdrop of Gyeongbokgung Palace. The king is presented smiling and sitting on his golden throne with one hand raised and the other resting on a book.His main claim to fame is the invention of Hangul, the official alphabet of the Korean language.  This consists of 14 consonants and 10 vowels. I haven't studied this much more but I was amused to be accosted in a nearby street by two young teenage girls who wanted to interview me as a foreigner, give me a pamphlet on Hangul and show me how to write my first name in Hangul.", October 2018
16,3.0,King Sejong the Great,"In Gwanghwamun Square there are two statues, one of which is of King Sejong, who reigned from 1418 - 1450 when he died. This statue is illuminated at night and you should see it then if you are in the area.", July 2018
17,4.0,interesting,nice spot in front of the palace with lots of historical background as learning lesson for tourism like me, August 2017
18,3.0,Creator of Korean characters ,"Sejong emperor is one of the most respected emperors in Korea. It was he who created Hangul, Korean characters. Nowadays everyone uses it, but at that time his action was protested by many Confucian schoolers, who used Chinese characters.", January 2018
19,5.0,Best place on Earth,"I don’t exactly know why but this place is definitely the one that I prefer in this world.Being in front of this statue, close to the palace (and nature) and at the same time, being rounded by buildings.. amazing", March 2018
20,4.0,Huge Monument,"We were walking towards the Gyeongbukgong Palace to watch the changing of the guards when we came to a huge momument of a well known person in South Korea, the Statue of Sejong the Great. We did not waste time and started clicking for souvenir photos and at the same time searching Google to learn about this Great Man sitting on a big chair atop a pedestal in the Gwanghwamun Square walk path leading to the palace. We learn that Sejong the Great was born in 15May1397 and was the 4th King of Joseon dynasty of Korea. He ""reinforced the Confucian policies then created and promulgated the Korean alphabet Hangul.""He died either in the year 1442 or 1450 according to scholars of Korean history.", February 2018
21,4.0,"The statue of Great King, Sejong.","C ( 17.12.06  ) King Sejong is great king in Korea history. The King sejong made Korean alphabet, Hangeul, the most scientific letter. The statue was landmark in this area with the statue of Yi Sun-sin. There was good museum under this statue, and must go.", December 2017
22,4.0,Sejong the Great,Iconic statue of Great King Sejong. The location is strategic and can be accessed from the Gwanghwamun Gate. Very good place to take a quick photo session or admire Korean Culture and History., December 2016
23,4.0,Quick photo. ,Just a quick pass by the statue for a photo. It could have been better if the stage behind it (there was a concert the night before) was not there. So that the palace gates would be visible in pictures, October 2017
