,star_point,title,text,Date of experience
0,4.0,Respected past ruler of Goryeo,"I went there because I know there is a secret museum underneath. But I went there too early and the museum opens at 10 am, and suddenly it was raining so I proceeded to the palace. Will come here again in the future.", October 2019
1,5.0,There's a museum underground!,We were pleasantly surprised to discover that there is a museum under the statue. We spent about 15-20 minutes inside the museum., December 2019
2,4.0,A surprise awaits underneath,"The statue itself, one of two in the square, is large and impressive and worth taking a pic.  But after that (which takes two minutes) what else is there to do?  Well, fear not.  On the backside of the statue is a door, an entrance to an underground complex that is a free museum of much of Korean history.  The museum opens at 1000 so don't come too early but one can easily spend a couple of hours inside, especially if the weather outside is less than desirable.  So, statue = 5 minutes; underground surprise = 2 hours.", November 2019
3,4.0,Old Sejong The Great-The Guy Who Created Hangul,"This is one of two impressive statues in Gwanghaman Square, the other being that of Admiral Yi Sun-Sin. Sejong lived from 1307 until 1450 and was the fourth King in the Jaseon Dynasty.The title of Great"" apparently bestowed on all kings after they died but Sejong did invent the Korean alphabet , known as Hangul and promoted science and other good things.And a nice, big and impressive statue it was and fitting for a historic ruler.", September 2019
4,4.0,Big golden statue,One of the statues in the square where you can watch the palace and the mountain view behind it. Good for some photos., September 2019
5,5.0,Sejong the Great,The Stature of Sejong the Great is usually very busy around Daytime. So make sure you have time. Go in the morning or evening to make some good pictures with the montains behind the stature. Also there are a lot of other great tourists spots around the stature which you may should check out., October 2018
6,4.0,Imposing statue,"This imposing statue is the focal point in Gwanghwamun Square. It is to honour King Sejong the Great, the fourth and most respected king of the Joseon Dynasty and creator of Hangeul, Korea's alphabet. A  passageway behind the statue leads to a museum, featuring the life and achievements of this king. Free admission.", June 2019
7,4.0,A grand statue ,Loved the location on the large square with the mountains in the background. We were delighted to find a door behind the statue which led to a museum about Sejong the Great where we learnt he invented the Korean alphabet!, June 2019
8,4.0,Great to see it!,"I was here, and I was amazed at the creation of the statue and the history behind it. Come here if you want to enjoy history :).", June 2018
9,5.0,The Heart of Seoul,, December 2018
10,5.0,best king,"so majestically built to one of the best king during joseon dynasty.  if I am a Korean, I feel really and totally proud.", March 2019
11,4.0,Greatest King of Korea,, May 2018
12,4.0,"The entrance to the underground museum is beneath the statue, in the front",Located at Gwanghwamun. Good place to visit before/after Gyeongbokgung! The exhibitions were all in Korean though., February 2018
13,4.0,Father of Korean Alphabet,, November 2018
14,4.0,Interesting statue,It’s a pretty cool statue to keep an eye out for as you head towards the palace - hard to miss as its in the middle of the street!, November 2018
15,4.0,Large imposing statue at the centre of Gwanghwamun Square,, October 2018
16,3.0,King Sejong the Great,"In Gwanghwamun Square there are two statues, one of which is of King Sejong, who reigned from 1418 - 1450 when he died. This statue is illuminated at night and you should see it then if you are in the area.", July 2018
17,4.0,interesting,nice spot in front of the palace with lots of historical background as learning lesson for tourism like me, August 2017
18,3.0,Creator of Korean characters ,"Sejong emperor is one of the most respected emperors in Korea. It was he who created Hangul, Korean characters. Nowadays everyone uses it, but at that time his action was protested by many Confucian schoolers, who used Chinese characters.", January 2018
19,5.0,Best place on Earth,, March 2018
20,4.0,Huge Monument,, February 2018
21,4.0,"The statue of Great King, Sejong.",, December 2017
22,4.0,Sejong the Great,Iconic statue of Great King Sejong. The location is strategic and can be accessed from the Gwanghwamun Gate. Very good place to take a quick photo session or admire Korean Culture and History., December 2016
23,4.0,Quick photo. ,Just a quick pass by the statue for a photo. It could have been better if the stage behind it (there was a concert the night before) was not there. So that the palace gates would be visible in pictures, October 2017
24,4.0,Great King,, August 2017
25,3.0,Good for photo ops,This statue is quite iconic and having photo ops in this area is quite mandatory. Try learning about his works like introducing the Korean alphabet and how these are displayed well in the vicinity., October 2017
26,4.0,Huge monument,"Sitting right outside the Museum of Korea, directly in front of the palace gates, this vast statue towers above the traffic and makes a good photo op.", October 2017
27,3.0,Iconic Statue in Gwanghwamun,"While not being the sole reason for visiting Gwanghwamun Square Sejong's statue stands as a reminder to the citizens of Seoul that King Sejong was an iconic leader as well as the instigator of the Korean alphabet, 'hangeul'. Te statue gazes along Sejong Ro and as such provides the ideal photo opportunity to both tourists and locals alike.", November 2016
28,2.0,Better at night ,This is an impressive statue. However it is still just a statue. It's lit up at night. Located at the front of the palace, October 2017
29,3.0,A statue in Seoul,"There isn't much to this statue in the middle of the street near one of the best palaces in the country and the Blue House. If you're around Seoul long enough, you'll see it, but you shouldn't go out of your way.", September 2017
30,4.0,Prominent statue,"We found this statue in Gwanghwamun square. It was an imposing statue, very nice and it was built to remember a great  and respected king.  There is a free museum nearby.", October 2016
31,4.0,Imposing and central,"There is always something going on in the park around this statue, but that doesn't reduce how cool he is against the backdrop of the Palace and the mountains.  Worth visiting.", August 2017
32,4.0,Good to visit to learn about this famous Korean,A nice monument to the this great respected Korean.  There is a small museum or information center on his inventions and achievements.  Very nice place to learn about some Korean history., August 2017
33,5.0,Visited many times still like this place.,"In another post re: Gwanghamun Square, I mention that there is a museum that you can enter for free for a great cultural experience.  I highly recommend the King Sejong Exhibit Hall which is located at the backside under the statue.", April 2017
34,5.0,Remember the statue is also entrance to the museum.,"Remember to visit the museum under the statue.  That is the most interesting part, the history of King Sejong and the history of battles at sea with the Japanese navy.", July 2017
35,4.0,Interesting,, June 2017
36,4.0,A statue to honor a great ruler,"King Sejong is the 4th king of the 500 year old Joseon Dynasty and reigned for 32 years from 1418 to 1450. His contributions to the kingdom include using the principles of Confucianism in politics, advancing science and technology, strengthening Korean military while emphasizing foreign policy, and creating the Korean alphabet Hangul. An impressive resume which fully deserved a giant statue in the middle of Gwanghwamun Square!", June 2017
37,4.0,Symbolic figure,, June 2017
38,5.0,Meaningful,, June 2017
39,3.0,Interesting but plain,"Interesting as statues go, but for me worth mentioning is the revived stream with a gushing waterfall (frozen in the winter) nearby. Locals sit in the shade of the bridge and dip their feet in the water in summer.", June 2017
40,4.0,Near the palace,I thought it was a great statue and great for pictures. We had gone to visit the palace which is within walking distance. There were a lot of school children there. If you use the hop on hop off it is close to the pick up area., June 2017
