,star_point,title,text,Date of experience
0,5.0,South Korea's #1 National Treasure!,"One evening while walking around the Namdaemun Market looking for a place to eat dinner, we walked out a back alley and found the Sungnyemun Gate in all it's glory right across the street. It was surreal really, and a stunning piece of architecture.  Sungnyemun Gate (literally", January 2020
1,4.0,Korean history in the midst of the CBD,Stumbled to this landmark after a visit to Namdaemun markets.  Impressive structure standing out amidst tall buildings around. Typical historical site in the middle of modern Seoul., January 2020
2,4.0,Impressive,"The gate is right beside a 5 street intersection; the entrance to the gate is on the opposite side from the intersection.  I wandered for a bit before finding it.  Once in (which was quick as there is no admission and no one was around), it was quite impressive both to its sheer", November 2019
3,4.0,Korea's landmark and National Treasure,"Sungnyemun is one of the Eight Gates in the Fortress Wall of Seoul, South Korea, which surrounded the city in the Joseon dynasty. Located in the heart of Seoul.", November 2019
4,4.0,Ancient Gate in the City,"Just down the main strip from Gyeongbokgung Palace is a junction that spilts in several locations and in the middle of this junction is an ancient gate called ""Sungnyemun Gate"". It is part of the ancient city wall that surrounded the capital of Seoul in the Josean dynasty and is", September 2019
5,4.0,Oldest & Largest of Remaining Wall Gates,"Sungnyemum Gate, one of the four main gates in Seoul’s former fortress wall, dates back to 1398. But this South gate has been rebuilt many times with the latest completion occurring in 2013. I was exiting the Nandaemun Market at Gate 1 when I first saw the structure and wondered", November 2018
6,3.0,Historic Gate Well Maintained,"The Sungnyemun Gate was built between 1396 and 1398 and was part of the old Seoul City wall.It has been modified over the years and in 2008 the upper structure was destroyed by fire, but now restored. It is an interesting structure in a city mostly glass an concrete.", September 2019
7,4.0,Quick photo,It's in the middle of a busy square full of cars. So it's good to see it when you are just passing by and catch a quick photo. , September 2019
8,4.0,Antiquity vs Modernity,"Better known as Namdaemun Gate, is one of the symbol of Seoul: One of the 8 gates of the seoul's Fortress. It was built in 1398 during the Taejo Reign. You can walk throught it and take pictures. It's interesting see an historical place like this at the center of traffic jam!", August 2019
9,4.0,Historical Gate,This gate near Seoul Station is one of the last remaining gates in the walls of ancient Seoul. The gate is located on an island in main road. Best viewed from a distance., July 2019
10,4.0,"Interest history, picturesque gate","One of the 4 main gates in Seoul, reconstructed many times most recently in 2008, Sungnyemun Gate is impressive and great for some photos, but not really much to do there.  There is a changing of the guard to add some colour (I missed it, but had previously seen the change at", July 2019
11,4.0,Lovely gate,"This is a reconstructed version of one of the original Seoul gates and a lovely one, at that. Probably not worth a trip, but when in the area, worth passing by.", June 2019
12,4.0,Destroyed by Arson in 2008,"Of the 8 gates in this once walled city, this one was the oldest wooden structure in Seoul until an arsonist climbed up and set a fire which destroyed the wooden pagoda on top of the gate in 2008. It took 5 years and several million dollars to restore this National historic", March 2019
13,4.0,Elegant ,Right next to Namdaemun market. I love that it’s randomly in the middle of quite a busy intersection. Stands magnificently. We saw the changing of the guards. There are toilets near by., June 2019
14,4.0,Make a quick stop,There’s not a whole lot to do here but it’s worth checking out if you’re close by.  I always like seeing some cool architecture and learning some history while travelling.    From what I remember from the plaque... the King came to pray at this gate during times of drought. , May 2019
15,4.0,A small but nice attraction,"Accidentally stumbled upon it, and right at the time of change of patrols. Quite fun to see, if you can time to it, then you can witness it much closer than at one of the overcrowded palace gates. So, better photo opportunities with no crowd around as well...", May 2019
16,5.0,Fantastic landmark with plenty of history,Located in the centre of a busy junction there’s certainly a contrast between the surrounding office buildings and this cultural landmark. It offers a particularly good photo opportunity at night with the passing vehicle lights and is lit up beautifully. There isn’t a huge, May 2018
17,3.0,Okay for a short visit,"Very large and historical gate that located in the central area of Seoul, convenient location, walking distance to Seoul station and  Namdaemun market. Entry is free. The superstructure was destroyed in the arson incident in 2008, and the restoration was completed in 2013.", February 2019
18,5.0,Quick visit to the historical gate,"The gate is walkable from many stations. If you have the energy, you can walk from this gate to many other spots like the Namdaemun Market, Namsan park, Seoul Station, Seoul Tower, etc.  The gate was simple and we took a quick photo before heading to the other stops", November 2018
19,4.0,impressive gate,This gate is the largest of Seoul's gates. It is surrounded by nearby sights such as the Namdaemun market and Seoul Station so it is easy to reach., August 2018
20,4.0,Looks impressive,Saw this gate while walking from Seoul Station to City Hall. Consider it halfway if going to Myeongdong Market., August 2018
21,4.0,Restored historical gate near Namdaemun Market,"Fortunately our hotel was just 5 minutes walk from this very impressive gate, so we actually visited the place three twice during our stay in Seoul. The gate can be reached from it's south side from near Namdaemun market and down a small road beside a mini-mart. The original", July 2018
22,3.0,Restored gate after fire,"Sungnyemung Gate , often known as Namdaemun Gate is listed as Treasure Number One in Korea, but it was partially destroyed by fire in 2008 and renovated since then. Tgis gate was the south entrance of the city wall.", July 2018
23,4.0,Large Gate Near Namdaemun Market,There is no charge to visit this large gate near Namdaemun Market.  This is the South Gate of the original four main gates of Seoul.  It was a bit surreal to see this gate from the 14th century surrounded by modern buildings.  There were guards dressed in period costumes, May 2018
24,4.0,Impressive structure though rebuilt ,It's unfortunate that due to the history of S Korea alot of its historical structures and monuments have been rebuilt and it's no different (though for slightly different reasons) for the gate also known as Namdaemun gate which was destroyed by an arsonist some years back. It's, July 2018
25,4.0,Landmark of Seoul,"This is the southern gate of Seoul in Joseon Dynasty. Visitors can only watch. But, the symbolic value is higher than any other landmarks. - Also known as Namdaemun literally meaning southern big gate. Locals are more familiar with this name. - The access is from the other side", June 2018
26,5.0,Accidental find,We were shopping at namdaemun market and chances upon this attraction at the end of the market.  Understand that most if not all of this gate had been burnt down and this is a reconstructed one.   Basically this is the outer gate to the city with part of the city walls., June 2018
27,5.0,Beautiful historic gate preservation.,Found this while walking around Seoul - Namdaemun market. A free attraction. This gate was built in the late 1390's and served as the new capital's emperor's gate of exalted ceremonies. The beautiful preservation and grounds keeping was amazing in the middle of a major, March 2018
28,4.0,End of the Market,Bus passed here and it looked like a really interesting place to go. It's located on the Western entrance of the Namdaemun Market. The gate looked really nice., December 2017
29,4.0,Cool spot on your way to the main market,"Landed up here by accident looking for the market , the Guard’s are really helpful and in full attire. Quite cool for a few pictures with them but not worth a special trip.  ", April 2018
30,4.0,Nice ,"Nice place to visit, everyone would stand to look at the shifting of the guards in a traditional ceremony, you can take pictures with them after the ceremony it was a wonderful to watch how they were dressed and played the drums.", May 2017
31,3.0,Historical structure,This historical gate is in the middle of a busy part of the city. We saw the changing of the guard from a distance and the guards were dressed in very colourful traditional uniforms. Later on we went to the gate for a closer look. It has a colourful painting on the underside of, March 2018
32,3.0,Pretty but not worth a special trip,"The gate is relatively tourist free and you can get some good pictures when visiting, however there isn’t much to do here. If you are going to the nearby market, then it’s worth a minor detour.   But it’s not somewhere to go out of your way to see.", April 2018
33,4.0,Joseon Guards!,"Known as one of the main gate of Seoul, this historical site is a good place to know more about the Korea. The main attraction for me is the traditional Joseon guards who guard this gate. It will be really attractive when they change the shift in a small traditional ceremony.", March 2018
34,3.0,Historical Site,"Easy to find and located at a major intersection near Namdaemun Market.It is one of the Eight Gates in the Fortress Wall of Seoul, South Korea, which surrounded the city in the Joseon dynasty. The gate is located in Jung-gu between Seoul Station and Seoul Plaza, with the", November 2017
35,3.0,Near Seoul station,"This gate is located near Seoul station. If you take a train from Seoul, you might have a chance to take a look of it. This is much similar to that of many ancient cities in China. ", February 2018
36,5.0,Sungnyemun Gate...Historical Site To Visit!,We went there on our first day in Seoul. A great historical site to see...you can see the guards & take photo with them. Very near to the famous Namdaemun Market. You can walk across the street or take the underground pathway...take extra caution if using the underground since, November 2017
37,4.0,A historical site ,This historical site is easy to find as it is located in the cross section of a main road. It is also next the popular Namdaemun Market.   There is nothing much to see and explore. I would suggest a 30 mins visit would be sufficient to take in the sight.   While we were there in, November 2017
38,4.0,Historic area,Located across from Namdeamun Market. You can either walk across the street or there is an underground path way to Sungnyemun Gate. It free to get. There are a brief descriptions carved into the stone about this place. It is worth seeing and learning the histories of Seoul. , November 2017
39,4.0,Sungnyemun Gate,"This impressive Gate is in fact the No.1 Historical Monument in Seoul. Note that the actual gate is closed on Mondays, but it is still possible to absorb the grandeur at any time day or night, when it is lit up. Very photogenic.", November 2017
40,4.0,Great Scene. Easy to find. Quick Stop,The location is easy to find using google map. The location was closed for visits while I was there. Really beautiful at night. , November 2017
41,4.0,"Iconic, a must ","This is a iconic and a must to be place, it is just great. It only take you like 15 to spend there, nice pics and you can say you have been in ROK", November 2017
42,5.0,Interesting History,"Not sure I would travel too far out of my way to see this, but was staying close by and the bus from the airport drove past this attraction so I decided to walk over and check it out. Am a fan of history but know pretty much nothing of Korean history. Admission is free and they", October 2017
43,3.0,Sungnyemun Gate Review,"It is good that city history is protected. However, nothing extremely special with this attraction. If you are around that region, then it may be possible to visit.", October 2017
44,4.0,Another gate in the city,We stopped at Hoehyeon station and visited this attraction. It is near the Namdaemun market and Namsan park.  We saw some colourful guards here. The roundabout near here is very busy.  It is quite beautiful.  This place is free to visit., October 2016
45,5.0,Palace facade,"This facade is a must see, old guard dress in olden times are maching and guarding the place. They are very accommodating in having selfie with everyone...no entrance fee..", August 2017
46,3.0,Landmark ,"Also known as Namdaemun Gate and sits next to the Namdaemun Market. It is considered Korea's National Treasure No. 1. Sungnyemun Gate is the largest castle gate stone structure  with an arched entrance in the middle. There is a column on top of a platform, raising the roof and", July 2017
47,5.0,Symbol of Seoul,"My friends enjoyed the photo taken Namdaemoon (Soongraemoon) background , one of the 4 main gates of Old Seoul. It is good to visit.", July 2017
48,4.0,One of the 8 gates of Seoul,This is an impressive structure and one of the 8 gates of the City.  it stands in the middle of a big round about so vehicles are constantly driving about.  Not far from Seoul Main station and the Nadaemun Night Market.  This gate is also known as Nadaemun Gate so can be found, June 2017
