,star_point,title,text,Date of experience
0,5.0,No more museum excites more,Unforgettable experience! Museum located in unexpected area of Hongik Uni. Before entering u download an app in which U make photo or video. Better video because it will provide u with amazing special effects like in fantasy movies. Every corner of the museum has its own, January 2020
1,5.0,Absolutely worth a visit and so much fun!,"We had such a great time here. There is an App you download when you go in which brings the place to life. We had so much fun taking videos and pictures and there is even an opportunity to get your portrait done as an oil painting, which was a great keepsake to take home. A great tip for couples, take a tripod so you can get shots of both of you!", January 2020
2,5.0,Really cool place,This place is a lot of fun! I was traveling alone so I got a guide to accompany me so I could get some great photos. They have an app that works with some of the exhibits to get you some really cool videos and photos., September 2019
3,5.0,Worth it!,, December 2019
4,3.0,Need to go with a teen or 20 something,, December 2019
5,4.0,"Worth trying , covered with discover Seoul pass ",, January 2020
6,4.0,Generation Instagram,, January 2020
7,5.0,Trick eye Museum,Small place but worth the little money you spend. First time I have been to a place like this and my wife and I had a good time. Not to crowded and it conveniently located in the same building as the Love Museum and Ice Museum. Also has several things to do close by so makes for a great day trip., January 2020
8,4.0,Quite a tricky attraction to eye out,"Had some trouble finding this attraction  because it is located in a building without a clear and obvious sign. After figuring out which building it was then also had the difficult of finding the entrance which is at the basement of the building, which it shares with another attraction. Spent about 1.5 hrs here taking various photos. The background was intriguing and allowed one to take various interesting photos.", December 2019
9,2.0,Not great.,"The trickeye portion is ok but I expected all pictures to have AR effects, not just 4. The VR portion was very bad. The only ride that was working for 2 people was a roller coaster. There are so many boring VR rollercoasters and this is one of them. All other rides were broken including a ride with 2 chairs but they told me only one was working.", December 2019
10,2.0,Overated,, November 2019
11,4.0,Fun!,Weather wasn't the best when I arrived i Seoul so my Daughter suggested us to visit the place. We had so much fun and giggles., September 2019
12,5.0,Highlight of Seoul,This museum was one of my most memorable place in Seoul. It was very interactive in that you can be a part of the art and take lovely photos. I would advice going with friends in other to take photos of each other., December 2018
13,5.0,Tacky Fun!!,"This place is so incredibly tacky that you can't help but to have a good time! It was well worth it for the laughs! There's an app you can download to ""enhance"" your experience but it didn't work half the time. There's another tacky Love ""Museum"" upstairs that's very graphic but hilarious...don't bring the kiddos! We had a good time in this cool college neighborhood. Found an awesome craft beer joint around the corner. You can definitely make a whole day checking out Hongdae!", October 2019
14,4.0,"Fun, but not a ""museum""","First, this is not a museum in the conventional sense.  It's a series of wall paintings and mirrors, and other things where a participants can sit, lie, stand, etc in designated locations, and it appears you are flying, being eaten by something, are cut in half etc.  It's more like a well organized carnival fun house.  Overall it was enjoyable.  Not something you can do repeatedly, but it's a good way to spend a couple of hours and take some fun photos.  You NEED to come with someone else to help take pictures or else you are constantly asking people to help you.  The images / illusions are big, so you can't really do it via a selfie.", November 2019
15,3.0,So-So,, October 2019
16,5.0,A different and fun experience,, October 2019
17,4.0,An interesting experience,Had a lot of fun and took some crazy pics. There were indeed some eye bending displays that wow'd me. Was definitely worth it for me., October 2019
18,5.0,1st time in Trickeye Museum,"I had a fun time here, it is highly recommended to anyone visiting Seoul. Everyone would have a guarantee unique and satisfying experience.  Two thumbs up.", October 2019
19,5.0,Amazed,I have truely enjoyed my visit here. The staffs were welcoming and atmosphere was fun. Next year's round 2. Thank you trick eye., October 2019
20,1.0,Not a museum ,"I’m not sure why this place has received so many positive reviews. It’s a gimmicky place that is reminiscent of a Fun House at a County Fair. However, it is not at all suitable for children.", October 2019
21,5.0,It was fantastic,, October 2019
22,5.0,Trip to Trick Eye Museum (& Love & Ice Museum),"The trip to the Love and Trick Eye Museum made me and my friends laugh the most. It was fun trying out the different illusions in each museum. And both museums have suggestions on the sides on how to pose and markings on where to stand to make sure you take the best pictures possible. However, the love museum is definitely for adults only. But the trick eye museum and ice museum is for practically anybody! It was really cold inside the ice museum so I suggest bringing something warm to wear if you want to last longer than 10 minutes in there. Overall 10/10 would recommend.", October 2019
23,4.0,"fun with the kids, better than expected","a little crowded, but fun to take funny pics. definitely get the app to play with the vr pics. near the new harry potter cafe so a good two activities with lunch in between", May 2019
24,5.0,Trip to Trick Eye (& Love & Ice) Museum,, October 2019
25,5.0,Really fun! Lots of picture options,There’s so many backgrounds to take pictures on so no doubt you’ll get great pictures. They even have certain place marks to stand on to get the best picture and to truly capture the illusion. It was a great opportunity to get some fun pictures with my friends. Highly recommend!, October 2019
26,5.0,Trickeye museum ,, October 2019
27,3.0,Good stop and fun if you have the time,"It is a little time consuming and tedious sometimes, but it is definitely a fun experience. The photos are better without the AR sometimes and the AR APP really drains phone battery. But if you don't mind looking silly and getting down and dirty for pics, it is a lot of fun", October 2019
28,4.0,Good to experience,, September 2019
29,4.0,Love Museum,"It was a fun place to be, hilarious jokes. Can't be serious when visiting the attraction. Very simple, old school jokes. Was a great start to our Korea trip!", October 2019
30,3.0,Dated museum,Only some art pieces are 3d. the rest are normal. this is the 2nd time i come here. Feel so old the place has become., October 2019
31,5.0,Lots of fun!!!,"We had a great time, lots to see and very well laid out, we are an adult couple and highly enjoyed ourselves, it is also a very reasonable price and includes admission to the ice museum.", October 2019
32,4.0,Get the full package! Trick eye museum + ice + one VR game,, October 2019
33,5.0,Great experience at the Trick Eye Museum!,, August 2019
