,star_point,title,text,Date of experience
0,5.0,More fun than in working amusement park,Finally amusement park without lines and sugar rushed kids who yell and run around - we totally enjoyed the place and had way more fun than we would have in normal amusement park! We were only visitors there at the time. Easily you can spend hours there so book some time., July 2019
1,4.0,Interesting abandoned amusement park,"This amusement park graveyard is kind of creepy and sad but good for photos, films or drawing. It stopped operation in 2011 and since that everything just gets more rusty. For some reason it is not maintained well so year by year things get broken. I wouldn't recommend it for", July 2019
2,5.0,So cool for photos!,This is a great and quirky little break away from the hustle and bustle of the city and perfect for unique photographs. The amusement park has no limits or boundaries so it's easy to get lost in exploring. A very cold spot on winter however as it's so high up so be sure to bring, December 2018
3,4.0,Creepy but Nice,"A failed theme park at a corner of a neighbourhood. The walk to the entrance could send chills down your spine.  The premise is owned by a man. You will be charged 5,000KRW to enter.   It has become a popular place for photoshoots. Just keep your voices down as there is a school", June 2018
4,5.0,"Not exactly abandoned anymore, but this place is a gem!","There were many people when we came. Locals mostly. That time, we were the only foreigners which was pretttyyy awesome! hahaha Took a loooot of pretty pictures when we went here. There were also a number of couples who came for their pre-nuptial shoot. If you want to take great", March 2018
5,4.0,A Great One-Time Event for Photos,"While looking at someone's blog and on Wikipedia, I did some research about Yongma Land. To keep it simple, it's a small amusement park that opened in 1980 but closed in 2011. Why did it close down? A bigger amusement park in a better location was constructed on July 12, 1989.", August 2017
6,4.0,Love this abandoned park,"We made a trip to this park in the late evening hoping that the owner would still allowed us to enter.  Luckily, there were 2 wedding shootings taking place and the owner allowed us to enter (subject to payment of 5,000 won for each pax).  The park was lighted up and we were", April 2018
7,5.0,Yongma Land is Seoul's answer to Dismaland!,If you have a soft spot for abandoned places- Yongma Land can be the highlight of your Seoul trip. Finding your way can be tricky as the park rests on a hilly portion and is covered by a residential neighborhood. Google map helps. We boarded the bus to Yongma Park entrance and, April 2018
8,4.0,A place to take good photos!,"This theme park was abandoned as you can see from the photos. I would suggest you to go earlier around 3 or 4? Cause the sun literally sets at 5 something, i mean if you wanna get great shots with natural lighting. Besides, the sunset shot is a must or even time-lapse!", January 2018
9,5.0,Great Abandoned theme park,"Dilapidated rides and overgrown structures perfectly set the creepy ambience I was expecting when I read about Yongma Land, loads of photo opportunities and it only costs 5000₩ to take a look around, Awesome!", November 2017
10,4.0,A fun abandoned amusement park,"Even though it's been shut down for years and nothing runs, you can enter Yongma Land any day for 5,000 KRW (10,000 KRW for professional photography).  The rides are out of the 70s and 80s and it's fun to explore.  The owner is very nice and you can climb up and on anything as", October 2015
