,name,address
0,Gyeongbokgung Palace,"161 Sajik-ro, Jongno-gu, Seoul South Korea"
1,Bukhansan National Park,"262, Bogungmun-ro, Seongbuk-gu, Seoul 02700 South Korea"
2,Myeongdong Shopping Street,"Jung-gu, Seoul South Korea"
3,Changdeokgung Palace,"99, Yulgok-ro, Jongno-gu, Seoul 03072 South Korea"
4,The War Memorial of Korea,"29, Itaewon-ro, Yongsan-gu, Seoul 04353 South Korea"
5,National Museum of Korea,"137 Seobinggo-ro, Yongsan-gu, Seoul 04383 South Korea"
6,Insadong,"Insa-dong, Jongno-gu, Seoul South Korea"
7,Trickeye Museum Seoul,"20, Hongik-ro 3-gil, Mapo-gu Seogyo Plaza B2, Seoul 04039 South Korea"
8,Lotte World Tower & Mall,"300, Olympic-ro, Songpa-gu 117-123F, Lotte World Tower, Seoul 05551 South Korea"
9,KTX (Korea Train Express),Seoul South Korea
10,Seoul Metro,Seoul South Korea
11,Hangang Park,Seoul South Korea
12,N Seoul Tower,"105, Namsangongwon-gil, Yongsan-gu, Seoul 04340 South Korea"
13,Namsan Park,"100-177 Hoehyeon-dong 1-ga, Jung-gu Yongsan-dong, Yongsan-gu, Seoul South Korea"
14,Myeongdong NANTA Theater,"26, Myeongdong-gil, Jung-gu UNESCO Hall 3F, Seoul 04536 South Korea"
15,Cheonggyecheon Stream,Seoul South Korea
16,Jogyesa Temple,"45 Gyeonji-dong, Jongno-gu, Seoul 110-170 South Korea"
17,Bongeunsa Temple,"73 Samseong-dong, Gangnam-gu, Seoul 135-090 South Korea"
18,Haneul Park,"95, Haneulgongwon-ro, Mapo-gu, Seoul 03900 South Korea"
19,Bukchon Hanok Village,"37, Gyedong-gil, Jongno-gu, Seoul 03059 South Korea"
20,Hongik University Street,"Seogyo-dong, Seoul South Korea"
21,Ewha Womans University,"52, Ewhayeodae-gil, Seodaemun-gu, Seoul 03760 South Korea"
22,Dongdaemun Design Plaza (DDP),"281, Eulji-ro, Jung-gu, Seoul 04566 South Korea"
23,Starfield Library,"513, Yeongdong-daero, Gangnam-gu Starfield COEX Mall, Seoul 06164 South Korea"
24,Kwangjang Market,"88, Changgyeonggung-ro, Jongno-gu, Seoul 03195 South Korea"
25,Love Museum,"20, Hongik-ro 3-gil, Mapo-gu B1 Seogyo Plaza, Seoul 04039 South Korea"
26,Seoul Forest,"273, Ttukseom-ro, Seongdong-gu, Seoul 04770 South Korea"
27,Yeouido Hangang Park,"330, Yeouidong-ro, Yeongdeungpo-gu, Seoul 07337 South Korea"
28,Leeum Samsung Museum of Art,"60-16, Itaewon-ro 55-gil, Yongsan-gu, Seoul 04348 South Korea"
29,Seoul Sky,"300, Olympic-ro, Songpa-gu Lotte World Tower 117-123F, Seoul 05551 South Korea"
